engine,entry_hour,trades,net,gross_profit,gross_loss,win_rate,profit_factor,avg,avg_win,avg_loss,largest_win,largest_loss,win_count,loss_count
MRV,20,119.0,-251049.76,145063.54,-396113.3,45.378151260504204,0.3662172918707855,-2109.661848739496,2686.361851851852,-6094.050769230769,25000.0,-24280.0,54.0,65.0
MRV,2,135.0,-82224.88,268770.94,-350995.82,59.25925925925925,0.7657382928377894,-609.0731851851853,3359.63675,-6381.742181818182,28200.0,-18580.0,80.0,55.0
MRV,5,155.0,-73627.38,395607.51,-469234.89,51.61290322580645,0.8430905681374204,-475.0153548387097,4945.0938750000005,-6256.465200000001,25760.0,-26900.0,80.0,75.0
MRV,11,102.0,-11806.07,348475.15,-360281.22,50.98039215686274,0.9672309591934879,-115.7457843137255,6701.445192307693,-7205.6244,30680.0,-29780.0,52.0,50.0
MRV,3,125.0,-6507.31,363838.44,-370345.75,50.4,0.9824290949740884,-52.05848,5775.213333333333,-5973.318548387097,26620.0,-17540.0,63.0,62.0
MRV,7,157.0,28548.92,602867.1,-574318.18,54.77707006369427,1.0497092395716952,181.84025477707004,7010.082558139535,-8088.988450704226,29740.0,-22340.0,86.0,71.0
MRV,0,172.0,35697.97,549484.59,-513786.62,56.97674418604651,1.0694801472253208,207.54633720930232,5606.985612244897,-6943.062432432433,41880.0,-18560.0,98.0,74.0
MRV,19,145.0,111133.54,550815.31,-439681.77,53.103448275862064,1.2527590352449682,766.4382068965517,7153.4455844155855,-6465.908382352942,30640.0,-26160.0,77.0,68.0
MRV,4,95.0,137153.0,353222.05,-216069.05,54.736842105263165,1.634764673607812,1443.7157894736843,6792.73173076923,-5024.8616279069765,20520.0,-15520.0,52.0,43.0
MRV,18,187.0,142278.84,594604.8,-452325.96,58.82352941176471,1.3145493572820803,760.8494117647059,5405.498181818182,-5874.363116883117,37260.0,-19940.0,110.0,77.0
MRV,10,136.0,166705.92,528699.98,-361994.06,58.08823529411765,1.4605211477779496,1225.778823529412,6692.404810126582,-6350.77298245614,33820.0,-28740.0,79.0,57.0
MRV,23,121.0,201774.91,476848.45,-275073.54,59.50413223140496,1.7335307859854496,1667.5612396694214,6622.895138888889,-5613.745714285714,40580.0,-17780.0,72.0,49.0
MRV,6,161.0,208991.23,655054.78,-446063.55,58.38509316770186,1.468523442455677,1298.0821739130436,6968.667872340426,-6657.664925373134,33920.0,-18760.0,94.0,67.0
MRV,15,225.0,228392.13999999998,803332.53,-574940.39,62.22222222222222,1.3972449039456074,1015.0761777777777,5738.0895,-6764.004588235294,47540.0,-26992.14,140.0,85.0
MRV,9,128.0,238690.78,636650.78,-397960.0,58.59375,1.5997858578751634,1864.77171875,8488.677066666667,-7508.679245283019,33019.3,-28700.0,75.0,53.0
MRV,22,101.0,272863.49,545680.32,-272816.83,60.396039603960396,2.0001710305042395,2701.6187128712872,8945.579016393442,-6820.42075,34540.0,-30760.0,61.0,40.0
MRV,8,130.0,283817.34,570933.0,-287115.66,56.15384615384615,1.9885122253519716,2183.210307692308,7821.0,-5037.116842105263,32020.0,-15960.0,73.0,57.0
MRV,16,217.0,455842.33999999997,978500.8,-522658.46,64.51612903225806,1.8721610284467605,2100.6559447004606,6989.291428571429,-6787.772207792208,37558.56,-24100.0,140.0,77.0
MRV,1,180.0,504641.73,750092.06,-245450.33,65.0,3.055983098494918,2803.5651666666668,6411.043247863248,-3896.036984126984,52020.0,-31840.0,117.0,63.0
MRV,17,199.0,648487.75,989790.44,-341302.69,67.8391959798995,2.9000370316448425,3258.7324120603016,7331.781037037036,-5332.85453125,30660.0,-20320.0,135.0,64.0
MRV,12,180.0,802360.37,1381756.44,-579396.07,61.111111111111114,2.384821906023629,4457.557611111111,12561.422181818181,-8277.086714285713,40820.0,-17480.0,110.0,70.0
MRV,14,243.0,994976.55,1588546.69,-593570.14,64.19753086419753,2.6762577544753174,4094.553703703704,10182.991602564101,-6822.645287356322,50440.0,-26220.0,156.0,87.0
MRV,13,218.0,1108149.18,1610855.96,-502706.78,67.43119266055045,3.2043648983608293,5083.2531192660545,10958.20380952381,-7080.377183098592,51620.0,-38700.0,147.0,71.0
