entry_time,exit_time,entry_month,entry_date,entry_hour,side,volume,entry_price,exit_price,profit,balance,hold_minutes,exit_reason,family,engine,code,score,grade,regime_tag,hour_tag,tags,score_bucket,entry_comment,exit_comment,match_error
2026-04-09 01:11:17,2026-04-09 01:11:30,2026-04,2026-04-09,1,sell,200.0,4718.183,4715.582,52020.0,2437534.81,0.21666666666666667,tp,AC1,MRV,MRV,82,A,WG,,"WG,BB",S80-89,AC1|MRV|MRV|S82|A|WG|BB,tp 4715.591,51499.80000000007
2026-04-09 01:11:20,2026-04-09 01:11:38,2026-04,2026-04-09,1,sell,200.0,4717.299,4714.7,51980.0,2489514.81,0.3,tp,AC1,MRV,MRV,82,A,WG,,"WG,BB",S80-89,AC1|MRV|MRV|S82|A|WG|BB,tp 4714.707,51460.19999999997
2026-04-28 13:44:19,2026-04-28 13:45:03,2026-04,2026-04-28,13,sell,200.0,4584.013,4581.433,51620.0,4873774.81,0.7333333333333333,tp,AC1,MRV,MRV,82,A,WG,,"WG,BB",S80-89,AC1|MRV|MRV|S82|A|WG|BB,tp 4581.453,51104.000000000015
2026-04-28 13:44:22,2026-04-28 13:45:03,2026-04,2026-04-28,13,sell,200.0,4584.014,4581.433,51600.0,4822154.81,0.6833333333333333,tp,AC1,MRV,MRV,82,A,WG,,"WG,BB",S80-89,AC1|MRV|MRV|S82|A|WG|BB,tp 4581.452,51083.799999999974
2026-04-28 13:44:16,2026-04-28 13:45:02,2026-04,2026-04-28,13,sell,200.0,4584.19,4581.611,51580.0,4770554.81,0.7666666666666667,tp,AC1,MRV,MRV,82,A,WG,,"WG,BB",S80-89,AC1|MRV|MRV|S82|A|WG|BB,tp 4581.629,51064.200000000055
2026-04-16 14:11:19,2026-04-16 14:11:43,2026-04,2026-04-16,14,sell,200.0,4802.179,4799.657,50440.0,3517374.81,0.4,tp,AC1,MRV,MRV,76,A,RG,,"RG,BB",S70-79,AC1|MRV|MRV|S76|A|RG|BB,tp 4799.679,49935.60000000001
2026-04-08 15:17:26,2026-04-08 15:17:38,2026-04,2026-04-08,15,sell,200.0,4749.108,4746.731,47540.0,2251594.81,0.2,tp,AC1,MRV,MRV,82,A,RG,,"RG,BB",S80-89,AC1|MRV|MRV|S82|A|RG|BB,tp 4746.758,47064.59999999992
2026-04-28 13:38:32,2026-04-28 13:38:57,2026-04,2026-04-28,13,sell,200.0,4581.139,4578.82,46380.0,4718974.81,0.4166666666666667,tp,AC1,MRV,MRV,76,A,RG,,"RG,BB",S70-79,AC1|MRV|MRV|S76|A|RG|BB,tp 4578.820,45916.19999999992
2026-04-06 14:51:30,2026-04-06 14:51:41,2026-04,2026-04-06,14,buy,190.51,4679.946,4682.287,44598.39,1742314.81,0.18333333333333332,tp,AC1,MRV,MRV,82,A,WG,,"WG,BB",S80-89,AC1|MRV|MRV|S82|A|WG|BB,tp 4682.256,44152.40608999993
2026-04-06 14:51:20,2026-04-06 14:51:30,2026-04,2026-04-06,14,buy,185.64,4677.41,4679.75,43439.76,1697716.42,0.16666666666666666,tp,AC1,MRV,MRV,76,A,WG,,"WG,BB",S70-79,AC1|MRV|MRV|S76|A|WG|BB,tp 4679.720,43005.362399999976
2026-04-06 13:43:27,2026-04-06 13:43:39,2026-04,2026-04-06,13,sell,162.57,4676.184,4673.574,42430.77,1668141.55,0.2,tp,AC1,MRV,MRV,82,A,WG,,"WG,BB",S80-89,AC1|MRV|MRV|S82|A|WG|BB,tp 4673.592,42006.462299999905
2026-04-17 14:14:30,2026-04-17 14:14:40,2026-04,2026-04-17,14,buy,200.0,4865.406,4867.52,42280.0,3590754.81,0.16666666666666666,tp,AC1,MRV,MRV,82,A,WG,,"WG,BB",S80-89,AC1|MRV|MRV|S82|A|WG|BB,tp 4867.472,41857.1999999999
2026-04-17 14:14:33,2026-04-17 14:14:42,2026-04,2026-04-17,14,buy,200.0,4866.194,4868.306,42260.0,3675254.81,0.15,tp,AC1,MRV,MRV,82,A,WG,,"WG,BB",S80-89,AC1|MRV|MRV|S82|A|WG|BB,tp 4868.259,41837.600000000166
2026-04-17 14:14:36,2026-04-17 14:14:42,2026-04,2026-04-17,14,buy,200.0,4866.193,4868.306,42240.0,3632994.81,0.1,tp,AC1,MRV,MRV,82,A,WG,,"WG,BB",S80-89,AC1|MRV|MRV|S82|A|WG|BB,tp 4868.260,41817.400000000125
2026-04-17 14:14:58,2026-04-17 14:15:28,2026-04,2026-04-17,14,buy,200.0,4867.246,4869.342,41920.0,3717174.81,0.5,tp,AC1,MRV,MRV,82,A,WG,,"WG,BB",S80-89,AC1|MRV|MRV|S82|A|WG|BB,tp 4869.312,41500.80000000009
2026-04-08 00:53:18,2026-04-08 00:53:28,2026-04,2026-04-08,0,sell,200.0,4824.004,4821.91,41880.0,2193354.81,0.16666666666666666,tp,AC1,MRV,MRV,82,A,WG,,"WG,BB",S80-89,AC1|MRV|MRV|S82|A|WG|BB,tp 4821.964,41461.19999999999
