engine,entry_hour,trades,net,gross_profit,gross_loss,win_rate,profit_factor,avg,avg_win,avg_loss,largest_win,largest_loss,win_count,loss_count
MRV,12,2.0,-1.0399999999999998,0.1,-1.14,50.0,0.08771929824561404,-0.5199999999999999,0.1,-1.14,0.1,-1.14,1.0,1.0
MRV,1,5.0,0.11999999999999977,7.32,-7.2,60.0,1.0166666666666666,0.023999999999999955,2.44,-3.6,3.53,-4.65,3.0,2.0
MRV,0,4.0,0.36,3.34,-2.98,50.0,1.1208053691275168,0.09,1.67,-1.49,3.19,-1.73,2.0,2.0
MRV,22,1.0,1.13,1.13,0,100.0,0.0,1.13,1.13,0.0,1.13,0.0,1.0,0.0
MRV,20,2.0,1.2800000000000002,3.74,-2.46,50.0,1.5203252032520327,0.6400000000000001,3.74,-2.46,3.74,-2.46,1.0,1.0
MRV,7,2.0,1.96,3.08,-1.12,50.0,2.75,0.98,3.08,-1.12,3.08,-1.12,1.0,1.0
MRV,18,2.0,3.79,3.79,0,100.0,0.0,1.895,1.895,0.0,3.69,0.0,2.0,0.0
MRV,8,1.0,3.89,3.89,0,100.0,0.0,3.89,3.89,0.0,3.89,0.0,1.0,0.0
MRV,14,1.0,4.1,4.1,0,100.0,0.0,4.1,4.1,0.0,4.1,0.0,1.0,0.0
MRV,13,2.0,4.14,4.14,0,100.0,0.0,2.07,2.07,0.0,3.9,0.0,2.0,0.0
MRV,17,4.0,6.93,8.34,-1.41,75.0,5.914893617021277,1.7325,2.78,-1.41,3.73,-1.41,3.0,1.0
