entry_time,exit_time,entry_month,entry_date,entry_hour,side,volume,entry_price,exit_price,profit,balance,hold_minutes,exit_reason,family,engine,code,score,grade,regime_tag,hour_tag,tags,score_bucket,entry_comment,exit_comment,match_error
2026-05-07 00:09:20,2026-05-07 00:09:29,2026-05,2026-05-07,0,buy,0.03,4692.637,4693.701,3.19,152.19,0.15,tp,AC1,MRV,MRV,82,A,WG,,"WG,BB",S80-89,AC1|MRV|MRV|S82|A|WG|BB,tp 4693.694,3.1580799999999907
2026-05-07 00:33:40,2026-05-07 00:33:45,2026-05,2026-05-07,0,buy,0.03,4692.631,4692.679,0.15,152.34,0.08333333333333333,sl,AC1,MRV,MRV,76,A,WG,,"WG,BB",S70-79,AC1|MRV|MRV|S76|A|WG|BB,sl 4692.681,0.14856000000000677
2026-05-07 00:33:45,2026-05-07 00:33:51,2026-05,2026-05-07,0,buy,0.03,4692.959,4692.382,-1.73,150.61,0.1,manual/exit_loss,AC1,MRV,MRV,82,A,WG,,"WG,BB",S80-89,AC1|MRV|MRV|S82|A|WG|BB,,1.7126899999999932
2026-05-07 00:33:51,2026-05-07 00:33:57,2026-05,2026-05-07,0,buy,0.03,4692.662,4692.245,-1.25,149.36,0.1,manual/exit_loss,AC1,MRV,MRV,76,A,WG,,"WG,BB",S70-79,AC1|MRV|MRV|S76|A|WG|BB,,1.2374899999999889
2026-05-07 01:06:02,2026-05-07 01:06:10,2026-05,2026-05-07,1,sell,0.03,4693.702,4693.571,0.4,149.76,0.13333333333333333,sl,AC1,MRV,MRV,82,A,WG,,"WG,BB",S80-89,AC1|MRV|MRV|S82|A|WG|BB,sl 4693.571,0.39606999999999065
2026-05-07 01:06:10,2026-05-07 01:06:16,2026-05,2026-05-07,1,sell,0.03,4693.291,4692.159,3.39,153.15,0.1,tp,AC1,MRV,MRV,82,A,WG,,"WG,BB",S80-89,AC1|MRV|MRV|S82|A|WG|BB,tp 4692.202,3.3560399999999846
2026-05-07 01:06:16,2026-05-07 01:06:19,2026-05,2026-05-07,1,sell,0.03,4692.069,4693.619,-4.65,148.5,0.05,sl,AC1,MRV,MRV,82,A,WG,,"WG,BB",S80-89,AC1|MRV|MRV|S82|A|WG|BB,sl 4693.581,4.603500000000023
2026-05-07 01:06:19,2026-05-07 01:06:25,2026-05,2026-05-07,1,sell,0.03,4693.339,4694.191,-2.55,145.95,0.1,manual/exit_loss,AC1,MRV,MRV,82,A,WG,,"WG,BB",S80-89,AC1|MRV|MRV|S82|A|WG|BB,,2.524440000000004
2026-05-07 01:30:29,2026-05-07 01:30:40,2026-05,2026-05-07,1,buy,0.03,4704.546,4705.724,3.53,149.48,0.18333333333333332,tp,AC1,MRV,MRV,76,A,RG,,"RG,BB",S70-79,AC1|MRV|MRV|S76|A|RG|BB,tp 4705.693,3.494660000000003
2026-05-07 07:45:18,2026-05-07 07:45:29,2026-05,2026-05-07,7,sell,0.03,4743.118,4742.091,3.08,152.56,0.18333333333333332,tp,AC1,MRV,MRV,68,B,WG,,"WG,BB",S00-69,AC1|MRV|MRV|S68|B|WG|BB,tp 4742.097,3.049189999999999
2026-05-07 07:49:38,2026-05-07 07:50:15,2026-05,2026-05-07,7,buy,0.03,4739.118,4738.743,-1.12,151.44,0.6166666666666667,manual/exit_loss,AC1,MRV,MRV,76,A,WG,,"WG,BB",S70-79,AC1|MRV|MRV|S76|A|WG|BB,,1.1087500000000001
2026-05-07 08:39:37,2026-05-07 08:40:41,2026-05,2026-05-07,8,buy,0.03,4736.398,4737.692,3.89,155.33,1.0666666666666667,tp,AC1,MRV,MRV,76,A,WG,,"WG,BB",S70-79,AC1|MRV|MRV|S76|A|WG|BB,tp 4737.664,3.8511800000000043
2026-05-07 12:57:31,2026-05-07 12:57:45,2026-05,2026-05-07,12,buy,0.03,4746.272,4746.307,0.1,155.43,0.23333333333333334,sl,AC1,MRV,MRV,76,A,RG,,"RG,BB",S70-79,AC1|MRV|MRV|S76|A|RG|BB,sl 4746.322,0.09895000000000437
2026-05-07 12:57:45,2026-05-07 12:57:55,2026-05,2026-05-07,12,buy,0.03,4746.587,4746.205,-1.14,154.29,0.16666666666666666,manual/exit_loss,AC1,MRV,MRV,76,A,RG,,"RG,BB",S70-79,AC1|MRV|MRV|S76|A|RG|BB,,1.1285399999999843
2026-05-07 13:48:31,2026-05-07 13:49:20,2026-05,2026-05-07,13,buy,0.02,4742.573,4742.697,0.24,154.53,0.8166666666666667,sl,AC1,MRV,MRV,76,A,RG,,"RG,BB",S70-79,AC1|MRV|MRV|S76|A|RG|BB,sl 4742.730,0.23752000000000406
2026-05-07 13:52:40,2026-05-07 13:53:31,2026-05,2026-05-07,13,buy,0.02,4740.526,4742.477,3.9,158.43,0.85,tp,AC1,MRV,MRV,82,A,WG,,"WG,BB",S80-89,AC1|MRV|MRV|S82|A|WG|BB,tp 4742.455,3.8609799999999996
2026-05-07 14:15:28,2026-05-07 14:15:37,2026-05,2026-05-07,14,sell,0.03,4750.793,4749.428,4.1,162.53,0.15,tp,AC1,MRV,MRV,74,A,WG,,"WG,BB",S70-79,AC1|MRV|MRV|S74|A|WG|BB,tp 4749.452,4.059050000000006
2026-05-07 17:04:19,2026-05-07 17:05:00,2026-05,2026-05-07,17,sell,0.03,4717.437,4717.014,1.27,163.8,0.6833333333333333,sl,AC1,MRV,MRV,82,A,RG,,"RG,BB",S80-89,AC1|MRV|MRV|S82|A|RG|BB,sl 4717.004,1.2573100000000068
2026-05-07 17:05:27,2026-05-07 17:05:40,2026-05,2026-05-07,17,sell,0.03,4716.553,4715.311,3.73,167.53,0.21666666666666667,tp,AC1,MRV,MRV,76,A,RG,,"RG,BB",S70-79,AC1|MRV|MRV|S76|A|RG|BB,tp 4715.348,3.6927399999999944
2026-05-07 17:09:18,2026-05-07 17:09:29,2026-05,2026-05-07,17,sell,0.03,4718.878,4717.762,3.34,170.87,0.18333333333333332,tp,AC1,MRV,MRV,76,A,WG,,"WG,BB",S70-79,AC1|MRV|MRV|S76|A|WG|BB,tp 4717.763,3.3065200000000003
2026-05-07 17:55:40,2026-05-07 17:55:57,2026-05,2026-05-07,17,sell,0.03,4703.323,4703.792,-1.41,169.46,0.2833333333333333,manual/exit_loss,AC1,MRV,MRV,76,A,RG,,"RG,BB",S70-79,AC1|MRV|MRV|S76|A|RG|BB,,1.3959299999999983
2026-05-07 18:46:20,2026-05-07 18:46:42,2026-05,2026-05-07,18,buy,0.02,4707.226,4709.068,3.69,173.15,0.36666666666666664,tp,AC1,MRV,MRV,76,A,WG,,"WG,BB",S70-79,AC1|MRV|MRV|S76|A|WG|BB,tp 4709.066,3.653159999999989
2026-05-07 18:51:40,2026-05-07 18:52:02,2026-05,2026-05-07,18,buy,0.02,4702.444,4702.494,0.1,173.25,0.36666666666666664,sl,AC1,MRV,MRV,74,A,WG,,"WG,BB",S70-79,AC1|MRV|MRV|S74|A|WG|BB,sl 4702.494,0.09900000000001456
2026-05-07 20:00:33,2026-05-07 20:00:53,2026-05,2026-05-07,20,buy,0.03,4704.995,4706.242,3.74,176.99,0.3333333333333333,tp,AC1,MRV,MRV,74,A,WG,,"WG,BB",S70-79,AC1|MRV|MRV|S74|A|WG|BB,tp 4706.206,3.7025899999999914
2026-05-07 20:05:41,2026-05-07 20:05:47,2026-05,2026-05-07,20,sell,0.02,4713.683,4714.916,-2.46,174.53,0.1,manual/exit_loss,AC1,MRV,MRV,82,A,WG,,"WG,BB",S80-89,AC1|MRV|MRV|S82|A|WG|BB,,2.4353399999999965
2026-05-07 22:22:37,2026-05-07 22:23:32,2026-05,2026-05-07,22,sell,0.02,4697.127,4696.562,1.13,175.66,0.9166666666666666,sl,AC1,MRV,MRV,76,A,RG,,"RG,BB",S70-79,AC1|MRV|MRV|S76|A|RG|BB,sl 4696.550,1.1186999999999898
