entry_time,exit_time,entry_month,entry_date,entry_hour,side,volume,entry_price,exit_price,profit,balance,hold_minutes,exit_reason,family,engine,code,score,grade,regime_tag,hour_tag,tags,score_bucket,entry_comment,exit_comment,match_error
2025-01-01 23:10:31,2025-01-01 23:11:56,2025-01,2025-01-01,23,sell,0.01,2625.114,2624.999,0.11,29.11,1.4166666666666667,sl,AC1,MRV,MRV,74,A,WG,,"WG,BB",S70-79,AC1|MRV|MRV|S74|A|WG|BB,sl 2624.996,0.10884999999999763
2025-01-01 23:10:34,2025-01-01 23:11:56,2025-01,2025-01-01,23,sell,0.01,2625.114,2624.999,0.11,29.22,1.3666666666666667,sl,AC1,MRV,MRV,74,A,WG,,"WG,BB",S70-79,AC1|MRV|MRV|S74|A|WG|BB,sl 2624.996,0.10884999999999763
2025-01-01 23:21:39,2025-01-01 23:21:55,2025-01,2025-01-01,23,buy,0.01,2624.381,2624.161,-0.22,29.0,0.26666666666666666,manual/exit_loss,AC1,MRV,MRV,82,A,RG,,"RG,BB",S80-89,AC1|MRV|MRV|S82|A|RG|BB,,0.217800000000002
2025-01-01 23:21:36,2025-01-01 23:22:26,2025-01,2025-01-01,23,buy,0.01,2624.315,2624.084,-0.24,28.76,0.8333333333333334,manual/exit_loss,AC1,MRV,MRV,76,A,RG,,"RG,BB",S70-79,AC1|MRV|MRV|S76|A|RG|BB,,0.23768999999999776
2025-01-02 00:58:57,2025-01-02 00:59:16,2025-01,2025-01-02,0,buy,0.01,2626.276,2626.322,0.04,28.8,0.31666666666666665,sl,AC1,MRV,MRV,76,A,RG,,"RG,BB",S70-79,AC1|MRV|MRV|S76|A|RG|BB,sl 2626.326,0.03953999999999724
2025-01-02 01:48:28,2025-01-02 01:49:18,2025-01,2025-01-02,1,buy,0.01,2632.253,2632.586,0.05,28.85,0.8333333333333334,sl,AC1,MRV,MRV,82,A,RG,,"RG,BB",S80-89,AC1|MRV|MRV|S82|A|RG|BB,sl 2632.587,0.046670000000003715
2025-01-02 01:48:31,2025-01-02 01:49:26,2025-01,2025-01-02,1,buy,0.01,2632.364,2632.462,0.21,29.06,0.9166666666666666,sl,AC1,MRV,MRV,82,A,RG,,"RG,BB",S80-89,AC1|MRV|MRV|S82|A|RG|BB,sl 2632.470,0.20902000000000043
2025-01-02 01:48:40,2025-01-02 01:49:26,2025-01,2025-01-02,1,buy,0.01,2632.537,2632.462,0.1,29.16,0.7666666666666667,sl,AC1,MRV,MRV,82,A,RG,,"RG,BB",S80-89,AC1|MRV|MRV|S82|A|RG|BB,sl 2632.470,0.10074999999999819
2025-01-02 01:50:30,2025-01-02 01:51:20,2025-01,2025-01-02,1,buy,0.01,2632.365,2632.684,0.31,29.47,0.8333333333333334,sl,AC1,MRV,MRV,76,A,RG,,"RG,BB",S70-79,AC1|MRV|MRV|S76|A|RG|BB,sl 2632.694,0.30680999999999586
2025-01-02 01:50:33,2025-01-02 01:51:20,2025-01,2025-01-02,1,buy,0.01,2632.39,2632.684,0.29,29.76,0.7833333333333333,sl,AC1,MRV,MRV,76,A,RG,,"RG,BB",S70-79,AC1|MRV|MRV|S76|A|RG|BB,sl 2632.694,0.28705999999999676
2025-01-02 03:24:41,2025-01-02 03:25:00,2025-01,2025-01-02,3,sell,0.01,2634.103,2634.326,-0.23,29.53,0.31666666666666665,manual/exit_loss,AC1,MRV,MRV,82,A,WG,,"WG,BB",S80-89,AC1|MRV|MRV|S82|A|WG|BB,,0.22777000000000044
2025-01-02 03:24:38,2025-01-02 03:25:04,2025-01,2025-01-02,3,sell,0.01,2634.205,2634.437,-0.23,29.3,0.43333333333333335,manual/exit_loss,AC1,MRV,MRV,76,A,WG,,"WG,BB",S70-79,AC1|MRV|MRV|S76|A|WG|BB,,0.2276800000000003
2025-01-02 04:22:26,2025-01-02 04:23:56,2025-01,2025-01-02,4,buy,0.01,2632.425,2632.86,0.43,29.73,1.5,sl,AC1,MRV,MRV,82,A,WG,,"WG,BB",S80-89,AC1|MRV|MRV|S82|A|WG|BB,sl 2632.866,0.42565000000000053
2025-01-02 04:47:26,2025-01-02 04:47:39,2025-01,2025-01-02,4,buy,0.01,2632.013,2632.693,0.68,30.41,0.21666666666666667,tp,AC1,MRV,MRV,82,A,WG,,"WG,BB",S80-89,AC1|MRV|MRV|S82|A|WG|BB,tp 2632.661,0.6731999999999971
2025-01-02 05:48:40,2025-01-02 05:49:01,2025-01,2025-01-02,5,buy,0.01,2634.783,2634.56,-0.22,30.19,0.35,manual/exit_loss,AC1,MRV,MRV,82,A,RG,,"RG,BB",S80-89,AC1|MRV|MRV|S82|A|RG|BB,,0.21777000000000044
2025-01-02 05:48:37,2025-01-02 05:49:02,2025-01,2025-01-02,5,buy,0.01,2634.735,2634.51,-0.23,29.96,0.4166666666666667,manual/exit_loss,AC1,MRV,MRV,82,A,RG,,"RG,BB",S80-89,AC1|MRV|MRV|S82|A|RG|BB,,0.22775000000000092
2025-01-02 07:06:59,2025-01-02 07:07:26,2025-01,2025-01-02,7,sell,0.01,2634.323,2634.546,-0.23,29.73,0.45,manual/exit_loss,AC1,MRV,MRV,68,B,WG,,"WG,BB",S00-69,AC1|MRV|MRV|S68|B|WG|BB,,0.22777000000000044
2025-01-02 07:06:35,2025-01-02 07:07:34,2025-01,2025-01-02,7,sell,0.01,2634.421,2634.641,-0.22,29.51,0.9833333333333333,manual/exit_loss,AC1,MRV,MRV,68,B,WG,,"WG,BB",S00-69,AC1|MRV|MRV|S68|B|WG|BB,,0.21779999999999747
2025-01-02 07:56:26,2025-01-02 07:56:40,2025-01,2025-01-02,7,sell,0.01,2634.624,2634.593,0.03,29.54,0.23333333333333334,sl,AC1,MRV,MRV,74,A,WG,,"WG,BB",S70-79,AC1|MRV|MRV|S74|A|WG|BB,sl 2634.574,0.029690000000000508
2025-01-02 07:56:38,2025-01-02 07:56:44,2025-01,2025-01-02,7,sell,0.01,2634.38,2634.711,-0.33,29.21,0.1,manual/exit_loss,AC1,MRV,MRV,74,A,WG,,"WG,BB",S70-79,AC1|MRV|MRV|S74|A|WG|BB,,0.32669000000000326
2025-01-02 07:56:29,2025-01-02 07:56:54,2025-01,2025-01-02,7,sell,0.01,2634.549,2634.772,-0.22,28.99,0.4166666666666667,manual/exit_loss,AC1,MRV,MRV,74,A,WG,,"WG,BB",S70-79,AC1|MRV|MRV|S74|A|WG|BB,,0.21777000000000044
2025-01-02 09:29:27,2025-01-02 09:29:38,2025-01,2025-01-02,9,sell,0.01,2638.592,2637.935,0.65,29.64,0.18333333333333332,tp,AC1,MRV,MRV,68,B,WG,,"WG,BB",S00-69,AC1|MRV|MRV|S68|B|WG|BB,tp 2637.944,0.6434299999999985
2025-01-02 09:53:33,2025-01-02 09:54:20,2025-01,2025-01-02,9,buy,0.01,2637.017,2637.055,0.04,29.68,0.7833333333333333,sl,AC1,MRV,MRV,76,A,WG,,"WG,BB",S70-79,AC1|MRV|MRV|S76|A|WG|BB,sl 2637.067,0.03961999999999989
2025-01-02 09:59:13,2025-01-02 09:59:19,2025-01,2025-01-02,9,buy,0.01,2636.647,2636.375,-0.27,29.41,0.1,manual/exit_loss,AC1,MRV,MRV,82,A,WG,,"WG,BB",S80-89,AC1|MRV|MRV|S82|A|WG|BB,,0.2672800000000007
2025-01-02 10:46:39,2025-01-02 10:46:56,2025-01,2025-01-02,10,buy,0.01,2643.664,2643.445,-0.21,29.2,0.2833333333333333,manual/exit_loss,AC1,MRV,MRV,82,A,RG,,"RG,BB",S80-89,AC1|MRV|MRV|S82|A|RG|BB,,0.2078099999999995
2025-01-02 10:46:27,2025-01-02 10:46:58,2025-01,2025-01-02,10,buy,0.01,2643.377,2643.424,0.04,29.24,0.5166666666666667,sl,AC1,MRV,MRV,82,A,RG,,"RG,BB",S80-89,AC1|MRV|MRV|S82|A|RG|BB,sl 2643.427,0.039529999999999746
2025-01-02 10:46:30,2025-01-02 10:47:02,2025-01,2025-01-02,10,buy,0.01,2643.48,2643.256,-0.22,29.02,0.5333333333333333,manual/exit_loss,AC1,MRV,MRV,82,A,RG,,"RG,BB",S80-89,AC1|MRV|MRV|S82|A|RG|BB,,0.2177599999999984
2025-01-02 11:06:40,2025-01-02 11:06:58,2025-01,2025-01-02,11,sell,0.01,2643.743,2643.96,-0.22,28.8,0.3,manual/exit_loss,AC1,MRV,MRV,74,A,WG,,"WG,BB",S70-79,AC1|MRV|MRV|S74|A|WG|BB,,0.21782999999999902
2025-01-02 11:06:28,2025-01-02 11:07:19,2025-01,2025-01-02,11,sell,0.01,2644.029,2643.855,0.04,28.84,0.85,sl,AC1,MRV,MRV,74,A,WG,,"WG,BB",S70-79,AC1|MRV|MRV|S74|A|WG|BB,sl 2643.846,0.03826000000000022
2025-01-02 11:06:31,2025-01-02 11:07:19,2025-01,2025-01-02,11,sell,0.01,2643.896,2643.882,0.15,28.99,0.8,sl,AC1,MRV,MRV,74,A,WG,,"WG,BB",S70-79,AC1|MRV|MRV|S74|A|WG|BB,sl 2643.872,0.14985999999999874
2025-01-02 11:22:05,2025-01-02 11:22:19,2025-01,2025-01-02,11,buy,0.01,2642.92,2642.689,-0.23,28.76,0.23333333333333334,manual/exit_loss,AC1,MRV,MRV,82,A,RG,,"RG,BB",S80-89,AC1|MRV|MRV|S82|A|RG|BB,,0.22768999999999778
2025-01-02 11:22:02,2025-01-02 11:22:26,2025-01,2025-01-02,11,buy,0.01,2642.827,2642.589,-0.24,28.52,0.4,manual/exit_loss,AC1,MRV,MRV,82,A,RG,,"RG,BB",S80-89,AC1|MRV|MRV|S82|A|RG|BB,,0.23761999999999717
2025-01-02 12:01:04,2025-01-02 12:01:37,2025-01,2025-01-02,12,sell,0.01,2642.593,2641.94,0.65,29.17,0.55,tp,AC1,MRV,MRV,74,A,WG,,"WG,BB",S70-79,AC1|MRV|MRV|S74|A|WG|BB,tp 2641.945,0.6434700000000021
2025-01-02 12:01:07,2025-01-02 12:01:38,2025-01,2025-01-02,12,sell,0.01,2642.548,2641.895,0.65,29.82,0.5166666666666667,tp,AC1,MRV,MRV,74,A,WG,,"WG,BB",S70-79,AC1|MRV|MRV|S74|A|WG|BB,tp 2641.900,0.6434700000000021
2025-01-02 12:06:26,2025-01-02 12:07:01,2025-01,2025-01-02,12,buy,0.01,2641.233,2641.267,0.04,29.86,0.5833333333333334,sl,AC1,MRV,MRV,82,A,WG,,"WG,BB",S80-89,AC1|MRV|MRV|S82|A|WG|BB,sl 2641.283,0.03966000000000349
2025-01-02 12:06:29,2025-01-02 12:07:12,2025-01,2025-01-02,12,buy,0.01,2641.295,2641.07,-0.23,29.63,0.7166666666666667,manual/exit_loss,AC1,MRV,MRV,82,A,WG,,"WG,BB",S80-89,AC1|MRV|MRV|S82|A|WG|BB,,0.22775000000000092
2025-01-02 12:22:44,2025-01-02 12:23:26,2025-01,2025-01-02,12,sell,0.01,2641.436,2641.686,-0.25,29.38,0.7,manual/exit_loss,AC1,MRV,MRV,76,A,WG,,"WG,BB",S70-79,AC1|MRV|MRV|S76|A|WG|BB,,0.2475
2025-01-02 13:01:14,2025-01-02 13:01:20,2025-01,2025-01-02,13,buy,0.01,2642.897,2642.369,-0.53,28.85,0.1,manual/exit_loss,AC1,MRV,MRV,82,A,WG,,"WG,BB",S80-89,AC1|MRV|MRV|S82|A|WG|BB,,0.5247200000000021
2025-01-02 14:59:41,2025-01-02 14:59:47,2025-01,2025-01-02,14,buy,0.01,2647.9,2647.626,-0.27,28.58,0.1,manual/exit_loss,AC1,MRV,MRV,76,A,RG,,"RG,BB",S70-79,AC1|MRV|MRV|S76|A|RG|BB,,0.26726000000000116
2025-01-02 14:59:38,2025-01-02 14:59:55,2025-01,2025-01-02,14,buy,0.01,2647.817,2647.594,-0.23,28.35,0.2833333333333333,manual/exit_loss,AC1,MRV,MRV,76,A,RG,,"RG,BB",S70-79,AC1|MRV|MRV|S76|A|RG|BB,,0.22777000000000044
