entry_hour,trades,net,gross_profit,gross_loss,win_rate,profit_factor,avg,avg_win,avg_loss,largest_win,largest_loss,win_count,loss_count
22,205.0,953523.84,1304360.47,-350836.63,69.7560975609756,3.7178571405158007,4651.335804878048,9121.401888111888,-5658.655322580646,47560.0,-27100.0,143.0,62.0
4,500.0,1653302.05,2415543.9,-762241.85,68.60000000000001,3.168999314325237,3306.6041,7042.402040816326,-4855.043630573248,53360.0,-24400.0,343.0,157.0
19,465.0,1654513.14,2426838.6,-772325.46,67.95698924731182,3.1422486059180286,3558.0927741935484,7679.8689873417725,-5183.392348993289,52460.0,-28300.0,316.0,149.0
23,431.0,1771015.55,2583716.77,-812701.22,65.89327146171694,3.179171762532853,4109.084802784223,9097.59426056338,-5528.579727891156,53260.0,-72540.0,284.0,147.0
18,486.0,2006531.0,2902370.29,-895839.29,66.2551440329218,3.2398336648083386,4128.664609053498,9013.572329192546,-5462.434695121951,52800.0,-30340.0,322.0,164.0
8,509.0,2202786.29,3037763.46,-834977.17,73.47740667976424,3.638139543384162,4327.674440078586,8122.362192513369,-6185.016074074075,49580.0,-29960.0,374.0,135.0
3,468.0,2242057.44,2812913.33,-570855.89,71.58119658119658,4.927536667791936,4790.721025641025,8396.756208955225,-4292.14954887218,52660.0,-21540.0,335.0,133.0
0,466.0,2346606.54,3096178.35,-749571.81,68.88412017167383,4.130596039891095,5035.636351931331,9645.415420560748,-5169.46075862069,53820.0,-51340.0,321.0,145.0
9,554.0,2381751.2,3204055.43,-822304.23,73.6462093862816,3.8964355442997056,4299.189891696751,7853.077034313726,-5632.220753424657,49420.0,-33440.0,408.0,146.0
10,529.0,2511017.79,3281204.34,-770186.55,72.0226843100189,4.260272189899966,4746.72550094518,8612.084881889763,-5203.963175675676,52060.0,-28740.0,381.0,148.0
6,521.0,2620437.15,3596559.53,-976122.38,70.8253358925144,3.684537516699494,5029.6298464491365,9746.77379403794,-6421.857763157895,52160.0,-41220.0,369.0,152.0
16,438.0,2644101.92,3455458.53,-811356.61,71.91780821917808,4.258865321871229,6036.762374429223,10969.709619047619,-6596.395203252033,52340.0,-44740.0,315.0,123.0
12,532.0,2960371.48,3695526.66,-735155.18,76.12781954887218,5.0268661100912055,5564.608045112782,9124.757185185186,-5788.623464566929,52100.0,-35280.0,405.0,127.0
7,513.0,2964088.93,3667929.41,-703840.48,75.82846003898635,5.211307837821434,5777.951130604289,9429.124447300772,-5676.132903225806,52640.0,-30480.0,389.0,124.0
17,542.0,3288040.95,4016002.99,-727962.04,75.27675276752768,5.516775284051899,6066.496217712178,9843.144583333335,-5432.552537313433,52580.0,-33800.0,408.0,134.0
1,528.0,4151609.06,4826075.53,-674466.47,77.8409090909091,7.155397257924475,7862.895946969697,11742.276228710463,-5764.6706837606835,52400.0,-28400.0,411.0,117.0
15,542.0,4350921.5,5056859.81,-705938.31,80.81180811808119,7.163316876796216,8027.530442804428,11545.34203196347,-6787.868365384616,53380.0,-31680.0,438.0,104.0
13,588.0,4684622.61,5709986.69,-1025364.08,80.78231292517006,5.568740705252714,7967.045255102042,12021.024610526316,-9074.018407079646,52220.0,-58500.0,475.0,113.0
14,522.0,4948464.3,5776468.87,-828004.57,79.50191570881226,6.976373173882362,9479.816666666666,13919.202096385543,-7738.360467289719,53900.0,-40700.0,415.0,107.0
