entry_time,exit_time,entry_month,entry_date,entry_hour,side,volume,entry_price,exit_price,profit,balance,hold_minutes,exit_reason,family,engine,code,score,grade,regime_tag,hour_tag,tags,score_bucket,entry_comment,exit_comment,match_error
2026-02-09 23:09:15,2026-02-09 23:09:18,2026-02,2026-02-09,23,buy,200.0,5054.21,5050.583,-72540.0,34148435.74,0.05,sl,AC1,MRV,MRV,74,A,WG,,"WG,BB",S70-79,AC1|MRV|MRV|S74|A|WG|BB,sl 5050.610,71814.59999999992
2026-03-20 13:07:42,2026-03-20 13:07:48,2026-03,2026-03-20,13,buy,200.0,4667.094,4664.169,-58500.0,42889575.74,0.1,manual/exit_loss,AC1,MRV,MRV,82,A,WG,,"WG,BB",S80-89,AC1|MRV|MRV|S82|A|WG|BB,,57914.99999999996
2026-03-02 00:52:15,2026-03-02 00:52:21,2026-03,2026-03-02,0,buy,200.0,5360.516,5357.949,-51340.0,38552435.74,0.1,manual/exit_loss,AC1,MRV,MRV,82,A,WG,,"WG,BB",S80-89,AC1|MRV|MRV|S82|A|WG|BB,,50826.6
2026-03-27 16:31:16,2026-03-27 16:31:22,2026-03,2026-03-27,16,buy,200.0,4524.936,4522.699,-44740.0,44875595.74,0.1,manual/exit_loss,AC1,MRV,MRV,82,A,WG,,"WG,BB",S80-89,AC1|MRV|MRV|S82|A|WG|BB,,44292.599999999984
2025-10-20 13:36:42,2025-10-20 13:36:48,2025-10,2025-10-20,13,buy,200.0,4308.986,4306.76,-44520.0,15735755.74,0.1,manual/exit_loss,AC1,MRV,MRV,82,A,WG,,"WG,BB",S80-89,AC1|MRV|MRV|S82|A|WG|BB,,44074.80000000007
2026-01-29 13:11:14,2026-01-29 13:11:20,2026-01,2026-01-29,13,buy,200.0,5528.639,5526.452,-43740.0,32148035.74,0.1,manual/exit_loss,AC1,MRV,MRV,82,A,WG,,"WG,BB",S80-89,AC1|MRV|MRV|S82|A|WG|BB,,43302.60000000002
2026-03-24 06:45:15,2026-03-24 06:45:21,2026-03,2026-03-24,6,buy,200.0,4379.746,4377.685,-41220.0,43111635.74,0.1,manual/exit_loss,AC1,MRV,MRV,82,A,RG,,"RG,BB",S80-89,AC1|MRV|MRV|S82|A|RG|BB,,40807.80000000006
2026-02-06 14:22:15,2026-02-06 14:22:21,2026-02,2026-02-06,14,buy,200.0,4916.156,4914.121,-40700.0,33750975.74,0.1,manual/exit_loss,AC1,MRV,MRV,82,A,WG,,"WG,BB",S80-89,AC1|MRV|MRV|S82|A|WG|BB,,40293.00000000003
2026-03-10 13:47:39,2026-03-10 13:47:45,2026-03,2026-03-10,13,buy,200.0,5203.613,5201.662,-39020.0,41032635.74,0.1,manual/exit_loss,AC1,MRV,MRV,82,A,WG,,"WG,BB",S80-89,AC1|MRV|MRV|S82|A|WG|BB,,38629.799999999996
2026-04-07 13:36:41,2026-04-07 13:36:47,2026-04,2026-04-07,13,buy,200.0,4649.592,4647.657,-38700.0,47462855.74,0.1,manual/exit_loss,AC1,MRV,MRV,74,A,WG,,"WG,BB",S70-79,AC1|MRV|MRV|S74|A|WG|BB,,38313.0000000001
2026-02-06 06:25:42,2026-02-06 06:25:48,2026-02,2026-02-06,6,buy,200.0,4860.419,4858.63,-35780.0,33632495.74,0.1,manual/exit_loss,AC1,MRV,MRV,82,A,WG,,"WG,BB",S80-89,AC1|MRV|MRV|S82|A|WG|BB,,35422.20000000005
2026-02-06 12:22:14,2026-02-06 12:22:20,2026-02,2026-02-06,12,buy,200.0,4884.465,4882.701,-35280.0,33738995.74,0.1,manual/exit_loss,AC1,MRV,MRV,82,A,WG,,"WG,BB",S80-89,AC1|MRV|MRV|S82|A|WG|BB,,34927.199999999975
2026-02-23 17:13:41,2026-02-23 17:13:47,2026-02,2026-02-23,17,buy,200.0,5205.04,5203.35,-33800.0,37303095.74,0.1,manual/exit_loss,AC1,MRV,MRV,82,A,WG,,"WG,BB",S80-89,AC1|MRV|MRV|S82|A|WG|BB,,33462.00000000008
2026-03-16 09:45:15,2026-03-16 09:45:20,2026-03,2026-03-16,9,buy,200.0,4983.633,4981.961,-33440.0,41756815.74,0.08333333333333333,sl,AC1,MRV,MRV,74,A,WG,,"WG,BB",S70-79,AC1|MRV|MRV|S74|A|WG|BB,sl 4982.019,33105.600000000086
2026-03-03 23:03:05,2026-03-03 23:03:11,2026-03,2026-03-03,23,sell,200.0,5097.826,5099.453,-32540.0,39077315.74,0.1,manual/exit_loss,AC1,MRV,MRV,82,A,WG,,"WG,BB",S80-89,AC1|MRV|MRV|S82|A|WG|BB,,32214.59999999992
2026-02-03 06:11:13,2026-02-03 06:11:19,2026-02,2026-02-03,6,sell,200.0,4829.41,4831.03,-32400.0,32236835.74,0.1,manual/exit_loss,AC1,MRV,MRV,74,A,WG,,"WG,BB",S70-79,AC1|MRV|MRV|S74|A|WG|BB,,32076.000000000022
2025-10-16 16:38:15,2025-10-16 16:38:21,2025-10,2025-10-16,16,buy,200.0,4274.258,4272.642,-32320.0,15119895.74,0.1,manual/exit_loss,AC1,MRV,MRV,82,A,WG,,"WG,BB",S80-89,AC1|MRV|MRV|S82|A|WG|BB,,31996.800000000003
2026-02-23 15:35:15,2026-02-23 15:35:21,2026-02,2026-02-23,15,buy,200.0,5193.408,5191.824,-31680.0,37307395.74,0.1,manual/exit_loss,AC1,MRV,MRV,82,A,RG,,"RG,BB",S80-89,AC1|MRV|MRV|S82|A|RG|BB,,31363.19999999985
2025-10-24 07:37:16,2025-10-24 07:37:22,2025-10,2025-10-24,7,buy,200.0,4086.638,4085.114,-30480.0,17242655.74,0.1,manual/exit_loss,AC1,MRV,MRV,74,A,WG,,"WG,BB",S70-79,AC1|MRV|MRV|S74|A|WG|BB,,30175.200000000023
2026-03-18 18:06:16,2026-03-18 18:06:22,2026-03,2026-03-18,18,buy,200.0,4885.128,4883.611,-30340.0,42340155.74,0.1,manual/exit_loss,AC1,MRV,MRV,82,A,WG,,"WG,BB",S80-89,AC1|MRV|MRV|S82|A|WG|BB,,30036.600000000035
