entry_time,exit_time,entry_month,entry_date,entry_hour,side,volume,entry_price,exit_price,profit,balance,hold_minutes,exit_reason,family,engine,code,score,grade,regime_tag,hour_tag,tags,score_bucket,entry_comment,exit_comment,match_error
2026-05-07 13:52:40,2026-05-07 13:53:31,2026-05,2026-05-07,13,buy,200.0,4740.526,4742.477,39020.0,1675264.53,0.85,tp,AC1,MRV,MRV,82,A,WG,,"WG,BB",S80-89,AC1|MRV|MRV|S82|A|WG|BB,tp 4742.455,38629.799999999996
2026-05-07 18:46:20,2026-05-07 18:46:42,2026-05,2026-05-07,18,buy,200.0,4707.226,4709.068,36840.0,1779404.53,0.36666666666666664,tp,AC1,MRV,MRV,76,A,WG,,"WG,BB",S70-79,AC1|MRV|MRV|S76|A|WG|BB,tp 4709.066,36471.59999999989
2026-05-04 13:54:20,2026-05-04 13:54:38,2026-05,2026-05-04,13,buy,200.0,4560.244,4562.076,36640.0,1547224.53,0.3,tp,AC1,MRV,MRV,68,B,WG,,"WG,BB",S00-69,AC1|MRV|MRV|S68|B|WG|BB,tp 4562.060,36273.59999999993
2026-05-04 13:35:19,2026-05-04 13:35:38,2026-05,2026-05-04,13,sell,200.0,4569.756,4568.061,33900.0,1528844.53,0.31666666666666665,tp,AC1,MRV,MRV,76,A,WG,,"WG,BB",S70-79,AC1|MRV|MRV|S76|A|WG|BB,tp 4568.076,33560.999999999876
2026-04-29 15:57:26,2026-04-29 15:57:42,2026-04,2026-04-29,15,buy,198.24,4545.112,4546.803,33522.38,1310459.92,0.26666666666666666,tp,AC1,MRV,MRV,76,A,RG,,"RG,BB",S70-79,AC1|MRV|MRV|S76|A|RG|BB,tp 4546.782,33187.156160000035
2026-05-06 13:04:28,2026-05-06 13:04:31,2026-05,2026-05-06,13,sell,200.0,4687.537,4685.896,32820.0,1635684.53,0.05,tp,AC1,MRV,MRV,82,A,WG,,"WG,BB",S80-89,AC1|MRV|MRV|S82|A|WG|BB,tp 4685.950,32491.799999999894
2026-04-28 14:57:30,2026-04-28 14:58:04,2026-04,2026-04-28,14,sell,158.4,4568.014,4565.957,32582.88,1285397.54,0.5666666666666667,tp,AC1,MRV,MRV,76,A,RG,,"RG,BB",S70-79,AC1|MRV|MRV|S76|A|RG|BB,tp 4565.964,32257.051200000034
2026-04-28 14:33:37,2026-04-28 14:34:02,2026-04,2026-04-28,14,sell,200.0,4574.316,4572.731,31700.0,1252814.66,0.4166666666666667,tp,AC1,MRV,MRV,82,A,RG,,"RG,BB",S80-89,AC1|MRV|MRV|S82|A|RG|BB,tp 4572.749,31382.999999999993
2026-04-28 14:33:26,2026-04-28 14:33:37,2026-04,2026-04-28,14,sell,196.73,4576.196,4574.596,31476.8,1221114.66,0.18333333333333332,tp,AC1,MRV,MRV,76,A,RG,,"RG,BB",S70-79,AC1|MRV|MRV|S76|A|RG|BB,tp 4574.629,31162.031999999926
2026-04-29 18:02:19,2026-04-29 18:02:29,2026-04,2026-04-29,18,sell,200.0,4547.969,4546.47,29980.0,1358959.92,0.16666666666666666,tp,AC1,MRV,MRV,76,A,RG,,"RG,BB",S70-79,AC1|MRV|MRV|S76|A|RG|BB,tp 4546.478,29680.20000000004
2026-04-28 13:44:16,2026-04-28 13:45:02,2026-04,2026-04-28,13,sell,114.46,4584.148,4581.577,29427.67,1160229.62,0.7666666666666667,tp,AC1,MRV,MRV,82,A,WG,,"WG,BB",S80-89,AC1|MRV|MRV|S82|A|WG|BB,tp 4581.587,29133.39334000001
2026-04-28 13:44:19,2026-04-28 13:45:03,2026-04,2026-04-28,13,sell,114.34,4583.971,4581.399,29408.24,1189637.86,0.7333333333333333,tp,AC1,MRV,MRV,82,A,WG,,"WG,BB",S80-89,AC1|MRV|MRV|S82|A|WG|BB,tp 4581.410,29114.15752000009
2026-05-06 14:45:20,2026-05-06 14:45:30,2026-05,2026-05-06,14,sell,200.0,4712.441,4711.006,28700.0,1699064.53,0.16666666666666666,tp,AC1,MRV,MRV,74,A,WG,,"WG,BB",S70-79,AC1|MRV|MRV|S74|A|WG|BB,tp 4711.058,28413.000000000102
2026-04-28 13:38:32,2026-04-28 13:38:57,2026-04,2026-04-28,13,sell,123.21,4581.097,4578.775,28609.37,1130801.95,0.4166666666666667,tp,AC1,MRV,MRV,76,A,RG,,"RG,BB",S70-79,AC1|MRV|MRV|S76|A|RG|BB,tp 4578.778,28323.276379999985
2026-05-06 12:55:19,2026-05-06 12:55:40,2026-05,2026-05-06,12,buy,200.0,4677.888,4679.316,28560.0,1602864.53,0.35,tp,AC1,MRV,MRV,74,A,WG,,"WG,BB",S70-79,AC1|MRV|MRV|S74|A|WG|BB,tp 4679.311,28274.400000000023
2026-04-28 13:30:17,2026-04-28 13:30:27,2026-04,2026-04-28,13,sell,149.18,4581.279,4579.395,28105.51,1102192.58,0.16666666666666666,tp,AC1,MRV,MRV,82,A,RG,,"RG,BB",S80-89,AC1|MRV|MRV|S82|A|RG|BB,tp 4579.413,27824.454879999998
