start,end,count,pnl,buy_losses,sell_losses,engines
2026-01-28 05:20:00,2026-01-28 05:43:23,3,-8.54,3,0,IMP:3
2026-01-21 05:19:00,2026-01-21 05:54:25,3,-8.34,3,0,IMP:3
2025-07-15 05:25:01,2025-07-15 05:49:59,4,-8.24,4,0,IMP:4
2025-09-24 05:22:00,2025-09-24 05:56:08,6,-7.83,6,0,IMP:6
2025-06-24 05:06:00,2025-06-24 05:48:27,4,-7.27,0,4,IMP:4
2025-09-30 05:19:00,2025-09-30 06:04:36,4,-6.33,4,0,IMP:4
2025-03-28 05:08:00,2025-03-28 05:58:19,4,-6.279999999999999,4,0,IMP:4
2025-11-04 05:02:00,2025-11-04 05:24:48,3,-6.1899999999999995,0,3,IMP:3
2025-09-01 05:21:00,2025-09-01 05:50:35,3,-6.17,3,0,IMP:3
2026-01-19 05:03:00,2026-01-19 05:59:00,4,-5.949999999999999,4,0,IMP:4
2025-07-09 05:04:00,2025-07-09 05:55:06,4,-5.88,0,4,IMP:4
2026-03-23 05:25:00,2026-03-23 05:53:20,3,-5.85,0,3,IMP:3
2025-10-06 05:01:00,2025-10-06 05:10:46,3,-5.76,3,0,IMP:3
2025-04-21 05:31:00,2025-04-21 06:01:29,4,-5.54,4,0,IMP:4
2025-12-09 05:07:00,2025-12-09 05:43:20,4,-5.49,0,4,IMP:4
2025-09-10 05:10:00,2025-09-10 05:59:39,3,-5.32,3,0,IMP:3
2025-10-09 05:18:00,2025-10-09 06:00:27,3,-5.27,3,0,IMP:3
2025-04-16 05:07:00,2025-04-16 05:55:14,3,-5.16,3,0,IMP:3
2025-09-22 05:34:00,2025-09-22 05:51:55,4,-5.13,4,0,IMP:4
2025-07-25 05:12:00,2025-07-25 05:38:42,3,-5.03,0,3,IMP:3
2025-01-10 05:27:00,2025-01-10 06:00:14,3,-4.86,3,0,IMP:3
2025-02-14 05:16:00,2025-02-14 05:57:37,3,-4.75,3,0,IMP:3
2025-09-09 05:08:00,2025-09-09 05:51:57,3,-4.67,3,0,IMP:3
2025-09-25 05:13:01,2025-09-25 05:27:50,3,-3.3499999999999996,0,3,IMP:3
