entry_time,exit_time,entry_month,entry_date,entry_hour,side,volume,entry_price,exit_price,profit,balance,hold_minutes,exit_reason,family,engine,code,score,grade,regime_tag,hour_tag,tags,score_bucket,entry_comment,exit_comment,match_error
2026-02-05 05:00:00,2026-02-05 05:00:15,2026-02,2026-02-05,5,sell,0.01,4862.871,4866.613,-3.74,74.96,0.25,sl,AC1,IMP,IMP,98,A,,,BEAR,S90-99,AC1|IMP|S98|A|BEAR,sl 4866.395,3.7025799999999984
2026-02-04 05:42:00,2026-02-04 05:44:13,2026-02,2026-02-04,5,buy,0.01,5085.909,5082.376,-3.53,78.7,2.216666666666667,sl,AC1,IMP,IMP,93,A,,,BULL,S90-99,AC1|IMP|S93|A|BULL,sl 5082.532,3.4946700000000055
2026-03-13 05:54:00,2026-03-13 05:57:30,2026-03,2026-03-13,5,sell,0.01,5099.25,5102.433,-3.18,105.87,3.5,sl,AC1,IMP,IMP,86,A,,,BEAR,S80-89,AC1|IMP|S86|A|BEAR,sl 5102.050,3.1481700000000004
2026-03-23 05:25:00,2026-03-23 05:25:52,2026-03,2026-03-23,5,sell,0.01,4354.595,4357.665,-3.07,104.28,0.8666666666666667,sl,AC1,IMP,IMP,98,A,,,BEAR,S90-99,AC1|IMP|S98|A|BEAR,sl 4357.464,3.0393000000000026
2026-03-16 05:32:00,2026-03-16 05:32:27,2026-03,2026-03-16,5,sell,0.01,5004.998,5008.016,-3.02,103.12,0.45,sl,AC1,IMP,IMP,93,A,,,BEAR,S90-99,AC1|IMP|S93|A|BEAR,sl 5007.927,2.98982
2026-01-21 05:35:00,2026-01-21 05:40:05,2026-01,2026-01-21,5,buy,0.01,4876.413,4873.417,-2.99,86.12,5.083333333333333,sl,AC1,IMP,IMP,93,A,,,BULL,S90-99,AC1|IMP|S93|A|BULL,sl 4873.420,2.960040000000008
2026-03-30 05:46:00,2026-03-30 05:46:28,2026-03,2026-03-30,5,buy,0.01,4513.491,4510.578,-2.91,107.24,0.4666666666666667,sl,AC1,IMP,IMP,93,A,,,BULL,S90-99,AC1|IMP|S93|A|BULL,sl 4510.624,2.8808700000000047
2026-01-28 05:42:00,2026-01-28 05:43:23,2026-01,2026-01-28,5,buy,0.01,5266.27,5263.367,-2.9,86.47,1.3833333333333333,sl,AC1,IMP,IMP,98,A,,,BULL,S90-99,AC1|IMP|S98|A|BULL,sl 5263.387,2.8709699999999976
2025-12-31 05:36:00,2025-12-31 05:36:17,2025-12,2025-12-31,5,sell,0.01,4330.72,4333.591,-2.87,85.8,0.2833333333333333,sl,AC1,IMP,IMP,98,A,,,BEAR,S90-99,AC1|IMP|S98|A|BEAR,sl 4333.583,2.841289999999999
2025-10-28 05:32:00,2025-10-28 05:33:06,2025-10,2025-10-28,5,sell,0.01,3964.871,3967.725,-2.86,84.09,1.1,sl,AC1,IMP,IMP,86,A,,,BEAR,S80-89,AC1|IMP|S86|A|BEAR,sl 3967.709,2.8314600000000016
2026-03-02 05:42:00,2026-03-02 05:42:06,2026-03,2026-03-02,5,buy,0.01,5360.39,5357.544,-2.85,100.54,0.1,sl,AC1,IMP,IMP,98,A,,,BULL,S90-99,AC1|IMP|S98|A|BULL,sl 5357.590,2.8215399999999957
2025-10-15 05:43:00,2025-10-15 05:44:25,2025-10,2025-10-15,5,buy,0.01,4192.007,4189.165,-2.84,81.12,1.4166666666666667,sl,AC1,IMP,IMP,98,A,,,BULL,S90-99,AC1|IMP|S98|A|BULL,sl 4189.207,2.8115800000000033
2026-01-28 05:24:00,2026-01-28 05:24:57,2026-01,2026-01-28,5,buy,0.01,5259.826,5256.995,-2.83,89.37,0.95,sl,AC1,IMP,IMP,98,A,,,BULL,S90-99,AC1|IMP|S98|A|BULL,sl 5256.997,2.801689999999999
2026-03-19 05:57:00,2026-03-19 05:57:44,2026-03,2026-03-19,5,sell,0.01,4828.895,4831.73,-2.83,104.62,0.7333333333333333,sl,AC1,IMP,IMP,98,A,,,BEAR,S90-99,AC1|IMP|S98|A|BEAR,sl 4831.695,2.801650000000009
2025-12-22 05:51:00,2025-12-22 05:53:03,2025-12,2025-12-22,5,buy,0.01,4406.159,4403.342,-2.82,89.77,2.05,sl,AC1,IMP,IMP,91,A,,,BULL,S90-99,AC1|IMP|S91|A|BULL,sl 4403.359,2.7918299999999996
2026-01-21 05:47:00,2026-01-21 05:54:25,2026-01,2026-01-21,5,buy,0.01,4875.853,4873.029,-2.82,83.3,7.416666666666667,sl,AC1,IMP,IMP,93,A,,,BULL,S90-99,AC1|IMP|S93|A|BULL,sl 4873.053,2.7917600000000036
2026-03-31 05:49:00,2026-03-31 05:53:10,2026-03,2026-03-31,5,buy,0.01,4580.355,4577.535,-2.82,106.97,4.166666666666667,sl,AC1,IMP,IMP,91,A,,,BULL,S90-99,AC1|IMP|S91|A|BULL,sl 4577.555,2.791800000000003
2025-11-28 05:21:01,2025-11-28 05:23:42,2025-11,2025-11-28,5,buy,0.01,4186.545,4183.743,-2.81,81.73,2.683333333333333,sl,AC1,CBK,CBK,92,A,WG,,WG,S90-99,AC1|CBK|S92|A|WG,sl 4183.745,2.7819800000000035
2026-01-28 05:20:00,2026-01-28 05:21:33,2026-01,2026-01-28,5,buy,0.01,5257.835,5255.03,-2.81,92.2,1.55,sl,AC1,IMP,IMP,98,A,,,BULL,S90-99,AC1|IMP|S98|A|BULL,sl 5255.036,2.781949999999997
2026-01-29 05:40:00,2026-01-29 05:40:20,2026-01,2026-01-29,5,buy,0.01,5554.072,5551.271,-2.8,83.67,0.3333333333333333,sl,AC1,IMP,IMP,98,A,,,BULL,S90-99,AC1|IMP|S98|A|BULL,sl 5551.293,2.771989999999996
2026-03-02 05:34:00,2026-03-02 05:35:12,2026-03,2026-03-02,5,buy,0.01,5357.05,5354.25,-2.8,103.39,1.2,sl,AC1,IMP,IMP,93,A,,,BULL,S90-99,AC1|IMP|S93|A|BULL,sl 5354.250,2.771999999999998
2026-01-27 05:51:00,2026-01-27 05:52:18,2026-01,2026-01-27,5,buy,0.01,5083.729,5080.944,-2.79,87.04,1.3,sl,AC1,IMP,IMP,98,A,,,BULL,S90-99,AC1|IMP|S98|A|BULL,sl 5080.953,2.7621500000000014
2026-03-23 05:53:00,2026-03-23 05:53:20,2026-03,2026-03-23,5,sell,0.01,4307.26,4310.034,-2.77,101.5,0.3333333333333333,sl,AC1,IMP,IMP,98,A,,,BEAR,S90-99,AC1|IMP|S98|A|BEAR,sl 4310.026,2.7422600000000057
