entry_time,exit_time,entry_month,entry_date,entry_hour,side,volume,entry_price,exit_price,profit,balance,hold_minutes,exit_reason,family,engine,code,score,grade,regime_tag,hour_tag,tags,score_bucket,entry_comment,exit_comment,match_error
2026-03-30 05:18:00,2026-03-30 05:18:15,2026-03,2026-03-30,5,buy,0.01,4508.716,4511.713,2.99,110.15,0.25,tp,AC1,IMP,IMP,79,B,,,BULL,S70-79,AC1|IMP|S79|B|BULL,tp 4511.498,2.9600300000000064
2026-02-26 05:25:01,2026-02-26 05:25:30,2026-02,2026-02-26,5,buy,0.01,5202.87,5205.838,2.97,99.33,0.48333333333333334,tp,AC1,IMP,IMP,79,B,,,BULL,S70-79,AC1|IMP|S79|B|BULL,tp 5204.949,2.9403200000000016
2026-04-08 05:47:00,2026-04-08 05:49:05,2026-04,2026-04-08,5,buy,0.01,4825.667,4828.631,2.96,113.18,2.0833333333333335,tp,AC1,IMP,IMP,91,A,,,BULL,S90-99,AC1|IMP|S91|A|BULL,tp 4828.392,2.9303600000000007
2026-03-24 05:31:00,2026-03-24 05:31:04,2026-03,2026-03-24,5,sell,0.01,4325.567,4322.668,2.9,107.16,0.06666666666666667,tp,AC1,IMP,IMP,98,A,,,BEAR,S90-99,AC1|IMP|S98|A|BEAR,tp 4322.711,2.8710099999999965
2026-04-08 05:48:00,2026-04-08 05:49:22,2026-04,2026-04-08,5,buy,0.01,4827.139,4829.986,2.85,116.03,1.3666666666666667,tp,AC1,IMP,IMP,98,A,,,BULL,S90-99,AC1|IMP|S98|A|BULL,tp 4829.862,2.8215300000000028
2026-03-02 05:39:00,2026-03-02 05:43:13,2026-03,2026-03-02,5,buy,0.01,5359.309,5362.082,2.77,103.31,4.216666666666667,tp,AC1,IMP,IMP,86,A,,,BULL,S80-89,AC1|IMP|S86|A|BULL,tp 5361.969,2.7422699999999987
2026-01-21 05:34:00,2026-01-21 05:34:29,2026-01,2026-01-21,5,buy,0.01,4872.011,4874.75,2.74,89.11,0.48333333333333334,tp,AC1,IMP,IMP,93,A,,,BULL,S90-99,AC1|IMP|S93|A|BULL,tp 4874.671,2.7126100000000046
2026-03-24 05:05:00,2026-03-24 05:05:07,2026-03,2026-03-24,5,sell,0.01,4327.853,4325.126,2.72,104.26,0.11666666666666667,tp,AC1,IMP,IMP,98,A,,,BEAR,S90-99,AC1|IMP|S98|A|BEAR,tp 4325.454,2.6927300000000014
2025-12-04 05:52:00,2025-12-04 05:53:06,2025-12,2025-12-04,5,sell,0.01,4178.905,4176.202,2.71,89.32,1.1,tp,AC1,IMP,IMP,79,B,,,BEAR,S70-79,AC1|IMP|S79|B|BEAR,tp 4176.245,2.682970000000005
2026-03-19 05:56:00,2026-03-19 05:56:29,2026-03,2026-03-19,5,sell,0.01,4832.432,4829.723,2.71,107.45,0.48333333333333334,tp,AC1,IMP,IMP,98,A,,,BEAR,S90-99,AC1|IMP|S98|A|BEAR,tp 4829.772,2.6829100000000015
