entry_time,exit_time,entry_month,entry_date,entry_hour,side,volume,entry_price,exit_price,profit,balance,hold_minutes,exit_reason,family,engine,code,score,grade,regime_tag,hour_tag,tags,score_bucket,entry_comment,exit_comment,match_error
2025-01-02 05:11:00,2025-01-02 05:13:15,2025-01,2025-01-02,5,buy,0.02,2633.972,2633.158,-1.62,98.38,2.25,sl,AC1,IMP,IMP,91,A,,,BULL,S90-99,AC1|IMP|S91|A|BULL,sl 2633.172,1.603719999999994
2025-01-02 05:19:00,2025-01-02 05:29:29,2025-01,2025-01-02,5,buy,0.02,2634.332,2635.093,1.53,99.91,10.483333333333333,tp,AC1,IMP,IMP,93,A,,,BULL,S90-99,AC1|IMP|S93|A|BULL,tp 2635.092,1.5147800000000007
2025-01-02 05:26:00,2025-01-02 05:29:41,2025-01,2025-01-02,5,buy,0.01,2634.544,2635.316,0.78,100.69,3.683333333333333,tp,AC1,IMP,IMP,74,B,,,BULL,S70-79,AC1|IMP|S74|B|BULL,tp 2635.304,0.7722800000000006
2025-01-02 05:41:00,2025-01-02 05:44:04,2025-01,2025-01-02,5,buy,0.02,2636.335,2635.527,-1.62,99.07,3.066666666666667,sl,AC1,IMP,IMP,98,A,,,BULL,S90-99,AC1|IMP|S98|A|BULL,sl 2635.535,1.6038400000000002
2025-01-10 05:27:00,2025-01-10 05:34:00,2025-01,2025-01-10,5,buy,0.02,2673.961,2673.161,-1.6,97.47,7.0,sl,AC1,IMP,IMP,93,A,,,BULL,S90-99,AC1|IMP|S93|A|BULL,sl 2673.161,1.5840000000000056
2025-01-10 05:38:00,2025-01-10 05:42:42,2025-01,2025-01-10,5,buy,0.02,2674.614,2675.391,1.55,99.02,4.7,tp,AC1,IMP,IMP,93,A,,,BULL,S90-99,AC1|IMP|S93|A|BULL,tp 2675.374,1.5344599999999993
2025-01-10 05:40:00,2025-01-10 05:44:02,2025-01,2025-01-10,5,buy,0.01,2674.768,2675.563,0.79,99.81,4.033333333333333,tp,AC1,IMP,IMP,79,B,,,BULL,S70-79,AC1|IMP|S79|B|BULL,tp 2675.528,0.7820499999999994
2025-01-10 05:43:00,2025-01-10 05:48:37,2025-01,2025-01-10,5,buy,0.02,2675.428,2674.611,-1.64,98.17,5.616666666666666,sl,AC1,IMP,IMP,86,A,,,BULL,S80-89,AC1|IMP|S86|A|BULL,sl 2674.628,1.6236599999999997
2025-01-10 05:59:00,2025-01-10 06:00:14,2025-01,2025-01-10,5,buy,0.02,2675.492,2674.68,-1.62,96.55,1.2333333333333334,sl,AC1,IMP,IMP,98,A,,,BULL,S90-99,AC1|IMP|S98|A|BULL,sl 2674.692,1.603759999999993
2025-01-15 05:01:00,2025-01-15 05:10:13,2025-01,2025-01-15,5,buy,0.02,2675.996,2675.18,-1.63,94.92,9.216666666666667,sl,AC1,IMP,IMP,86,A,,,BULL,S80-89,AC1|IMP|S86|A|BULL,sl 2675.196,1.6136799999999947
2025-01-15 05:33:00,2025-01-15 05:37:18,2025-01,2025-01-15,5,buy,0.02,2675.96,2676.755,1.59,96.51,4.3,tp,AC1,IMP,IMP,93,A,,,BULL,S90-99,AC1|IMP|S93|A|BULL,tp 2676.720,1.5740999999999987
2025-01-15 05:36:00,2025-01-15 05:37:27,2025-01,2025-01-15,5,buy,0.01,2676.301,2677.074,0.77,97.28,1.45,tp,AC1,IMP,IMP,79,B,,,BULL,S70-79,AC1|IMP|S79|B|BULL,tp 2677.061,0.7622699999999987
2025-01-15 05:46:00,2025-01-15 05:50:28,2025-01,2025-01-15,5,buy,0.02,2678.149,2678.351,0.4,97.68,4.466666666666667,sl,AC1,IMP,IMP,98,A,,,BULL,S90-99,AC1|IMP|S98|A|BULL,sl 2678.378,0.39595999999999554
2025-01-15 05:47:00,2025-01-15 05:56:36,2025-01,2025-01-15,5,buy,0.01,2678.431,2678.812,0.38,98.06,9.6,sl,AC1,IMP,IMP,79,B,,,BULL,S70-79,AC1|IMP|S79|B|BULL,sl 2678.815,0.3761900000000014
2025-01-15 05:56:00,2025-01-15 06:00:14,2025-01,2025-01-15,5,buy,0.02,2679.061,2679.826,1.53,99.59,4.233333333333333,tp,AC1,IMP,IMP,98,A,,,BULL,S90-99,AC1|IMP|S98|A|BULL,tp 2679.821,1.5147000000000026
2025-01-20 05:23:00,2025-01-20 05:28:21,2025-01,2025-01-20,5,buy,0.01,2706.236,2705.42,-0.82,98.77,5.35,sl,AC1,IMP,IMP,81,B,,,BULL,S80-89,AC1|IMP|S81|B|BULL,sl 2705.436,0.8118400000000019
2025-01-20 05:22:00,2025-01-20 05:30:20,2025-01,2025-01-20,5,buy,0.02,2706.011,2706.395,0.77,99.54,8.333333333333334,sl,AC1,IMP,IMP,93,A,,,BULL,S90-99,AC1|IMP|S93|A|BULL,sl 2706.405,0.7623199999999998
2025-01-20 05:58:00,2025-01-20 06:02:38,2025-01,2025-01-20,5,buy,0.01,2706.951,2707.967,1.02,100.56,4.633333333333334,tp,AC1,IMP,IMP,93,A,,,BULL,S90-99,AC1|IMP|S93|A|BULL,tp 2707.965,1.0098399999999992
2025-01-21 05:02:00,2025-01-21 05:04:37,2025-01,2025-01-21,5,buy,0.02,2728.052,2728.828,1.56,102.12,2.6166666666666667,tp,AC1,IMP,IMP,86,A,,,BULL,S80-89,AC1|IMP|S86|A|BULL,tp 2728.812,1.5444800000000032
2025-01-22 05:24:00,2025-01-22 05:28:35,2025-01,2025-01-22,5,buy,0.02,2752.683,2753.454,1.54,103.66,4.583333333333333,tp,AC1,IMP,IMP,86,A,,,BULL,S80-89,AC1|IMP|S86|A|BULL,tp 2753.443,1.5245799999999963
2025-01-22 05:28:00,2025-01-22 05:29:37,2025-01,2025-01-22,5,buy,0.02,2753.204,2753.969,1.53,105.19,1.6166666666666667,tp,AC1,IMP,IMP,93,A,,,BULL,S90-99,AC1|IMP|S93|A|BULL,tp 2753.964,1.5147000000000026
2025-01-22 05:36:00,2025-01-22 05:38:54,2025-01,2025-01-22,5,buy,0.02,2754.422,2755.191,1.54,106.73,2.9,tp,AC1,IMP,IMP,98,A,,,BULL,S90-99,AC1|IMP|S98|A|BULL,tp 2755.182,1.5246200000000045
2025-01-22 05:50:00,2025-01-22 05:52:40,2025-01,2025-01-22,5,buy,0.02,2756.485,2757.259,1.55,108.28,2.6666666666666665,tp,AC1,IMP,IMP,98,A,,,BULL,S90-99,AC1|IMP|S98|A|BULL,tp 2757.245,1.5345200000000023
2025-01-23 05:41:00,2025-01-23 05:42:41,2025-01,2025-01-23,5,buy,0.01,2753.222,2752.411,-0.81,107.47,1.6833333333333333,sl,AC1,CBK,CBK,81,B,WG,,WG,S80-89,AC1|CBK|S81|B|WG,sl 2752.422,0.8018899999999985
2025-01-24 05:05:00,2025-01-24 05:07:29,2025-01,2025-01-24,5,buy,0.02,2773.718,2773.874,0.31,107.78,2.4833333333333334,sl,AC1,IMP,IMP,93,A,,,BULL,S90-99,AC1|IMP|S93|A|BULL,sl 2773.874,0.30688000000000104
2025-01-24 05:34:00,2025-01-24 05:35:19,2025-01,2025-01-24,5,buy,0.02,2775.461,2775.643,0.37,108.15,1.3166666666666667,sl,AC1,IMP,IMP,86,A,,,BULL,S80-89,AC1|IMP|S86|A|BULL,sl 2775.653,0.36635999999999513
2025-01-24 05:44:00,2025-01-24 05:45:29,2025-01,2025-01-24,5,buy,0.01,2776.732,2775.506,-1.22,106.93,1.4833333333333334,sl,AC1,IMP,IMP,98,A,,,BULL,S90-99,AC1|IMP|S98|A|BULL,sl 2775.522,1.207739999999999
2025-01-24 05:59:00,2025-01-24 06:00:18,2025-01,2025-01-24,5,buy,0.02,2776.024,2775.14,-1.77,105.16,1.3,sl,AC1,IMP,IMP,93,A,,,BULL,S90-99,AC1|IMP|S93|A|BULL,sl 2775.150,1.7523199999999997
2025-02-10 05:08:00,2025-02-10 05:09:27,2025-02,2025-02-10,5,buy,0.02,2880.015,2879.198,-1.63,103.53,1.45,sl,AC1,IMP,IMP,93,A,,,BULL,S90-99,AC1|IMP|S93|A|BULL,sl 2879.215,1.6136599999999997
2025-02-13 05:10:00,2025-02-13 05:12:00,2025-02,2025-02-13,5,buy,0.02,2919.522,2919.842,0.64,104.17,2.0,sl,AC1,IMP,IMP,98,A,,,BULL,S90-99,AC1|IMP|S98|A|BULL,sl 2919.875,0.6335999999999967
2025-02-14 05:15:00,2025-02-14 05:16:28,2025-02,2025-02-14,5,buy,0.02,2928.815,2929.019,0.41,104.58,1.4666666666666666,sl,AC1,IMP,IMP,93,A,,,BULL,S90-99,AC1|IMP|S93|A|BULL,sl 2929.028,0.4059200000000055
2025-02-14 05:16:00,2025-02-14 05:18:27,2025-02,2025-02-14,5,buy,0.02,2929.202,2928.4,-1.6,102.98,2.45,sl,AC1,IMP,IMP,93,A,,,BULL,S90-99,AC1|IMP|S93|A|BULL,sl 2928.402,1.5839599999999974
2025-02-14 05:46:00,2025-02-14 05:48:03,2025-02,2025-02-14,5,buy,0.01,2930.621,2929.509,-1.11,101.87,2.05,sl,AC1,IMP,IMP,93,A,,,BULL,S90-99,AC1|IMP|S93|A|BULL,sl 2929.517,1.0988799999999992
2025-02-14 05:51:00,2025-02-14 05:51:37,2025-02,2025-02-14,5,buy,0.01,2931.317,2932.305,0.99,102.86,0.6166666666666667,tp,AC1,IMP,IMP,93,A,,,BULL,S90-99,AC1|IMP|S93|A|BULL,tp 2932.301,0.9801200000000017
2025-02-14 05:52:00,2025-02-14 05:57:37,2025-02,2025-02-14,5,buy,0.02,2932.04,2931.02,-2.04,100.82,5.616666666666666,sl,AC1,IMP,IMP,93,A,,,BULL,S90-99,AC1|IMP|S93|A|BULL,sl 2931.028,2.0196000000000005
2025-02-19 05:55:00,2025-02-19 05:55:15,2025-02,2025-02-19,5,buy,0.02,2933.381,2934.461,2.16,102.98,0.25,tp,AC1,CBK,CBK,92,A,WG,,WG,S90-99,AC1|CBK|S92|A|WG,tp 2934.461,2.1384000000000016
2025-02-20 05:04:00,2025-02-20 05:05:03,2025-02,2025-02-20,5,buy,0.02,2941.91,2942.679,1.54,104.52,1.05,tp,AC1,IMP,IMP,93,A,,,BULL,S90-99,AC1|IMP|S93|A|BULL,tp 2942.670,1.5246199999999954
2025-02-20 05:05:00,2025-02-20 05:10:04,2025-02,2025-02-20,5,buy,0.02,2942.644,2942.777,0.26,104.78,5.066666666666666,sl,AC1,IMP,IMP,93,A,,,BULL,S90-99,AC1|IMP|S93|A|BULL,sl 2942.778,0.2573399999999947
2025-02-20 05:08:00,2025-02-20 05:16:34,2025-02,2025-02-20,5,buy,0.02,2943.006,2943.775,1.54,106.32,8.566666666666666,tp,AC1,IMP,IMP,91,A,,,BULL,S90-99,AC1|IMP|S91|A|BULL,tp 2943.766,1.5246199999999954
2025-02-20 05:20:00,2025-02-20 05:20:37,2025-02,2025-02-20,5,buy,0.02,2944.028,2944.817,1.57,107.89,0.6166666666666667,tp,AC1,IMP,IMP,91,A,,,BULL,S90-99,AC1|IMP|S91|A|BULL,tp 2944.788,1.5542199999999957
2025-02-20 05:50:00,2025-02-20 05:55:16,2025-02,2025-02-20,5,buy,0.01,2945.059,2945.824,0.76,108.65,5.266666666666667,tp,AC1,IMP,IMP,81,B,,,BULL,S80-89,AC1|IMP|S81|B|BULL,tp 2945.819,0.7523500000000013
2025-02-21 05:29:00,2025-02-21 05:29:29,2025-02,2025-02-21,5,buy,0.02,2928.511,2927.635,-1.75,106.9,0.48333333333333334,sl,AC1,CBK,CBK,87,A,WG,,WG,S80-89,AC1|CBK|S87|A|WG,sl 2927.639,1.7324800000000051
2025-02-24 05:15:00,2025-02-24 05:16:26,2025-02,2025-02-24,5,buy,0.02,2941.097,2941.253,0.32,107.22,1.4333333333333333,sl,AC1,IMP,IMP,86,A,,,BULL,S80-89,AC1|IMP|S86|A|BULL,sl 2941.257,0.31688000000000105
2025-02-24 05:16:00,2025-02-24 05:16:37,2025-02,2025-02-24,5,buy,0.02,2941.715,2940.899,-1.63,105.59,0.6166666666666667,sl,AC1,IMP,IMP,93,A,,,BULL,S90-99,AC1|IMP|S93|A|BULL,sl 2940.915,1.6136799999999947
2025-02-24 05:19:00,2025-02-24 05:22:36,2025-02,2025-02-24,5,buy,0.02,2941.736,2940.936,-1.6,103.99,3.6,sl,AC1,IMP,IMP,91,A,,,BULL,S90-99,AC1|IMP|S91|A|BULL,sl 2940.936,1.5840000000000056
2025-02-26 05:41:00,2025-02-26 05:44:39,2025-02,2025-02-26,5,sell,0.02,2915.523,2916.498,-1.95,102.04,3.65,sl,AC1,IMP,IMP,98,A,,,BEAR,S90-99,AC1|IMP|S98|A|BEAR,sl 2916.478,1.9305000000000019
2025-02-27 05:02:00,2025-02-27 05:03:29,2025-02,2025-02-27,5,sell,0.01,2895.667,2894.599,1.07,103.11,1.4833333333333334,tp,AC1,IMP,IMP,98,A,,,BEAR,S90-99,AC1|IMP|S98|A|BEAR,tp 2894.613,1.0593200000000025
2025-02-27 05:17:00,2025-02-27 05:17:40,2025-02,2025-02-27,5,sell,0.01,2894.677,2893.482,1.2,104.31,0.6666666666666666,tp,AC1,IMP,IMP,91,A,,,BEAR,S90-99,AC1|IMP|S91|A|BEAR,tp 2893.504,1.1880499999999983
2025-02-27 05:18:00,2025-02-27 05:19:19,2025-02,2025-02-27,5,sell,0.01,2893.587,2892.44,1.15,105.46,1.3166666666666667,tp,AC1,IMP,IMP,98,A,,,BEAR,S90-99,AC1|IMP|S98|A|BEAR,tp 2892.449,1.1385300000000005
2025-02-27 05:19:00,2025-02-27 05:19:41,2025-02,2025-02-27,5,sell,0.01,2892.495,2891.444,1.06,106.52,0.6833333333333333,tp,AC1,IMP,IMP,98,A,,,BEAR,S90-99,AC1|IMP|S98|A|BEAR,tp 2891.446,1.0494900000000007
2025-02-27 05:37:00,2025-02-27 05:38:39,2025-02,2025-02-27,5,sell,0.01,2890.51,2889.063,1.45,107.97,1.65,tp,AC1,IMP,IMP,98,A,,,BEAR,S90-99,AC1|IMP|S98|A|BEAR,tp 2889.075,1.4355299999999989
2025-02-27 05:38:00,2025-02-27 05:38:58,2025-02,2025-02-27,5,sell,0.01,2890.053,2889.593,0.46,108.43,0.9666666666666667,sl,AC1,IMP,IMP,91,A,,,BEAR,S90-99,AC1|IMP|S91|A|BEAR,sl 2889.583,0.45539999999999964
2025-02-27 05:51:00,2025-02-27 06:03:14,2025-02,2025-02-27,5,sell,0.01,2890.656,2892.341,-1.68,106.75,12.233333333333333,sl,AC1,IMP,IMP,98,A,,,BEAR,S90-99,AC1|IMP|S98|A|BEAR,sl 2892.332,1.6631500000000006
2025-02-28 05:31:00,2025-02-28 05:31:20,2025-02,2025-02-28,5,sell,0.01,2863.03,2862.775,0.25,107.0,0.3333333333333333,sl,AC1,IMP,IMP,81,B,,,BEAR,S80-89,AC1|IMP|S81|B|BEAR,sl 2862.772,0.24744999999999892
2025-02-28 05:40:00,2025-02-28 05:40:38,2025-02,2025-02-28,5,sell,0.02,2862.088,2863.088,-2.0,105.0,0.6333333333333333,sl,AC1,IMP,IMP,93,A,,,BEAR,S90-99,AC1|IMP|S93|A|BEAR,sl 2863.072,1.98
2025-03-03 05:47:00,2025-03-03 05:49:34,2025-03,2025-03-03,5,sell,0.01,2862.061,2862.907,-0.85,104.15,2.566666666666667,sl,AC1,CBK,CBK,72,B,WG,,WG,S70-79,AC1|CBK|S72|B|WG,sl 2862.890,0.84154
2025-03-04 05:24:00,2025-03-04 05:24:41,2025-03,2025-03-04,5,buy,0.02,2894.456,2893.646,-1.62,102.53,0.6833333333333333,sl,AC1,IMP,IMP,98,A,,,BULL,S90-99,AC1|IMP|S98|A|BULL,sl 2893.656,1.6038000000000012
