engine,entry_hour,trades,net,gross_profit,gross_loss,win_rate,profit_factor,avg,avg_win,avg_loss,largest_win,largest_loss,win_count,loss_count
TPL,15,9.0,-11.72,4.29,-16.009999999999998,33.33333333333333,0.2679575265459088,-1.3022222222222224,1.43,-2.668333333333333,3.15,-2.8,3.0,6.0
TPL,2,8.0,-9.59,1.22,-10.81,37.5,0.11285846438482885,-1.19875,0.4066666666666667,-2.162,0.59,-2.65,3.0,5.0
TPL,0,8.0,-5.66,6.46,-12.12,25.0,0.5330033003300331,-0.7075,3.23,-2.02,3.28,-2.84,2.0,6.0
TPL,6,7.0,-5.6000000000000005,2.63,-8.23,42.857142857142854,0.31956257594167675,-0.8,0.8766666666666666,-2.7433333333333336,1.39,-3.27,3.0,3.0
TPL,16,2.0,-4.83,0,-4.83,0.0,0.0,-2.415,0.0,-2.415,0.0,-2.77,0.0,2.0
TPL,17,2.0,-4.48,0,-4.48,0.0,0.0,-2.24,0.0,-2.24,0.0,-2.64,0.0,2.0
CBK,1,3.0,-3.95,0.5,-4.45,33.33333333333333,0.11235955056179775,-1.3166666666666667,0.5,-2.225,0.5,-2.58,1.0,2.0
TPL,19,7.0,-3.35,2.8499999999999996,-6.2,28.57142857142857,0.45967741935483863,-0.4785714285714286,1.4249999999999998,-1.24,1.44,-1.81,2.0,5.0
TPL,20,5.0,-2.01,2.12,-4.13,40.0,0.513317191283293,-0.40199999999999997,1.06,-1.3766666666666667,1.9,-1.72,2.0,3.0
CBK,3,1.0,-1.26,0,-1.26,0.0,0.0,-1.26,0.0,-1.26,0.0,-1.26,0.0,1.0
TPL,14,11.0,-1.0199999999999998,10.28,-11.3,63.63636363636363,0.9097345132743362,-0.09272727272727271,1.4685714285714284,-2.825,3.26,-2.89,7.0,4.0
TPL,7,13.0,-0.9199999999999995,11.81,-12.73,61.53846153846154,0.9277297721916732,-0.07076923076923072,1.47625,-2.5460000000000003,2.87,-2.88,8.0,5.0
TPL,8,13.0,-0.8699999999999994,16.13,-17.0,46.15384615384615,0.9488235294117646,-0.06692307692307688,2.688333333333333,-2.4285714285714284,2.89,-2.85,6.0,7.0
TPL,23,4.0,-0.8599999999999999,1.81,-2.67,50.0,0.6779026217228464,-0.21499999999999997,0.905,-1.335,1.0,-1.44,2.0,2.0
TPL,13,3.0,-0.81,1.9300000000000002,-2.74,66.66666666666666,0.7043795620437956,-0.27,0.9650000000000001,-2.74,1.12,-2.74,2.0,1.0
CBK,4,2.0,-0.7,0.79,-1.49,50.0,0.5302013422818792,-0.35,0.79,-1.49,0.79,-1.49,1.0,1.0
TPL,3,4.0,-0.19999999999999973,4.640000000000001,-4.84,50.0,0.9586776859504134,-0.04999999999999993,2.3200000000000003,-2.42,2.58,-2.57,2.0,2.0
TPL,22,8.0,-0.10999999999999976,4.94,-5.05,62.5,0.9782178217821783,-0.01374999999999997,0.9880000000000001,-1.6833333333333333,1.47,-1.72,5.0,3.0
CBK,19,1.0,0.04,0.04,0,100.0,0.0,0.04,0.04,0.0,0.04,0.0,1.0,0.0
TPL,4,6.0,0.4600000000000002,6.13,-5.67,50.0,1.0811287477954143,0.0766666666666667,2.0433333333333334,-1.89,2.14,-2.19,3.0,3.0
TPL,11,4.0,0.81,5.63,-4.82,50.0,1.1680497925311202,0.2025,2.815,-2.41,3.25,-2.81,2.0,2.0
CBK,16,1.0,2.37,2.37,0,100.0,0.0,2.37,2.37,0.0,2.37,0.0,1.0,0.0
TPL,10,6.0,3.87,5.16,-1.29,66.66666666666666,4.0,0.645,1.29,-0.645,3.24,-1.28,4.0,2.0
TPL,5,13.0,3.9899999999999998,10.66,-6.67,69.23076923076923,1.5982008995502248,0.3069230769230769,1.1844444444444444,-1.6675,2.53,-2.94,9.0,4.0
TPL,1,4.0,4.32,7.14,-2.82,75.0,2.5319148936170213,1.08,2.38,-2.82,3.13,-2.82,3.0,1.0
TPL,12,3.0,6.23,6.23,0,100.0,0.0,2.0766666666666667,2.0766666666666667,0.0,3.52,0.0,3.0,0.0
TPL,9,16.0,9.1,16.68,-7.58,68.75,2.2005277044854883,0.56875,1.5163636363636364,-1.516,3.5,-2.83,11.0,5.0
