entry_hour,trades,net,gross_profit,gross_loss,win_rate,profit_factor,avg,avg_win,avg_loss,largest_win,largest_loss,win_count,loss_count
15,9.0,-11.72,4.29,-16.009999999999998,33.33333333333333,0.2679575265459088,-1.3022222222222224,1.43,-2.668333333333333,3.15,-2.8,3.0,6.0
2,8.0,-9.59,1.22,-10.81,37.5,0.11285846438482885,-1.19875,0.4066666666666667,-2.162,0.59,-2.65,3.0,5.0
0,8.0,-5.66,6.46,-12.12,25.0,0.5330033003300331,-0.7075,3.23,-2.02,3.28,-2.84,2.0,6.0
6,7.0,-5.6000000000000005,2.63,-8.23,42.857142857142854,0.31956257594167675,-0.8,0.8766666666666666,-2.7433333333333336,1.39,-3.27,3.0,3.0
17,2.0,-4.48,0,-4.48,0.0,0.0,-2.24,0.0,-2.24,0.0,-2.64,0.0,2.0
19,8.0,-3.31,2.8899999999999997,-6.2,37.5,0.46612903225806446,-0.41375,0.9633333333333333,-1.24,1.44,-1.81,3.0,5.0
16,3.0,-2.46,2.37,-4.83,33.33333333333333,0.49068322981366463,-0.82,2.37,-2.415,2.37,-2.77,1.0,2.0
20,5.0,-2.01,2.12,-4.13,40.0,0.513317191283293,-0.40199999999999997,1.06,-1.3766666666666667,1.9,-1.72,2.0,3.0
3,5.0,-1.4599999999999997,4.640000000000001,-6.1,40.0,0.7606557377049181,-0.2919999999999999,2.3200000000000003,-2.033333333333333,2.58,-2.57,2.0,3.0
14,11.0,-1.0199999999999998,10.28,-11.3,63.63636363636363,0.9097345132743362,-0.09272727272727271,1.4685714285714284,-2.825,3.26,-2.89,7.0,4.0
7,13.0,-0.9199999999999995,11.81,-12.73,61.53846153846154,0.9277297721916732,-0.07076923076923072,1.47625,-2.5460000000000003,2.87,-2.88,8.0,5.0
8,13.0,-0.8699999999999994,16.13,-17.0,46.15384615384615,0.9488235294117646,-0.06692307692307688,2.688333333333333,-2.4285714285714284,2.89,-2.85,6.0,7.0
23,4.0,-0.8599999999999999,1.81,-2.67,50.0,0.6779026217228464,-0.21499999999999997,0.905,-1.335,1.0,-1.44,2.0,2.0
13,3.0,-0.81,1.9300000000000002,-2.74,66.66666666666666,0.7043795620437956,-0.27,0.9650000000000001,-2.74,1.12,-2.74,2.0,1.0
4,8.0,-0.23999999999999977,6.92,-7.16,50.0,0.9664804469273742,-0.02999999999999997,1.73,-1.79,2.14,-2.19,4.0,4.0
22,8.0,-0.10999999999999976,4.94,-5.05,62.5,0.9782178217821783,-0.01374999999999997,0.9880000000000001,-1.6833333333333333,1.47,-1.72,5.0,3.0
1,7.0,0.36999999999999966,7.64,-7.27,57.14285714285714,1.0508940852819808,0.05285714285714281,1.91,-2.4233333333333333,3.13,-2.82,4.0,3.0
11,4.0,0.81,5.63,-4.82,50.0,1.1680497925311202,0.2025,2.815,-2.41,3.25,-2.81,2.0,2.0
10,6.0,3.87,5.16,-1.29,66.66666666666666,4.0,0.645,1.29,-0.645,3.24,-1.28,4.0,2.0
5,13.0,3.9899999999999998,10.66,-6.67,69.23076923076923,1.5982008995502248,0.3069230769230769,1.1844444444444444,-1.6675,2.53,-2.94,9.0,4.0
12,3.0,6.23,6.23,0,100.0,0.0,2.0766666666666667,2.0766666666666667,0.0,3.52,0.0,3.0,0.0
9,16.0,9.1,16.68,-7.58,68.75,2.2005277044854883,0.56875,1.5163636363636364,-1.516,3.5,-2.83,11.0,5.0
