entry_time,exit_time,entry_month,entry_date,entry_hour,side,volume,entry_price,exit_price,profit,balance,hold_minutes,exit_reason,family,engine,code,score,grade,regime_tag,hour_tag,tags,score_bucket,entry_comment,exit_comment,match_error
2026-05-08 06:05:00,2026-05-08 06:05:32,2026-05,2026-05-08,6,buy,0.01,4728.861,4725.591,-3.27,69.83,0.5333333333333333,sl,AC1,TPL,TPL,91,A,,,BULL,S90-99,AC1|TPL|S91|A|BULL,sl 4725.645,3.2373000000000047
2026-05-04 05:51:00,2026-05-04 05:53:25,2026-05,2026-05-04,5,sell,0.01,4595.851,4598.792,-2.94,82.14,2.4166666666666665,sl,AC1,TPL,TPL,92,A,,,BEAR,S90-99,AC1|TPL|S92|A|BEAR,sl 4598.651,2.910589999999993
2026-05-06 14:41:00,2026-05-06 14:41:50,2026-05,2026-05-06,14,buy,0.01,4710.238,4707.353,-2.89,95.25,0.8333333333333334,sl,AC1,TPL,TPL,92,A,,,BULL,S90-99,AC1|TPL|S92|A|BULL,sl 4707.438,2.861149999999998
2026-05-01 07:09:00,2026-05-01 07:11:39,2026-05,2026-05-01,7,sell,0.01,4593.089,4595.965,-2.88,97.14,2.65,sl,AC1,TPL,TPL,92,A,,,BEAR,S90-99,AC1|TPL|S92|A|BEAR,sl 4595.704,2.851239999999998
2026-05-05 08:23:00,2026-05-05 08:38:17,2026-05,2026-05-05,8,buy,0.01,4552.992,4550.138,-2.85,76.06,15.283333333333333,sl,AC1,TPL,TPL,92,A,,,BULL,S90-99,AC1|TPL|S92|A|BULL,sl 4550.194,2.8214599999999974
2026-05-04 00:13:00,2026-05-04 00:15:01,2026-05,2026-05-04,0,sell,0.01,4611.066,4613.905,-2.84,86.48,2.0166666666666666,sl,AC1,TPL,TPL,92,A,,,BEAR,S90-99,AC1|TPL|S92|A|BEAR,sl 4613.789,2.8116100000000004
2026-05-05 14:35:00,2026-05-05 14:37:10,2026-05,2026-05-05,14,buy,0.01,4582.238,4579.407,-2.83,90.18,2.1666666666666665,sl,AC1,TPL,TPL,84,A,,,BULL,S80-89,AC1|TPL|S84|A|BULL,sl 4579.438,2.801689999999999
2026-05-06 09:50:00,2026-05-06 09:50:45,2026-05,2026-05-06,9,buy,0.01,4701.415,4698.59,-2.83,91.04,0.75,sl,AC1,TPL,TPL,92,A,,,BULL,S90-99,AC1|TPL|S92|A|BULL,sl 4698.615,2.801750000000002
2026-05-04 01:16:00,2026-05-04 01:17:06,2026-05,2026-05-04,1,sell,0.01,4599.934,4602.746,-2.82,86.21,1.1,sl,AC1,TPL,TPL,91,A,,,BEAR,S90-99,AC1|TPL|S91|A|BEAR,sl 4602.734,2.791880000000001
2026-05-05 14:01:00,2026-05-05 14:02:15,2026-05,2026-05-05,14,buy,0.01,4580.237,4577.415,-2.82,86.39,1.25,sl,AC1,TPL,TPL,84,A,,,BULL,S80-89,AC1|TPL|S84|A|BULL,sl 4577.437,2.791779999999999
2026-05-06 11:38:00,2026-05-06 11:39:03,2026-05,2026-05-06,11,buy,0.01,4714.274,4711.461,-2.81,98.14,1.05,sl,AC1,TPL,TPL,91,A,,,BULL,S90-99,AC1|TPL|S91|A|BULL,sl 4711.474,2.781869999999999
2026-05-05 15:05:00,2026-05-05 15:08:02,2026-05,2026-05-05,15,buy,0.01,4583.669,4580.866,-2.8,87.28,3.033333333333333,sl,AC1,TPL,TPL,92,A,,,BULL,S90-99,AC1|TPL|S92|A|BULL,sl 4581.023,2.771970000000001
2026-05-01 15:57:00,2026-05-01 15:57:17,2026-05,2026-05-01,15,buy,0.01,4646.035,4643.259,-2.78,98.63,0.2833333333333333,sl,AC1,TPL,TPL,92,A,,,BULL,S90-99,AC1|TPL|S92|A|BULL,sl 4643.293,2.7522400000000014
2026-05-01 16:06:00,2026-05-01 16:06:13,2026-05,2026-05-01,16,buy,0.01,4644.935,4642.171,-2.77,95.86,0.21666666666666667,sl,AC1,TPL,TPL,86,A,,,BULL,S80-89,AC1|TPL|S86|A|BULL,sl 4642.297,2.742359999999999
2026-05-06 07:35:00,2026-05-06 07:36:04,2026-05,2026-05-06,7,buy,0.01,4665.96,4663.204,-2.76,80.91,1.0666666666666667,sl,AC1,TPL,TPL,84,A,,,BULL,S80-89,AC1|TPL|S84|A|BULL,sl 4663.243,2.732439999999997
2026-05-06 14:39:00,2026-05-06 14:42:38,2026-05,2026-05-06,14,buy,0.01,4709.396,4706.642,-2.76,92.49,3.6333333333333333,sl,AC1,TPL,TPL,92,A,,,BULL,S90-99,AC1|TPL|S92|A|BULL,sl 4706.728,2.7324600000000006
2026-05-05 08:26:00,2026-05-05 08:30:52,2026-05,2026-05-05,8,buy,0.01,4553.245,4550.5,-2.75,78.91,4.866666666666666,sl,AC1,TPL,TPL,86,A,,,BULL,S80-89,AC1|TPL|S86|A|BULL,sl 4550.608,2.722550000000001
2026-05-05 13:33:00,2026-05-05 13:35:20,2026-05,2026-05-05,13,buy,0.01,4580.213,4577.466,-2.74,85.22,2.3333333333333335,sl,AC1,TPL,TPL,79,B,,,BULL,S70-79,AC1|TPL|S79|B|BULL,sl 4577.615,2.7125300000000063
2026-05-05 15:00:00,2026-05-05 15:00:49,2026-05,2026-05-05,15,buy,0.01,4582.812,4580.114,-2.7,89.08,0.8166666666666667,sl,AC1,TPL,TPL,97,A,,,BULL,S90-99,AC1|TPL|S97|A|BULL,sl 4580.136,2.673019999999997
2026-05-06 06:47:00,2026-05-06 06:51:31,2026-05,2026-05-06,6,buy,0.01,4665.938,4663.268,-2.67,86.02,4.516666666666667,sl,AC1,TPL,TPL,86,A,,,BULL,S80-89,AC1|TPL|S86|A|BULL,sl 4663.279,2.643299999999999
2026-05-08 02:29:00,2026-05-08 02:30:01,2026-05,2026-05-08,2,buy,0.01,4723.464,4720.813,-2.65,73.32,1.0166666666666666,sl,AC1,TPL,TPL,97,A,,,BULL,S90-99,AC1|TPL|S97|A|BULL,sl 4721.197,2.6234900000000017
2026-05-01 17:03:00,2026-05-01 17:03:40,2026-05,2026-05-01,17,buy,0.01,4642.499,4639.858,-2.64,91.16,0.6666666666666666,sl,AC1,TPL,TPL,86,A,,,BULL,S80-89,AC1|TPL|S86|A|BULL,sl 4640.056,2.613590000000004
2026-05-05 15:09:00,2026-05-05 15:10:44,2026-05,2026-05-05,15,buy,0.01,4582.418,4579.803,-2.62,82.13,1.7333333333333334,sl,AC1,TPL,TPL,79,B,,,BULL,S70-79,AC1|TPL|S79|B|BULL,sl 4579.988,2.5938500000000024
2026-05-01 15:37:00,2026-05-01 15:37:38,2026-05,2026-05-01,15,buy,0.01,4638.76,4636.184,-2.58,98.12,0.6333333333333333,sl,AC1,TPL,TPL,86,A,,,BULL,S80-89,AC1|TPL|S86|A|BULL,sl 4636.239,2.55424
2026-05-06 01:48:00,2026-05-06 01:48:35,2026-05,2026-05-06,1,buy,0.01,4627.762,4625.179,-2.58,89.37,0.5833333333333334,sl,AC1,CBK,CBK,93,A,RG,,RG,S90-99,AC1|CBK|S93|A|RG,sl 4625.312,2.5541700000000036
2026-05-04 00:39:00,2026-05-04 00:41:40,2026-05,2026-05-04,0,sell,0.01,4606.468,4609.037,-2.57,90.37,2.6666666666666665,sl,AC1,TPL,TPL,86,A,,,BEAR,S80-89,AC1|TPL|S86|A|BEAR,sl 4608.833,2.544309999999996
2026-05-08 03:45:00,2026-05-08 03:47:41,2026-05,2026-05-08,3,buy,0.01,4725.148,4722.582,-2.57,73.1,2.683333333333333,sl,AC1,TPL,TPL,86,A,,,BULL,S80-89,AC1|TPL|S86|A|BULL,sl 4722.603,2.544340000000002
2026-05-05 07:42:00,2026-05-05 07:43:15,2026-05,2026-05-05,7,buy,0.01,4555.519,4552.965,-2.55,83.77,1.25,sl,AC1,TPL,TPL,91,A,,,BULL,S90-99,AC1|TPL|S91|A|BULL,sl 4553.166,2.524459999999999
2026-05-05 15:07:00,2026-05-05 15:08:09,2026-05,2026-05-05,15,buy,0.01,4583.147,4580.616,-2.53,84.75,1.15,sl,AC1,TPL,TPL,84,A,,,BULL,S80-89,AC1|TPL|S84|A|BULL,sl 4580.643,2.5046900000000005
2026-05-05 08:19:00,2026-05-05 08:20:37,2026-05,2026-05-05,8,buy,0.01,4552.252,4549.77,-2.48,81.66,1.6166666666666667,sl,AC1,TPL,TPL,97,A,,,BULL,S90-99,AC1|TPL|S97|A|BULL,sl 4549.797,2.4551800000000004
2026-05-01 09:12:00,2026-05-01 09:18:02,2026-05,2026-05-01,9,sell,0.01,4565.165,4567.614,-2.44,97.22,6.033333333333333,sl,AC1,TPL,TPL,97,A,,,BEAR,S90-99,AC1|TPL|S97|A|BEAR,sl 4567.431,2.415510000000004
2026-05-01 08:49:00,2026-05-01 08:49:47,2026-05,2026-05-01,8,sell,0.01,4568.915,4571.259,-2.34,100.66,0.7833333333333333,sl,AC1,TPL,TPL,92,A,,,BEAR,S90-99,AC1|TPL|S92|A|BEAR,sl 4571.180,2.3165599999999995
2026-05-05 08:16:00,2026-05-05 08:17:56,2026-05,2026-05-05,8,buy,0.01,4551.579,4549.237,-2.34,84.14,1.9333333333333333,sl,AC1,TPL,TPL,91,A,,,BULL,S90-99,AC1|TPL|S91|A|BULL,sl 4549.297,2.3165800000000036
2026-05-06 07:04:00,2026-05-06 07:11:09,2026-05,2026-05-06,7,buy,0.01,4668.018,4665.718,-2.3,85.4,7.15,sl,AC1,TPL,TPL,92,A,,,BULL,S90-99,AC1|TPL|S92|A|BULL,sl 4665.806,2.276999999999998
2026-05-06 06:41:00,2026-05-06 06:41:45,2026-05,2026-05-06,6,buy,0.01,4666.242,4663.95,-2.29,88.69,0.75,sl,AC1,TPL,TPL,79,B,,,BULL,S70-79,AC1|TPL|S79|B|BULL,sl 4664.043,2.2670799999999964
2026-05-08 02:31:00,2026-05-08 02:31:18,2026-05,2026-05-08,2,buy,0.01,4722.367,4720.08,-2.29,71.03,0.3,sl,AC1,TPL,TPL,86,A,,,BULL,S80-89,AC1|TPL|S86|A|BULL,sl 4720.121,2.267129999999997
2026-05-01 09:14:00,2026-05-01 09:17:53,2026-05,2026-05-01,9,sell,0.01,4565.04,4567.308,-2.27,99.66,3.8833333333333333,sl,AC1,TPL,TPL,91,A,,,BEAR,S90-99,AC1|TPL|S91|A|BEAR,sl 4567.289,2.2473199999999998
2026-05-06 03:46:00,2026-05-06 03:47:46,2026-05,2026-05-06,3,buy,0.01,4647.714,4645.436,-2.27,85.12,1.7666666666666666,sl,AC1,TPL,TPL,79,B,,,BULL,S70-79,AC1|TPL|S79|B|BULL,sl 4645.456,2.2472199999999973
2026-05-01 08:56:00,2026-05-01 08:58:26,2026-05,2026-05-01,8,sell,0.01,4567.712,4569.964,-2.25,100.89,2.433333333333333,sl,AC1,TPL,TPL,86,A,,,BEAR,S80-89,AC1|TPL|S86|A|BEAR,sl 4569.900,2.2274800000000052
2026-05-06 07:05:00,2026-05-06 07:11:24,2026-05,2026-05-06,7,buy,0.01,4667.811,4665.57,-2.24,83.16,6.4,sl,AC1,TPL,TPL,84,A,,,BULL,S80-89,AC1|TPL|S84|A|BULL,sl 4665.624,2.2175900000000004
2026-05-06 04:36:00,2026-05-06 04:38:45,2026-05,2026-05-06,4,buy,0.01,4650.673,4648.479,-2.19,87.71,2.75,sl,AC1,TPL,TPL,91,A,,,BULL,S90-99,AC1|TPL|S91|A|BULL,sl 4648.538,2.168060000000005
2026-05-06 02:36:00,2026-05-06 02:39:33,2026-05,2026-05-06,2,buy,0.01,4633.368,4631.216,-2.15,87.39,3.55,sl,AC1,TPL,TPL,97,A,,,BULL,S90-99,AC1|TPL|S97|A|BULL,sl 4631.377,2.1284799999999993
2026-05-06 02:37:00,2026-05-06 02:39:32,2026-05,2026-05-06,2,buy,0.01,4633.639,4631.499,-2.14,89.54,2.533333333333333,sl,AC1,TPL,TPL,84,A,,,BULL,S80-89,AC1|TPL|S84|A|BULL,sl 4631.502,2.1185999999999967
2026-05-07 00:14:00,2026-05-07 00:17:00,2026-05,2026-05-07,0,buy,0.01,4700.083,4697.958,-2.12,77.53,3.0,manual/exit_loss,AC1,TPL,TPL,86,A,,,BULL,S80-89,AC1|TPL|S86|A|BULL,,2.09875
2026-05-06 04:57:03,2026-05-06 04:57:52,2026-05,2026-05-06,4,buy,0.01,4650.845,4648.752,-2.1,87.75,0.8166666666666667,sl,AC1,TPL,TPL,79,B,,,BULL,S70-79,AC1|TPL|S79|B|BULL,sl 4648.861,2.0790700000000015
2026-05-01 16:59:00,2026-05-01 16:59:47,2026-05,2026-05-01,16,buy,0.01,4642.202,4640.135,-2.06,93.8,0.7833333333333333,sl,AC1,TPL,TPL,92,A,,,BULL,S90-99,AC1|TPL|S92|A|BULL,sl 4640.164,2.03933
2026-05-01 11:06:00,2026-05-01 11:08:27,2026-05,2026-05-01,11,sell,0.01,4565.911,4567.922,-2.01,98.32,2.45,sl,AC1,TPL,TPL,79,B,,,BEAR,S70-79,AC1|TPL|S79|B|BEAR,sl 4567.892,1.9898900000000046
2026-05-06 08:27:00,2026-05-06 08:29:02,2026-05,2026-05-06,8,buy,0.01,4679.538,4677.547,-1.99,81.79,2.033333333333333,sl,AC1,TPL,TPL,86,A,,,BULL,S80-89,AC1|TPL|S86|A|BULL,sl 4677.649,1.9700900000000001
2026-05-01 01:43:00,2026-05-01 01:44:41,2026-05,2026-05-01,1,buy,0.01,4621.586,4619.719,-1.87,98.13,1.6833333333333333,sl,AC1,CBK,CBK,85,A,WG,,WG,S80-89,AC1|CBK|S85|A|WG,sl 4619.857,1.8513299999999981
2026-05-05 05:25:00,2026-05-05 05:26:18,2026-05,2026-05-05,5,buy,0.01,4539.51,4537.661,-1.85,79.07,1.3,sl,AC1,TPL,TPL,97,A,,,BULL,S90-99,AC1|TPL|S97|A|BULL,sl 4537.842,1.8315099999999984
