entry_time,exit_time,entry_month,entry_date,entry_hour,side,volume,entry_price,exit_price,profit,balance,hold_minutes,exit_reason,family,engine,code,score,grade,regime_tag,hour_tag,tags,score_bucket,entry_comment,exit_comment,match_error
2026-05-05 12:21:00,2026-05-05 12:21:26,2026-05,2026-05-05,12,buy,0.01,4564.96,4568.482,3.52,87.96,0.43333333333333335,tp,AC1,TPL,TPL,97,A,,,BULL,S90-99,AC1|TPL|S97|A|BULL,tp 4568.245,3.4847800000000007
2026-05-06 09:14:00,2026-05-06 09:18:20,2026-05,2026-05-06,9,buy,0.01,4696.793,4700.294,3.5,93.87,4.333333333333333,tp,AC1,TPL,TPL,79,B,,,BULL,S70-79,AC1|TPL|S79|B|BULL,tp 4700.258,3.464989999999998
2026-05-06 09:13:00,2026-05-06 09:18:14,2026-05,2026-05-06,9,buy,0.01,4696.458,4699.794,3.33,90.37,5.233333333333333,tp,AC1,TPL,TPL,79,B,,,BULL,S70-79,AC1|TPL|S79|B|BULL,tp 4699.778,3.296639999999998
2026-05-04 00:17:00,2026-05-04 00:18:33,2026-05,2026-05-04,0,sell,0.01,4611.643,4608.364,3.28,89.76,1.55,tp,AC1,TPL,TPL,92,A,,,BEAR,S90-99,AC1|TPL|S92|A|BEAR,tp 4608.423,3.2472099999999955
2026-05-05 14:07:00,2026-05-05 14:08:33,2026-05,2026-05-05,14,buy,0.01,4578.477,4581.741,3.26,89.65,1.55,tp,AC1,TPL,TPL,79,B,,,BULL,S70-79,AC1|TPL|S79|B|BULL,tp 4581.697,3.2273599999999987
2026-05-06 11:09:01,2026-05-06 11:09:40,2026-05,2026-05-06,11,buy,0.01,4718.077,4721.332,3.25,100.95,0.65,tp,AC1,TPL,TPL,97,A,,,BULL,S90-99,AC1|TPL|S97|A|BULL,tp 4721.297,3.217449999999999
2026-05-06 10:53:00,2026-05-06 10:53:05,2026-05,2026-05-06,10,buy,0.01,4712.799,4716.035,3.24,97.7,0.08333333333333333,tp,AC1,TPL,TPL,97,A,,,BULL,S90-99,AC1|TPL|S97|A|BULL,tp 4715.972,3.2076400000000014
2026-05-05 14:08:00,2026-05-05 14:08:33,2026-05,2026-05-05,14,buy,0.01,4579.296,4582.498,3.2,92.85,0.55,tp,AC1,TPL,TPL,86,A,,,BULL,S80-89,AC1|TPL|S86|A|BULL,tp 4582.440,3.167980000000007
2026-05-04 00:18:00,2026-05-04 00:19:11,2026-05,2026-05-04,0,sell,0.01,4609.568,4606.387,3.18,92.94,1.1833333333333333,tp,AC1,TPL,TPL,92,A,,,BEAR,S90-99,AC1|TPL|S92|A|BEAR,tp 4606.486,3.148189999999995
2026-05-01 15:38:00,2026-05-01 15:39:29,2026-05,2026-05-01,15,buy,0.01,4639.828,4642.977,3.15,101.27,1.4833333333333334,tp,AC1,TPL,TPL,79,B,,,BULL,S70-79,AC1|TPL|S79|B|BULL,tp 4642.881,3.1185100000000054
