entry_time,exit_time,entry_month,entry_date,entry_hour,side,volume,entry_price,exit_price,profit,balance,hold_minutes,exit_reason,family,engine,code,score,grade,regime_tag,hour_tag,tags,score_bucket,entry_comment,exit_comment,match_error
2026-05-01 01:43:00,2026-05-01 01:44:41,2026-05,2026-05-01,1,buy,0.01,4621.586,4619.719,-1.87,98.13,1.6833333333333333,sl,AC1,CBK,CBK,85,A,WG,,WG,S80-89,AC1|CBK|S85|A|WG,sl 4619.857,1.8513299999999981
2026-05-01 02:38:01,2026-05-01 02:38:48,2026-05,2026-05-01,2,buy,0.01,4630.516,4628.943,-1.58,96.55,0.7833333333333333,sl,AC1,TPL,TPL,92,A,,,BULL,S90-99,AC1|TPL|S92|A|BULL,sl 4628.965,1.564270000000006
2026-05-01 04:03:00,2026-05-01 04:03:22,2026-05,2026-05-01,4,buy,0.01,4628.337,4626.961,-1.38,95.17,0.36666666666666664,sl,AC1,TPL,TPL,86,A,,,BULL,S80-89,AC1|TPL|S86|A|BULL,sl 4626.977,1.366239999999998
2026-05-01 05:54:00,2026-05-01 05:55:00,2026-05,2026-05-01,5,sell,0.01,4610.004,4607.979,2.02,97.19,1.0,tp,AC1,TPL,TPL,92,A,,,BEAR,S90-99,AC1|TPL|S92|A|BEAR,tp 4608.090,1.9997500000000037
2026-05-01 07:06:00,2026-05-01 07:06:30,2026-05,2026-05-01,7,sell,0.01,4592.623,4589.793,2.83,100.02,0.5,tp,AC1,TPL,TPL,79,B,,,BEAR,S70-79,AC1|TPL|S79|B|BEAR,tp 4590.306,2.8017000000000007
2026-05-01 07:09:00,2026-05-01 07:11:39,2026-05,2026-05-01,7,sell,0.01,4593.089,4595.965,-2.88,97.14,2.65,sl,AC1,TPL,TPL,92,A,,,BEAR,S90-99,AC1|TPL|S92|A|BEAR,sl 4595.704,2.851239999999998
2026-05-01 07:32:00,2026-05-01 07:33:32,2026-05,2026-05-01,7,sell,0.01,4589.166,4587.632,1.54,98.68,1.5333333333333334,sl,AC1,TPL,TPL,91,A,,,BEAR,S90-99,AC1|TPL|S91|A|BEAR,sl 4587.631,1.5246599999999944
2026-05-01 07:37:00,2026-05-01 07:37:58,2026-05,2026-05-01,7,sell,0.01,4588.182,4587.333,0.85,99.53,0.9666666666666667,sl,AC1,TPL,TPL,91,A,,,BEAR,S90-99,AC1|TPL|S91|A|BEAR,sl 4587.314,0.8415099999999984
2026-05-01 07:44:00,2026-05-01 07:45:18,2026-05,2026-05-01,7,sell,0.01,4586.624,4586.035,0.58,100.11,1.3,sl,AC1,TPL,TPL,86,A,,,BEAR,S80-89,AC1|TPL|S86|A|BEAR,sl 4586.028,0.5741100000000006
2026-05-01 08:10:00,2026-05-01 08:10:35,2026-05,2026-05-01,8,sell,0.01,4579.927,4577.04,2.89,103.0,0.5833333333333334,tp,AC1,TPL,TPL,92,A,,,BEAR,S90-99,AC1|TPL|S92|A|BEAR,tp 4577.074,2.861130000000003
2026-05-01 08:49:00,2026-05-01 08:49:47,2026-05,2026-05-01,8,sell,0.01,4568.915,4571.259,-2.34,100.66,0.7833333333333333,sl,AC1,TPL,TPL,92,A,,,BEAR,S90-99,AC1|TPL|S92|A|BEAR,sl 4571.180,2.3165599999999995
2026-05-01 08:51:00,2026-05-01 08:51:48,2026-05,2026-05-01,8,sell,0.01,4569.209,4566.727,2.48,103.14,0.8,tp,AC1,TPL,TPL,92,A,,,BEAR,S90-99,AC1|TPL|S92|A|BEAR,tp 4566.779,2.4551800000000004
2026-05-01 08:56:00,2026-05-01 08:58:26,2026-05,2026-05-01,8,sell,0.01,4567.712,4569.964,-2.25,100.89,2.433333333333333,sl,AC1,TPL,TPL,86,A,,,BEAR,S80-89,AC1|TPL|S86|A|BEAR,sl 4569.900,2.2274800000000052
2026-05-01 09:04:00,2026-05-01 09:04:34,2026-05,2026-05-01,9,sell,0.01,4566.377,4566.003,0.38,101.27,0.5666666666666667,sl,AC1,TPL,TPL,92,A,,,BEAR,S90-99,AC1|TPL|S92|A|BEAR,sl 4565.972,0.37625999999999293
2026-05-01 09:08:00,2026-05-01 09:09:42,2026-05,2026-05-01,9,sell,0.01,4566.523,4565.9,0.62,101.89,1.7,sl,AC1,TPL,TPL,84,A,,,BEAR,S80-89,AC1|TPL|S84|A|BEAR,sl 4565.854,0.6137699999999949
2026-05-01 09:05:00,2026-05-01 09:09:42,2026-05,2026-05-01,9,sell,0.01,4566.08,4566.041,0.04,101.93,4.7,sl,AC1,TPL,TPL,79,B,,,BEAR,S70-79,AC1|TPL|S79|B|BEAR,sl 4566.030,0.0396100000000024
2026-05-01 09:14:00,2026-05-01 09:17:53,2026-05,2026-05-01,9,sell,0.01,4565.04,4567.308,-2.27,99.66,3.8833333333333333,sl,AC1,TPL,TPL,91,A,,,BEAR,S90-99,AC1|TPL|S91|A|BEAR,sl 4567.289,2.2473199999999998
2026-05-01 09:12:00,2026-05-01 09:18:02,2026-05,2026-05-01,9,sell,0.01,4565.165,4567.614,-2.44,97.22,6.033333333333333,sl,AC1,TPL,TPL,97,A,,,BEAR,S90-99,AC1|TPL|S97|A|BEAR,sl 4567.431,2.415510000000004
2026-05-01 09:54:00,2026-05-01 09:54:38,2026-05,2026-05-01,9,sell,0.01,4566.82,4564.299,2.52,99.74,0.6333333333333333,tp,AC1,TPL,TPL,92,A,,,BEAR,S90-99,AC1|TPL|S92|A|BEAR,tp 4564.598,2.4947900000000027
2026-05-01 10:57:00,2026-05-01 10:59:33,2026-05,2026-05-01,10,sell,0.01,4567.729,4567.134,0.6,100.34,2.55,sl,AC1,TPL,TPL,92,A,,,BEAR,S90-99,AC1|TPL|S92|A|BEAR,sl 4567.100,0.5940499999999974
2026-05-01 10:59:00,2026-05-01 10:59:33,2026-05,2026-05-01,10,sell,0.01,4567.193,4567.197,-0.01,100.33,0.55,sl,AC1,TPL,TPL,92,A,,,BEAR,S90-99,AC1|TPL|S92|A|BEAR,sl 4567.143,0.009960000000000946
2026-05-01 11:06:00,2026-05-01 11:08:27,2026-05,2026-05-01,11,sell,0.01,4565.911,4567.922,-2.01,98.32,2.45,sl,AC1,TPL,TPL,79,B,,,BEAR,S70-79,AC1|TPL|S79|B|BEAR,sl 4567.892,1.9898900000000046
