engine,entry_hour,trades,net,gross_profit,gross_loss,win_rate,profit_factor,avg,avg_win,avg_loss,largest_win,largest_loss,win_count,loss_count
TPL,7,8.0,-11.559999999999999,3.38,-14.94,25.0,0.22623828647925034,-1.4449999999999998,1.69,-2.4899999999999998,2.87,-2.73,2.0,6.0
TPL,6,6.0,-9.620000000000001,2.32,-11.94,33.33333333333333,0.19430485762144054,-1.6033333333333335,1.16,-2.985,2.03,-3.27,2.0,4.0
TPL,14,2.0,-5.65,0,-5.65,0.0,0.0,-2.825,0.0,-2.825,0.0,-2.89,0.0,2.0
TPL,8,6.0,-3.5200000000000005,5.26,-8.780000000000001,33.33333333333333,0.5990888382687926,-0.5866666666666668,2.63,-2.1950000000000003,2.64,-2.37,2.0,4.0
CBK,4,2.0,-0.7,0.79,-1.49,50.0,0.5302013422818792,-0.35,0.79,-1.49,0.79,-1.49,1.0,1.0
TPL,9,5.0,2.22,5.09,-2.87,40.0,1.773519163763066,0.44400000000000006,2.545,-0.9566666666666667,3.85,-2.83,2.0,3.0
TPL,11,3.0,2.82,5.63,-2.81,66.66666666666666,2.00355871886121,0.94,2.815,-2.81,3.25,-2.81,2.0,1.0
TPL,4,5.0,2.8400000000000003,6.41,-3.57,60.0,1.7955182072829132,0.5680000000000001,2.1366666666666667,-1.785,2.19,-2.19,3.0,2.0
TPL,5,3.0,3.23,3.23,0,100.0,0.0,1.0766666666666667,1.0766666666666667,0.0,2.53,0.0,3.0,0.0
TPL,10,4.0,4.21,4.220000000000001,-0.01,75.0,422.00000000000006,1.0525,1.406666666666667,-0.01,3.24,-0.01,3.0,1.0
