entry_time,exit_time,entry_month,entry_date,entry_hour,side,volume,entry_price,exit_price,profit,balance,hold_minutes,exit_reason,family,engine,code,score,grade,regime_tag,hour_tag,tags,score_bucket,entry_comment,exit_comment,match_error
2026-05-06 09:17:00,2026-05-06 09:18:14,2026-05,2026-05-06,9,buy,0.01,4695.939,4699.794,3.85,105.09,1.2333333333333334,tp,AC1,TPL,TPL,86,A,,,BULL,S80-89,AC1|TPL|S86|A|BULL,tp 4699.528,3.8114500000000047
2026-05-06 11:09:01,2026-05-06 11:09:40,2026-05,2026-05-06,11,buy,0.01,4718.077,4721.332,3.25,110.34,0.65,tp,AC1,TPL,TPL,97,A,,,BULL,S90-99,AC1|TPL|S97|A|BULL,tp 4721.297,3.217449999999999
2026-05-06 10:53:00,2026-05-06 10:53:05,2026-05,2026-05-06,10,buy,0.01,4712.799,4716.035,3.24,107.09,0.08333333333333333,tp,AC1,TPL,TPL,97,A,,,BULL,S90-99,AC1|TPL|S97|A|BULL,tp 4715.972,3.2076400000000014
2026-05-06 07:41:00,2026-05-06 07:44:59,2026-05,2026-05-06,7,buy,0.01,4667.195,4670.071,2.87,97.98,3.9833333333333334,tp,AC1,TPL,TPL,92,A,,,BULL,S90-99,AC1|TPL|S92|A|BULL,tp 4670.002,2.841239999999998
2026-05-06 08:48:00,2026-05-06 08:49:36,2026-05,2026-05-06,8,buy,0.01,4679.265,4681.913,2.64,101.25,1.6,tp,AC1,TPL,TPL,97,A,,,BULL,S90-99,AC1|TPL|S97|A|BULL,tp 4681.898,2.613520000000008
2026-05-06 08:47:00,2026-05-06 08:49:06,2026-05,2026-05-06,8,buy,0.01,4678.252,4680.867,2.62,98.61,2.1,tp,AC1,TPL,TPL,91,A,,,BULL,S90-99,AC1|TPL|S91|A|BULL,tp 4680.813,2.5938500000000024
2026-05-06 05:53:00,2026-05-06 05:55:36,2026-05,2026-05-06,5,buy,0.01,4652.356,4654.894,2.53,101.55,2.6,tp,AC1,TPL,TPL,97,A,,,BULL,S90-99,AC1|TPL|S97|A|BULL,tp 4654.704,2.504619999999995
2026-05-01 11:11:00,2026-05-01 11:11:41,2026-05,2026-05-01,11,sell,0.01,4565.831,4563.445,2.38,101.59,0.6833333333333333,tp,AC1,TPL,TPL,86,A,,,BEAR,S80-89,AC1|TPL|S86|A|BEAR,tp 4563.608,2.3561399999999955
2026-05-06 04:12:00,2026-05-06 04:15:05,2026-05,2026-05-06,4,buy,0.01,4646.484,4648.669,2.19,97.58,3.0833333333333335,tp,AC1,TPL,TPL,91,A,,,BULL,S90-99,AC1|TPL|S91|A|BULL,tp 4648.407,2.168150000000005
2026-05-06 04:48:01,2026-05-06 04:48:49,2026-05,2026-05-06,4,buy,0.01,4649.173,4651.312,2.14,98.32,0.8,tp,AC1,TPL,TPL,86,A,,,BULL,S80-89,AC1|TPL|S86|A|BULL,tp 4651.308,2.118609999999999
2026-05-06 04:10:00,2026-05-06 04:15:00,2026-05,2026-05-06,4,buy,0.01,4646.166,4648.249,2.08,95.39,5.0,tp,AC1,TPL,TPL,91,A,,,BULL,S90-99,AC1|TPL|S91|A|BULL,tp 4648.066,2.059170000000004
2026-05-07 06:02:00,2026-05-07 06:02:26,2026-05,2026-05-07,6,buy,0.01,4705.217,4707.249,2.03,103.91,0.43333333333333335,tp,AC1,TPL,TPL,91,A,,,BULL,S90-99,AC1|TPL|S91|A|BULL,tp 4707.149,2.009679999999998
2026-05-06 09:58:00,2026-05-06 10:00:22,2026-05,2026-05-06,9,buy,0.01,4701.583,4702.845,1.24,103.47,2.3666666666666667,sl,AC1,TPL,TPL,86,A,,,BULL,S80-89,AC1|TPL|S86|A|BULL,sl 4702.900,1.2273799999999937
2026-05-06 04:28:00,2026-05-06 04:29:27,2026-05,2026-05-06,4,buy,0.01,4651.446,4652.242,0.79,98.37,1.45,sl,AC1,CBK,CBK,93,A,RG,,RG,S90-99,AC1|CBK|S93|A|RG,sl 4652.282,0.7820399999999973
2026-05-01 10:57:00,2026-05-01 10:59:33,2026-05,2026-05-01,10,sell,0.01,4567.729,4567.134,0.6,99.22,2.55,sl,AC1,TPL,TPL,92,A,,,BEAR,S90-99,AC1|TPL|S92|A|BEAR,sl 4567.100,0.5940499999999974
2026-05-06 07:33:01,2026-05-06 07:34:40,2026-05,2026-05-06,7,buy,0.01,4665.855,4666.37,0.51,95.11,1.65,sl,AC1,TPL,TPL,91,A,,,BULL,S90-99,AC1|TPL|S91|A|BULL,sl 4666.420,0.5048499999999967
2026-05-06 05:51:00,2026-05-06 05:55:05,2026-05,2026-05-06,5,buy,0.01,4651.65,4652.087,0.44,99.02,4.083333333333333,sl,AC1,TPL,TPL,97,A,,,BULL,S90-99,AC1|TPL|S97|A|BULL,sl 4652.095,0.4356299999999919
2026-05-06 10:25:00,2026-05-06 10:25:54,2026-05,2026-05-06,10,buy,0.01,4701.359,4701.739,0.38,103.85,0.9,sl,AC1,TPL,TPL,92,A,,,BULL,S90-99,AC1|TPL|S92|A|BULL,sl 4701.780,0.37620000000000803
2026-05-06 06:59:00,2026-05-06 06:59:11,2026-05,2026-05-06,6,buy,0.01,4666.234,4666.518,0.29,99.17,0.18333333333333332,sl,AC1,TPL,TPL,86,A,,,BULL,S80-89,AC1|TPL|S86|A|BULL,sl 4666.540,0.28716000000000347
2026-05-06 05:25:01,2026-05-06 05:26:27,2026-05,2026-05-06,5,buy,0.01,4653.94,4654.197,0.26,98.58,1.4333333333333333,sl,AC1,TPL,TPL,92,A,,,BULL,S90-99,AC1|TPL|S92|A|BULL,sl 4654.227,0.25742999999999483
2026-05-01 10:59:00,2026-05-01 10:59:33,2026-05,2026-05-01,10,sell,0.01,4567.193,4567.197,-0.01,99.21,0.55,sl,AC1,TPL,TPL,92,A,,,BEAR,S90-99,AC1|TPL|S92|A|BEAR,sl 4567.143,0.009960000000000946
2026-05-06 09:12:00,2026-05-06 09:12:49,2026-05,2026-05-06,9,buy,0.01,4696.548,4696.542,-0.01,101.24,0.8166666666666667,sl,AC1,TPL,TPL,86,A,,,BULL,S80-89,AC1|TPL|S86|A|BULL,sl 4696.598,0.009940000000005967
2026-05-06 09:56:00,2026-05-06 09:59:49,2026-05,2026-05-06,9,buy,0.01,4701.608,4701.545,-0.03,102.23,3.816666666666667,sl,AC1,TPL,TPL,92,A,,,BULL,S90-99,AC1|TPL|S92|A|BULL,sl 4701.633,0.02936999999999898
2026-05-01 04:03:00,2026-05-01 04:03:22,2026-05,2026-05-01,4,buy,0.01,4628.337,4626.961,-1.38,98.62,0.36666666666666664,sl,AC1,TPL,TPL,86,A,,,BULL,S80-89,AC1|TPL|S86|A|BULL,sl 4626.977,1.366239999999998
2026-05-04 04:18:00,2026-05-04 04:19:31,2026-05,2026-05-04,4,buy,0.01,4612.967,4611.478,-1.49,100.1,1.5166666666666666,sl,AC1,CBK,CBK,87,A,WG,,WG,S80-89,AC1|CBK|S87|A|WG,sl 4611.504,1.4751100000000041
2026-05-06 08:27:00,2026-05-06 08:29:02,2026-05,2026-05-06,8,buy,0.01,4679.538,4677.547,-1.99,95.99,2.033333333333333,sl,AC1,TPL,TPL,86,A,,,BULL,S80-89,AC1|TPL|S86|A|BULL,sl 4677.649,1.9700900000000001
2026-05-04 08:39:00,2026-05-04 08:39:22,2026-05,2026-05-04,8,sell,0.01,4576.078,4578.318,-2.18,95.55,0.36666666666666664,sl,AC1,TPL,TPL,92,A,,,BEAR,S90-99,AC1|TPL|S92|A|BEAR,sl 4578.226,2.157600000000002
2026-05-06 04:36:00,2026-05-06 04:38:45,2026-05,2026-05-06,4,buy,0.01,4650.673,4648.479,-2.19,96.18,2.75,sl,AC1,TPL,TPL,91,A,,,BULL,S90-99,AC1|TPL|S91|A|BULL,sl 4648.538,2.168060000000005
2026-05-04 08:37:00,2026-05-04 08:39:22,2026-05,2026-05-04,8,sell,0.01,4576.139,4578.318,-2.24,93.31,2.3666666666666667,sl,AC1,TPL,TPL,92,A,,,BEAR,S90-99,AC1|TPL|S92|A|BEAR,sl 4578.242,2.218209999999999
2026-05-06 07:11:00,2026-05-06 07:11:24,2026-05,2026-05-06,7,buy,0.01,4667.376,4665.108,-2.27,94.6,0.4,sl,AC1,TPL,TPL,86,A,,,BULL,S80-89,AC1|TPL|S86|A|BULL,sl 4665.297,2.2473199999999998
2026-05-06 07:04:00,2026-05-06 07:11:09,2026-05,2026-05-06,7,buy,0.01,4668.018,4665.718,-2.3,96.87,7.15,sl,AC1,TPL,TPL,92,A,,,BULL,S90-99,AC1|TPL|S92|A|BULL,sl 4665.806,2.276999999999998
2026-05-04 08:24:00,2026-05-04 08:25:38,2026-05,2026-05-04,8,sell,0.01,4576.929,4579.295,-2.37,97.73,1.6333333333333333,sl,AC1,TPL,TPL,86,A,,,BEAR,S80-89,AC1|TPL|S86|A|BEAR,sl 4579.142,2.34634
