entry_time,exit_time,entry_month,entry_date,entry_hour,side,volume,entry_price,exit_price,profit,balance,hold_minutes,exit_reason,family,engine,code,score,grade,regime_tag,hour_tag,tags,score_bucket,entry_comment,exit_comment,match_error
2026-05-06 10:41:00,2026-05-06 10:41:17,2026-05,2026-05-06,10,buy,0.01,4711.755,4714.714,2.95,93.09,0.2833333333333333,tp,AC1,IMP,IMP,91,A,,,BULL,S90-99,AC1|IMP|S91|A|BULL,tp 4714.714,2.9204100000000017
2026-05-06 07:59:01,2026-05-06 07:59:35,2026-05,2026-05-06,7,buy,0.01,4677.161,4679.859,2.7,94.81,0.5666666666666667,tp,AC1,IMP,IMP,98,A,,,BULL,S90-99,AC1|IMP|S98|A|BULL,tp 4679.817,2.673019999999997
2026-05-06 10:54:00,2026-05-06 10:54:03,2026-05,2026-05-06,10,buy,0.01,4717.422,4720.114,2.69,95.78,0.05,tp,AC1,IMP,IMP,98,A,,,BULL,S90-99,AC1|IMP|S98|A|BULL,tp 4719.953,2.66308
2026-05-07 07:08:00,2026-05-07 07:11:00,2026-05,2026-05-07,7,buy,0.01,4744.901,4747.483,2.58,88.1,3.0,tp,AC1,IMP,IMP,93,A,,,BULL,S90-99,AC1|IMP|S93|A|BULL,tp 4747.360,2.5541799999999966
2026-05-06 07:42:00,2026-05-06 07:45:01,2026-05,2026-05-06,7,buy,0.01,4668.277,4670.651,2.37,89.87,3.0166666666666666,tp,AC1,IMP,IMP,93,A,,,BULL,S90-99,AC1|IMP|S93|A|BULL,tp 4670.609,2.3462600000000022
2026-05-06 07:28:00,2026-05-06 07:28:15,2026-05,2026-05-06,7,buy,0.01,4667.441,4669.755,2.32,87.5,0.25,tp,AC1,IMP,IMP,98,A,,,BULL,S90-99,AC1|IMP|S98|A|BULL,tp 4669.700,2.2968599999999966
2026-05-06 07:44:00,2026-05-06 07:45:04,2026-05,2026-05-06,7,buy,0.01,4669.096,4671.335,2.24,92.11,1.0666666666666667,tp,AC1,IMP,IMP,91,A,,,BULL,S90-99,AC1|IMP|S91|A|BULL,tp 4671.241,2.217609999999995
2026-05-06 10:26:00,2026-05-06 10:28:01,2026-05,2026-05-06,10,buy,0.01,4702.395,4704.615,2.22,88.11,2.0166666666666666,tp,AC1,IMP,IMP,86,A,,,BULL,S80-89,AC1|IMP|S86|A|BULL,tp 4704.443,2.1978000000000066
2026-05-06 05:56:00,2026-05-06 05:56:24,2026-05,2026-05-06,5,buy,0.01,4654.896,4657.015,2.12,87.15,0.4,tp,AC1,IMP,IMP,98,A,,,BULL,S90-99,AC1|IMP|S98|A|BULL,tp 4656.980,2.098809999999994
2026-05-08 05:49:00,2026-05-08 05:50:00,2026-05,2026-05-08,5,buy,0.01,4727.184,4729.224,2.04,81.52,1.0,tp,AC1,IMP,IMP,98,A,,,BULL,S90-99,AC1|IMP|S98|A|BULL,tp 4729.196,2.0196000000000005
2026-05-06 10:28:00,2026-05-06 10:30:11,2026-05,2026-05-06,10,buy,0.01,4704.256,4706.289,2.03,90.14,2.183333333333333,tp,AC1,IMP,IMP,98,A,,,BULL,S90-99,AC1|IMP|S98|A|BULL,tp 4706.203,2.009670000000005
2026-05-06 09:28:00,2026-05-06 09:28:16,2026-05,2026-05-06,9,buy,0.01,4701.198,4703.182,1.98,91.31,0.26666666666666666,tp,AC1,IMP,IMP,93,A,,,BULL,S90-99,AC1|IMP|S93|A|BULL,tp 4702.998,1.9601600000000052
2026-05-06 05:54:00,2026-05-06 05:55:36,2026-05,2026-05-06,5,buy,0.01,4652.926,4654.894,1.96,85.03,1.6,tp,AC1,IMP,IMP,86,A,,,BULL,S80-89,AC1|IMP|S86|A|BULL,tp 4654.798,1.9403200000000016
2026-05-06 04:28:00,2026-05-06 04:29:08,2026-05,2026-05-06,4,buy,0.01,4651.446,4653.058,1.61,86.54,1.1333333333333333,tp,AC1,IMP,IMP,93,A,,,BULL,S90-99,AC1|IMP|S93|A|BULL,tp 4653.049,1.5938799999999993
2026-05-07 09:18:00,2026-05-07 09:26:36,2026-05,2026-05-07,9,buy,0.01,4736.358,4737.318,0.96,86.26,8.6,sl,AC1,IMP,IMP,74,B,,,BULL,S70-79,AC1|IMP|S74|B|BULL,sl 4737.354,0.9503999999999996
2026-05-08 05:44:00,2026-05-08 05:49:09,2026-05,2026-05-08,5,buy,0.01,4725.558,4726.184,0.62,79.48,5.15,sl,AC1,IMP,IMP,91,A,,,BULL,S90-99,AC1|IMP|S91|A|BULL,sl 4726.193,0.613739999999998
2026-05-08 10:37:00,2026-05-08 10:37:52,2026-05,2026-05-08,10,buy,0.01,4725.067,4725.542,0.47,79.85,0.8666666666666667,sl,AC1,IMP,IMP,98,A,,,BULL,S90-99,AC1|IMP|S98|A|BULL,sl 4725.594,0.46524999999999633
2026-05-06 05:25:01,2026-05-06 05:26:27,2026-05,2026-05-06,5,buy,0.01,4653.94,4654.197,0.26,83.07,1.4333333333333333,sl,AC1,IMP,IMP,93,A,,,BULL,S90-99,AC1|IMP|S93|A|BULL,sl 4654.227,0.25742999999999483
2026-05-06 08:49:01,2026-05-06 08:49:54,2026-05,2026-05-06,8,buy,0.01,4680.276,4680.531,0.25,92.19,0.8833333333333333,sl,AC1,IMP,IMP,98,A,,,BULL,S90-99,AC1|IMP|S98|A|BULL,sl 4680.592,0.24744999999999892
2026-05-08 05:50:00,2026-05-08 05:50:52,2026-05,2026-05-08,5,buy,0.01,4728.836,4729.059,0.22,81.74,0.8666666666666667,sl,AC1,IMP,IMP,98,A,,,BULL,S90-99,AC1|IMP|S98|A|BULL,sl 4729.076,0.21777000000000044
2026-05-06 05:09:00,2026-05-06 05:09:12,2026-05,2026-05-06,5,buy,0.01,4654.184,4654.36,0.18,84.77,0.2,sl,AC1,IMP,IMP,86,A,,,BULL,S80-89,AC1|IMP|S86|A|BULL,sl 4654.670,0.17824000000000523
2026-05-06 14:43:00,2026-05-06 14:43:19,2026-05,2026-05-06,14,buy,0.01,4712.432,4712.578,0.15,87.5,0.31666666666666665,sl,AC1,IMP,IMP,93,A,,,BULL,S90-99,AC1|IMP|S93|A|BULL,sl 4712.589,0.1485399999999936
2026-05-08 11:05:00,2026-05-08 11:06:01,2026-05,2026-05-08,11,buy,0.01,4725.771,4725.818,0.05,79.9,1.0166666666666666,sl,AC1,IMP,IMP,98,A,,,BULL,S90-99,AC1|IMP|S98|A|BULL,sl 4725.821,0.0495299999999952
2026-05-07 07:11:00,2026-05-07 07:11:19,2026-05,2026-05-07,7,buy,0.01,4747.271,4747.27,0.0,88.1,0.31666666666666665,sl,AC1,IMP,IMP,93,A,,,BULL,S90-99,AC1|IMP|S93|A|BULL,sl 4747.338,9.99999999294232e-06
