start,end,count,pnl,buy_losses,sell_losses,engines
2026-01-27 05:51:00,2026-01-27 10:18:00,6,-16.3,6,0,IMP:6
2026-01-12 05:27:00,2026-01-12 11:00:01,8,-14.58,8,0,IMP:8
2026-01-28 05:20:00,2026-01-28 07:50:10,5,-14.219999999999999,5,0,IMP:5
2026-03-16 05:32:00,2026-03-16 07:29:24,4,-11.41,0,4,IMP:4
2026-03-18 10:03:00,2026-03-18 10:58:16,5,-11.06,0,5,IMP:5
2026-04-14 07:40:00,2026-04-14 10:54:40,4,-10.7,4,0,"CBK:2, IMP:2"
2026-02-23 07:52:00,2026-02-23 10:39:33,4,-10.66,4,0,"CBK:1, IMP:3"
2026-03-19 05:12:00,2026-03-19 10:18:38,4,-10.41,0,4,IMP:4
2026-04-09 10:02:00,2026-04-09 10:51:31,4,-10.35,4,0,IMP:4
2026-05-06 05:10:01,2026-05-06 10:55:18,4,-9.42,4,0,IMP:4
2026-01-14 05:29:00,2026-01-14 10:43:04,5,-9.15,5,0,IMP:5
2026-02-04 05:18:00,2026-02-04 05:51:12,4,-8.95,4,0,IMP:4
2026-03-30 05:46:00,2026-03-30 10:11:33,3,-8.58,3,0,IMP:3
2026-04-29 07:40:00,2026-04-29 08:00:01,3,-8.53,0,3,IMP:3
2026-03-02 05:34:00,2026-03-02 07:48:09,5,-8.52,5,0,IMP:5
2026-02-11 07:00:00,2026-02-11 10:41:04,3,-8.48,3,0,IMP:3
2026-01-21 05:19:00,2026-01-21 05:54:25,3,-8.34,3,0,IMP:3
2026-03-20 10:21:00,2026-03-20 10:57:14,3,-8.14,0,3,IMP:3
2026-01-19 05:03:00,2026-01-19 06:00:50,4,-7.14,4,0,IMP:4
2026-03-23 05:25:00,2026-03-23 05:53:20,3,-5.85,0,3,IMP:3
2026-04-24 10:14:00,2026-04-24 10:57:03,3,-5.47,0,3,IMP:3
