entry_time,exit_time,entry_month,entry_date,entry_hour,side,volume,entry_price,exit_price,profit,balance,hold_minutes,exit_reason,family,engine,code,score,grade,regime_tag,hour_tag,tags,score_bucket,entry_comment,exit_comment,match_error
2026-04-01 10:48:00,2026-04-01 10:50:16,2026-04,2026-04-01,10,buy,0.01,4738.532,4733.849,-4.68,114.45,2.2666666666666666,sl,AC1,IMP,IMP,98,A,,,BULL,S90-99,AC1|IMP|S98|A|BULL,sl 4735.790,4.63317
2026-02-05 05:00:00,2026-02-05 05:00:15,2026-02,2026-02-05,5,sell,0.01,4862.871,4866.613,-3.74,80.31,0.25,sl,AC1,IMP,IMP,98,A,,,BEAR,S90-99,AC1|IMP|S98|A|BEAR,sl 4866.395,3.7025799999999984
2026-02-04 05:42:00,2026-02-04 05:44:13,2026-02,2026-02-04,5,buy,0.01,5085.909,5082.376,-3.53,87.15,2.216666666666667,sl,AC1,IMP,IMP,93,A,,,BULL,S90-99,AC1|IMP|S93|A|BULL,sl 5082.532,3.4946700000000055
2026-03-05 10:01:00,2026-03-05 10:01:34,2026-03,2026-03-05,10,sell,0.01,5155.787,5159.189,-3.4,96.38,0.5666666666666667,sl,AC1,CBK,CBK,92,A,WG,,WG,S90-99,AC1|CBK|S92|A|WG,sl 5159.000,3.3659799999999995
2026-02-23 10:38:00,2026-02-23 10:39:33,2026-02,2026-02-23,10,buy,0.01,5154.681,5151.394,-3.29,81.52,1.55,sl,AC1,IMP,IMP,93,A,,,BULL,S90-99,AC1|IMP|S93|A|BULL,sl 5151.673,3.2571300000000063
2026-03-27 10:36:00,2026-03-27 10:36:31,2026-03,2026-03-27,10,sell,0.01,4423.579,4426.793,-3.21,108.91,0.5166666666666667,sl,AC1,IMP,IMP,98,A,,,BEAR,S90-99,AC1|IMP|S98|A|BEAR,sl 4426.650,3.1778600000000004
2026-03-13 05:54:00,2026-03-13 05:57:30,2026-03,2026-03-13,5,sell,0.01,5099.25,5102.433,-3.18,99.37,3.5,sl,AC1,IMP,IMP,86,A,,,BEAR,S80-89,AC1|IMP|S86|A|BEAR,sl 5102.050,3.1481700000000004
2026-03-18 10:58:00,2026-03-18 10:58:16,2026-03,2026-03-18,10,sell,0.01,4962.656,4965.747,-3.09,100.63,0.26666666666666666,sl,AC1,IMP,IMP,98,A,,,BEAR,S90-99,AC1|IMP|S98|A|BEAR,sl 4965.611,3.0590899999999963
2026-02-09 05:56:00,2026-02-09 05:57:14,2026-02,2026-02-09,5,buy,0.01,5037.894,5034.823,-3.07,82.3,1.2333333333333334,sl,AC1,IMP,IMP,98,A,,,BULL,S90-99,AC1|IMP|S98|A|BULL,sl 5035.094,3.0392900000000007
2026-03-06 10:45:00,2026-03-06 10:45:11,2026-03,2026-03-06,10,sell,0.01,5081.936,5085.013,-3.07,94.65,0.18333333333333332,sl,AC1,IMP,IMP,98,A,,,BEAR,S90-99,AC1|IMP|S98|A|BEAR,sl 5084.736,3.0392299999999977
2026-03-23 05:25:00,2026-03-23 05:25:52,2026-03,2026-03-23,5,sell,0.01,4354.595,4357.665,-3.07,109.24,0.8666666666666667,sl,AC1,IMP,IMP,98,A,,,BEAR,S90-99,AC1|IMP|S98|A|BEAR,sl 4357.464,3.0393000000000026
2026-02-04 05:47:00,2026-02-04 05:53:15,2026-02,2026-02-04,5,buy,0.01,5087.936,5085.766,-3.06,84.05,6.25,sl,AC1,IMP,IMP,93,A,,,BULL,S90-99,AC1|IMP|S93|A|BULL,sl 5086.033,3.038299999999999
2026-04-29 07:40:00,2026-04-29 07:40:28,2026-04,2026-04-29,7,sell,0.01,4571.746,4574.796,-3.05,84.49,0.4666666666666667,sl,AC1,IMP,IMP,86,A,,,BEAR,S80-89,AC1|IMP|S86|A|BEAR,sl 4574.546,3.019499999999998
2026-02-09 10:16:00,2026-02-09 10:16:08,2026-02,2026-02-09,10,buy,0.01,5014.669,5011.643,-3.03,79.27,0.13333333333333333,sl,AC1,CBK,CBK,80,B,WG,,WG,S80-89,AC1|CBK|S80|B|WG,sl 5011.760,2.9997400000000014
2026-03-05 07:55:00,2026-03-05 07:57:11,2026-03,2026-03-05,7,sell,0.01,5160.043,5163.067,-3.03,99.78,2.183333333333333,sl,AC1,IMP,IMP,98,A,,,BEAR,S90-99,AC1|IMP|S98|A|BEAR,sl 5162.834,2.999759999999996
2026-03-16 05:32:00,2026-03-16 05:32:27,2026-03,2026-03-16,5,sell,0.01,5004.998,5008.016,-3.02,105.23,0.45,sl,AC1,IMP,IMP,93,A,,,BEAR,S90-99,AC1|IMP|S93|A|BEAR,sl 5007.927,2.98982
2026-03-20 10:21:00,2026-03-20 10:21:15,2026-03,2026-03-20,10,sell,0.01,4649.025,4652.035,-3.01,109.23,0.25,sl,AC1,IMP,IMP,93,A,,,BEAR,S90-99,AC1|IMP|S93|A|BEAR,sl 4652.006,2.9798999999999976
2026-01-21 05:35:00,2026-01-21 05:40:05,2026-01,2026-01-21,5,buy,0.01,4876.413,4873.417,-2.99,94.33,5.083333333333333,sl,AC1,IMP,IMP,93,A,,,BULL,S90-99,AC1|IMP|S93|A|BULL,sl 4873.420,2.960040000000008
2026-04-14 07:40:00,2026-04-14 07:42:15,2026-04,2026-04-14,7,buy,0.01,4778.035,4775.077,-2.96,101.87,2.25,sl,AC1,CBK,CBK,87,A,WG,,WG,S80-89,AC1|CBK|S87|A|WG,sl 4775.106,2.930420000000004
2026-05-06 10:55:00,2026-05-06 10:55:18,2026-05,2026-05-06,10,buy,0.01,4721.764,4718.811,-2.95,91.66,0.3,sl,AC1,IMP,IMP,98,A,,,BULL,S90-99,AC1|IMP|S98|A|BULL,sl 4718.964,2.920469999999996
2026-01-27 07:10:00,2026-01-27 07:10:17,2026-01,2026-01-27,7,buy,0.01,5093.684,5090.76,-2.92,100.15,0.2833333333333333,sl,AC1,IMP,IMP,86,A,,,BULL,S80-89,AC1|IMP|S86|A|BULL,sl 5090.779,2.89076
2026-03-30 07:56:00,2026-03-30 07:58:31,2026-03,2026-03-30,7,buy,0.01,4527.925,4525.005,-2.92,108.82,2.5166666666666666,sl,AC1,IMP,IMP,93,A,,,BULL,S90-99,AC1|IMP|S93|A|BULL,sl 4525.125,2.890799999999999
2026-04-28 07:56:00,2026-04-28 07:56:07,2026-04,2026-04-28,7,sell,0.01,4622.176,4625.095,-2.92,82.06,0.11666666666666667,sl,AC1,IMP,IMP,93,A,,,BEAR,S90-99,AC1|IMP|S93|A|BEAR,sl 4624.976,2.8908100000000014
2026-03-16 07:24:00,2026-03-16 07:25:07,2026-03,2026-03-16,7,sell,0.01,5002.154,5005.059,-2.91,99.67,1.1166666666666667,sl,AC1,IMP,IMP,98,A,,,BEAR,S90-99,AC1|IMP|S98|A|BEAR,sl 5004.872,2.8809500000000026
2026-03-30 05:46:00,2026-03-30 05:46:28,2026-03,2026-03-30,5,buy,0.01,4513.491,4510.578,-2.91,111.74,0.4666666666666667,sl,AC1,IMP,IMP,93,A,,,BULL,S90-99,AC1|IMP|S93|A|BULL,sl 4510.624,2.8808700000000047
2026-01-28 05:42:00,2026-01-28 05:43:23,2026-01,2026-01-28,5,buy,0.01,5266.27,5263.367,-2.9,94.61,1.3833333333333333,sl,AC1,IMP,IMP,98,A,,,BULL,S90-99,AC1|IMP|S98|A|BULL,sl 5263.387,2.8709699999999976
2026-02-10 10:26:00,2026-02-10 10:27:37,2026-02,2026-02-10,10,buy,0.01,5050.076,5047.183,-2.9,76.37,1.6166666666666667,sl,AC1,IMP,IMP,86,A,,,BULL,S80-89,AC1|IMP|S86|A|BULL,sl 5047.276,2.8710699999999996
2026-02-11 10:41:01,2026-02-11 10:41:04,2026-02,2026-02-11,10,buy,0.01,5083.455,5080.57,-2.89,72.71,0.05,sl,AC1,IMP,IMP,98,A,,,BULL,S90-99,AC1|IMP|S98|A|BULL,sl 5080.655,2.861149999999998
2026-04-23 10:23:00,2026-04-23 10:24:33,2026-04,2026-04-23,10,sell,0.01,4685.808,4688.699,-2.89,88.7,1.55,sl,AC1,IMP,IMP,91,A,,,BEAR,S90-99,AC1|IMP|S91|A|BEAR,sl 4688.608,2.861090000000004
2026-04-29 07:47:00,2026-04-29 07:49:07,2026-04,2026-04-29,7,sell,0.01,4568.38,4571.272,-2.89,81.6,2.1166666666666667,sl,AC1,IMP,IMP,98,A,,,BEAR,S90-99,AC1|IMP|S98|A|BEAR,sl 4571.180,2.861080000000002
2026-02-23 07:52:00,2026-02-23 08:00:57,2026-02,2026-02-23,7,buy,0.01,5138.481,5135.614,-2.87,80.89,8.95,sl,AC1,CBK,CBK,92,A,WG,,WG,S90-99,AC1|CBK|S92|A|WG,sl 5135.681,2.8413299999999984
2026-01-28 07:50:00,2026-01-28 07:50:10,2026-01,2026-01-28,7,buy,0.01,5288.388,5285.525,-2.86,94.78,0.16666666666666666,sl,AC1,IMP,IMP,93,A,,,BULL,S90-99,AC1|IMP|S93|A|BULL,sl 5285.540,2.831369999999997
2026-01-27 07:39:00,2026-01-27 07:39:55,2026-01,2026-01-27,7,buy,0.01,5099.533,5096.684,-2.85,102.45,0.9166666666666666,sl,AC1,IMP,IMP,98,A,,,BULL,S90-99,AC1|IMP|S98|A|BULL,sl 5096.765,2.8215099999999986
2026-03-02 05:42:00,2026-03-02 05:42:06,2026-03,2026-03-02,5,buy,0.01,5360.39,5357.544,-2.85,99.92,0.1,sl,AC1,IMP,IMP,98,A,,,BULL,S90-99,AC1|IMP|S98|A|BULL,sl 5357.590,2.8215399999999957
2026-02-10 10:33:00,2026-02-10 10:34:45,2026-02,2026-02-10,10,buy,0.01,5053.459,5050.624,-2.84,73.53,1.75,sl,AC1,IMP,IMP,98,A,,,BULL,S90-99,AC1|IMP|S98|A|BULL,sl 5050.659,2.8116499999999993
2026-04-01 07:22:00,2026-04-01 07:24:01,2026-04,2026-04-01,7,buy,0.01,4723.967,4721.125,-2.84,105.42,2.0166666666666666,sl,AC1,IMP,IMP,98,A,,,BULL,S90-99,AC1|IMP|S98|A|BULL,sl 4721.167,2.8115800000000033
2026-01-28 05:24:00,2026-01-28 05:24:57,2026-01,2026-01-28,5,buy,0.01,5259.826,5256.995,-2.83,97.51,0.95,sl,AC1,IMP,IMP,98,A,,,BULL,S90-99,AC1|IMP|S98|A|BULL,sl 5256.997,2.801689999999999
2026-03-16 07:29:00,2026-03-16 07:29:24,2026-03,2026-03-16,7,sell,0.01,4999.975,5002.81,-2.83,96.84,0.4,sl,AC1,IMP,IMP,86,A,,,BEAR,S80-89,AC1|IMP|S86|A|BEAR,sl 5002.775,2.8016499999999995
2026-03-19 05:57:00,2026-03-19 05:57:44,2026-03,2026-03-19,5,sell,0.01,4828.895,4831.73,-2.83,102.13,0.7333333333333333,sl,AC1,IMP,IMP,98,A,,,BEAR,S90-99,AC1|IMP|S98|A|BEAR,sl 4831.695,2.801650000000009
2026-04-09 10:31:01,2026-04-09 10:31:48,2026-04,2026-04-09,10,buy,0.01,4741.476,4738.648,-2.83,111.87,0.7833333333333333,sl,AC1,IMP,IMP,98,A,,,BULL,S90-99,AC1|IMP|S98|A|BULL,sl 4738.676,2.801720000000005
2026-01-21 05:47:00,2026-01-21 05:54:25,2026-01,2026-01-21,5,buy,0.01,4875.853,4873.029,-2.82,91.51,7.416666666666667,sl,AC1,IMP,IMP,93,A,,,BULL,S90-99,AC1|IMP|S93|A|BULL,sl 4873.053,2.7917600000000036
