entry_time,exit_time,entry_month,entry_date,entry_hour,side,volume,entry_price,exit_price,profit,balance,hold_minutes,exit_reason,family,engine,code,score,grade,regime_tag,hour_tag,tags,score_bucket,entry_comment,exit_comment,match_error
2026-03-13 10:30:00,2026-03-13 10:30:33,2026-03,2026-03-13,10,sell,0.01,5089.428,5086.425,3.0,107.98,0.55,tp,AC1,CBK,CBK,87,A,WG,,WG,S80-89,AC1|CBK|S87|A|WG,tp 5086.428,2.969970000000003
2026-03-30 05:18:00,2026-03-30 05:18:15,2026-03,2026-03-30,5,buy,0.01,4508.716,4511.713,2.99,114.65,0.25,tp,AC1,IMP,IMP,79,B,,,BULL,S70-79,AC1|IMP|S79|B|BULL,tp 4511.498,2.9600300000000064
2026-02-26 05:25:01,2026-02-26 05:25:30,2026-02,2026-02-26,5,buy,0.01,5202.87,5205.838,2.97,98.71,0.48333333333333334,tp,AC1,IMP,IMP,79,B,,,BULL,S70-79,AC1|IMP|S79|B|BULL,tp 5204.949,2.9403200000000016
2026-04-08 05:47:00,2026-04-08 05:49:05,2026-04,2026-04-08,5,buy,0.01,4825.667,4828.631,2.96,113.7,2.0833333333333335,tp,AC1,IMP,IMP,91,A,,,BULL,S90-99,AC1|IMP|S91|A|BULL,tp 4828.392,2.9303600000000007
2026-05-06 10:41:00,2026-05-06 10:41:17,2026-05,2026-05-06,10,buy,0.01,4711.755,4714.714,2.95,91.92,0.2833333333333333,tp,AC1,IMP,IMP,91,A,,,BULL,S90-99,AC1|IMP|S91|A|BULL,tp 4714.714,2.9204100000000017
2026-03-24 05:31:00,2026-03-24 05:31:04,2026-03,2026-03-24,5,sell,0.01,4325.567,4322.668,2.9,112.12,0.06666666666666667,tp,AC1,IMP,IMP,98,A,,,BEAR,S90-99,AC1|IMP|S98|A|BEAR,tp 4322.711,2.8710099999999965
2026-04-01 07:32:00,2026-04-01 07:33:24,2026-04,2026-04-01,7,buy,0.01,4727.578,4730.478,2.9,110.97,1.4,tp,AC1,IMP,IMP,93,A,,,BULL,S90-99,AC1|IMP|S93|A|BULL,tp 4730.418,2.8710000000000035
2026-01-26 07:15:00,2026-01-26 07:16:42,2026-01,2026-01-26,7,buy,0.01,5091.033,5093.895,2.87,103.04,1.7,tp,AC1,IMP,IMP,86,A,,,BULL,S80-89,AC1|IMP|S86|A|BULL,tp 5093.865,2.841379999999999
2026-04-08 05:48:00,2026-04-08 05:49:22,2026-04,2026-04-08,5,buy,0.01,4827.139,4829.986,2.85,116.55,1.3666666666666667,tp,AC1,IMP,IMP,98,A,,,BULL,S90-99,AC1|IMP|S98|A|BULL,tp 4829.862,2.8215300000000028
2026-01-27 07:31:00,2026-01-27 07:31:27,2026-01,2026-01-27,7,buy,0.01,5090.445,5093.282,2.83,102.98,0.45,tp,AC1,IMP,IMP,86,A,,,BULL,S80-89,AC1|IMP|S86|A|BULL,tp 5093.207,2.801629999999996
2026-04-01 10:23:00,2026-04-01 10:23:41,2026-04,2026-04-01,10,buy,0.01,4725.651,4728.476,2.83,116.25,0.6833333333333333,tp,AC1,IMP,IMP,86,A,,,BULL,S80-89,AC1|IMP|S86|A|BULL,tp 4728.447,2.801750000000002
2026-02-09 05:20:00,2026-02-09 05:22:45,2026-02,2026-02-09,5,buy,0.01,5022.041,5024.837,2.8,77.53,2.75,tp,AC1,IMP,IMP,91,A,,,BULL,S90-99,AC1|IMP|S91|A|BULL,tp 5024.734,2.772039999999997
2026-03-13 07:16:00,2026-03-13 07:17:23,2026-03,2026-03-13,7,sell,0.01,5085.864,5083.063,2.8,102.17,1.3833333333333333,tp,AC1,IMP,IMP,98,A,,,BEAR,S90-99,AC1|IMP|S98|A|BEAR,tp 5083.213,2.771990000000005
