entry_time,exit_time,entry_month,entry_date,entry_hour,side,volume,entry_price,exit_price,profit,balance,hold_minutes,exit_reason,family,engine,code,score,grade,regime_tag,hour_tag,tags,score_bucket,entry_comment,exit_comment,match_error
2026-01-05 05:13:00,2026-01-05 05:13:46,2026-01,2026-01-05,5,buy,0.01,4407.453,4408.717,1.27,101.27,0.7666666666666667,tp,AC1,IMP,IMP,91,A,,,BULL,S90-99,AC1|IMP|S91|A|BULL,tp 4408.707,1.2573600000000078
2026-01-05 05:14:00,2026-01-05 05:16:43,2026-01,2026-01-05,5,buy,0.01,4408.347,4409.591,1.24,102.51,2.716666666666667,tp,AC1,IMP,IMP,98,A,,,BULL,S90-99,AC1|IMP|S98|A|BULL,tp 4409.564,1.227559999999994
2026-01-05 05:27:00,2026-01-05 05:27:35,2026-01,2026-01-05,5,buy,0.01,4409.969,4410.337,0.37,102.88,0.5833333333333334,sl,AC1,IMP,IMP,93,A,,,BULL,S90-99,AC1|IMP|S93|A|BULL,sl 4410.365,0.3663199999999961
2026-01-05 05:28:00,2026-01-05 05:29:37,2026-01,2026-01-05,5,buy,0.01,4410.804,4411.95,1.15,104.03,1.6166666666666667,tp,AC1,IMP,IMP,93,A,,,BULL,S90-99,AC1|IMP|S93|A|BULL,tp 4411.923,1.1385400000000025
2026-01-05 07:04:00,2026-01-05 07:05:50,2026-01,2026-01-05,7,buy,0.01,4422.666,4423.129,0.46,104.49,1.8333333333333333,sl,AC1,IMP,IMP,98,A,,,BULL,S90-99,AC1|IMP|S98|A|BULL,sl 4423.157,0.45537000000000266
2026-01-05 07:17:00,2026-01-05 07:25:45,2026-01,2026-01-05,7,buy,0.01,4422.308,4420.038,-2.27,102.22,8.75,sl,AC1,IMP,IMP,93,A,,,BULL,S90-99,AC1|IMP|S93|A|BULL,sl 4420.055,2.2472999999999956
2026-01-05 07:43:00,2026-01-05 07:46:09,2026-01,2026-01-05,7,buy,0.01,4424.609,4422.562,-2.05,100.17,3.15,sl,AC1,IMP,IMP,74,B,,,BULL,S70-79,AC1|IMP|S74|B|BULL,sl 4422.579,2.029529999999995
2026-01-05 10:27:00,2026-01-05 10:27:37,2026-01,2026-01-05,10,buy,0.01,4435.579,4436.546,0.97,101.14,0.6166666666666667,tp,AC1,IMP,IMP,98,A,,,BULL,S90-99,AC1|IMP|S98|A|BULL,tp 4436.530,0.9603299999999945
2026-01-05 10:52:00,2026-01-05 10:52:20,2026-01,2026-01-05,10,buy,0.01,4438.237,4438.499,0.26,101.4,0.3333333333333333,sl,AC1,IMP,IMP,98,A,,,BULL,S90-99,AC1|IMP|S98|A|BULL,sl 4438.502,0.25738000000000283
2026-01-06 05:05:00,2026-01-06 05:06:47,2026-01,2026-01-06,5,buy,0.02,4469.055,4469.094,0.08,101.48,1.7833333333333334,sl,AC1,IMP,IMP,98,A,,,BULL,S90-99,AC1|IMP|S98|A|BULL,sl 4469.105,0.0792200000000048
2026-01-06 05:18:00,2026-01-06 05:23:19,2026-01,2026-01-06,5,buy,0.01,4469.72,4468.415,-1.3,100.18,5.316666666666666,sl,AC1,IMP,IMP,81,B,,,BULL,S80-89,AC1|IMP|S81|B|BULL,sl 4468.434,1.2869499999999972
2026-01-06 07:09:00,2026-01-06 07:09:42,2026-01,2026-01-06,7,buy,0.01,4469.195,4469.322,0.12,100.3,0.7,sl,AC1,IMP,IMP,81,B,,,BULL,S80-89,AC1|IMP|S81|B|BULL,sl 4469.341,0.11872999999999592
2026-01-08 10:20:00,2026-01-08 10:20:13,2026-01,2026-01-08,10,sell,0.01,4424.348,4424.138,0.21,100.51,0.21666666666666667,sl,AC1,IMP,IMP,98,A,,,BEAR,S90-99,AC1|IMP|S98|A|BEAR,sl 4424.127,0.20789999999999964
2026-01-09 10:19:00,2026-01-09 10:23:21,2026-01,2026-01-09,10,buy,0.01,4473.913,4472.59,-1.32,99.19,4.35,sl,AC1,IMP,IMP,86,A,,,BULL,S80-89,AC1|IMP|S86|A|BULL,sl 4472.665,1.306770000000006
2026-01-12 05:27:00,2026-01-12 05:28:36,2026-01,2026-01-12,5,buy,0.01,4573.663,4571.958,-1.7,97.49,1.6,sl,AC1,IMP,IMP,93,A,,,BULL,S90-99,AC1|IMP|S93|A|BULL,sl 4571.991,1.6829500000000006
2026-01-12 05:34:00,2026-01-12 05:37:31,2026-01,2026-01-12,5,buy,0.01,4578.067,4575.736,-2.33,95.16,3.5166666666666666,sl,AC1,IMP,IMP,93,A,,,BULL,S90-99,AC1|IMP|S93|A|BULL,sl 4575.833,2.306689999999999
2026-01-12 05:42:00,2026-01-12 05:44:35,2026-01,2026-01-12,5,buy,0.01,4580.438,4582.948,2.51,97.67,2.5833333333333335,tp,AC1,IMP,IMP,93,A,,,BULL,S90-99,AC1|IMP|S93|A|BULL,tp 4582.945,2.4848999999999974
2026-01-12 05:45:00,2026-01-12 05:45:55,2026-01,2026-01-12,5,buy,0.01,4581.946,4582.639,0.69,98.36,0.9166666666666666,sl,AC1,IMP,IMP,86,A,,,BULL,S80-89,AC1|IMP|S86|A|BULL,sl 4582.645,0.6830699999999978
2026-01-12 07:09:01,2026-01-12 07:09:43,2026-01,2026-01-12,7,buy,0.01,4581.267,4582.845,1.58,99.94,0.7,tp,AC1,IMP,IMP,98,A,,,BULL,S90-99,AC1|IMP|S98|A|BULL,tp 4582.799,1.5642199999999957
2026-01-12 07:10:00,2026-01-12 07:11:39,2026-01,2026-01-12,7,buy,0.01,4582.336,4582.51,0.17,100.11,1.65,sl,AC1,IMP,IMP,98,A,,,BULL,S90-99,AC1|IMP|S98|A|BULL,sl 4582.527,0.16826000000000024
2026-01-12 07:11:00,2026-01-12 07:12:22,2026-01,2026-01-12,7,buy,0.01,4583.497,4581.22,-2.28,97.83,1.3666666666666667,sl,AC1,IMP,IMP,79,B,,,BULL,S70-79,AC1|IMP|S79|B|BULL,sl 4581.254,2.2572299999999994
2026-01-12 07:16:00,2026-01-12 07:20:35,2026-01,2026-01-12,7,buy,0.01,4584.736,4585.166,0.43,98.26,4.583333333333333,sl,AC1,IMP,IMP,98,A,,,BULL,S90-99,AC1|IMP|S98|A|BULL,sl 4585.167,0.4256999999999971
2026-01-12 07:38:00,2026-01-12 07:40:11,2026-01,2026-01-12,7,buy,0.01,4584.402,4582.134,-2.27,95.99,2.183333333333333,sl,AC1,IMP,IMP,98,A,,,BULL,S90-99,AC1|IMP|S98|A|BULL,sl 4582.157,2.2473199999999998
2026-01-12 07:53:00,2026-01-12 07:57:41,2026-01,2026-01-12,7,buy,0.01,4586.851,4588.681,1.83,97.82,4.683333333333334,tp,AC1,IMP,IMP,98,A,,,BULL,S90-99,AC1|IMP|S98|A|BULL,tp 4588.620,1.8117000000000008
2026-01-12 07:58:00,2026-01-12 08:00:00,2026-01,2026-01-12,7,buy,0.01,4589.297,4587.408,-1.89,95.93,2.0,sl,AC1,IMP,IMP,98,A,,,BULL,S90-99,AC1|IMP|S98|A|BULL,sl 4587.430,1.8711100000000078
2026-01-12 10:29:01,2026-01-12 10:29:54,2026-01,2026-01-12,10,buy,0.01,4594.163,4592.684,-1.48,94.45,0.8833333333333333,sl,AC1,IMP,IMP,91,A,,,BULL,S90-99,AC1|IMP|S91|A|BULL,sl 4592.688,1.4652100000000063
2026-01-12 10:27:00,2026-01-12 10:30:30,2026-01,2026-01-12,10,buy,0.01,4593.298,4593.771,0.47,94.92,3.5,sl,AC1,IMP,IMP,98,A,,,BULL,S90-99,AC1|IMP|S98|A|BULL,sl 4593.822,0.4652700000000004
2026-01-12 10:42:00,2026-01-12 10:42:07,2026-01,2026-01-12,10,buy,0.01,4593.163,4591.932,-1.23,93.69,0.11666666666666667,sl,AC1,IMP,IMP,98,A,,,BULL,S90-99,AC1|IMP|S98|A|BULL,sl 4592.006,1.2176900000000024
2026-01-12 10:51:00,2026-01-12 10:58:13,2026-01,2026-01-12,10,buy,0.01,4593.773,4594.564,0.79,94.48,7.216666666666667,sl,AC1,IMP,IMP,98,A,,,BULL,S90-99,AC1|IMP|S98|A|BULL,sl 4594.573,0.7820899999999984
2026-01-12 10:58:00,2026-01-12 11:00:01,2026-01,2026-01-12,10,buy,0.01,4595.266,4593.87,-1.4,93.08,2.0166666666666666,sl,AC1,IMP,IMP,98,A,,,BULL,S90-99,AC1|IMP|S98|A|BULL,sl 4593.878,1.3860400000000026
2026-01-14 05:01:00,2026-01-14 05:01:09,2026-01,2026-01-14,5,buy,0.01,4630.63,4630.673,0.04,93.12,0.15,sl,AC1,IMP,IMP,86,A,,,BULL,S80-89,AC1|IMP|S86|A|BULL,sl 4630.680,0.039570000000003346
2026-01-14 05:29:00,2026-01-14 05:30:00,2026-01,2026-01-14,5,buy,0.01,4635.115,4633.645,-1.47,91.65,1.0,sl,AC1,IMP,IMP,93,A,,,BULL,S90-99,AC1|IMP|S93|A|BULL,sl 4633.692,1.4553000000000065
2026-01-14 05:32:00,2026-01-14 05:33:59,2026-01,2026-01-14,5,buy,0.01,4637.159,4638.976,1.82,93.47,1.9833333333333334,tp,AC1,IMP,IMP,93,A,,,BULL,S90-99,AC1|IMP|S93|A|BULL,tp 4638.897,1.80183
2026-01-14 05:34:00,2026-01-14 05:35:01,2026-01,2026-01-14,5,buy,0.01,4639.559,4637.246,-2.31,91.16,1.0166666666666666,sl,AC1,IMP,IMP,93,A,,,BULL,S90-99,AC1|IMP|S93|A|BULL,sl 4637.263,2.286869999999999
2026-01-14 07:00:00,2026-01-14 07:00:01,2026-01,2026-01-14,7,buy,0.01,4637.593,4635.552,-2.04,89.12,0.016666666666666666,sl,AC1,IMP,IMP,98,A,,,BULL,S90-99,AC1|IMP|S98|A|BULL,sl 4635.612,2.019589999999998
2026-01-14 07:17:00,2026-01-14 07:21:46,2026-01,2026-01-14,7,buy,0.01,4635.276,4633.543,-1.74,87.38,4.766666666666667,sl,AC1,IMP,IMP,93,A,,,BULL,S90-99,AC1|IMP|S93|A|BULL,sl 4633.550,1.7226699999999981
2026-01-14 07:24:00,2026-01-14 07:27:03,2026-01,2026-01-14,7,buy,0.01,4637.669,4639.285,1.62,89.0,3.05,tp,AC1,IMP,IMP,81,B,,,BULL,S80-89,AC1|IMP|S81|B|BULL,tp 4639.257,1.6038400000000002
2026-01-14 10:40:00,2026-01-14 10:43:01,2026-01,2026-01-14,10,buy,0.01,4636.502,4638.149,1.65,90.65,3.0166666666666666,tp,AC1,IMP,IMP,86,A,,,BULL,S80-89,AC1|IMP|S86|A|BULL,tp 4638.091,1.6335300000000006
2026-01-14 10:43:00,2026-01-14 10:43:04,2026-01,2026-01-14,10,buy,0.01,4638.11,4636.52,-1.59,89.06,0.06666666666666667,sl,AC1,IMP,IMP,98,A,,,BULL,S90-99,AC1|IMP|S98|A|BULL,sl 4636.558,1.5741000000000078
2026-01-15 10:25:00,2026-01-15 10:26:09,2026-01,2026-01-15,10,buy,0.01,4614.993,4613.609,-1.38,87.68,1.15,sl,AC1,IMP,IMP,98,A,,,BULL,S90-99,AC1|IMP|S98|A|BULL,sl 4613.614,1.3661599999999998
2026-01-15 10:36:00,2026-01-15 10:37:16,2026-01,2026-01-15,10,buy,0.01,4615.644,4617.4,1.76,89.44,1.2666666666666666,tp,AC1,IMP,IMP,93,A,,,BULL,S90-99,AC1|IMP|S93|A|BULL,tp 4617.377,1.742440000000006
2026-01-15 10:37:00,2026-01-15 10:37:34,2026-01,2026-01-15,10,buy,0.01,4616.028,4618.059,2.03,91.47,0.5666666666666667,tp,AC1,IMP,IMP,86,A,,,BULL,S80-89,AC1|IMP|S86|A|BULL,tp 4618.044,2.0096900000000004
2026-01-15 10:38:00,2026-01-15 10:42:59,2026-01,2026-01-15,10,buy,0.01,4617.511,4619.431,1.92,93.39,4.983333333333333,tp,AC1,IMP,IMP,86,A,,,BULL,S80-89,AC1|IMP|S86|A|BULL,tp 4619.401,1.9008000000000083
2026-01-15 10:43:00,2026-01-15 10:43:35,2026-01,2026-01-15,10,buy,0.01,4619.367,4617.584,-1.79,91.6,0.5833333333333334,sl,AC1,IMP,IMP,98,A,,,BULL,S90-99,AC1|IMP|S98|A|BULL,sl 4617.603,1.7721699999999965
2026-01-19 05:02:00,2026-01-19 05:02:33,2026-01,2026-01-19,5,buy,0.01,4666.996,4667.416,0.42,92.02,0.55,sl,AC1,IMP,IMP,98,A,,,BULL,S90-99,AC1|IMP|S98|A|BULL,sl 4667.422,0.4157999999999993
2026-01-19 05:03:00,2026-01-19 05:06:18,2026-01,2026-01-19,5,buy,0.01,4668.896,4667.274,-1.63,90.39,3.3,sl,AC1,IMP,IMP,98,A,,,BULL,S90-99,AC1|IMP|S98|A|BULL,sl 4667.274,1.613780000000006
2026-01-19 05:07:00,2026-01-19 05:09:28,2026-01,2026-01-19,5,buy,0.01,4671.265,4669.041,-2.23,88.16,2.466666666666667,sl,AC1,IMP,IMP,98,A,,,BULL,S90-99,AC1|IMP|S98|A|BULL,sl 4669.072,2.207759999999998
2026-01-19 05:23:00,2026-01-19 05:24:17,2026-01,2026-01-19,5,buy,0.01,4670.991,4672.004,1.01,89.17,1.2833333333333334,tp,AC1,IMP,IMP,93,A,,,BULL,S90-99,AC1|IMP|S93|A|BULL,tp 4671.989,0.9998700000000008
2026-01-19 05:25:00,2026-01-19 05:26:06,2026-01,2026-01-19,5,buy,0.01,4671.996,4670.853,-1.15,88.02,1.1,sl,AC1,IMP,IMP,93,A,,,BULL,S90-99,AC1|IMP|S93|A|BULL,sl 4670.863,1.1385699999999996
2026-01-19 05:57:00,2026-01-19 06:00:50,2026-01,2026-01-19,5,buy,0.01,4671.493,4669.355,-2.13,85.89,3.8333333333333335,sl,AC1,IMP,IMP,93,A,,,BULL,S90-99,AC1|IMP|S93|A|BULL,sl 4669.377,2.1086199999999917
2026-01-20 05:06:00,2026-01-20 05:06:58,2026-01,2026-01-20,5,buy,0.01,4698.489,4700.497,2.01,87.9,0.9666666666666667,tp,AC1,IMP,IMP,98,A,,,BULL,S90-99,AC1|IMP|S98|A|BULL,tp 4700.485,1.9899199999999926
2026-01-20 05:35:00,2026-01-20 05:35:36,2026-01,2026-01-20,5,buy,0.01,4704.821,4702.199,-2.62,85.28,0.6,sl,AC1,IMP,IMP,93,A,,,BULL,S90-99,AC1|IMP|S93|A|BULL,sl 4702.217,2.593779999999997
2026-01-20 05:47:00,2026-01-20 05:51:50,2026-01,2026-01-20,5,buy,0.01,4706.898,4707.756,0.86,86.14,4.833333333333333,sl,AC1,IMP,IMP,79,B,,,BULL,S70-79,AC1|IMP|S79|B|BULL,sl 4707.795,0.8514199999999983
2026-01-20 05:51:00,2026-01-20 05:53:20,2026-01,2026-01-20,5,buy,0.01,4708.836,4709.185,0.35,86.49,2.3333333333333335,sl,AC1,IMP,IMP,98,A,,,BULL,S90-99,AC1|IMP|S98|A|BULL,sl 4709.198,0.3465099999999984
2026-01-20 05:54:00,2026-01-20 05:55:18,2026-01,2026-01-20,5,buy,0.01,4709.796,4711.792,1.99,88.48,1.3,tp,AC1,IMP,IMP,98,A,,,BULL,S90-99,AC1|IMP|S98|A|BULL,tp 4711.775,1.9700399999999991
2026-01-20 07:12:00,2026-01-20 07:13:23,2026-01,2026-01-20,7,buy,0.01,4716.219,4716.723,0.5,88.98,1.3833333333333333,sl,AC1,IMP,IMP,93,A,,,BULL,S90-99,AC1|IMP|S93|A|BULL,sl 4716.786,0.49496000000000095
2026-01-20 07:13:00,2026-01-20 07:13:23,2026-01,2026-01-20,7,buy,0.01,4716.693,4716.723,0.03,89.01,0.38333333333333336,sl,AC1,IMP,IMP,74,B,,,BULL,S70-79,AC1|IMP|S74|B|BULL,sl 4716.743,0.029700000000002544
2026-01-20 07:21:00,2026-01-20 07:21:13,2026-01,2026-01-20,7,buy,0.01,4716.9,4715.647,-1.25,87.76,0.21666666666666667,sl,AC1,IMP,IMP,91,A,,,BULL,S90-99,AC1|IMP|S91|A|BULL,sl 4715.665,1.237470000000003
2026-01-20 07:25:00,2026-01-20 07:26:46,2026-01,2026-01-20,7,buy,0.01,4719.113,4720.876,1.77,89.53,1.7666666666666666,tp,AC1,IMP,IMP,86,A,,,BULL,S80-89,AC1|IMP|S86|A|BULL,tp 4720.840,1.7523700000000009
2026-01-21 05:11:00,2026-01-21 05:16:05,2026-01,2026-01-21,5,buy,0.01,4866.269,4868.955,2.69,92.22,5.083333333333333,tp,AC1,IMP,IMP,98,A,,,BULL,S90-99,AC1|IMP|S98|A|BULL,tp 4868.876,2.663140000000003
2026-01-21 05:16:01,2026-01-21 05:18:26,2026-01,2026-01-21,5,buy,0.01,4868.292,4870.868,2.58,94.8,2.4166666666666665,tp,AC1,IMP,IMP,86,A,,,BULL,S80-89,AC1|IMP|S86|A|BULL,tp 4870.847,2.55424
2026-01-21 05:17:00,2026-01-21 05:18:27,2026-01,2026-01-21,5,buy,0.01,4869.666,4871.98,2.31,97.11,1.45,tp,AC1,IMP,IMP,98,A,,,BULL,S90-99,AC1|IMP|S98|A|BULL,tp 4871.975,2.286860000000006
2026-01-21 05:19:00,2026-01-21 05:22:57,2026-01,2026-01-21,5,buy,0.01,4872.696,4870.166,-2.53,94.58,3.95,sl,AC1,IMP,IMP,98,A,,,BULL,S90-99,AC1|IMP|S98|A|BULL,sl 4870.171,2.5047000000000024
2026-01-21 05:34:00,2026-01-21 05:34:29,2026-01,2026-01-21,5,buy,0.01,4872.011,4874.75,2.74,97.32,0.48333333333333334,tp,AC1,IMP,IMP,93,A,,,BULL,S90-99,AC1|IMP|S93|A|BULL,tp 4874.671,2.7126100000000046
2026-01-21 05:35:00,2026-01-21 05:40:05,2026-01,2026-01-21,5,buy,0.01,4876.413,4873.417,-2.99,94.33,5.083333333333333,sl,AC1,IMP,IMP,93,A,,,BULL,S90-99,AC1|IMP|S93|A|BULL,sl 4873.420,2.960040000000008
2026-01-21 05:47:00,2026-01-21 05:54:25,2026-01,2026-01-21,5,buy,0.01,4875.853,4873.029,-2.82,91.51,7.416666666666667,sl,AC1,IMP,IMP,93,A,,,BULL,S90-99,AC1|IMP|S93|A|BULL,sl 4873.053,2.7917600000000036
2026-01-21 07:52:00,2026-01-21 07:54:00,2026-01,2026-01-21,7,buy,0.01,4855.062,4855.474,0.41,91.92,2.0,sl,AC1,CBK,CBK,92,A,WG,,WG,S90-99,AC1|CBK|S92|A|WG,sl 4855.508,0.40587999999999735
2026-01-22 07:00:00,2026-01-22 07:00:02,2026-01,2026-01-22,7,buy,0.01,4826.71,4826.999,0.29,92.21,0.03333333333333333,sl,AC1,IMP,IMP,98,A,,,BULL,S90-99,AC1|IMP|S98|A|BULL,sl 4827.009,0.28711000000000236
2026-01-22 07:02:00,2026-01-22 07:02:35,2026-01,2026-01-22,7,buy,0.01,4828.226,4830.067,1.84,94.05,0.5833333333333334,tp,AC1,IMP,IMP,91,A,,,BULL,S90-99,AC1|IMP|S91|A|BULL,tp 4830.064,1.8215899999999965
2026-01-22 07:03:00,2026-01-22 07:04:00,2026-01,2026-01-22,7,buy,0.01,4829.723,4829.847,0.13,94.18,1.0,sl,AC1,IMP,IMP,86,A,,,BULL,S80-89,AC1|IMP|S86|A|BULL,sl 4829.874,0.12876000000000204
2026-01-22 07:17:00,2026-01-22 07:17:35,2026-01,2026-01-22,7,buy,0.01,4835.774,4833.514,-2.26,91.92,0.5833333333333334,sl,AC1,IMP,IMP,98,A,,,BULL,S90-99,AC1|IMP|S98|A|BULL,sl 4833.565,2.2373999999999974
2026-01-22 10:49:00,2026-01-22 10:50:34,2026-01,2026-01-22,10,buy,0.01,4829.193,4830.535,1.35,93.27,1.5666666666666667,tp,AC1,IMP,IMP,86,A,,,BULL,S80-89,AC1|IMP|S86|A|BULL,tp 4830.511,1.3365800000000037
2026-01-22 10:50:00,2026-01-22 10:51:11,2026-01,2026-01-22,10,buy,0.01,4829.674,4830.956,1.29,94.56,1.1833333333333333,tp,AC1,IMP,IMP,91,A,,,BULL,S90-99,AC1|IMP|S91|A|BULL,tp 4830.951,1.2771799999999984
2026-01-22 10:51:00,2026-01-22 10:51:41,2026-01,2026-01-22,10,buy,0.01,4830.888,4831.012,0.12,94.68,0.6833333333333333,sl,AC1,IMP,IMP,98,A,,,BULL,S90-99,AC1|IMP|S98|A|BULL,sl 4831.014,0.11876000000000203
2026-01-23 05:17:00,2026-01-23 05:19:41,2026-01,2026-01-23,5,buy,0.01,4957.216,4957.298,0.08,94.76,2.683333333333333,sl,AC1,IMP,IMP,74,B,,,BULL,S70-79,AC1|IMP|S74|B|BULL,sl 4957.315,0.07918000000000575
2026-01-23 05:19:00,2026-01-23 05:22:00,2026-01,2026-01-23,5,buy,0.01,4957.849,4958.853,1.0,95.76,3.0,tp,AC1,IMP,IMP,81,B,,,BULL,S80-89,AC1|IMP|S81|B|BULL,tp 4958.852,0.989960000000001
2026-01-23 05:21:01,2026-01-23 05:22:41,2026-01,2026-01-23,5,buy,0.01,4958.707,4959.732,1.02,96.78,1.6666666666666667,tp,AC1,IMP,IMP,93,A,,,BULL,S90-99,AC1|IMP|S93|A|BULL,tp 4959.729,1.0097500000000037
2026-01-23 05:31:00,2026-01-23 05:31:14,2026-01,2026-01-23,5,buy,0.01,4960.641,4959.402,-1.24,95.54,0.23333333333333334,sl,AC1,IMP,IMP,98,A,,,BULL,S90-99,AC1|IMP|S98|A|BULL,sl 4959.431,1.2276100000000043
2026-01-23 05:41:00,2026-01-23 05:43:14,2026-01,2026-01-23,5,buy,0.01,4960.206,4960.521,0.31,95.85,2.2333333333333334,sl,AC1,IMP,IMP,86,A,,,BULL,S80-89,AC1|IMP|S86|A|BULL,sl 4960.553,0.306850000000004
2026-01-23 05:42:00,2026-01-23 05:43:14,2026-01,2026-01-23,5,buy,0.01,4960.447,4960.521,0.07,95.92,1.2333333333333334,sl,AC1,IMP,IMP,86,A,,,BULL,S80-89,AC1|IMP|S86|A|BULL,sl 4960.553,0.06926000000000386
2026-01-23 05:46:00,2026-01-23 05:46:45,2026-01,2026-01-23,5,buy,0.01,4961.676,4963.044,1.36,97.28,0.75,tp,AC1,IMP,IMP,79,B,,,BULL,S70-79,AC1|IMP|S79|B|BULL,tp 4963.027,1.3463200000000053
2026-01-23 05:47:00,2026-01-23 05:47:44,2026-01,2026-01-23,5,buy,0.01,4963.434,4964.92,1.49,98.77,0.7333333333333333,tp,AC1,IMP,IMP,98,A,,,BULL,S90-99,AC1|IMP|S98|A|BULL,tp 4964.895,1.4751400000000012
2026-01-23 07:20:01,2026-01-23 07:20:39,2026-01,2026-01-23,7,buy,0.01,4957.215,4958.617,1.4,100.17,0.6333333333333333,tp,AC1,IMP,IMP,93,A,,,BULL,S90-99,AC1|IMP|S93|A|BULL,tp 4958.601,1.3859799999999995
2026-01-26 07:15:00,2026-01-26 07:16:42,2026-01,2026-01-26,7,buy,0.01,5091.033,5093.895,2.87,103.04,1.7,tp,AC1,IMP,IMP,86,A,,,BULL,S80-89,AC1|IMP|S86|A|BULL,tp 5093.865,2.841379999999999
2026-01-26 07:17:00,2026-01-26 07:18:41,2026-01,2026-01-26,7,buy,0.01,5093.023,5095.725,2.71,105.75,1.6833333333333333,tp,AC1,IMP,IMP,98,A,,,BULL,S90-99,AC1|IMP|S98|A|BULL,tp 5095.683,2.682979999999998
2026-01-26 07:18:00,2026-01-26 07:21:25,2026-01,2026-01-26,7,buy,0.01,5094.786,5092.1,-2.69,103.06,3.4166666666666665,sl,AC1,IMP,IMP,98,A,,,BULL,S90-99,AC1|IMP|S98|A|BULL,sl 5092.103,2.663140000000003
2026-01-26 10:40:00,2026-01-26 10:44:43,2026-01,2026-01-26,10,buy,0.01,5094.774,5092.394,-2.38,100.68,4.716666666666667,sl,AC1,IMP,IMP,93,A,,,BULL,S90-99,AC1|IMP|S93|A|BULL,sl 5092.410,2.356199999999999
2026-01-27 05:46:00,2026-01-27 05:47:36,2026-01,2026-01-27,5,buy,0.01,5077.81,5080.247,2.44,103.12,1.6,tp,AC1,IMP,IMP,93,A,,,BULL,S90-99,AC1|IMP|S93|A|BULL,tp 5080.239,2.415630000000001
2026-01-27 05:51:00,2026-01-27 05:52:18,2026-01,2026-01-27,5,buy,0.01,5083.729,5080.944,-2.79,100.33,1.3,sl,AC1,IMP,IMP,98,A,,,BULL,S90-99,AC1|IMP|S98|A|BULL,sl 5080.953,2.7621500000000014
2026-01-27 07:07:00,2026-01-27 07:08:47,2026-01,2026-01-27,7,buy,0.01,5089.53,5092.254,2.72,103.05,1.7833333333333334,tp,AC1,IMP,IMP,81,B,,,BULL,S80-89,AC1|IMP|S81|B|BULL,tp 5092.190,2.6927599999999985
2026-01-27 07:09:00,2026-01-27 07:10:17,2026-01,2026-01-27,7,buy,0.01,5092.431,5092.453,0.02,103.07,1.2833333333333334,sl,AC1,IMP,IMP,98,A,,,BULL,S90-99,AC1|IMP|S98|A|BULL,sl 5092.584,0.01977999999999156
2026-01-27 07:10:00,2026-01-27 07:10:17,2026-01,2026-01-27,7,buy,0.01,5093.684,5090.76,-2.92,100.15,0.2833333333333333,sl,AC1,IMP,IMP,86,A,,,BULL,S80-89,AC1|IMP|S86|A|BULL,sl 5090.779,2.89076
2026-01-27 07:31:00,2026-01-27 07:31:27,2026-01,2026-01-27,7,buy,0.01,5090.445,5093.282,2.83,102.98,0.45,tp,AC1,IMP,IMP,86,A,,,BULL,S80-89,AC1|IMP|S86|A|BULL,tp 5093.207,2.801629999999996
2026-01-27 07:32:00,2026-01-27 07:32:18,2026-01,2026-01-27,7,buy,0.01,5093.887,5096.214,2.32,105.3,0.3,tp,AC1,IMP,IMP,93,A,,,BULL,S90-99,AC1|IMP|S93|A|BULL,tp 5096.213,2.2967299999999975
2026-01-27 07:39:00,2026-01-27 07:39:55,2026-01,2026-01-27,7,buy,0.01,5099.533,5096.684,-2.85,102.45,0.9166666666666666,sl,AC1,IMP,IMP,98,A,,,BULL,S90-99,AC1|IMP|S98|A|BULL,sl 5096.765,2.8215099999999986
2026-01-27 07:42:00,2026-01-27 07:43:13,2026-01,2026-01-27,7,buy,0.01,5100.02,5097.239,-2.78,99.67,1.2166666666666666,sl,AC1,IMP,IMP,91,A,,,BULL,S90-99,AC1|IMP|S91|A|BULL,sl 5097.275,2.7521899999999913
