entry_time,exit_time,entry_month,entry_date,entry_hour,side,volume,entry_price,exit_price,profit,balance,hold_minutes,exit_reason,family,engine,code,score,grade,regime_tag,hour_tag,tags,score_bucket,entry_comment,exit_comment,match_error
2026-02-05 05:00:00,2026-02-05 05:00:15,2026-02,2026-02-05,5,sell,0.01,4862.871,4866.613,-3.74,87.48,0.25,sl,AC1,IMP,IMP,98,A,,,BEAR,S90-99,AC1|IMP|S98|A|BEAR,sl 4866.395,3.7025799999999984
2026-02-04 05:42:00,2026-02-04 05:44:13,2026-02,2026-02-04,5,buy,0.01,5085.909,5082.376,-3.53,94.32,2.216666666666667,sl,AC1,IMP,IMP,93,A,,,BULL,S90-99,AC1|IMP|S93|A|BULL,sl 5082.532,3.4946700000000055
2026-03-13 05:54:00,2026-03-13 05:57:30,2026-03,2026-03-13,5,sell,0.01,5099.25,5102.433,-3.18,130.43,3.5,sl,AC1,IMP,IMP,86,A,,,BEAR,S80-89,AC1|IMP|S86|A|BEAR,sl 5102.050,3.1481700000000004
2026-02-09 05:56:00,2026-02-09 05:57:14,2026-02,2026-02-09,5,buy,0.01,5037.894,5034.823,-3.07,94.87,1.2333333333333334,sl,AC1,IMP,IMP,98,A,,,BULL,S90-99,AC1|IMP|S98|A|BULL,sl 5035.094,3.0392900000000007
2026-03-23 05:25:00,2026-03-23 05:25:52,2026-03,2026-03-23,5,sell,0.01,4354.595,4357.665,-3.07,128.84,0.8666666666666667,sl,AC1,IMP,IMP,98,A,,,BEAR,S90-99,AC1|IMP|S98|A|BEAR,sl 4357.464,3.0393000000000026
2026-02-04 05:47:00,2026-02-04 05:53:15,2026-02,2026-02-04,5,buy,0.01,5087.936,5085.766,-3.06,91.22,6.25,sl,AC1,IMP,IMP,93,A,,,BULL,S90-99,AC1|IMP|S93|A|BULL,sl 5086.033,3.038299999999999
2026-03-16 05:32:00,2026-03-16 05:32:27,2026-03,2026-03-16,5,sell,0.01,5004.998,5008.016,-3.02,127.68,0.45,sl,AC1,IMP,IMP,93,A,,,BEAR,S90-99,AC1|IMP|S93|A|BEAR,sl 5007.927,2.98982
2026-01-21 05:35:00,2026-01-21 05:40:05,2026-01,2026-01-21,5,buy,0.01,4876.413,4873.417,-2.99,101.74,5.083333333333333,sl,AC1,IMP,IMP,93,A,,,BULL,S90-99,AC1|IMP|S93|A|BULL,sl 4873.420,2.960040000000008
2026-03-30 05:46:00,2026-03-30 05:46:28,2026-03,2026-03-30,5,buy,0.01,4513.491,4510.578,-2.91,131.8,0.4666666666666667,sl,AC1,IMP,IMP,93,A,,,BULL,S90-99,AC1|IMP|S93|A|BULL,sl 4510.624,2.8808700000000047
2026-01-28 05:42:00,2026-01-28 05:43:23,2026-01,2026-01-28,5,buy,0.01,5266.27,5263.367,-2.9,102.09,1.3833333333333333,sl,AC1,IMP,IMP,98,A,,,BULL,S90-99,AC1|IMP|S98|A|BULL,sl 5263.387,2.8709699999999976
2026-03-02 05:42:00,2026-03-02 05:42:06,2026-03,2026-03-02,5,buy,0.01,5360.39,5357.544,-2.85,125.1,0.1,sl,AC1,IMP,IMP,98,A,,,BULL,S90-99,AC1|IMP|S98|A|BULL,sl 5357.590,2.8215399999999957
2026-01-28 05:24:00,2026-01-28 05:24:57,2026-01,2026-01-28,5,buy,0.01,5259.826,5256.995,-2.83,104.99,0.95,sl,AC1,IMP,IMP,98,A,,,BULL,S90-99,AC1|IMP|S98|A|BULL,sl 5256.997,2.801689999999999
2026-03-19 05:57:00,2026-03-19 05:57:44,2026-03,2026-03-19,5,sell,0.01,4828.895,4831.73,-2.83,129.18,0.7333333333333333,sl,AC1,IMP,IMP,98,A,,,BEAR,S90-99,AC1|IMP|S98|A|BEAR,sl 4831.695,2.801650000000009
