entry_time,exit_time,entry_month,entry_date,entry_hour,side,volume,entry_price,exit_price,profit,balance,hold_minutes,exit_reason,family,engine,code,score,grade,regime_tag,hour_tag,tags,score_bucket,entry_comment,exit_comment,match_error
2026-01-05 05:13:00,2026-01-05 05:13:46,2026-01,2026-01-05,5,buy,0.01,4407.453,4408.717,1.27,101.27,0.7666666666666667,tp,AC1,IMP,IMP,91,A,,,BULL,S90-99,AC1|IMP|S91|A|BULL,tp 4408.707,1.2573600000000078
2026-01-05 05:14:00,2026-01-05 05:16:43,2026-01,2026-01-05,5,buy,0.01,4408.347,4409.591,1.24,102.51,2.716666666666667,tp,AC1,IMP,IMP,98,A,,,BULL,S90-99,AC1|IMP|S98|A|BULL,tp 4409.564,1.227559999999994
2026-01-05 05:27:00,2026-01-05 05:27:35,2026-01,2026-01-05,5,buy,0.01,4409.969,4410.337,0.37,102.88,0.5833333333333334,sl,AC1,IMP,IMP,93,A,,,BULL,S90-99,AC1|IMP|S93|A|BULL,sl 4410.365,0.3663199999999961
2026-01-05 05:28:00,2026-01-05 05:29:37,2026-01,2026-01-05,5,buy,0.01,4410.804,4411.95,1.15,104.03,1.6166666666666667,tp,AC1,IMP,IMP,93,A,,,BULL,S90-99,AC1|IMP|S93|A|BULL,tp 4411.923,1.1385400000000025
2026-01-06 05:05:00,2026-01-06 05:06:47,2026-01,2026-01-06,5,buy,0.02,4469.055,4469.094,0.08,104.11,1.7833333333333334,sl,AC1,IMP,IMP,98,A,,,BULL,S90-99,AC1|IMP|S98|A|BULL,sl 4469.105,0.0792200000000048
2026-01-06 05:18:00,2026-01-06 05:23:19,2026-01,2026-01-06,5,buy,0.01,4469.72,4468.415,-1.3,102.81,5.316666666666666,sl,AC1,IMP,IMP,81,B,,,BULL,S80-89,AC1|IMP|S81|B|BULL,sl 4468.434,1.2869499999999972
2026-01-12 05:27:00,2026-01-12 05:28:36,2026-01,2026-01-12,5,buy,0.01,4573.663,4571.958,-1.7,101.11,1.6,sl,AC1,IMP,IMP,93,A,,,BULL,S90-99,AC1|IMP|S93|A|BULL,sl 4571.991,1.6829500000000006
2026-01-12 05:34:00,2026-01-12 05:37:31,2026-01,2026-01-12,5,buy,0.01,4578.067,4575.736,-2.33,98.78,3.5166666666666666,sl,AC1,IMP,IMP,93,A,,,BULL,S90-99,AC1|IMP|S93|A|BULL,sl 4575.833,2.306689999999999
2026-01-12 05:42:00,2026-01-12 05:44:35,2026-01,2026-01-12,5,buy,0.01,4580.438,4582.948,2.51,101.29,2.5833333333333335,tp,AC1,IMP,IMP,93,A,,,BULL,S90-99,AC1|IMP|S93|A|BULL,tp 4582.945,2.4848999999999974
2026-01-12 05:45:00,2026-01-12 05:45:55,2026-01,2026-01-12,5,buy,0.01,4581.946,4582.639,0.69,101.98,0.9166666666666666,sl,AC1,IMP,IMP,86,A,,,BULL,S80-89,AC1|IMP|S86|A|BULL,sl 4582.645,0.6830699999999978
2026-01-14 05:01:00,2026-01-14 05:01:09,2026-01,2026-01-14,5,buy,0.01,4630.63,4630.673,0.04,102.02,0.15,sl,AC1,IMP,IMP,86,A,,,BULL,S80-89,AC1|IMP|S86|A|BULL,sl 4630.680,0.039570000000003346
2026-01-14 05:29:00,2026-01-14 05:30:00,2026-01,2026-01-14,5,buy,0.01,4635.115,4633.645,-1.47,100.55,1.0,sl,AC1,IMP,IMP,93,A,,,BULL,S90-99,AC1|IMP|S93|A|BULL,sl 4633.692,1.4553000000000065
2026-01-14 05:32:00,2026-01-14 05:33:59,2026-01,2026-01-14,5,buy,0.01,4637.159,4638.976,1.82,102.37,1.9833333333333334,tp,AC1,IMP,IMP,93,A,,,BULL,S90-99,AC1|IMP|S93|A|BULL,tp 4638.897,1.80183
2026-01-14 05:34:00,2026-01-14 05:35:01,2026-01,2026-01-14,5,buy,0.01,4639.559,4637.246,-2.31,100.06,1.0166666666666666,sl,AC1,IMP,IMP,93,A,,,BULL,S90-99,AC1|IMP|S93|A|BULL,sl 4637.263,2.286869999999999
2026-01-19 05:02:00,2026-01-19 05:02:33,2026-01,2026-01-19,5,buy,0.01,4666.996,4667.416,0.42,100.48,0.55,sl,AC1,IMP,IMP,98,A,,,BULL,S90-99,AC1|IMP|S98|A|BULL,sl 4667.422,0.4157999999999993
2026-01-19 05:03:00,2026-01-19 05:06:18,2026-01,2026-01-19,5,buy,0.01,4668.896,4667.274,-1.63,98.85,3.3,sl,AC1,IMP,IMP,98,A,,,BULL,S90-99,AC1|IMP|S98|A|BULL,sl 4667.274,1.613780000000006
2026-01-19 05:07:00,2026-01-19 05:09:28,2026-01,2026-01-19,5,buy,0.01,4671.265,4669.041,-2.23,96.62,2.466666666666667,sl,AC1,IMP,IMP,98,A,,,BULL,S90-99,AC1|IMP|S98|A|BULL,sl 4669.072,2.207759999999998
2026-01-19 05:23:00,2026-01-19 05:24:17,2026-01,2026-01-19,5,buy,0.01,4670.991,4672.004,1.01,97.63,1.2833333333333334,tp,AC1,IMP,IMP,93,A,,,BULL,S90-99,AC1|IMP|S93|A|BULL,tp 4671.989,0.9998700000000008
2026-01-19 05:25:00,2026-01-19 05:26:06,2026-01,2026-01-19,5,buy,0.01,4671.996,4670.853,-1.15,96.48,1.1,sl,AC1,IMP,IMP,93,A,,,BULL,S90-99,AC1|IMP|S93|A|BULL,sl 4670.863,1.1385699999999996
2026-01-19 05:57:00,2026-01-19 06:00:50,2026-01,2026-01-19,5,buy,0.01,4671.493,4669.355,-2.13,94.35,3.8333333333333335,sl,AC1,IMP,IMP,93,A,,,BULL,S90-99,AC1|IMP|S93|A|BULL,sl 4669.377,2.1086199999999917
2026-01-20 05:06:00,2026-01-20 05:06:58,2026-01,2026-01-20,5,buy,0.01,4698.489,4700.497,2.01,96.36,0.9666666666666667,tp,AC1,IMP,IMP,98,A,,,BULL,S90-99,AC1|IMP|S98|A|BULL,tp 4700.485,1.9899199999999926
2026-01-20 05:35:00,2026-01-20 05:35:36,2026-01,2026-01-20,5,buy,0.01,4704.821,4702.199,-2.62,93.74,0.6,sl,AC1,IMP,IMP,93,A,,,BULL,S90-99,AC1|IMP|S93|A|BULL,sl 4702.217,2.593779999999997
2026-01-20 05:47:00,2026-01-20 05:51:50,2026-01,2026-01-20,5,buy,0.01,4706.898,4707.756,0.86,94.6,4.833333333333333,sl,AC1,IMP,IMP,79,B,,,BULL,S70-79,AC1|IMP|S79|B|BULL,sl 4707.795,0.8514199999999983
2026-01-20 05:51:00,2026-01-20 05:53:20,2026-01,2026-01-20,5,buy,0.01,4708.836,4709.185,0.35,94.95,2.3333333333333335,sl,AC1,IMP,IMP,98,A,,,BULL,S90-99,AC1|IMP|S98|A|BULL,sl 4709.198,0.3465099999999984
2026-01-20 05:54:00,2026-01-20 05:55:18,2026-01,2026-01-20,5,buy,0.01,4709.796,4711.792,1.99,96.94,1.3,tp,AC1,IMP,IMP,98,A,,,BULL,S90-99,AC1|IMP|S98|A|BULL,tp 4711.775,1.9700399999999991
2026-01-21 05:11:00,2026-01-21 05:16:05,2026-01,2026-01-21,5,buy,0.01,4866.269,4868.955,2.69,99.63,5.083333333333333,tp,AC1,IMP,IMP,98,A,,,BULL,S90-99,AC1|IMP|S98|A|BULL,tp 4868.876,2.663140000000003
2026-01-21 05:16:01,2026-01-21 05:18:26,2026-01,2026-01-21,5,buy,0.01,4868.292,4870.868,2.58,102.21,2.4166666666666665,tp,AC1,IMP,IMP,86,A,,,BULL,S80-89,AC1|IMP|S86|A|BULL,tp 4870.847,2.55424
2026-01-21 05:17:00,2026-01-21 05:18:27,2026-01,2026-01-21,5,buy,0.01,4869.666,4871.98,2.31,104.52,1.45,tp,AC1,IMP,IMP,98,A,,,BULL,S90-99,AC1|IMP|S98|A|BULL,tp 4871.975,2.286860000000006
2026-01-21 05:19:00,2026-01-21 05:22:57,2026-01,2026-01-21,5,buy,0.01,4872.696,4870.166,-2.53,101.99,3.95,sl,AC1,IMP,IMP,98,A,,,BULL,S90-99,AC1|IMP|S98|A|BULL,sl 4870.171,2.5047000000000024
2026-01-21 05:34:00,2026-01-21 05:34:29,2026-01,2026-01-21,5,buy,0.01,4872.011,4874.75,2.74,104.73,0.48333333333333334,tp,AC1,IMP,IMP,93,A,,,BULL,S90-99,AC1|IMP|S93|A|BULL,tp 4874.671,2.7126100000000046
2026-01-21 05:35:00,2026-01-21 05:40:05,2026-01,2026-01-21,5,buy,0.01,4876.413,4873.417,-2.99,101.74,5.083333333333333,sl,AC1,IMP,IMP,93,A,,,BULL,S90-99,AC1|IMP|S93|A|BULL,sl 4873.420,2.960040000000008
2026-01-21 05:47:00,2026-01-21 05:54:25,2026-01,2026-01-21,5,buy,0.01,4875.853,4873.029,-2.82,98.92,7.416666666666667,sl,AC1,IMP,IMP,93,A,,,BULL,S90-99,AC1|IMP|S93|A|BULL,sl 4873.053,2.7917600000000036
2026-01-23 05:17:00,2026-01-23 05:19:41,2026-01,2026-01-23,5,buy,0.01,4957.216,4957.298,0.08,99.0,2.683333333333333,sl,AC1,IMP,IMP,74,B,,,BULL,S70-79,AC1|IMP|S74|B|BULL,sl 4957.315,0.07918000000000575
2026-01-23 05:19:00,2026-01-23 05:22:00,2026-01,2026-01-23,5,buy,0.01,4957.849,4958.853,1.0,100.0,3.0,tp,AC1,IMP,IMP,81,B,,,BULL,S80-89,AC1|IMP|S81|B|BULL,tp 4958.852,0.989960000000001
2026-01-23 05:21:01,2026-01-23 05:22:41,2026-01,2026-01-23,5,buy,0.01,4958.707,4959.732,1.02,101.02,1.6666666666666667,tp,AC1,IMP,IMP,93,A,,,BULL,S90-99,AC1|IMP|S93|A|BULL,tp 4959.729,1.0097500000000037
2026-01-23 05:31:00,2026-01-23 05:31:14,2026-01,2026-01-23,5,buy,0.01,4960.641,4959.402,-1.24,99.78,0.23333333333333334,sl,AC1,IMP,IMP,98,A,,,BULL,S90-99,AC1|IMP|S98|A|BULL,sl 4959.431,1.2276100000000043
2026-01-23 05:41:00,2026-01-23 05:43:14,2026-01,2026-01-23,5,buy,0.01,4960.206,4960.521,0.31,100.09,2.2333333333333334,sl,AC1,IMP,IMP,86,A,,,BULL,S80-89,AC1|IMP|S86|A|BULL,sl 4960.553,0.306850000000004
2026-01-23 05:42:00,2026-01-23 05:43:14,2026-01,2026-01-23,5,buy,0.01,4960.447,4960.521,0.07,100.16,1.2333333333333334,sl,AC1,IMP,IMP,86,A,,,BULL,S80-89,AC1|IMP|S86|A|BULL,sl 4960.553,0.06926000000000386
2026-01-23 05:46:00,2026-01-23 05:46:45,2026-01,2026-01-23,5,buy,0.01,4961.676,4963.044,1.36,101.52,0.75,tp,AC1,IMP,IMP,79,B,,,BULL,S70-79,AC1|IMP|S79|B|BULL,tp 4963.027,1.3463200000000053
2026-01-23 05:47:00,2026-01-23 05:47:44,2026-01,2026-01-23,5,buy,0.01,4963.434,4964.92,1.49,103.01,0.7333333333333333,tp,AC1,IMP,IMP,98,A,,,BULL,S90-99,AC1|IMP|S98|A|BULL,tp 4964.895,1.4751400000000012
2026-01-27 05:46:00,2026-01-27 05:47:36,2026-01,2026-01-27,5,buy,0.01,5077.81,5080.247,2.44,105.45,1.6,tp,AC1,IMP,IMP,93,A,,,BULL,S90-99,AC1|IMP|S93|A|BULL,tp 5080.239,2.415630000000001
2026-01-27 05:51:00,2026-01-27 05:52:18,2026-01,2026-01-27,5,buy,0.01,5083.729,5080.944,-2.79,102.66,1.3,sl,AC1,IMP,IMP,98,A,,,BULL,S90-99,AC1|IMP|S98|A|BULL,sl 5080.953,2.7621500000000014
2026-01-28 05:06:00,2026-01-28 05:07:30,2026-01,2026-01-28,5,buy,0.01,5249.394,5252.057,2.67,105.33,1.5,tp,AC1,IMP,IMP,79,B,,,BULL,S70-79,AC1|IMP|S79|B|BULL,tp 5252.054,2.6433700000000044
2026-01-28 05:07:00,2026-01-28 05:10:12,2026-01,2026-01-28,5,buy,0.01,5251.257,5253.902,2.64,107.97,3.2,tp,AC1,IMP,IMP,98,A,,,BULL,S90-99,AC1|IMP|S98|A|BULL,tp 5253.880,2.6135499999999956
2026-01-28 05:08:00,2026-01-28 05:10:13,2026-01,2026-01-28,5,buy,0.01,5252.358,5255.023,2.66,110.63,2.216666666666667,tp,AC1,IMP,IMP,86,A,,,BULL,S80-89,AC1|IMP|S86|A|BULL,tp 5254.994,2.6333500000000005
2026-01-28 05:20:00,2026-01-28 05:21:33,2026-01,2026-01-28,5,buy,0.01,5257.835,5255.03,-2.81,107.82,1.55,sl,AC1,IMP,IMP,98,A,,,BULL,S90-99,AC1|IMP|S98|A|BULL,sl 5255.036,2.781949999999997
2026-01-28 05:24:00,2026-01-28 05:24:57,2026-01,2026-01-28,5,buy,0.01,5259.826,5256.995,-2.83,104.99,0.95,sl,AC1,IMP,IMP,98,A,,,BULL,S90-99,AC1|IMP|S98|A|BULL,sl 5256.997,2.801689999999999
2026-01-28 05:42:00,2026-01-28 05:43:23,2026-01,2026-01-28,5,buy,0.01,5266.27,5263.367,-2.9,102.09,1.3833333333333333,sl,AC1,IMP,IMP,98,A,,,BULL,S90-99,AC1|IMP|S98|A|BULL,sl 5263.387,2.8709699999999976
2026-01-29 05:40:00,2026-01-29 05:40:20,2026-01,2026-01-29,5,buy,0.01,5554.072,5551.271,-2.8,99.29,0.3333333333333333,sl,AC1,IMP,IMP,98,A,,,BULL,S90-99,AC1|IMP|S98|A|BULL,sl 5551.293,2.771989999999996
2026-01-29 05:49:00,2026-01-29 05:49:16,2026-01,2026-01-29,5,buy,0.01,5557.694,5560.379,2.69,101.98,0.26666666666666666,tp,AC1,IMP,IMP,98,A,,,BULL,S90-99,AC1|IMP|S98|A|BULL,tp 5560.365,2.6631500000000052
2026-01-29 05:57:00,2026-01-29 05:57:10,2026-01,2026-01-29,5,buy,0.01,5561.558,5559.244,-2.32,99.66,0.16666666666666666,sl,AC1,IMP,IMP,98,A,,,BULL,S90-99,AC1|IMP|S98|A|BULL,sl 5559.307,2.2968599999999966
2026-02-04 05:10:00,2026-02-04 05:18:33,2026-02,2026-02-04,5,buy,0.01,5083.579,5084.085,0.51,100.17,8.55,sl,AC1,IMP,IMP,91,A,,,BULL,S90-99,AC1|IMP|S91|A|BULL,sl 5084.199,0.5049399999999968
2026-02-04 05:18:00,2026-02-04 05:18:36,2026-02,2026-02-04,5,buy,0.01,5084.647,5082.334,-2.32,97.85,0.6,sl,AC1,IMP,IMP,91,A,,,BULL,S90-99,AC1|IMP|S91|A|BULL,sl 5082.336,2.296869999999999
2026-02-04 05:42:00,2026-02-04 05:44:13,2026-02,2026-02-04,5,buy,0.01,5085.909,5082.376,-3.53,94.32,2.216666666666667,sl,AC1,IMP,IMP,93,A,,,BULL,S90-99,AC1|IMP|S93|A|BULL,sl 5082.532,3.4946700000000055
2026-02-04 05:48:00,2026-02-04 05:51:12,2026-02,2026-02-04,5,buy,0.01,5088.833,5087.895,-0.04,94.28,3.2,sl,AC1,IMP,IMP,74,B,,,BULL,S70-79,AC1|IMP|S74|B|BULL,sl 5087.998,0.030620000000008078
2026-02-04 05:47:00,2026-02-04 05:53:15,2026-02,2026-02-04,5,buy,0.01,5087.936,5085.766,-3.06,91.22,6.25,sl,AC1,IMP,IMP,93,A,,,BULL,S90-99,AC1|IMP|S93|A|BULL,sl 5086.033,3.038299999999999
2026-02-05 05:00:00,2026-02-05 05:00:15,2026-02,2026-02-05,5,sell,0.01,4862.871,4866.613,-3.74,87.48,0.25,sl,AC1,IMP,IMP,98,A,,,BEAR,S90-99,AC1|IMP|S98|A|BEAR,sl 4866.395,3.7025799999999984
2026-02-09 05:10:00,2026-02-09 05:12:36,2026-02,2026-02-09,5,buy,0.01,5019.48,5016.736,-2.74,84.74,2.6,sl,AC1,IMP,IMP,79,B,,,BULL,S70-79,AC1|IMP|S79|B|BULL,sl 5016.774,2.7125600000000034
2026-02-09 05:17:01,2026-02-09 05:22:40,2026-02,2026-02-09,5,buy,0.01,5021.726,5024.291,2.56,87.3,5.65,tp,AC1,IMP,IMP,98,A,,,BULL,S90-99,AC1|IMP|S98|A|BULL,tp 5024.165,2.534349999999995
2026-02-09 05:20:00,2026-02-09 05:22:45,2026-02,2026-02-09,5,buy,0.01,5022.041,5024.837,2.8,90.1,2.75,tp,AC1,IMP,IMP,91,A,,,BULL,S90-99,AC1|IMP|S91|A|BULL,tp 5024.734,2.772039999999997
2026-02-09 05:23:00,2026-02-09 05:26:01,2026-02,2026-02-09,5,buy,0.01,5023.655,5026.025,2.37,92.47,3.0166666666666666,tp,AC1,IMP,IMP,79,B,,,BULL,S70-79,AC1|IMP|S79|B|BULL,tp 5025.969,2.346300000000001
2026-02-09 05:26:00,2026-02-09 05:28:04,2026-02,2026-02-09,5,buy,0.01,5025.996,5028.682,2.68,95.15,2.066666666666667,tp,AC1,IMP,IMP,91,A,,,BULL,S90-99,AC1|IMP|S91|A|BULL,tp 5028.656,2.653140000000003
2026-02-09 05:55:00,2026-02-09 05:55:14,2026-02,2026-02-09,5,buy,0.01,5035.606,5038.398,2.79,97.94,0.23333333333333334,tp,AC1,IMP,IMP,81,B,,,BULL,S80-89,AC1|IMP|S81|B|BULL,tp 5038.266,2.7620799999999965
2026-02-09 05:56:00,2026-02-09 05:57:14,2026-02,2026-02-09,5,buy,0.01,5037.894,5034.823,-3.07,94.87,1.2333333333333334,sl,AC1,IMP,IMP,98,A,,,BULL,S90-99,AC1|IMP|S98|A|BULL,sl 5035.094,3.0392900000000007
2026-02-11 05:31:00,2026-02-11 05:34:20,2026-02,2026-02-11,5,buy,0.01,5055.437,5055.77,0.33,95.2,3.3333333333333335,sl,AC1,IMP,IMP,93,A,,,BULL,S90-99,AC1|IMP|S93|A|BULL,sl 5055.840,0.32666999999999463
2026-02-11 05:32:00,2026-02-11 05:34:36,2026-02,2026-02-11,5,buy,0.01,5056.347,5056.798,0.45,95.65,2.6,sl,AC1,IMP,IMP,81,B,,,BULL,S80-89,AC1|IMP|S81|B|BULL,sl 5056.867,0.4454899999999998
2026-02-11 05:35:00,2026-02-11 05:35:17,2026-02,2026-02-11,5,buy,0.01,5057.746,5059.528,1.78,97.43,0.2833333333333333,tp,AC1,IMP,IMP,98,A,,,BULL,S90-99,AC1|IMP|S98|A|BULL,tp 5059.442,1.7621799999999985
2026-02-17 05:04:00,2026-02-17 05:06:26,2026-02,2026-02-17,5,sell,0.01,4949.755,4947.952,1.81,99.24,2.433333333333333,tp,AC1,IMP,IMP,93,A,,,BEAR,S90-99,AC1|IMP|S93|A|BEAR,tp 4948.032,1.7919700000000012
2026-02-19 05:01:00,2026-02-19 05:02:58,2026-02,2026-02-19,5,buy,0.01,4985.348,4987.354,2.0,101.24,1.9666666666666666,tp,AC1,IMP,IMP,79,B,,,BULL,S70-79,AC1|IMP|S79|B|BULL,tp 4987.250,1.979939999999997
2026-02-19 05:04:01,2026-02-19 05:06:02,2026-02,2026-02-19,5,buy,0.01,4987.827,4989.425,1.6,102.84,2.0166666666666666,tp,AC1,IMP,IMP,79,B,,,BULL,S70-79,AC1|IMP|S79|B|BULL,tp 4989.394,1.5840200000000004
2026-02-19 05:26:00,2026-02-19 05:27:08,2026-02,2026-02-19,5,buy,0.01,4989.781,4988.226,-1.55,101.29,1.1333333333333333,sl,AC1,IMP,IMP,74,B,,,BULL,S70-79,AC1|IMP|S74|B|BULL,sl 4988.318,1.5344499999999972
2026-02-19 05:33:00,2026-02-19 05:34:57,2026-02,2026-02-19,5,buy,0.01,4991.041,4992.395,1.36,102.65,1.95,tp,AC1,IMP,IMP,74,B,,,BULL,S70-79,AC1|IMP|S74|B|BULL,tp 4992.352,1.3464599999999973
2026-02-19 05:35:00,2026-02-19 05:36:28,2026-02,2026-02-19,5,buy,0.01,4992.172,4993.546,1.38,104.03,1.4666666666666666,tp,AC1,IMP,IMP,98,A,,,BULL,S90-99,AC1|IMP|S98|A|BULL,tp 4993.523,1.366259999999993
2026-02-20 05:00:00,2026-02-20 05:00:14,2026-02,2026-02-20,5,buy,0.01,5000.42,5001.491,1.07,105.1,0.23333333333333334,tp,AC1,IMP,IMP,93,A,,,BULL,S90-99,AC1|IMP|S93|A|BULL,tp 5001.378,1.059290000000001
2026-02-20 05:01:00,2026-02-20 05:01:37,2026-02,2026-02-20,5,buy,0.01,5002.016,5002.336,0.32,105.42,0.6166666666666667,sl,AC1,IMP,IMP,98,A,,,BULL,S90-99,AC1|IMP|S98|A|BULL,sl 5002.452,0.3167999999999938
2026-02-20 05:25:00,2026-02-20 05:27:59,2026-02,2026-02-20,5,buy,0.01,5001.516,5001.638,0.12,105.54,2.9833333333333334,sl,AC1,IMP,IMP,81,B,,,BULL,S80-89,AC1|IMP|S81|B|BULL,sl 5001.686,0.11877999999999701
2026-02-20 05:38:00,2026-02-20 05:38:25,2026-02,2026-02-20,5,buy,0.01,5004.193,5004.216,0.03,105.57,0.4166666666666667,sl,AC1,IMP,IMP,91,A,,,BULL,S90-99,AC1|IMP|S91|A|BULL,sl 5004.243,0.029769999999998617
2026-02-20 05:36:00,2026-02-20 05:39:33,2026-02,2026-02-20,5,buy,0.01,5004.26,5002.902,-1.36,104.21,3.55,sl,AC1,IMP,IMP,98,A,,,BULL,S90-99,AC1|IMP|S98|A|BULL,sl 5002.927,1.3464199999999984
2026-02-20 05:48:00,2026-02-20 05:48:39,2026-02,2026-02-20,5,buy,0.01,5004.141,5006.351,2.21,106.42,0.65,tp,AC1,IMP,IMP,98,A,,,BULL,S90-99,AC1|IMP|S98|A|BULL,tp 5006.090,2.1878999999999995
2026-02-20 05:49:00,2026-02-20 05:50:09,2026-02,2026-02-20,5,buy,0.01,5005.853,5008.083,2.23,108.65,1.15,tp,AC1,IMP,IMP,98,A,,,BULL,S90-99,AC1|IMP|S98|A|BULL,tp 5008.081,2.2077000000000044
2026-02-20 05:50:00,2026-02-20 05:55:49,2026-02,2026-02-20,5,buy,0.01,5007.08,5007.232,0.15,108.8,5.816666666666666,sl,AC1,IMP,IMP,98,A,,,BULL,S90-99,AC1|IMP|S98|A|BULL,sl 5007.316,0.14847999999999956
2026-02-20 05:51:00,2026-02-20 05:57:56,2026-02,2026-02-20,5,buy,0.01,5007.338,5009.444,2.1,110.9,6.933333333333334,tp,AC1,IMP,IMP,79,B,,,BULL,S70-79,AC1|IMP|S79|B|BULL,tp 5009.397,2.078939999999993
2026-02-25 05:01:01,2026-02-25 05:02:37,2026-02,2026-02-25,5,buy,0.01,5183.922,5185.198,1.28,112.18,1.6,tp,AC1,IMP,IMP,93,A,,,BULL,S90-99,AC1|IMP|S93|A|BULL,tp 5185.181,1.2672399999999926
2026-02-25 05:06:01,2026-02-25 05:06:27,2026-02,2026-02-25,5,buy,0.01,5188.679,5190.687,2.01,114.19,0.43333333333333335,tp,AC1,IMP,IMP,91,A,,,BULL,S90-99,AC1|IMP|S91|A|BULL,tp 5190.236,1.9899200000000017
2026-02-25 05:16:00,2026-02-25 05:17:51,2026-02,2026-02-25,5,buy,0.01,5190.484,5192.486,2.01,116.2,1.85,tp,AC1,IMP,IMP,98,A,,,BULL,S90-99,AC1|IMP|S98|A|BULL,tp 5192.484,1.9899800000000047
2026-02-25 05:18:00,2026-02-25 05:18:21,2026-02,2026-02-25,5,buy,0.01,5192.732,5194.667,1.94,118.14,0.35,tp,AC1,IMP,IMP,98,A,,,BULL,S90-99,AC1|IMP|S98|A|BULL,tp 5194.649,1.920649999999996
2026-02-25 05:42:00,2026-02-25 05:43:16,2026-02,2026-02-25,5,buy,0.01,5199.315,5201.686,2.37,120.51,1.2666666666666666,tp,AC1,IMP,IMP,93,A,,,BULL,S90-99,AC1|IMP|S93|A|BULL,tp 5201.627,2.3462899999999993
2026-02-25 05:44:00,2026-02-25 05:47:15,2026-02,2026-02-25,5,buy,0.01,5202.99,5203.398,0.41,120.92,3.25,sl,AC1,IMP,IMP,98,A,,,BULL,S90-99,AC1|IMP|S98|A|BULL,sl 5203.549,0.4059199999999964
2026-02-26 05:25:01,2026-02-26 05:25:30,2026-02,2026-02-26,5,buy,0.01,5202.87,5205.838,2.97,123.89,0.48333333333333334,tp,AC1,IMP,IMP,79,B,,,BULL,S70-79,AC1|IMP|S79|B|BULL,tp 5204.949,2.9403200000000016
2026-02-27 05:24:01,2026-02-27 05:24:48,2026-02,2026-02-27,5,buy,0.01,5188.067,5189.267,1.2,125.09,0.7833333333333333,tp,AC1,IMP,IMP,86,A,,,BULL,S80-89,AC1|IMP|S86|A|BULL,tp 5189.263,1.1880000000000017
2026-02-27 05:25:00,2026-02-27 05:25:35,2026-02,2026-02-27,5,buy,0.01,5189.408,5190.761,1.35,126.44,0.5833333333333334,tp,AC1,IMP,IMP,86,A,,,BULL,S80-89,AC1|IMP|S86|A|BULL,tp 5190.696,1.3364699999999994
2026-02-27 05:55:00,2026-02-27 05:57:03,2026-02,2026-02-27,5,buy,0.01,5195.187,5197.137,1.95,128.39,2.05,tp,AC1,IMP,IMP,86,A,,,BULL,S80-89,AC1|IMP|S86|A|BULL,tp 5197.083,1.9305000000000019
2026-02-27 05:58:00,2026-02-27 05:58:34,2026-02,2026-02-27,5,buy,0.01,5197.382,5199.735,2.36,130.75,0.5666666666666667,tp,AC1,IMP,IMP,98,A,,,BULL,S90-99,AC1|IMP|S98|A|BULL,tp 5199.432,2.3364699999999994
2026-03-02 05:34:00,2026-03-02 05:35:12,2026-03,2026-03-02,5,buy,0.01,5357.05,5354.25,-2.8,127.95,1.2,sl,AC1,IMP,IMP,93,A,,,BULL,S90-99,AC1|IMP|S93|A|BULL,sl 5354.250,2.771999999999998
2026-03-02 05:42:00,2026-03-02 05:42:06,2026-03,2026-03-02,5,buy,0.01,5360.39,5357.544,-2.85,125.1,0.1,sl,AC1,IMP,IMP,98,A,,,BULL,S90-99,AC1|IMP|S98|A|BULL,sl 5357.590,2.8215399999999957
2026-03-02 05:39:00,2026-03-02 05:43:13,2026-03,2026-03-02,5,buy,0.01,5359.309,5362.082,2.77,127.87,4.216666666666667,tp,AC1,IMP,IMP,86,A,,,BULL,S80-89,AC1|IMP|S86|A|BULL,tp 5361.969,2.7422699999999987
