entry_hour,trades,net,gross_profit,gross_loss,win_rate,profit_factor,avg,avg_win,avg_loss,largest_win,largest_loss,win_count,loss_count
3,124.0,-1224.81,2063.31,-3288.12,53.2258064516129,0.6275044706397577,-9.8775,31.262272727272727,-56.69172413793103,898.33,-424.22,66.0,58.0
4,99.0,-412.07,1219.9,-1631.97,50.505050505050505,0.7475014859341778,-4.162323232323232,24.398000000000003,-33.305510204081635,402.82,-405.16,50.0,49.0
22,40.0,-12.66,12.26,-24.919999999999998,42.5,0.49197431781701445,-0.3165,0.7211764705882353,-1.0834782608695652,6.72,-5.01,17.0,23.0
8,140.0,617.3100000000001,4226.68,-3609.37,60.71428571428571,1.1710298473140743,4.409357142857143,49.72564705882353,-65.62490909090909,918.22,-627.01,85.0,55.0
23,94.0,757.96,2467.4900000000002,-1709.53,51.06382978723404,1.4433733248319716,8.06340425531915,51.406041666666674,-37.989555555555555,589.44,-372.5,48.0,45.0
10,104.0,916.68,2890.2,-1973.52,59.61538461538461,1.46448984555515,8.814230769230768,46.61612903225806,-46.988571428571426,637.65,-399.98,62.0,42.0
1,117.0,1051.55,3055.93,-2004.3799999999999,59.82905982905983,1.5246260689090891,8.987606837606837,43.656142857142854,-42.6463829787234,393.8,-470.58,70.0,47.0
12,112.0,1100.0700000000002,3390.34,-2290.27,61.60714285714286,1.480323280661232,9.822053571428572,49.135362318840585,-53.262093023255815,502.95,-365.0,69.0,43.0
18,111.0,1131.2,3159.1,-2027.9,52.25225225225225,1.5578184328615807,10.190990990990992,54.467241379310344,-38.262264150943395,867.9,-327.36,58.0,53.0
0,131.0,1314.06,2999.12,-1685.06,54.19847328244275,1.7798297983454594,10.030992366412214,42.241126760563375,-28.084333333333333,793.95,-338.69,71.0,60.0
7,104.0,1384.93,2814.14,-1429.21,59.61538461538461,1.9690178490214874,13.316634615384617,45.38935483870968,-34.02880952380953,816.3,-326.95,62.0,42.0
17,110.0,1527.6,3044.59,-1516.99,60.0,2.00699411334287,13.887272727272727,46.13015151515152,-34.477045454545454,381.61,-346.96,66.0,44.0
19,99.0,1885.8300000000002,3801.63,-1915.8,49.494949494949495,1.9843564046351394,19.04878787878788,77.58428571428571,-38.316,776.98,-350.7,49.0,50.0
13,148.0,2404.0899999999997,5156.09,-2752.0,76.35135135135135,1.8735792151162791,16.24385135135135,45.62911504424779,-78.62857142857143,939.3,-573.6,113.0,35.0
16,116.0,3042.08,4601.82,-1559.74,62.93103448275862,2.950376344775411,26.224827586206896,63.0386301369863,-36.27302325581395,867.68,-327.67,73.0,43.0
6,115.0,3397.37,4892.36,-1494.99,71.30434782608695,3.272503495006655,29.542347826086957,59.66292682926829,-45.302727272727275,900.41,-289.99,82.0,33.0
15,101.0,3630.08,5169.6,-1539.52,68.31683168316832,3.3579297443358973,35.94138613861386,74.92173913043479,-48.11,825.44,-347.73,69.0,32.0
9,100.0,4121.0,5448.03,-1327.03,62.0,4.105430924696503,41.21,87.87145161290321,-34.92184210526316,703.3,-252.48,62.0,38.0
14,121.0,7065.23,7764.47,-699.24,78.51239669421489,11.104155940735657,58.39033057851239,81.73126315789474,-26.893846153846155,974.39,-269.73,95.0,26.0
