start,end,count,pnl,buy_losses,sell_losses,engines
2024-12-22 23:06:39,2024-12-23 19:51:30,12,-4645.84,7,5,MRV:12
2024-12-24 00:17:04,2024-12-24 13:21:44,10,-3515.09,6,4,MRV:10
2024-12-20 10:02:01,2024-12-20 18:05:57,7,-2324.44,4,3,MRV:7
2024-12-12 00:07:22,2024-12-12 19:31:37,15,-2205.59,10,5,MRV:15
2024-12-19 03:27:59,2024-12-19 14:35:57,5,-1419.8899999999999,4,1,MRV:5
2024-12-12 23:34:35,2024-12-13 13:12:16,7,-1287.71,5,2,MRV:7
2024-12-18 06:14:05,2024-12-18 09:54:27,4,-1211.85,3,1,MRV:4
2024-12-16 23:24:37,2024-12-17 04:32:45,5,-1094.93,3,2,MRV:5
2024-12-09 23:39:15,2024-12-10 09:45:45,9,-1086.54,5,4,MRV:9
2024-12-05 01:11:25,2024-12-05 19:40:47,9,-996.82,4,5,MRV:9
2024-12-11 07:54:04,2024-12-11 19:16:27,7,-962.95,5,2,MRV:7
2024-12-17 12:28:40,2024-12-17 18:22:30,4,-936.1800000000001,3,1,MRV:4
2024-12-04 09:49:37,2024-12-04 17:49:22,7,-865.85,4,3,MRV:7
2024-12-09 03:53:35,2024-12-09 16:33:45,7,-840.75,3,4,MRV:7
2024-12-16 17:35:36,2024-12-16 19:21:13,3,-655.43,2,1,MRV:3
2024-12-16 03:21:30,2024-12-16 06:56:49,4,-645.23,2,2,MRV:4
2024-11-27 14:05:42,2024-11-28 07:47:44,10,-638.23,7,3,MRV:10
2024-12-06 13:39:41,2024-12-06 19:59:31,5,-631.42,0,5,MRV:5
2024-12-02 06:00:41,2024-12-02 19:52:02,8,-598.54,7,1,MRV:8
2024-11-29 00:06:35,2024-11-29 12:19:47,8,-514.86,6,2,MRV:8
2024-12-03 00:43:37,2024-12-03 06:56:15,5,-405.54,4,1,MRV:5
2024-11-28 12:20:11,2024-11-28 16:11:43,4,-357.82,2,2,MRV:4
2024-11-27 01:46:42,2024-11-27 09:13:47,5,-347.4,4,1,MRV:5
2024-12-06 06:14:53,2024-12-06 09:20:44,3,-315.94,1,2,MRV:3
2024-12-04 00:17:25,2024-12-04 03:59:09,4,-266.36,3,1,MRV:4
2024-11-21 14:05:40,2024-11-22 00:46:33,7,-206.73,5,2,MRV:7
2024-11-19 12:17:35,2024-11-19 19:57:24,7,-203.2,3,4,MRV:7
2024-11-26 14:28:39,2024-11-26 17:29:02,3,-142.87,1,2,MRV:3
2024-11-20 08:24:39,2024-11-20 16:49:15,5,-136.88,2,3,MRV:5
2024-11-12 23:36:50,2024-11-13 18:54:55,12,-134.07,5,7,MRV:12
2024-11-15 04:32:37,2024-11-15 14:38:47,6,-100.95,2,4,MRV:6
2024-11-22 12:18:37,2024-11-22 16:25:18,3,-89.02000000000001,3,0,MRV:3
2024-11-19 03:34:37,2024-11-19 07:57:00,3,-76.94,2,1,MRV:3
2024-11-14 03:00:03,2024-11-14 07:03:47,3,-51.489999999999995,1,2,MRV:3
2024-10-24 08:16:41,2024-10-25 12:34:04,19,-50.19,11,8,MRV:19
2024-11-12 15:01:39,2024-11-12 17:34:44,4,-48.59,2,2,MRV:4
2024-11-14 12:37:41,2024-11-14 16:48:47,3,-46.45,2,1,MRV:3
2024-10-22 07:15:34,2024-10-23 10:43:59,16,-39.72,8,8,MRV:16
2024-10-31 17:04:37,2024-11-01 10:53:17,9,-38.25,3,6,MRV:9
2024-10-28 03:10:38,2024-10-28 23:02:08,13,-37.37,6,7,MRV:13
2024-11-14 23:34:33,2024-11-15 00:28:45,3,-36.519999999999996,1,2,MRV:3
2024-11-08 04:37:36,2024-11-08 12:04:45,4,-34.44,2,2,MRV:4
2024-10-29 06:14:37,2024-10-29 16:01:31,10,-32.98,6,4,MRV:10
2024-11-11 04:44:36,2024-11-11 08:11:18,3,-30.83,1,2,MRV:3
2024-11-08 17:56:37,2024-11-08 19:35:11,3,-29.02,1,2,MRV:3
2024-11-04 13:39:38,2024-11-04 19:21:26,5,-28.4,3,2,MRV:5
2024-10-21 00:22:41,2024-10-21 17:33:19,13,-28.24,9,4,MRV:13
2024-11-04 00:14:38,2024-11-04 08:50:57,5,-26.0,4,1,MRV:5
2024-10-29 23:01:36,2024-10-30 10:31:21,7,-24.7,4,3,MRV:7
2024-11-05 13:25:14,2024-11-05 19:04:20,4,-23.509999999999998,3,1,MRV:4
