entry_time,exit_time,entry_month,entry_date,entry_hour,side,volume,entry_price,exit_price,profit,balance,hold_minutes,exit_reason,family,engine,code,score,grade,regime_tag,hour_tag,tags,score_bucket,entry_comment,exit_comment,match_error
2024-12-24 08:50:38,2024-12-24 08:50:44,2024-12,2024-12-24,8,buy,14.09,2617.915,2617.47,-627.01,34607.69,0.1,manual/exit_loss,AC1,MRV,MRV,74,A,WG,,"WG,BB",S70-79,AC1|MRV|MRV|S74|A|WG|BB,,620.7399499999976
2024-12-23 13:37:39,2024-12-23 13:37:45,2024-12,2024-12-23,13,sell,14.34,2617.412,2617.812,-573.6,35286.74,0.1,manual/exit_loss,AC1,MRV,MRV,82,A,WG,,"WG,BB",S80-89,AC1|MRV|MRV|S82|A|WG|BB,,567.8639999999987
2024-12-18 08:20:14,2024-12-18 08:20:20,2024-12,2024-12-18,8,sell,10.58,2644.698,2645.143,-470.81,25996.55,0.1,manual/exit_loss,AC1,MRV,MRV,82,A,WG,,"WG,BB",S80-89,AC1|MRV|MRV|S82|A|WG|BB,,466.1018999999983
2024-12-23 01:41:12,2024-12-23 01:41:18,2024-12,2024-12-23,1,sell,15.18,2620.791,2621.101,-470.58,37481.82,0.1,manual/exit_loss,AC1,MRV,MRV,82,A,RG,,"RG,BB",S80-89,AC1|MRV|MRV|S82|A|RG|BB,,465.8742000000008
2024-12-23 03:03:36,2024-12-23 03:04:16,2024-12,2024-12-23,3,buy,14.99,2625.665,2625.382,-424.22,37057.6,0.6666666666666666,manual/exit_loss,AC1,MRV,MRV,82,A,RG,,"RG,BB",S80-89,AC1|MRV|MRV|S82|A|RG|BB,,419.9778300000015
2024-12-23 04:40:24,2024-12-23 04:40:30,2024-12,2024-12-23,4,buy,14.68,2625.113,2624.837,-405.16,36313.06,0.1,manual/exit_loss,AC1,MRV,MRV,76,A,RG,,"RG,BB",S70-79,AC1|MRV|MRV|S76|A|RG|BB,,401.1083200000024
2024-12-24 10:34:38,2024-12-24 10:34:44,2024-12,2024-12-24,10,buy,13.84,2615.515,2615.226,-399.98,34207.71,0.1,manual/exit_loss,AC1,MRV,MRV,74,A,WG,,"WG,BB",S70-79,AC1|MRV|MRV|S74|A|WG|BB,,395.98024000000333
2024-12-22 23:06:39,2024-12-22 23:07:00,2024-12,2024-12-22,23,sell,14.96,2622.648,2622.897,-372.5,37034.45,0.35,manual/exit_loss,AC1,MRV,MRV,82,A,WG,,"WG,BB",S80-89,AC1|MRV|MRV|S82|A|WG|BB,,368.77496000000303
2024-12-23 12:32:14,2024-12-23 12:32:20,2024-12,2024-12-23,12,buy,14.37,2616.296,2616.042,-365.0,35568.83,0.1,manual/exit_loss,AC1,MRV,MRV,74,A,WG,,"WG,BB",S70-79,AC1|MRV|MRV|S74|A|WG|BB,,361.35002000000134
2024-12-23 08:19:35,2024-12-23 08:20:27,2024-12,2024-12-23,8,sell,14.64,2629.409,2629.649,-351.36,36249.71,0.8666666666666667,manual/exit_loss,AC1,MRV,MRV,76,A,WG,,"WG,BB",S70-79,AC1|MRV|MRV|S76|A|WG|BB,,347.8464000000032
2024-12-23 19:50:27,2024-12-23 19:51:30,2024-12,2024-12-23,19,buy,14.86,2610.425,2610.189,-350.7,36815.31,1.05,manual/exit_loss,AC1,MRV,MRV,74,A,WG,,"WG,BB",S70-79,AC1|MRV|MRV|S74|A|WG|BB,,347.19303999999505
2024-12-23 15:53:05,2024-12-23 15:53:18,2024-12,2024-12-23,15,buy,14.86,2611.581,2611.347,-347.73,36816.33,0.21666666666666667,manual/exit_loss,AC1,MRV,MRV,74,A,WG,,"WG,BB",S70-79,AC1|MRV|MRV|S74|A|WG|BB,,344.25276000000116
2024-12-20 17:28:28,2024-12-20 17:29:19,2024-12,2024-12-20,17,buy,15.02,2626.08,2625.849,-346.96,37207.74,0.85,manual/exit_loss,AC1,MRV,MRV,82,A,RG,,"RG,BB",S80-89,AC1|MRV|MRV|S82|A|RG|BB,,343.4903800000035
2024-12-20 13:03:03,2024-12-20 13:03:20,2024-12,2024-12-20,13,sell,14.44,2604.372,2604.612,-346.56,35774.83,0.2833333333333333,manual/exit_loss,AC1,MRV,MRV,82,A,RG,,"RG,BB",S80-89,AC1|MRV|MRV|S82|A|RG|BB,,343.0943999999966
2024-12-23 03:42:53,2024-12-23 03:43:11,2024-12,2024-12-23,3,sell,14.82,2625.214,2625.443,-339.38,36718.22,0.3,manual/exit_loss,AC1,MRV,MRV,76,A,WG,,"WG,BB",S70-79,AC1|MRV|MRV|S76|A|WG|BB,,335.986219999996
2024-12-24 00:17:04,2024-12-24 00:17:32,2024-12,2024-12-24,0,buy,14.79,2615.344,2615.115,-338.69,36644.43,0.4666666666666667,manual/exit_loss,AC1,MRV,MRV,82,A,WG,,"WG,BB",S80-89,AC1|MRV|MRV|S82|A|WG|BB,,335.303089999996
2024-12-20 10:39:36,2024-12-20 10:40:02,2024-12,2024-12-20,10,buy,14.5,2605.41,2605.178,-336.4,35937.53,0.43333333333333335,manual/exit_loss,AC1,MRV,MRV,76,A,WG,,"WG,BB",S70-79,AC1|MRV|MRV|S76|A|WG|BB,,333.0360000000004
2024-12-05 13:22:15,2024-12-05 13:22:21,2024-12,2024-12-05,13,buy,4.16,2650.546,2649.74,-335.3,10078.59,0.1,manual/exit_loss,AC1,MRV,MRV,82,A,WG,,"WG,BB",S80-89,AC1|MRV|MRV|S82|A|WG|BB,,331.94703999999984
2024-12-24 04:26:30,2024-12-24 04:27:38,2024-12,2024-12-24,4,buy,14.43,2618.846,2618.617,-330.45,35758.44,1.1333333333333333,manual/exit_loss,AC1,MRV,MRV,82,A,RG,,"RG,BB",S80-89,AC1|MRV|MRV|S82|A|RG|BB,,327.1455300000027
2024-12-23 17:11:28,2024-12-23 17:12:00,2024-12,2024-12-23,17,buy,14.72,2615.143,2614.919,-329.73,36486.6,0.5333333333333333,manual/exit_loss,AC1,MRV,MRV,82,A,RG,,"RG,BB",S80-89,AC1|MRV|MRV|S82|A|RG|BB,,326.4327199999977
2024-12-20 16:40:37,2024-12-20 16:40:56,2024-12,2024-12-20,16,sell,15.1,2625.795,2626.012,-327.67,37427.36,0.31666666666666665,manual/exit_loss,AC1,MRV,MRV,82,A,WG,,"WG,BB",S80-89,AC1|MRV|MRV|S82|A|WG|BB,,324.39329999999853
2024-12-20 18:05:37,2024-12-20 18:05:57,2024-12,2024-12-20,18,buy,14.88,2624.867,2624.647,-327.36,36880.38,0.3333333333333333,manual/exit_loss,AC1,MRV,MRV,82,A,WG,,"WG,BB",S80-89,AC1|MRV|MRV|S82|A|WG|BB,,324.0863999999962
2024-12-24 07:39:40,2024-12-24 07:40:01,2024-12,2024-12-24,7,buy,14.34,2619.296,2619.068,-326.95,35547.32,0.35,manual/exit_loss,AC1,MRV,MRV,76,A,WG,,"WG,BB",S70-79,AC1|MRV|MRV|S76|A|WG|BB,,323.68048000000556
2024-12-20 10:02:01,2024-12-20 10:02:27,2024-12,2024-12-20,10,buy,14.63,2604.659,2604.44,-320.4,36273.93,0.43333333333333335,manual/exit_loss,AC1,MRV,MRV,82,A,WG,,"WG,BB",S80-89,AC1|MRV|MRV|S82|A|WG|BB,,317.1960299999992
2024-12-24 12:19:33,2024-12-24 12:20:28,2024-12,2024-12-24,12,sell,13.7,2615.575,2615.808,-319.21,33947.33,0.9166666666666666,manual/exit_loss,AC1,MRV,MRV,76,A,WG,,"WG,BB",S70-79,AC1|MRV|MRV|S76|A|WG|BB,,316.0178999999976
2024-12-20 12:17:31,2024-12-20 12:18:26,2024-12,2024-12-20,12,sell,14.57,2603.986,2604.205,-319.09,36121.39,0.9166666666666666,manual/exit_loss,AC1,MRV,MRV,76,A,WG,,"WG,BB",S70-79,AC1|MRV|MRV|S76|A|WG|BB,,315.89916999999923
2024-12-24 03:21:35,2024-12-24 03:22:28,2024-12,2024-12-24,3,sell,14.56,2617.237,2617.456,-318.87,36088.89,0.8833333333333333,manual/exit_loss,AC1,MRV,MRV,76,A,WG,,"WG,BB",S70-79,AC1|MRV|MRV|S76|A|WG|BB,,315.68135999999924
2024-12-24 01:37:13,2024-12-24 01:37:19,2024-12,2024-12-24,1,sell,14.69,2616.673,2616.89,-318.77,36407.76,0.1,manual/exit_loss,AC1,MRV,MRV,74,A,WG,,"WG,BB",S70-79,AC1|MRV|MRV|S74|A|WG|BB,,315.5822699999985
2024-12-23 08:54:27,2024-12-23 08:54:55,2024-12,2024-12-23,8,buy,14.49,2629.549,2629.331,-315.88,35933.83,0.4666666666666667,manual/exit_loss,AC1,MRV,MRV,82,A,WG,,"WG,BB",S80-89,AC1|MRV|MRV|S82|A|WG|BB,,312.7211800000022
2024-12-24 08:13:38,2024-12-24 08:14:04,2024-12,2024-12-24,8,sell,14.21,2618.514,2618.734,-312.62,35234.7,0.43333333333333335,manual/exit_loss,AC1,MRV,MRV,76,A,RG,,"RG,BB",S70-79,AC1|MRV|MRV|S76|A|RG|BB,,309.49380000000286
2024-12-08 23:32:41,2024-12-08 23:32:47,2024-12,2024-12-08,23,buy,4.31,2637.765,2637.053,-306.88,11435.08,0.1,manual/exit_loss,AC1,MRV,MRV,82,A,WG,,"WG,BB",S80-89,AC1|MRV|MRV|S82|A|WG|BB,,303.81128000000007
2024-12-20 03:29:39,2024-12-20 03:29:46,2024-12,2024-12-20,3,sell,13.93,2597.878,2598.097,-305.07,34528.27,0.11666666666666667,manual/exit_loss,AC1,MRV,MRV,74,A,WG,,"WG,BB",S70-79,AC1|MRV|MRV|S74|A|WG|BB,,302.0193299999993
2024-12-19 08:43:40,2024-12-19 08:43:46,2024-12,2024-12-19,8,buy,12.61,2615.211,2614.976,-296.33,31240.85,0.1,manual/exit_loss,AC1,MRV,MRV,82,A,WG,,"WG,BB",S80-89,AC1|MRV|MRV|S82|A|WG|BB,,293.3666500000041
2024-12-19 03:27:59,2024-12-19 03:28:19,2024-12,2024-12-19,3,buy,12.46,2609.383,2609.147,-294.06,30857.76,0.3333333333333333,manual/exit_loss,AC1,MRV,MRV,82,A,WG,,"WG,BB",S80-89,AC1|MRV|MRV|S82|A|WG|BB,,291.11944000000153
2024-12-19 06:00:37,2024-12-19 06:01:05,2024-12,2024-12-19,6,buy,12.34,2608.027,2607.792,-289.99,30567.77,0.4666666666666667,manual/exit_loss,AC1,MRV,MRV,82,A,WG,,"WG,BB",S80-89,AC1|MRV|MRV|S82|A|WG|BB,,287.0900999999984
2024-12-13 10:53:13,2024-12-13 10:53:19,2024-12,2024-12-13,10,buy,7.3,2668.63,2668.256,-273.02,17979.6,0.1,manual/exit_loss,AC1,MRV,MRV,74,A,WG,,"WG,BB",S70-79,AC1|MRV|MRV|S74|A|WG|BB,,270.28979999999814
2024-12-13 19:10:27,2024-12-13 19:10:41,2024-12,2024-12-13,19,sell,8.4,2654.633,2654.958,-273.0,20751.61,0.23333333333333334,manual/exit_loss,AC1,MRV,MRV,82,A,RG,,"RG,BB",S80-89,AC1|MRV|MRV|S82|A|RG|BB,,270.2699999999977
2024-12-19 12:03:41,2024-12-19 12:04:00,2024-12,2024-12-19,12,buy,12.49,2616.789,2616.573,-269.78,30971.07,0.31666666666666665,manual/exit_loss,AC1,MRV,MRV,74,A,WG,,"WG,BB",S70-79,AC1|MRV|MRV|S74|A|WG|BB,,267.0821599999956
2024-12-19 14:35:38,2024-12-19 14:35:57,2024-12,2024-12-19,14,sell,12.43,2598.347,2598.564,-269.73,30815.51,0.31666666666666665,manual/exit_loss,AC1,MRV,MRV,82,A,RG,,"RG,BB",S80-89,AC1|MRV|MRV|S82|A|RG|BB,,267.03269000000444
2024-12-17 23:46:15,2024-12-17 23:46:21,2024-12,2024-12-17,23,buy,10.06,2645.687,2645.427,-261.56,24900.25,0.1,manual/exit_loss,AC1,MRV,MRV,82,A,WG,,"WG,BB",S80-89,AC1|MRV|MRV|S82|A|WG|BB,,258.94440000000236
2024-12-18 18:26:04,2024-12-18 18:26:26,2024-12,2024-12-18,18,sell,11.56,2637.728,2637.95,-256.63,28662.84,0.36666666666666664,manual/exit_loss,AC1,MRV,MRV,82,A,WG,,"WG,BB",S80-89,AC1|MRV|MRV|S82|A|WG|BB,,254.06368000000285
2024-12-18 07:16:03,2024-12-18 07:16:19,2024-12,2024-12-18,7,buy,10.68,2646.011,2645.773,-254.19,26467.36,0.26666666666666666,manual/exit_loss,AC1,MRV,MRV,82,A,WG,,"WG,BB",S80-89,AC1|MRV|MRV|S82|A|WG|BB,,251.64816000000184
2024-12-18 09:54:14,2024-12-18 09:54:27,2024-12,2024-12-18,9,buy,10.93,2647.454,2647.223,-252.48,27086.3,0.21666666666666667,manual/exit_loss,AC1,MRV,MRV,82,A,WG,,"WG,BB",S80-89,AC1|MRV|MRV|S82|A|WG|BB,,249.95516999999757
2024-12-18 15:46:31,2024-12-18 15:47:18,2024-12,2024-12-18,15,sell,11.56,2637.526,2637.742,-249.69,28665.06,0.7833333333333333,manual/exit_loss,AC1,MRV,MRV,82,A,WG,,"WG,BB",S80-89,AC1|MRV|MRV|S82|A|WG|BB,,247.19303999999596
2024-12-17 16:24:37,2024-12-17 16:25:02,2024-12,2024-12-17,16,buy,10.23,2638.011,2637.778,-238.36,25341.57,0.4166666666666667,manual/exit_loss,AC1,MRV,MRV,68,B,WG,,"WG,BB",S00-69,AC1|MRV|MRV|S68|B|WG|BB,,235.97640999999822
2024-12-17 12:28:40,2024-12-17 12:29:18,2024-12,2024-12-17,12,sell,10.05,2642.647,2642.881,-235.17,24898.04,0.6333333333333333,manual/exit_loss,AC1,MRV,MRV,76,A,WG,,"WG,BB",S70-79,AC1|MRV|MRV|S76|A|WG|BB,,232.81830000000076
2024-12-18 06:14:05,2024-12-18 06:14:18,2024-12,2024-12-18,6,buy,10.19,2646.679,2646.449,-234.37,25245.12,0.21666666666666667,manual/exit_loss,AC1,MRV,MRV,82,A,WG,,"WG,BB",S80-89,AC1|MRV|MRV|S82|A|WG|BB,,232.02629999999982
2024-12-17 15:38:41,2024-12-17 15:39:02,2024-12,2024-12-17,15,buy,10.32,2639.749,2639.522,-234.27,25579.93,0.35,manual/exit_loss,AC1,MRV,MRV,76,A,WG,,"WG,BB",S70-79,AC1|MRV|MRV|S76|A|WG|BB,,231.92736000000144
2024-12-17 18:21:29,2024-12-17 18:22:30,2024-12,2024-12-17,18,buy,10.15,2645.691,2645.466,-228.38,25161.81,1.0166666666666666,manual/exit_loss,AC1,MRV,MRV,76,A,RG,,"RG,BB",S70-79,AC1|MRV|MRV|S76|A|RG|BB,,226.0962500000009
2024-12-16 18:15:26,2024-12-16 18:16:34,2024-12,2024-12-16,18,sell,9.7,2653.062,2653.295,-226.01,24030.74,1.1333333333333333,manual/exit_loss,AC1,MRV,MRV,76,A,RG,,"RG,BB",S70-79,AC1|MRV|MRV|S76|A|RG|BB,,223.7498999999983
