engine,entry_hour,trades,net,gross_profit,gross_loss,win_rate,profit_factor,avg,avg_win,avg_loss,largest_win,largest_loss,win_count,loss_count
MRV,6,3.0,-1.43,0,-1.43,0.0,0.0,-0.4766666666666666,0.0,-0.4766666666666666,0.0,-0.86,0.0,3.0
MRV,4,3.0,-1.1300000000000001,0,-1.1300000000000001,0.0,0.0,-0.3766666666666667,0.0,-0.3766666666666667,0.0,-0.63,0.0,3.0
MRV,0,1.0,-0.59,0,-0.59,0.0,0.0,-0.59,0.0,-0.59,0.0,-0.59,0.0,1.0
MRV,17,2.0,-0.45999999999999996,0.26,-0.72,50.0,0.36111111111111116,-0.22999999999999998,0.26,-0.72,0.26,-0.72,1.0,1.0
MRV,19,2.0,-0.45,0.06,-0.51,50.0,0.11764705882352941,-0.225,0.06,-0.51,0.06,-0.51,1.0,1.0
MRV,12,1.0,-0.36,0,-0.36,0.0,0.0,-0.36,0.0,-0.36,0.0,-0.36,0.0,1.0
MRV,9,2.0,-0.2,0.03,-0.23,50.0,0.13043478260869565,-0.1,0.03,-0.23,0.03,-0.23,1.0,1.0
MRV,3,1.0,0.01,0.01,0,100.0,0.0,0.01,0.01,0.0,0.01,0.0,1.0,0.0
MRV,18,1.0,0.02,0.02,0,100.0,0.0,0.02,0.02,0.0,0.02,0.0,1.0,0.0
MRV,1,1.0,0.03,0.03,0,100.0,0.0,0.03,0.03,0.0,0.03,0.0,1.0,0.0
MRV,13,1.0,0.04,0.04,0,100.0,0.0,0.04,0.04,0.0,0.04,0.0,1.0,0.0
MRV,7,9.0,0.13,1.44,-1.31,66.66666666666666,1.0992366412213739,0.014444444444444446,0.24,-0.4366666666666667,0.83,-0.86,6.0,3.0
MRV,14,1.0,0.73,0.73,0,100.0,0.0,0.73,0.73,0.0,0.73,0.0,1.0,0.0
