entry_time,exit_time,entry_month,entry_date,entry_hour,side,volume,entry_price,exit_price,profit,balance,hold_minutes,exit_reason,family,engine,code,score,grade,regime_tag,hour_tag,tags,score_bucket,entry_comment,exit_comment,match_error
2026-01-02 00:20:08,2026-01-02 00:20:14,2026-01,2026-01-02,0,buy,0.01,4344.967,4344.383,-0.59,28.41,0.1,manual/exit_loss,AC1,MRV,MRV,76,A,RG,,"RG,BB",S70-79,AC1|MRV|MRV|S76|A|RG|BB,,0.5841600000000017
2026-01-02 01:09:22,2026-01-02 01:09:27,2026-01,2026-01-02,1,buy,0.01,4347.392,4347.417,0.03,28.44,0.08333333333333333,sl,AC1,MRV,MRV,82,A,WG,,"WG,BB",S80-89,AC1|MRV|MRV|S82|A|WG|BB,sl 4347.442,0.02974999999999454
2026-01-02 04:24:20,2026-01-02 04:24:27,2026-01,2026-01-02,4,buy,0.01,4372.772,4372.138,-0.63,27.81,0.11666666666666667,manual/exit_loss,AC1,MRV,MRV,82,A,WG,,"WG,BB",S80-89,AC1|MRV|MRV|S82|A|WG|BB,,0.6236599999999999
2026-01-02 06:04:54,2026-01-02 06:05:04,2026-01,2026-01-02,6,buy,0.01,4377.551,4377.236,-0.31,27.5,0.16666666666666666,manual/exit_loss,AC1,MRV,MRV,76,A,WG,,"WG,BB",S70-79,AC1|MRV|MRV|S76|A|WG|BB,,0.3068499999999949
2026-01-02 06:41:12,2026-01-02 06:41:18,2026-01,2026-01-02,6,buy,0.01,4376.24,4375.979,-0.26,27.24,0.1,manual/exit_loss,AC1,MRV,MRV,82,A,WG,,"WG,BB",S80-89,AC1|MRV|MRV|S82|A|WG|BB,,0.2573900000000049
2026-01-02 07:11:20,2026-01-02 07:11:29,2026-01,2026-01-02,7,buy,0.01,4373.79,4374.25,0.46,27.7,0.15,tp,AC1,MRV,MRV,82,A,WG,,"WG,BB",S80-89,AC1|MRV|MRV|S82|A|WG|BB,tp 4374.234,0.45539999999999964
2026-01-02 07:15:01,2026-01-02 07:15:21,2026-01,2026-01-02,7,sell,0.01,4376.668,4376.641,0.03,27.73,0.3333333333333333,sl,AC1,MRV,MRV,82,A,WG,,"WG,BB",S80-89,AC1|MRV|MRV|S82|A|WG|BB,sl 4376.618,0.029729999999999562
2026-01-02 07:16:23,2026-01-02 07:16:25,2026-01,2026-01-02,7,sell,0.01,4376.526,4375.696,0.83,28.56,0.03333333333333333,tp,AC1,MRV,MRV,68,B,WG,,"WG,BB",S00-69,AC1|MRV|MRV|S68|B|WG|BB,tp 4375.739,0.8217000000000007
2026-01-02 07:21:49,2026-01-02 07:22:11,2026-01,2026-01-02,7,buy,0.01,4374.084,4373.668,-0.41,28.15,0.36666666666666664,manual/exit_loss,AC1,MRV,MRV,82,A,WG,,"WG,BB",S80-89,AC1|MRV|MRV|S82|A|WG|BB,,0.4058399999999983
2026-01-02 09:00:21,2026-01-02 09:00:22,2026-01,2026-01-02,9,buy,0.01,4388.77,4388.8,0.03,28.18,0.016666666666666666,sl,AC1,MRV,MRV,82,A,RG,,"RG,BB",S80-89,AC1|MRV|MRV|S82|A|RG|BB,sl 4388.820,0.029700000000002544
2026-01-02 09:58:38,2026-01-02 09:58:53,2026-01,2026-01-02,9,buy,0.01,4386.962,4386.725,-0.23,27.95,0.25,manual/exit_loss,AC1,MRV,MRV,76,A,WG,,"WG,BB",S70-79,AC1|MRV|MRV|S76|A|WG|BB,,0.22762999999999922
2026-01-02 12:08:54,2026-01-02 12:09:01,2026-01,2026-01-02,12,sell,0.01,4394.922,4395.279,-0.36,27.59,0.11666666666666667,manual/exit_loss,AC1,MRV,MRV,74,A,WG,,"WG,BB",S70-79,AC1|MRV|MRV|S74|A|WG|BB,,0.3564299999999912
2026-01-02 13:00:59,2026-01-02 13:01:03,2026-01,2026-01-02,13,sell,0.01,4393.241,4393.2,0.04,27.63,0.06666666666666667,sl,AC1,MRV,MRV,74,A,WG,,"WG,BB",S70-79,AC1|MRV|MRV|S74|A|WG|BB,sl 4393.191,0.03958999999999833
2026-01-02 14:22:22,2026-01-02 14:22:35,2026-01,2026-01-02,14,sell,0.01,4372.591,4371.86,0.73,28.36,0.21666666666666667,tp,AC1,MRV,MRV,76,A,RG,,"RG,BB",S70-79,AC1|MRV|MRV|S76|A|RG|BB,tp 4371.865,0.7226899999999932
2026-01-02 17:02:55,2026-01-02 17:03:01,2026-01,2026-01-02,17,sell,0.01,4328.173,4328.887,-0.72,27.64,0.1,manual/exit_loss,AC1,MRV,MRV,82,A,WG,,"WG,BB",S80-89,AC1|MRV|MRV|S82|A|WG|BB,,0.7128600000000006
2026-01-02 17:41:49,2026-01-02 17:41:58,2026-01,2026-01-02,17,buy,0.01,4325.356,4325.624,0.26,27.9,0.15,sl,AC1,MRV,MRV,68,B,WG,,"WG,BB",S00-69,AC1|MRV|MRV|S68|B|WG|BB,sl 4325.629,0.2573199999999997
2026-01-02 18:26:21,2026-01-02 18:26:30,2026-01,2026-01-02,18,sell,0.01,4319.778,4319.756,0.02,27.92,0.15,sl,AC1,MRV,MRV,82,A,RG,,"RG,BB",S80-89,AC1|MRV|MRV|S82|A|RG|BB,sl 4319.728,0.019780000000000655
2026-01-02 19:06:44,2026-01-02 19:06:54,2026-01,2026-01-02,19,sell,0.01,4318.556,4318.5,0.06,27.98,0.16666666666666666,sl,AC1,MRV,MRV,82,A,WG,,"WG,BB",S80-89,AC1|MRV|MRV|S82|A|WG|BB,sl 4318.476,0.05944000000000414
2026-01-02 19:52:52,2026-01-02 19:52:58,2026-01,2026-01-02,19,buy,0.01,4319.24,4318.733,-0.51,27.47,0.1,manual/exit_loss,AC1,MRV,MRV,74,A,WG,,"WG,BB",S70-79,AC1|MRV|MRV|S74|A|WG|BB,,0.504930000000004
2026-01-05 03:28:01,2026-01-05 03:28:16,2026-01,2026-01-05,3,buy,0.01,4406.641,4406.65,0.01,27.48,0.25,sl,AC1,MRV,MRV,82,A,RG,,"RG,BB",S80-89,AC1|MRV|MRV|S82|A|RG|BB,sl 4406.691,0.009909999999999855
2026-01-05 04:24:59,2026-01-05 04:25:05,2026-01,2026-01-05,4,sell,0.01,4405.172,4405.391,-0.22,27.26,0.1,manual/exit_loss,AC1,MRV,MRV,68,B,WG,,"WG,BB",S00-69,AC1|MRV|MRV|S68|B|WG|BB,,0.2178099999999995
2026-01-05 04:55:31,2026-01-05 04:55:37,2026-01,2026-01-05,4,buy,0.01,4404.41,4404.132,-0.28,26.98,0.1,manual/exit_loss,AC1,MRV,MRV,76,A,RG,,"RG,BB",S70-79,AC1|MRV|MRV|S76|A|RG|BB,,0.2772199999999976
2026-01-05 06:00:37,2026-01-05 06:00:43,2026-01,2026-01-05,6,sell,0.01,4411.295,4412.164,-0.86,26.12,0.1,manual/exit_loss,AC1,MRV,MRV,74,A,WG,,"WG,BB",S70-79,AC1|MRV|MRV|S74|A|WG|BB,,0.8513100000000031
2026-01-05 07:04:38,2026-01-05 07:04:44,2026-01,2026-01-05,7,sell,0.01,4421.976,4422.019,-0.04,26.08,0.1,sl,AC1,MRV,MRV,74,A,WG,,"WG,BB",S70-79,AC1|MRV|MRV|S74|A|WG|BB,sl 4421.926,0.039569999999994256
2026-01-05 07:12:59,2026-01-05 07:13:14,2026-01,2026-01-05,7,buy,0.01,4418.441,4418.479,0.04,26.12,0.25,sl,AC1,MRV,MRV,76,A,WG,,"WG,BB",S70-79,AC1|MRV|MRV|S76|A|WG|BB,sl 4418.491,0.039619999999995346
2026-01-05 07:37:41,2026-01-05 07:37:48,2026-01,2026-01-05,7,sell,0.01,4422.285,4422.251,0.04,26.16,0.11666666666666667,sl,AC1,MRV,MRV,68,B,WG,,"WG,BB",S00-69,AC1|MRV|MRV|S68|B|WG|BB,sl 4422.235,0.03966000000000349
2026-01-05 07:39:51,2026-01-05 07:39:59,2026-01,2026-01-05,7,sell,0.01,4422.319,4422.28,0.04,26.2,0.13333333333333333,sl,AC1,MRV,MRV,68,B,WG,,"WG,BB",S00-69,AC1|MRV|MRV|S68|B|WG|BB,sl 4422.269,0.03960999999999331
2026-01-05 07:40:51,2026-01-05 07:40:55,2026-01,2026-01-05,7,sell,0.01,4422.144,4423.004,-0.86,25.34,0.06666666666666667,manual/exit_loss,AC1,MRV,MRV,68,B,WG,,"WG,BB",S00-69,AC1|MRV|MRV|S68|B|WG|BB,,0.8514000000000033
