start,end,count,pnl,buy_losses,sell_losses,engines
2025-05-27 10:00:00,2025-05-27 11:46:36,4,-3.73,0,4,RJT:4
2025-01-21 10:01:00,2025-01-21 11:19:38,5,-3.19,0,5,RJT:5
2025-05-13 10:11:00,2025-05-13 11:12:42,4,-3.16,0,4,RJT:4
2025-01-13 10:29:00,2025-01-13 11:46:37,4,-2.9,0,4,RJT:4
2025-01-14 10:02:00,2025-01-14 11:25:38,4,-2.83,0,4,RJT:4
2025-05-28 10:53:00,2025-05-28 11:39:19,4,-2.79,0,4,RJT:4
2025-04-29 10:24:00,2025-04-29 11:45:38,3,-2.59,0,3,RJT:3
2025-05-01 10:06:00,2025-05-01 11:34:21,3,-2.59,0,3,RJT:3
2025-03-10 11:08:00,2025-03-10 11:37:26,3,-2.51,0,3,RJT:3
2025-06-09 10:25:01,2025-06-09 10:39:34,3,-2.5,0,3,RJT:3
2025-02-12 10:05:00,2025-02-12 11:52:03,4,-2.28,0,4,RJT:4
2025-04-15 10:51:00,2025-04-15 11:50:14,3,-2.21,0,3,RJT:3
2025-02-26 10:44:23,2025-02-26 11:26:12,3,-2.17,0,3,RJT:3
2025-02-11 10:25:00,2025-02-11 11:37:40,3,-2.16,0,3,RJT:3
2025-05-26 10:45:00,2025-05-26 11:22:26,3,-2.1399999999999997,0,3,RJT:3
2025-02-07 10:52:00,2025-02-07 11:34:30,3,-2.13,0,3,RJT:3
2025-05-30 10:40:00,2025-05-30 10:47:14,3,-2.13,0,3,RJT:3
2025-01-31 10:04:00,2025-01-31 10:46:27,3,-2.0999999999999996,0,3,RJT:3
2025-03-31 10:04:00,2025-03-31 11:11:40,3,-2.0700000000000003,0,3,RJT:3
2025-02-17 10:49:00,2025-02-17 11:56:14,3,-1.95,0,3,RJT:3
