entry_time,exit_time,entry_month,entry_date,entry_hour,side,volume,entry_price,exit_price,profit,balance,hold_minutes,exit_reason,family,engine,code,score,grade,regime_tag,hour_tag,tags,score_bucket,entry_comment,exit_comment,match_error
2025-05-22 10:49:00,2025-05-22 10:49:30,2025-05,2025-05-22,10,sell,0.01,3296.564,3297.757,-1.2,24.72,0.5,manual/exit_loss,AC1,RJT,RJT,115,A,RG,,"RG,EMA",S90-99,AC1|RJT|RJT|S115|A|RG|EMA,,1.1880699999999977
2025-05-01 10:06:00,2025-05-01 10:06:37,2025-05,2025-05-01,10,sell,0.01,3216.819,3218.006,-1.19,24.23,0.6166666666666667,manual/exit_loss,AC1,RJT,RJT,115,A,RG,,"RG,EMA",S90-99,AC1|RJT|RJT|S115|A|RG|EMA,,1.178130000000001
2025-04-28 10:03:00,2025-04-28 10:03:31,2025-04,2025-04-28,10,sell,0.01,3275.268,3276.346,-1.08,23.08,0.5166666666666667,manual/exit_loss,AC1,RJT,RJT,102,A,RG,,"RG,EMA",S90-99,AC1|RJT|RJT|S102|A|RG|EMA,,1.0692200000000003
2025-05-01 10:20:00,2025-05-01 10:20:24,2025-05,2025-05-01,10,sell,0.01,3214.33,3215.401,-1.07,23.16,0.4,manual/exit_loss,AC1,RJT,RJT,115,A,RG,,"RG,EMA",S90-99,AC1|RJT|RJT|S115|A|RG|EMA,,1.059290000000001
2025-05-27 10:00:00,2025-05-27 10:00:34,2025-05,2025-05-27,10,sell,0.01,3296.274,3297.301,-1.03,21.87,0.5666666666666667,manual/exit_loss,AC1,RJT,RJT,115,A,RG,,"RG,EMA",S90-99,AC1|RJT|RJT|S115|A|RG|EMA,,1.0197299999999996
2025-06-03 10:09:00,2025-06-03 10:12:04,2025-06,2025-06-03,10,sell,0.01,3356.394,3357.397,-1.01,15.4,3.066666666666667,sl,AC1,RJT,RJT,102,A,RG,,"RG,EMA",S90-99,AC1|RJT|RJT|S102|A|RG|EMA,sl 3357.377,0.9999699999999985
2025-06-09 10:29:01,2025-06-09 10:29:34,2025-06,2025-06-09,10,sell,0.01,3316.281,3317.289,-1.01,17.43,0.55,sl,AC1,RJT,RJT,115,A,RG,,"RG,EMA",S90-99,AC1|RJT|RJT|S115|A|RG|EMA,sl 3317.272,0.9999199999999974
2025-05-22 10:19:00,2025-05-22 10:19:40,2025-05,2025-05-22,10,sell,0.01,3302.937,3303.912,-0.97,23.8,0.6666666666666666,manual/exit_loss,AC1,RJT,RJT,109,A,RG,,"RG,EMA",S90-99,AC1|RJT|RJT|S109|A|RG|EMA,,0.9602500000000009
2025-05-28 11:21:29,2025-05-28 11:21:44,2025-05,2025-05-28,11,sell,0.01,3310.592,3311.555,-0.97,19.6,0.25,sl,AC1,RJT,RJT,109,A,RG,,"RG,EMA",S90-99,AC1|RJT|RJT|S109|A|RG|EMA,sl 3311.538,0.9603700000000026
2025-04-29 10:24:00,2025-04-29 10:25:30,2025-04,2025-04-29,10,sell,0.01,3309.125,3310.055,-0.93,23.21,1.5,manual/exit_loss,AC1,RJT,RJT,109,A,RG,,"RG,EMA",S90-99,AC1|RJT|RJT|S109|A|RG|EMA,,0.9207000000000017
2025-05-27 11:25:00,2025-05-27 11:26:04,2025-05,2025-05-27,11,sell,0.01,3291.02,3291.946,-0.93,22.34,1.0666666666666667,manual/exit_loss,AC1,RJT,RJT,115,A,RG,,"RG,EMA",S90-99,AC1|RJT|RJT|S115|A|RG|EMA,,0.9207400000000008
2025-03-06 10:13:00,2025-03-06 10:14:13,2025-03,2025-03-06,10,sell,0.01,2892.964,2893.877,-0.92,19.46,1.2166666666666666,manual/exit_loss,AC1,RJT,RJT,109,A,RG,,"RG,EMA",S90-99,AC1|RJT|RJT|S109|A|RG|EMA,,0.91087
2025-04-29 11:04:00,2025-04-29 11:04:29,2025-04,2025-04-29,11,sell,0.01,3310.528,3311.443,-0.91,23.42,0.48333333333333334,manual/exit_loss,AC1,RJT,RJT,115,A,RG,,"RG,EMA",S90-99,AC1|RJT|RJT|S115|A|RG|EMA,,0.9008499999999958
2025-05-08 11:06:00,2025-05-08 11:07:27,2025-05,2025-05-08,11,sell,0.01,3339.78,3340.689,-0.91,22.33,1.45,manual/exit_loss,AC1,RJT,RJT,115,A,RG,,"RG,EMA",S90-99,AC1|RJT|RJT|S115|A|RG|EMA,,0.9009100000000035
2025-04-30 10:47:00,2025-04-30 10:48:31,2025-04,2025-04-30,10,sell,0.01,3276.839,3277.738,-0.9,22.27,1.5166666666666666,manual/exit_loss,AC1,RJT,RJT,115,A,RG,,"RG,EMA",S90-99,AC1|RJT|RJT|S115|A|RG|EMA,,0.8910100000000012
2025-05-27 11:00:00,2025-05-27 11:01:04,2025-05,2025-05-27,11,sell,0.01,3293.334,3294.232,-0.9,23.27,1.0666666666666667,manual/exit_loss,AC1,RJT,RJT,115,A,RG,,"RG,EMA",S90-99,AC1|RJT|RJT|S115|A|RG|EMA,,0.8910199999999986
2025-05-13 11:01:24,2025-05-13 11:01:37,2025-05,2025-05-13,11,sell,0.01,3252.197,3253.094,-0.89,20.41,0.21666666666666667,sl,AC1,RJT,RJT,115,A,RG,,"RG,EMA",S90-99,AC1|RJT|RJT|S115|A|RG|EMA,sl 3253.047,0.8810300000000006
2025-05-30 10:44:00,2025-05-30 10:45:27,2025-05,2025-05-30,10,sell,0.01,3294.324,3295.206,-0.89,17.75,1.45,sl,AC1,RJT,RJT,115,A,RG,,"RG,EMA",S90-99,AC1|RJT|RJT|S115|A|RG|EMA,sl 3295.174,0.8811799999999994
2025-06-18 10:11:00,2025-06-18 10:11:40,2025-06,2025-06-18,10,sell,0.01,3377.717,3378.61,-0.89,14.66,0.6666666666666666,sl,AC1,RJT,RJT,115,A,RG,,"RG,EMA",S90-99,AC1|RJT|RJT|S115|A|RG|EMA,sl 3378.567,0.8810699999999997
2025-05-08 11:12:00,2025-05-08 11:12:27,2025-05,2025-05-08,11,sell,0.01,3339.935,3340.822,-0.88,21.77,0.45,manual/exit_loss,AC1,RJT,RJT,109,A,RG,,"RG,EMA",S90-99,AC1|RJT|RJT|S109|A|RG|EMA,,0.8711299999999983
2025-06-11 10:49:00,2025-06-11 10:50:40,2025-06,2025-06-11,10,sell,0.01,3331.52,3332.402,-0.88,15.44,1.6666666666666667,manual/exit_loss,AC1,RJT,RJT,115,A,RG,,"RG,EMA",S90-99,AC1|RJT|RJT|S115|A|RG|EMA,,0.8711799999999994
2025-05-27 11:46:04,2025-05-27 11:46:36,2025-05,2025-05-27,11,sell,0.01,3291.841,3292.706,-0.87,21.47,0.5333333333333333,manual/exit_loss,AC1,RJT,RJT,109,A,RG,,"RG,EMA",S90-99,AC1|RJT|RJT|S109|A|RG|EMA,,0.8613499999999976
2025-03-05 11:09:00,2025-03-05 11:09:23,2025-03,2025-03-05,11,sell,0.01,2913.316,2914.181,-0.86,19.04,0.38333333333333336,manual/exit_loss,AC1,RJT,RJT,115,A,RG,,"RG,EMA",S90-99,AC1|RJT|RJT|S115|A|RG|EMA,,0.8513499999999976
2025-03-10 11:37:00,2025-03-10 11:37:26,2025-03,2025-03-10,11,sell,0.01,2899.109,2899.967,-0.86,18.64,0.43333333333333335,manual/exit_loss,AC1,RJT,RJT,115,A,RG,,"RG,EMA",S90-99,AC1|RJT|RJT|S115|A|RG|EMA,,0.8514199999999983
2025-06-06 10:34:01,2025-06-06 10:34:17,2025-06,2025-06-06,10,sell,0.01,3357.195,3358.06,-0.86,18.55,0.26666666666666666,sl,AC1,RJT,RJT,102,A,RG,,"RG,EMA",S90-99,AC1|RJT|RJT|S102|A|RG|EMA,sl 3358.045,0.8513500000000022
2025-03-20 11:45:00,2025-03-20 11:47:22,2025-03,2025-03-20,11,sell,0.01,3030.858,3031.705,-0.85,19.63,2.3666666666666667,manual/exit_loss,AC1,RJT,RJT,115,A,RG,,"RG,EMA",S90-99,AC1|RJT|RJT|S115|A|RG|EMA,,0.8415300000000024
2025-03-10 11:11:00,2025-03-10 11:11:29,2025-03,2025-03-10,11,sell,0.01,2900.891,2901.727,-0.84,19.5,0.48333333333333334,manual/exit_loss,AC1,RJT,RJT,109,A,RG,,"RG,EMA",S90-99,AC1|RJT|RJT|S109|A|RG|EMA,,0.8316400000000022
2025-05-13 11:12:00,2025-05-13 11:12:42,2025-05,2025-05-13,11,sell,0.01,3252.712,3253.532,-0.82,19.59,0.7,manual/exit_loss,AC1,RJT,RJT,102,A,RG,,"RG,EMA",S90-99,AC1|RJT|RJT|S102|A|RG|EMA,,0.8117999999999983
2025-03-10 11:08:00,2025-03-10 11:08:39,2025-03,2025-03-10,11,sell,0.01,2900.727,2901.535,-0.81,20.34,0.65,manual/exit_loss,AC1,RJT,RJT,102,A,RG,,"RG,EMA",S90-99,AC1|RJT|RJT|S102|A|RG|EMA,,0.8019200000000001
2025-06-06 10:46:00,2025-06-06 10:47:06,2025-06,2025-06-06,10,sell,0.01,3357.486,3358.304,-0.81,17.74,1.1,manual/exit_loss,AC1,RJT,RJT,102,A,RG,,"RG,EMA",S90-99,AC1|RJT|RJT|S102|A|RG|EMA,,0.801819999999998
2025-04-15 10:51:00,2025-04-15 10:51:41,2025-04,2025-04-15,10,sell,0.01,3222.593,3223.369,-0.78,20.53,0.6833333333333333,manual/exit_loss,AC1,RJT,RJT,115,A,RG,,"RG,EMA",S90-99,AC1|RJT|RJT|S115|A|RG|EMA,,0.772239999999997
