entry_time,exit_time,entry_month,entry_date,entry_hour,side,volume,entry_price,exit_price,profit,balance,hold_minutes,exit_reason,family,engine,code,score,grade,regime_tag,hour_tag,tags,score_bucket,entry_comment,exit_comment,match_error
2025-01-08 11:17:00,2025-01-08 11:25:00,2025-01,2025-01-08,11,sell,0.01,2651.641,2651.473,0.17,29.17,8.0,manual/exit_profit,AC1,RJT,RJT,109,A,RG,,"RG,EMA",S90-99,AC1|RJT|RJT|S109|A|RG|EMA,,0.1683199999999988
2025-01-08 11:25:00,2025-01-08 11:26:38,2025-01,2025-01-08,11,sell,0.01,2651.361,2650.515,0.84,30.01,1.6333333333333333,tp,AC1,RJT,RJT,115,A,RG,,"RG,EMA",S90-99,AC1|RJT|RJT|S115|A|RG|EMA,tp 2650.516,0.83154
2025-01-08 11:40:00,2025-01-08 11:42:27,2025-01,2025-01-08,11,sell,0.01,2648.721,2648.446,0.27,30.28,2.45,sl,AC1,RJT,RJT,115,A,RG,,"RG,EMA",S90-99,AC1|RJT|RJT|S115|A|RG|EMA,sl 2648.432,0.2672499999999991
2025-01-13 10:00:00,2025-01-13 10:00:41,2025-01,2025-01-13,10,sell,0.01,2684.847,2684.002,0.85,31.13,0.6833333333333333,tp,AC1,RJT,RJT,115,A,RG,,"RG,EMA",S90-99,AC1|RJT|RJT|S115|A|RG|EMA,tp 2684.002,0.8415499999999975
2025-01-13 10:10:00,2025-01-13 10:12:39,2025-01,2025-01-13,10,sell,0.01,2680.722,2679.597,1.12,32.25,2.65,tp,AC1,RJT,RJT,109,A,RG,,"RG,EMA",S90-99,AC1|RJT|RJT|S109|A|RG|EMA,tp 2679.611,1.1087500000000001
2025-01-13 10:19:00,2025-01-13 10:22:45,2025-01,2025-01-13,10,sell,0.01,2680.506,2680.413,0.1,32.35,3.75,sl,AC1,RJT,RJT,109,A,RG,,"RG,EMA",S90-99,AC1|RJT|RJT|S109|A|RG|EMA,sl 2680.395,0.09907000000000153
2025-01-13 10:23:00,2025-01-13 10:23:53,2025-01,2025-01-13,10,sell,0.01,2680.633,2679.776,0.85,33.2,0.8833333333333333,tp,AC1,RJT,RJT,102,A,RG,,"RG,EMA",S90-99,AC1|RJT|RJT|S102|A|RG|EMA,tp 2679.788,0.8414300000000002
2025-01-13 10:29:00,2025-01-13 10:30:41,2025-01,2025-01-13,10,sell,0.01,2678.233,2678.985,-0.76,32.44,1.6833333333333333,manual/exit_loss,AC1,RJT,RJT,115,A,RG,,"RG,EMA",S90-99,AC1|RJT|RJT|S115|A|RG|EMA,,0.7524800000000005
2025-01-13 10:45:00,2025-01-13 10:47:57,2025-01,2025-01-13,10,sell,0.01,2679.96,2679.784,0.18,32.62,2.95,sl,AC1,RJT,RJT,102,A,RG,,"RG,EMA",S90-99,AC1|RJT|RJT|S102|A|RG|EMA,sl 2679.774,0.17824000000000068
2025-01-13 10:48:00,2025-01-13 10:54:20,2025-01,2025-01-13,10,sell,0.01,2679.757,2679.379,0.38,33.0,6.333333333333333,sl,AC1,RJT,RJT,109,A,RG,,"RG,EMA",S90-99,AC1|RJT|RJT|S109|A|RG|EMA,sl 2679.354,0.37621999999999844
2025-01-13 10:54:20,2025-01-13 10:54:39,2025-01,2025-01-13,10,sell,0.01,2679.267,2679.984,-0.71,32.29,0.31666666666666665,manual/exit_loss,AC1,RJT,RJT,102,A,RG,,"RG,EMA",S90-99,AC1|RJT|RJT|S102|A|RG|EMA,,0.702829999999999
2025-01-13 11:20:00,2025-01-13 11:20:39,2025-01,2025-01-13,11,sell,0.01,2679.342,2680.048,-0.71,31.58,0.65,manual/exit_loss,AC1,RJT,RJT,102,A,RG,,"RG,EMA",S90-99,AC1|RJT|RJT|S102|A|RG|EMA,,0.7029400000000032
2025-01-13 11:46:00,2025-01-13 11:46:37,2025-01,2025-01-13,11,sell,0.01,2677.192,2677.912,-0.72,30.86,0.6166666666666667,manual/exit_loss,AC1,RJT,RJT,109,A,RG,,"RG,EMA",S90-99,AC1|RJT|RJT|S109|A|RG|EMA,,0.712800000000002
2025-01-14 10:02:00,2025-01-14 10:03:36,2025-01,2025-01-14,10,sell,0.01,2666.372,2667.077,-0.71,30.15,1.6,manual/exit_loss,AC1,RJT,RJT,115,A,RG,,"RG,EMA",S90-99,AC1|RJT|RJT|S115|A|RG|EMA,,0.7029499999999962
2025-01-14 10:11:00,2025-01-14 10:13:03,2025-01,2025-01-14,10,sell,0.01,2667.006,2667.714,-0.7,29.45,2.05,manual/exit_loss,AC1,RJT,RJT,115,A,RG,,"RG,EMA",S90-99,AC1|RJT|RJT|S115|A|RG|EMA,,0.6929199999999991
2025-01-14 10:43:00,2025-01-14 10:47:36,2025-01,2025-01-14,10,sell,0.01,2665.396,2666.108,-0.71,28.74,4.6,manual/exit_loss,AC1,RJT,RJT,115,A,RG,,"RG,EMA",S90-99,AC1|RJT|RJT|S115|A|RG|EMA,,0.7028800000000001
2025-01-14 11:14:00,2025-01-14 11:21:36,2025-01,2025-01-14,11,sell,0.01,2665.308,2665.126,0.18,28.92,7.6,sl,AC1,RJT,RJT,115,A,RG,,"RG,EMA",S90-99,AC1|RJT|RJT|S115|A|RG|EMA,sl 2665.119,0.17818000000000211
2025-01-14 11:21:36,2025-01-14 11:22:45,2025-01,2025-01-14,11,sell,0.01,2665.014,2664.842,0.17,29.09,1.15,sl,AC1,RJT,RJT,115,A,RG,,"RG,EMA",S90-99,AC1|RJT|RJT|S115|A|RG|EMA,sl 2664.823,0.16827999999999976
2025-01-14 11:25:00,2025-01-14 11:25:38,2025-01,2025-01-14,11,sell,0.01,2664.967,2665.678,-0.71,28.38,0.6333333333333333,manual/exit_loss,AC1,RJT,RJT,102,A,RG,,"RG,EMA",S90-99,AC1|RJT|RJT|S102|A|RG|EMA,,0.7028900000000021
2025-01-17 10:00:00,2025-01-17 10:01:03,2025-01,2025-01-17,10,sell,0.01,2704.863,2704.018,0.84,29.22,1.05,tp,AC1,RJT,RJT,102,A,RG,,"RG,EMA",S90-99,AC1|RJT|RJT|S102|A|RG|EMA,tp 2704.018,0.831550000000002
2025-01-17 10:07:00,2025-01-17 10:12:37,2025-01,2025-01-17,10,sell,0.01,2704.377,2704.208,0.17,29.39,5.616666666666666,sl,AC1,RJT,RJT,109,A,RG,,"RG,EMA",S90-99,AC1|RJT|RJT|S109|A|RG|EMA,sl 2704.201,0.16831000000000132
2025-01-17 10:12:37,2025-01-17 10:20:37,2025-01,2025-01-17,10,sell,0.01,2704.096,2704.096,0.0,29.39,8.0,flat,AC1,RJT,RJT,102,A,RG,,"RG,EMA",S90-99,AC1|RJT|RJT|S102|A|RG|EMA,,0.0
2025-01-17 10:33:00,2025-01-17 10:35:54,2025-01,2025-01-17,10,sell,0.01,2704.485,2704.362,0.13,29.52,2.9,sl,AC1,RJT,RJT,109,A,RG,,"RG,EMA",S90-99,AC1|RJT|RJT|S109|A|RG|EMA,sl 2704.355,0.12876999999999952
2025-01-17 10:36:00,2025-01-17 10:40:34,2025-01,2025-01-17,10,sell,0.01,2704.31,2704.227,0.08,29.6,4.566666666666666,sl,AC1,RJT,RJT,109,A,RG,,"RG,EMA",S90-99,AC1|RJT|RJT|S109|A|RG|EMA,sl 2704.223,0.07916999999999917
2025-01-17 10:40:34,2025-01-17 10:41:36,2025-01,2025-01-17,10,sell,0.01,2704.115,2703.256,0.86,30.46,1.0333333333333334,tp,AC1,RJT,RJT,109,A,RG,,"RG,EMA",S90-99,AC1|RJT|RJT|S109|A|RG|EMA,tp 2703.270,0.8514100000000008
2025-01-17 10:47:00,2025-01-17 10:48:20,2025-01,2025-01-17,10,sell,0.01,2703.99,2703.694,0.3,30.76,1.3333333333333333,sl,AC1,RJT,RJT,109,A,RG,,"RG,EMA",S90-99,AC1|RJT|RJT|S109|A|RG|EMA,sl 2703.681,0.29704000000000175
2025-01-17 11:00:00,2025-01-17 11:02:28,2025-01,2025-01-17,11,sell,0.01,2704.029,2704.735,-0.71,30.05,2.466666666666667,manual/exit_loss,AC1,RJT,RJT,115,A,RG,,"RG,EMA",S90-99,AC1|RJT|RJT|S115|A|RG|EMA,,0.7029399999999987
2025-01-21 10:01:00,2025-01-21 10:01:38,2025-01,2025-01-21,10,sell,0.01,2721.148,2721.847,-0.7,29.35,0.6333333333333333,manual/exit_loss,AC1,RJT,RJT,102,A,RG,,"RG,EMA",S90-99,AC1|RJT|RJT|S102|A|RG|EMA,,0.6930099999999992
2025-01-21 10:04:00,2025-01-21 10:06:27,2025-01,2025-01-21,10,sell,0.01,2721.242,2721.945,-0.71,28.64,2.45,manual/exit_loss,AC1,RJT,RJT,115,A,RG,,"RG,EMA",S90-99,AC1|RJT|RJT|S115|A|RG|EMA,,0.7029700000000002
2025-01-21 10:38:00,2025-01-21 10:38:35,2025-01,2025-01-21,10,sell,0.01,2721.473,2720.62,0.85,29.49,0.5833333333333334,tp,AC1,RJT,RJT,115,A,RG,,"RG,EMA",S90-99,AC1|RJT|RJT|S115|A|RG|EMA,tp 2720.628,0.8414699999999993
2025-01-21 10:48:00,2025-01-21 10:56:00,2025-01,2025-01-21,10,sell,0.01,2719.699,2720.025,-0.33,29.16,8.0,manual/exit_loss,AC1,RJT,RJT,115,A,RG,,"RG,EMA",S90-99,AC1|RJT|RJT|S115|A|RG|EMA,,0.3267399999999998
2025-01-21 10:57:00,2025-01-21 10:58:36,2025-01,2025-01-21,10,sell,0.01,2719.646,2720.37,-0.72,28.44,1.6,manual/exit_loss,AC1,RJT,RJT,115,A,RG,,"RG,EMA",S90-99,AC1|RJT|RJT|S115|A|RG|EMA,,0.712760000000003
2025-01-21 11:18:36,2025-01-21 11:19:38,2025-01,2025-01-21,11,sell,0.01,2718.072,2718.797,-0.73,27.71,1.0333333333333334,manual/exit_loss,AC1,RJT,RJT,102,A,RG,,"RG,EMA",S90-99,AC1|RJT|RJT|S102|A|RG|EMA,,0.7227500000000009
2025-01-22 11:45:00,2025-01-22 11:48:18,2025-01,2025-01-22,11,sell,0.01,2757.041,2756.778,0.26,27.97,3.3,sl,AC1,RJT,RJT,102,A,RG,,"RG,EMA",S90-99,AC1|RJT|RJT|S102|A|RG|EMA,sl 2756.774,0.25736999999999627
2025-01-22 11:48:18,2025-01-22 11:48:37,2025-01,2025-01-22,11,sell,0.01,2756.666,2757.366,-0.7,27.27,0.31666666666666665,manual/exit_loss,AC1,RJT,RJT,115,A,RG,,"RG,EMA",S90-99,AC1|RJT|RJT|S115|A|RG|EMA,,0.6930000000000017
2025-01-22 11:54:00,2025-01-22 11:56:26,2025-01,2025-01-22,11,sell,0.01,2757.013,2756.697,0.31,27.58,2.433333333333333,sl,AC1,RJT,RJT,102,A,RG,,"RG,EMA",S90-99,AC1|RJT|RJT|S102|A|RG|EMA,sl 2756.681,0.30684000000000194
2025-01-22 11:58:00,2025-01-22 12:00:37,2025-01,2025-01-22,11,sell,0.01,2756.549,2755.698,0.85,28.43,2.6166666666666667,tp,AC1,RJT,RJT,115,A,RG,,"RG,EMA",S90-99,AC1|RJT|RJT|S115|A|RG|EMA,tp 2755.704,0.8414899999999989
2025-01-24 10:08:00,2025-01-24 10:08:26,2025-01,2025-01-24,10,sell,0.01,2772.755,2773.468,-0.71,27.72,0.43333333333333335,manual/exit_loss,AC1,RJT,RJT,102,A,RG,,"RG,EMA",S90-99,AC1|RJT|RJT|S102|A|RG|EMA,,0.7028700000000025
2025-01-24 10:24:00,2025-01-24 10:24:21,2025-01,2025-01-24,10,sell,0.01,2772.281,2772.026,0.25,27.97,0.35,sl,AC1,RJT,RJT,115,A,RG,,"RG,EMA",S90-99,AC1|RJT|RJT|S115|A|RG|EMA,sl 2772.007,0.24744999999999892
2025-01-24 10:33:00,2025-01-24 10:34:36,2025-01,2025-01-24,10,sell,0.01,2772.673,2772.394,0.28,28.25,1.6,sl,AC1,RJT,RJT,109,A,RG,,"RG,EMA",S90-99,AC1|RJT|RJT|S109|A|RG|EMA,sl 2772.383,0.27721000000000007
