entry_time,exit_time,entry_month,entry_date,entry_hour,side,volume,entry_price,exit_price,profit,balance,hold_minutes,exit_reason,family,engine,code,score,grade,regime_tag,hour_tag,tags,score_bucket,entry_comment,exit_comment,match_error
2026-04-14 11:00:00,2026-04-14 11:00:03,2026-04,2026-04-14,11,sell,0.01,4768.145,4769.971,-1.82,24.62,0.05,sl,AC1,RJT,RJT,115,A,RG,,"RG,EMA",S90-99,AC1|RJT|RJT|S115|A|RG|EMA,sl 4769.898,1.801740000000009
2026-04-17 10:58:00,2026-04-17 10:58:10,2026-04,2026-04-17,10,sell,0.01,4784.365,4786.106,-1.74,25.17,0.16666666666666666,sl,AC1,RJT,RJT,115,A,RG,,"RG,EMA",S90-99,AC1|RJT|RJT|S115|A|RG|EMA,sl 4785.865,1.72259
2026-01-07 11:50:00,2026-01-07 11:50:55,2026-01,2026-01-07,11,sell,0.01,4450.551,4452.229,-1.68,29.55,0.9166666666666666,manual/exit_loss,AC1,RJT,RJT,115,A,RG,,"RG,EMA",S90-99,AC1|RJT|RJT|S115|A|RG|EMA,,1.663220000000001
2026-02-27 11:18:00,2026-02-27 11:18:46,2026-02,2026-02-27,11,sell,0.01,5172.916,5174.541,-1.62,28.94,0.7666666666666667,sl,AC1,RJT,RJT,115,A,RG,,"RG,EMA",S90-99,AC1|RJT|RJT|S115|A|RG|EMA,sl 5174.539,1.60375
2026-04-22 11:56:00,2026-04-22 11:57:13,2026-04,2026-04-22,11,sell,0.01,4749.668,4751.289,-1.62,31.09,1.2166666666666666,manual/exit_loss,AC1,RJT,RJT,115,A,RG,,"RG,EMA",S90-99,AC1|RJT|RJT|S115|A|RG|EMA,,1.6037899999999992
2026-01-19 11:53:00,2026-01-19 11:53:14,2026-01,2026-01-19,11,sell,0.01,4661.319,4662.924,-1.6,35.67,0.23333333333333334,sl,AC1,RJT,RJT,102,A,RG,,"RG,EMA",S90-99,AC1|RJT|RJT|S102|A|RG|EMA,sl 4662.887,1.5839500000000044
2026-02-19 10:56:01,2026-02-19 10:56:02,2026-02,2026-02-19,10,sell,0.01,4988.99,4990.537,-1.55,24.14,0.016666666666666666,sl,AC1,RJT,RJT,109,A,RG,,"RG,EMA",S90-99,AC1|RJT|RJT|S109|A|RG|EMA,sl 4990.293,1.5345299999999953
2026-01-07 11:54:00,2026-01-07 11:54:19,2026-01,2026-01-07,11,sell,0.01,4450.6,4452.117,-1.52,28.03,0.31666666666666665,manual/exit_loss,AC1,RJT,RJT,109,A,RG,,"RG,EMA",S90-99,AC1|RJT|RJT|S109|A|RG|EMA,,1.5048300000000017
2026-02-12 10:50:00,2026-02-12 10:50:22,2026-02,2026-02-12,10,sell,0.01,5059.248,5060.708,-1.46,30.36,0.36666666666666664,manual/exit_loss,AC1,RJT,RJT,109,A,RG,,"RG,EMA",S90-99,AC1|RJT|RJT|S109|A|RG|EMA,,1.4453999999999996
2026-03-12 11:30:00,2026-03-12 11:30:05,2026-03,2026-03-12,11,sell,0.01,5176.591,5178.045,-1.46,28.1,0.08333333333333333,sl,AC1,RJT,RJT,115,A,RG,,"RG,EMA",S90-99,AC1|RJT|RJT|S115|A|RG|EMA,sl 5177.991,1.4454600000000026
