entry_time,exit_time,entry_month,entry_date,entry_hour,side,volume,entry_price,exit_price,profit,balance,hold_minutes,exit_reason,family,engine,code,score,grade,regime_tag,hour_tag,tags,score_bucket,entry_comment,exit_comment,match_error
2026-04-27 11:37:00,2026-04-27 11:37:46,2026-04,2026-04-27,11,sell,0.01,4704.328,4702.018,2.31,30.66,0.7666666666666667,tp,AC1,RJT,RJT,109,A,RG,,"RG,EMA",S90-99,AC1|RJT|RJT|S109|A|RG|EMA,tp 4702.295,2.286899999999996
2026-04-22 10:08:00,2026-04-22 10:09:29,2026-04,2026-04-22,10,sell,0.01,4750.557,4748.691,1.87,34.06,1.4833333333333334,tp,AC1,RJT,RJT,109,A,RG,,"RG,EMA",S90-99,AC1|RJT|RJT|S109|A|RG|EMA,tp 4748.774,1.8513400000000002
2026-05-07 10:29:00,2026-05-07 10:31:23,2026-05,2026-05-07,10,sell,0.01,4731.938,4730.094,1.85,34.63,2.3833333333333333,tp,AC1,RJT,RJT,102,A,RG,,"RG,EMA",S90-99,AC1|RJT|RJT|S102|A|RG|EMA,tp 4730.326,1.8315599999999996
2026-02-26 11:46:00,2026-02-26 11:46:55,2026-02,2026-02-26,11,sell,0.01,5173.425,5171.778,1.65,27.6,0.9166666666666666,tp,AC1,RJT,RJT,102,A,RG,,"RG,EMA",S90-99,AC1|RJT|RJT|S102|A|RG|EMA,tp 5172.153,1.6335300000000006
2026-04-27 11:50:00,2026-04-27 11:51:45,2026-04,2026-04-27,11,sell,0.01,4702.977,4701.346,1.63,33.66,1.75,tp,AC1,RJT,RJT,115,A,RG,,"RG,EMA",S90-99,AC1|RJT|RJT|S115|A|RG|EMA,tp 4701.395,1.6136899999999967
2026-04-28 10:52:00,2026-04-28 10:52:16,2026-04,2026-04-28,10,sell,0.01,4611.525,4609.911,1.62,35.28,0.26666666666666666,tp,AC1,RJT,RJT,115,A,RG,,"RG,EMA",S90-99,AC1|RJT|RJT|S115|A|RG|EMA,tp 4609.976,1.6038600000000043
2026-02-27 11:14:00,2026-02-27 11:14:31,2026-02,2026-02-27,11,sell,0.01,5175.309,5173.778,1.53,30.56,0.5166666666666667,tp,AC1,RJT,RJT,102,A,RG,,"RG,EMA",S90-99,AC1|RJT|RJT|S102|A|RG|EMA,tp 5174.188,1.5146900000000005
2026-03-05 10:22:00,2026-03-05 10:22:18,2026-03,2026-03-05,10,sell,0.01,5153.492,5151.961,1.53,29.19,0.3,tp,AC1,RJT,RJT,102,A,RG,,"RG,EMA",S90-99,AC1|RJT|RJT|S102|A|RG|EMA,tp 5151.993,1.5146900000000005
2026-02-25 11:02:00,2026-02-25 11:02:48,2026-02,2026-02-25,11,sell,0.01,5174.41,5172.906,1.5,25.95,0.8,tp,AC1,RJT,RJT,115,A,RG,,"RG,EMA",S90-99,AC1|RJT|RJT|S115|A|RG|EMA,tp 5173.083,1.484960000000001
2026-04-21 11:25:00,2026-04-21 11:26:04,2026-04,2026-04-21,11,sell,0.01,4781.797,4780.32,1.48,30.87,1.0666666666666667,tp,AC1,RJT,RJT,109,A,RG,,"RG,EMA",S90-99,AC1|RJT|RJT|S109|A|RG|EMA,tp 4780.337,1.4652300000000014
