entry_time,exit_time,entry_month,entry_date,entry_hour,side,volume,entry_price,exit_price,profit,balance,hold_minutes,exit_reason,family,engine,code,score,grade,regime_tag,hour_tag,tags,score_bucket,entry_comment,exit_comment,match_error
2026-01-06 10:25:00,2026-01-06 10:25:55,2026-01,2026-01-06,10,sell,0.01,4450.047,4450.006,0.04,29.04,0.9166666666666666,sl,AC1,RJT,RJT,102,A,RG,,"RG,EMA",S90-99,AC1|RJT|RJT|S102|A|RG|EMA,sl 4449.997,0.039590000000007425
2026-01-06 10:29:00,2026-01-06 10:29:46,2026-01,2026-01-06,10,sell,0.01,4449.046,4450.109,-1.06,27.98,0.7666666666666667,manual/exit_loss,AC1,RJT,RJT,115,A,RG,,"RG,EMA",S90-99,AC1|RJT|RJT|S115|A|RG|EMA,,1.049369999999999
2026-01-06 10:50:00,2026-01-06 10:51:39,2026-01,2026-01-06,10,sell,0.01,4451.174,4450.753,0.42,28.4,1.65,sl,AC1,RJT,RJT,115,A,RG,,"RG,EMA",S90-99,AC1|RJT|RJT|S115|A|RG|EMA,sl 4450.736,0.4157899999999972
2026-01-06 10:53:00,2026-01-06 10:53:57,2026-01,2026-01-06,10,sell,0.01,4450.67,4451.772,-1.1,27.3,0.95,manual/exit_loss,AC1,RJT,RJT,115,A,RG,,"RG,EMA",S90-99,AC1|RJT|RJT|S115|A|RG|EMA,,1.0889800000000014
2026-01-06 11:14:00,2026-01-06 11:16:08,2026-01,2026-01-06,11,sell,0.01,4451.083,4450.082,1.0,28.3,2.1333333333333333,tp,AC1,RJT,RJT,115,A,RG,,"RG,EMA",S90-99,AC1|RJT|RJT|S115|A|RG|EMA,tp 4450.121,0.989990000000007
2026-01-07 11:22:00,2026-01-07 11:24:08,2026-01,2026-01-07,11,sell,0.01,4461.135,4460.048,1.09,29.39,2.1333333333333333,tp,AC1,RJT,RJT,115,A,RG,,"RG,EMA",S90-99,AC1|RJT|RJT|S115|A|RG|EMA,tp 4460.064,1.0791299999999957
2026-01-07 11:31:00,2026-01-07 11:32:27,2026-01,2026-01-07,11,sell,0.01,4458.512,4458.035,0.47,29.86,1.45,sl,AC1,RJT,RJT,109,A,RG,,"RG,EMA",S90-99,AC1|RJT|RJT|S109|A|RG|EMA,sl 4458.031,0.46523000000000136
2026-01-07 11:42:00,2026-01-07 11:42:06,2026-01,2026-01-07,11,sell,0.01,4453.385,4452.022,1.37,31.23,0.1,tp,AC1,RJT,RJT,102,A,RG,,"RG,EMA",S90-99,AC1|RJT|RJT|S102|A|RG|EMA,tp 4452.074,1.3563699999999972
2026-01-07 11:50:00,2026-01-07 11:50:55,2026-01,2026-01-07,11,sell,0.01,4450.551,4452.229,-1.68,29.55,0.9166666666666666,manual/exit_loss,AC1,RJT,RJT,115,A,RG,,"RG,EMA",S90-99,AC1|RJT|RJT|S115|A|RG|EMA,,1.663220000000001
2026-01-07 11:54:00,2026-01-07 11:54:19,2026-01,2026-01-07,11,sell,0.01,4450.6,4452.117,-1.52,28.03,0.31666666666666665,manual/exit_loss,AC1,RJT,RJT,109,A,RG,,"RG,EMA",S90-99,AC1|RJT|RJT|S109|A|RG|EMA,,1.5048300000000017
