engine,entry_hour,trades,net,gross_profit,gross_loss,win_rate,profit_factor,avg,avg_win,avg_loss,largest_win,largest_loss,win_count,loss_count
MRV,13,3.0,-0.6,0,-0.6,0.0,0.0,-0.19999999999999998,0.0,-0.3,0.0,-0.36,0.0,2.0
MRV,7,2.0,-0.57,0.04,-0.61,50.0,0.06557377049180328,-0.285,0.04,-0.61,0.04,-0.61,1.0,1.0
MRV,18,5.0,-0.36,0.37,-0.73,60.0,0.5068493150684932,-0.072,0.12333333333333334,-0.365,0.3,-0.41,3.0,2.0
MRV,11,2.0,-0.16,0.09,-0.25,50.0,0.36,-0.08,0.09,-0.25,0.09,-0.25,1.0,1.0
MRV,12,4.0,-0.08000000000000002,0.68,-0.76,50.0,0.8947368421052632,-0.020000000000000004,0.34,-0.38,0.65,-0.54,2.0,2.0
MRV,19,4.0,-0.03999999999999999,0.17,-0.21,75.0,0.8095238095238096,-0.009999999999999997,0.05666666666666667,-0.21,0.1,-0.21,3.0,1.0
MRV,0,2.0,0.04999999999999999,0.29,-0.24,50.0,1.2083333333333333,0.024999999999999994,0.29,-0.24,0.29,-0.24,1.0,1.0
MRV,8,1.0,0.05,0.05,0,100.0,0.0,0.05,0.05,0.0,0.05,0.0,1.0,0.0
MRV,4,2.0,0.09,0.31,-0.22,50.0,1.4090909090909092,0.045,0.31,-0.22,0.31,-0.22,1.0,1.0
MRV,15,2.0,0.15,0.37,-0.22,50.0,1.6818181818181819,0.075,0.37,-0.22,0.37,-0.22,1.0,1.0
MRV,10,3.0,0.18,0.5,-0.32,66.66666666666666,1.5625,0.06,0.25,-0.32,0.42,-0.32,2.0,1.0
MRV,5,1.0,0.19,0.19,0,100.0,0.0,0.19,0.19,0.0,0.19,0.0,1.0,0.0
MRV,20,2.0,0.68,0.68,0,100.0,0.0,0.34,0.34,0.0,0.65,0.0,2.0,0.0
MRV,9,2.0,0.91,0.91,0,100.0,0.0,0.455,0.455,0.0,0.74,0.0,2.0,0.0
MRV,14,2.0,1.34,1.34,0,100.0,0.0,0.67,0.67,0.0,0.68,0.0,2.0,0.0
MRV,6,3.0,1.7599999999999998,1.7599999999999998,0,66.66666666666666,0.0,0.5866666666666666,0.8799999999999999,0.0,1.15,0.0,2.0,0.0
