entry_month,trades,net,gross_profit,gross_loss,win_rate,profit_factor,avg,avg_win,avg_loss,largest_win,largest_loss,win_count,loss_count
2026-03,3.0,-0.52,0.31,-0.83,33.33333333333333,0.3734939759036145,-0.17333333333333334,0.31,-0.415,0.31,-0.61,1.0,2.0
2025-08,2.0,-0.49000000000000005,0.05,-0.54,50.0,0.09259259259259259,-0.24500000000000002,0.05,-0.54,0.05,-0.54,1.0,1.0
2025-09,3.0,-0.45999999999999996,0,-0.45999999999999996,0.0,0.0,-0.15333333333333332,0.0,-0.22999999999999998,0.0,-0.25,0.0,2.0
2025-12,2.0,-0.27,0.09,-0.36,50.0,0.25,-0.135,0.09,-0.36,0.09,-0.36,1.0,1.0
2025-03,2.0,-0.15999999999999998,0.08,-0.24,50.0,0.33333333333333337,-0.07999999999999999,0.08,-0.24,0.08,-0.24,1.0,1.0
2026-05,1.0,0.03,0.03,0,100.0,0.0,0.03,0.03,0.0,0.03,0.0,1.0,0.0
2026-01,1.0,0.04,0.04,0,100.0,0.0,0.04,0.04,0.0,0.04,0.0,1.0,0.0
2025-07,2.0,0.34,0.66,-0.32,50.0,2.0625,0.17,0.66,-0.32,0.66,-0.32,1.0,1.0
2025-10,6.0,0.51,0.75,-0.24,66.66666666666666,3.125,0.085,0.1875,-0.24,0.65,-0.24,4.0,1.0
2025-01,4.0,0.62,0.84,-0.22,75.0,3.818181818181818,0.155,0.27999999999999997,-0.22,0.37,-0.22,3.0,1.0
2025-05,1.0,0.74,0.74,0,100.0,0.0,0.74,0.74,0.0,0.74,0.0,1.0,0.0
2025-02,9.0,1.57,2.11,-0.54,77.77777777777779,3.907407407407407,0.17444444444444446,0.30142857142857143,-0.27,0.68,-0.32,7.0,2.0
2026-04,4.0,1.64,2.05,-0.41,75.0,5.0,0.41,0.6833333333333332,-0.41,1.15,-0.41,3.0,1.0
