engine,entry_hour,trades,net,gross_profit,gross_loss,win_rate,profit_factor,avg,avg_win,avg_loss,largest_win,largest_loss,win_count,loss_count
MRV,1,2.0,-0.8,0,-0.8,0.0,0.0,-0.4,0.0,-0.4,0.0,-0.41,0.0,2.0
MRV,2,3.0,-0.74,0,-0.74,0.0,0.0,-0.24666666666666667,0.0,-0.24666666666666667,0.0,-0.27,0.0,3.0
MRV,16,1.0,-0.7,0,-0.7,0.0,0.0,-0.7,0.0,-0.7,0.0,-0.7,0.0,1.0
MRV,17,2.0,-0.66,0,-0.66,0.0,0.0,-0.33,0.0,-0.33,0.0,-0.44,0.0,2.0
MRV,23,2.0,-0.33,0.04,-0.37,50.0,0.10810810810810811,-0.165,0.04,-0.37,0.04,-0.37,1.0,1.0
MRV,13,2.0,-0.24,0,-0.24,0.0,0.0,-0.12,0.0,-0.24,0.0,-0.24,0.0,1.0
MRV,4,1.0,-0.22,0,-0.22,0.0,0.0,-0.22,0.0,-0.22,0.0,-0.22,0.0,1.0
MRV,11,1.0,-0.16,0,-0.16,0.0,0.0,-0.16,0.0,-0.16,0.0,-0.16,0.0,1.0
MRV,19,4.0,-0.03999999999999999,0.17,-0.21,75.0,0.8095238095238096,-0.009999999999999997,0.05666666666666667,-0.21,0.1,-0.21,3.0,1.0
MRV,18,3.0,0.029999999999999985,0.35,-0.32,66.66666666666666,1.09375,0.009999999999999995,0.175,-0.32,0.3,-0.32,2.0,1.0
MRV,12,2.0,0.10999999999999999,0.65,-0.54,50.0,1.2037037037037037,0.05499999999999999,0.65,-0.54,0.65,-0.54,1.0,1.0
MRV,15,2.0,0.15,0.37,-0.22,50.0,1.6818181818181819,0.075,0.37,-0.22,0.37,-0.22,1.0,1.0
MRV,10,3.0,0.18,0.5,-0.32,66.66666666666666,1.5625,0.06,0.25,-0.32,0.42,-0.32,2.0,1.0
MRV,5,1.0,0.19,0.19,0,100.0,0.0,0.19,0.19,0.0,0.19,0.0,1.0,0.0
MRV,9,2.0,0.91,0.91,0,100.0,0.0,0.455,0.455,0.0,0.74,0.0,2.0,0.0
MRV,14,2.0,1.34,1.34,0,100.0,0.0,0.67,0.67,0.0,0.68,0.0,2.0,0.0
