entry_time,exit_time,entry_month,entry_date,entry_hour,side,volume,entry_price,exit_price,profit,balance,hold_minutes,exit_reason,family,engine,code,score,grade,regime_tag,hour_tag,tags,score_bucket,entry_comment,exit_comment,match_error
2025-09-18 16:00:16,2025-09-18 16:00:22,2025-09,2025-09-18,16,sell,0.01,3641.224,3641.924,-0.7,28.39,0.1,manual/exit_loss,AC1,MRV,MRV,82,B,WG,,"WG,BB",S80-89,AC1|MRV|MRV|S82|B|WG|BB,,0.6930000000000017
2025-08-04 12:49:30,2025-08-04 12:49:36,2025-08,2025-08-04,12,sell,0.01,3366.422,3366.958,-0.54,29.8,0.1,manual/exit_loss,AC1,MRV,MRV,82,B,WG,,"WG,BB",S80-89,AC1|MRV|MRV|S82|B|WG|BB,,0.5346399999999994
2025-07-08 17:46:38,2025-07-08 17:46:44,2025-07,2025-07-08,17,buy,0.01,3306.342,3305.899,-0.44,31.15,0.1,manual/exit_loss,AC1,MRV,MRV,82,B,RG,,"RG,BB",S80-89,AC1|MRV|MRV|S82|B|RG|BB,,0.4355699999999979
2025-07-25 01:48:09,2025-07-25 01:48:15,2025-07,2025-07-25,1,sell,0.01,3369.293,3369.7,-0.41,30.61,0.1,manual/exit_loss,AC1,MRV,MRV,82,B,WG,,"WG,BB",S80-89,AC1|MRV|MRV|S82|B|WG|BB,,0.405930000000003
2025-09-08 01:56:05,2025-09-08 01:56:11,2025-09,2025-09-08,1,sell,0.01,3589.948,3590.342,-0.39,29.09,0.1,manual/exit_loss,AC1,MRV,MRV,82,B,WG,,"WG,BB",S80-89,AC1|MRV|MRV|S82|B|WG|BB,,0.3860599999999977
2025-08-31 23:14:16,2025-08-31 23:14:22,2025-08,2025-08-31,23,buy,0.01,3449.155,3448.785,-0.37,29.48,0.1,manual/exit_loss,AC1,MRV,MRV,82,B,WG,,"WG,BB",S80-89,AC1|MRV|MRV|S82|B|WG|BB,,0.3662999999999965
2025-02-26 18:33:39,2025-02-26 18:33:45,2025-02,2025-02-26,18,buy,0.01,2914.616,2914.303,-0.32,29.54,0.1,manual/exit_loss,AC1,MRV,MRV,82,B,WG,,"WG,BB",S80-89,AC1|MRV|MRV|S82|B|WG|BB,,0.316869999999999
2025-07-17 10:54:12,2025-07-17 10:54:23,2025-07,2025-07-17,10,buy,0.01,3328.767,3328.446,-0.32,31.27,0.18333333333333332,manual/exit_loss,AC1,MRV,MRV,82,B,WG,,"WG,BB",S80-89,AC1|MRV|MRV|S82|B|WG|BB,,0.3167900000000009
2025-07-30 02:39:25,2025-07-30 02:39:45,2025-07,2025-07-30,2,buy,0.01,3328.674,3328.402,-0.27,30.34,0.3333333333333333,manual/exit_loss,AC1,MRV,MRV,82,B,RG,,"RG,BB",S80-89,AC1|MRV|MRV|S82|B|RG|BB,,0.2672800000000007
2025-07-22 02:14:22,2025-07-22 02:14:30,2025-07,2025-07-22,2,sell,0.01,3389.01,3389.256,-0.25,31.02,0.13333333333333333,manual/exit_loss,AC1,MRV,MRV,82,B,RG,,"RG,BB",S80-89,AC1|MRV|MRV|S82|B|RG|BB,,0.2475400000000036
2025-03-12 13:49:39,2025-03-12 13:49:57,2025-03,2025-03-12,13,sell,0.01,2914.827,2915.071,-0.24,30.73,0.3,manual/exit_loss,AC1,MRV,MRV,82,B,WG,,"WG,BB",S80-89,AC1|MRV|MRV|S82|B|WG|BB,,0.23756000000000313
2025-01-24 15:46:41,2025-01-24 15:46:58,2025-01,2025-01-24,15,buy,0.01,2781.682,2781.464,-0.22,29.25,0.2833333333333333,manual/exit_loss,AC1,MRV,MRV,82,B,WG,,"WG,BB",S80-89,AC1|MRV|MRV|S82|B|WG|BB,,0.21782000000000154
2025-01-24 17:49:30,2025-01-24 17:50:12,2025-01,2025-01-24,17,buy,0.01,2774.282,2774.055,-0.22,29.03,0.7,manual/exit_loss,AC1,MRV,MRV,82,B,WG,,"WG,BB",S80-89,AC1|MRV|MRV|S82|B|WG|BB,,0.21772999999999684
2025-02-04 04:19:38,2025-02-04 04:19:58,2025-02,2025-02-04,4,buy,0.01,2819.339,2819.122,-0.22,29.22,0.3333333333333333,manual/exit_loss,AC1,MRV,MRV,82,B,WG,,"WG,BB",S80-89,AC1|MRV|MRV|S82|B|WG|BB,,0.21782999999999902
2025-07-16 02:33:34,2025-07-16 02:34:07,2025-07,2025-07-16,2,sell,0.01,3329.791,3330.014,-0.22,31.59,0.55,manual/exit_loss,AC1,MRV,MRV,82,B,RG,,"RG,BB",S80-89,AC1|MRV|MRV|S82|B|RG|BB,,0.21777000000000044
2025-09-24 19:34:53,2025-09-24 19:35:01,2025-09,2025-09-24,19,sell,0.01,3722.295,3722.513,-0.21,28.18,0.13333333333333333,manual/exit_loss,AC1,MRV,MRV,82,B,RG,,"RG,BB",S80-89,AC1|MRV|MRV|S82|B|RG|BB,,0.20782000000000153
2025-09-26 11:57:26,2025-09-26 11:57:29,2025-09,2025-09-26,11,buy,0.01,3749.708,3749.546,-0.16,28.02,0.05,manual/exit_loss,AC1,MRV,MRV,82,B,RG,,"RG,BB",S80-89,AC1|MRV|MRV|S82|B|RG|BB,,0.15837999999999738
2025-09-24 13:30:07,2025-09-24 13:30:08,2025-09,2025-09-24,13,buy,0.01,3767.969,3767.965,0.0,28.39,0.016666666666666666,sl,AC1,MRV,MRV,82,B,WG,,"WG,BB",S80-89,AC1|MRV|MRV|S82|B|WG|BB,sl 3768.019,3.9999999999054125e-05
2025-02-12 19:51:27,2025-02-12 19:51:43,2025-02,2025-02-12,19,sell,0.01,2897.193,2897.164,0.03,29.44,0.26666666666666666,sl,AC1,MRV,MRV,82,B,RG,,"RG,BB",S80-89,AC1|MRV|MRV|S82|B|RG|BB,sl 2897.143,0.029710000000000035
2025-02-03 19:31:28,2025-02-03 19:31:46,2025-02,2025-02-03,19,buy,0.01,2820.847,2820.89,0.04,29.44,0.3,sl,AC1,MRV,MRV,82,B,RG,,"RG,BB",S80-89,AC1|MRV|MRV|S82|B|RG|BB,sl 2820.897,0.039570000000003346
2025-04-21 23:49:30,2025-04-21 23:49:47,2025-04,2025-04-21,23,buy,0.01,3436.421,3436.456,0.04,30.85,0.2833333333333333,sl,AC1,MRV,MRV,82,B,RG,,"RG,BB",S80-89,AC1|MRV|MRV|S82|B|RG|BB,sl 3436.471,0.03964999999999691
2025-08-07 18:16:17,2025-08-07 18:16:31,2025-08,2025-08-07,18,buy,0.01,3391.261,3391.31,0.05,29.85,0.23333333333333334,sl,AC1,MRV,MRV,82,B,RG,,"RG,BB",S80-89,AC1|MRV|MRV|S82|B|RG|BB,sl 3391.338,0.04951000000000022
2025-03-21 10:34:26,2025-03-21 10:35:17,2025-03,2025-03-21,10,buy,0.01,3031.044,3031.124,0.08,30.81,0.85,sl,AC1,MRV,MRV,82,B,WG,,"WG,BB",S80-89,AC1|MRV|MRV|S82|B|WG|BB,sl 3031.130,0.07920000000000073
2025-02-26 19:50:26,2025-02-26 19:50:43,2025-02,2025-02-26,19,buy,0.01,2915.312,2915.412,0.1,29.64,0.2833333333333333,sl,AC1,MRV,MRV,82,B,WG,,"WG,BB",S80-89,AC1|MRV|MRV|S82|B|WG|BB,sl 2915.427,0.09900000000000092
2025-01-08 09:50:35,2025-01-08 09:52:04,2025-01,2025-01-08,9,buy,0.01,2652.99,2653.162,0.17,29.17,1.4833333333333334,sl,AC1,MRV,MRV,82,B,WG,,"WG,BB",S80-89,AC1|MRV|MRV|S82|B|WG|BB,sl 2653.185,0.16827999999999976
2025-02-10 05:36:26,2025-02-10 05:36:46,2025-02,2025-02-10,5,buy,0.01,2877.985,2878.183,0.19,29.41,0.3333333333333333,sl,AC1,MRV,MRV,82,B,WG,,"WG,BB",S80-89,AC1|MRV|MRV|S82|B|WG|BB,sl 2878.189,0.18802000000000135
2025-01-14 18:28:27,2025-01-14 18:28:45,2025-01,2025-01-14,18,sell,0.01,2669.044,2668.735,0.3,29.47,0.3,sl,AC1,MRV,MRV,82,B,RG,,"RG,BB",S80-89,AC1|MRV|MRV|S82|B|RG|BB,sl 2668.734,0.29691000000000256
2025-01-28 15:59:36,2025-01-28 16:01:00,2025-01,2025-01-28,15,buy,0.01,2755.482,2755.847,0.37,29.4,1.4,sl,AC1,MRV,MRV,82,B,RG,,"RG,BB",S80-89,AC1|MRV|MRV|S82|B|RG|BB,sl 2755.851,0.3663499999999976
2025-02-21 10:31:17,2025-02-21 10:31:38,2025-02,2025-02-21,10,buy,0.01,2929.513,2929.934,0.42,29.86,0.35,sl,AC1,MRV,MRV,82,B,RG,,"RG,BB",S80-89,AC1|MRV|MRV|S82|B|RG|BB,sl 2929.960,0.4157899999999972
2025-02-27 12:20:28,2025-02-27 12:20:39,2025-02,2025-02-27,12,sell,0.01,2886.998,2886.348,0.65,30.29,0.18333333333333332,tp,AC1,MRV,MRV,82,B,WG,,"WG,BB",S80-89,AC1|MRV|MRV|S82|B|WG|BB,tp 2886.350,0.6434999999999991
2025-07-15 14:51:22,2025-07-15 14:51:47,2025-07,2025-07-15,14,buy,0.01,3346.63,3347.292,0.66,31.81,0.4166666666666667,tp,AC1,MRV,MRV,82,B,WG,,"WG,BB",S80-89,AC1|MRV|MRV|S82|B|WG|BB,tp 3347.278,0.653380000000002
2025-02-27 14:35:28,2025-02-27 14:35:40,2025-02,2025-02-27,14,buy,0.01,2887.666,2888.346,0.68,30.97,0.2,tp,AC1,MRV,MRV,82,B,WG,,"WG,BB",S80-89,AC1|MRV|MRV|S82|B|WG|BB,tp 2888.346,0.6732000000000017
2025-05-20 09:42:27,2025-05-20 09:42:38,2025-05,2025-05-20,9,buy,0.01,3234.197,3234.938,0.74,31.59,0.18333333333333332,tp,AC1,MRV,MRV,82,B,RG,,"RG,BB",S80-89,AC1|MRV|MRV|S82|B|RG|BB,tp 3234.907,0.7325900000000002
