engine,entry_hour,trades,net,gross_profit,gross_loss,win_rate,profit_factor,avg,avg_win,avg_loss,largest_win,largest_loss,win_count,loss_count
RCL,8,11.0,-7.51,1.34,-8.85,27.27272727272727,0.15141242937853108,-0.6827272727272727,0.4466666666666667,-1.10625,1.12,-1.41,3.0,8.0
RCL,18,11.0,-5.76,1.93,-7.69,27.27272727272727,0.2509752925877763,-0.5236363636363636,0.6433333333333333,-0.96125,1.31,-1.21,3.0,8.0
MOM,7,6.0,-4.5,1.46,-5.96,16.666666666666664,0.24496644295302014,-0.75,1.46,-1.192,1.46,-1.42,1.0,5.0
RCL,20,13.0,-4.0200000000000005,1.4300000000000002,-5.45,38.46153846153847,0.26238532110091745,-0.30923076923076925,0.28600000000000003,-0.68125,1.07,-0.93,5.0,8.0
MOM,9,8.0,-3.75,1.71,-5.46,37.5,0.3131868131868132,-0.46875,0.57,-1.092,1.09,-1.37,3.0,5.0
RJT,19,5.0,-3.28,0,-3.28,0.0,0.0,-0.6559999999999999,0.0,-0.6559999999999999,0.0,-1.13,0.0,5.0
MOM,20,8.0,-2.54,1.63,-4.17,37.5,0.39088729016786566,-0.3175,0.5433333333333333,-0.834,1.27,-1.08,3.0,5.0
RCL,9,15.0,-2.29,5.19,-7.48,46.666666666666664,0.6938502673796791,-0.15266666666666667,0.7414285714285714,-0.935,1.33,-1.26,7.0,8.0
MOM,10,5.0,-1.87,1.5299999999999998,-3.4,40.0,0.44999999999999996,-0.374,0.7649999999999999,-1.1333333333333333,1.13,-1.2,2.0,3.0
RCL,7,15.0,-1.73,5.7299999999999995,-7.46,53.333333333333336,0.7680965147453083,-0.11533333333333333,0.7162499999999999,-1.0657142857142856,1.43,-1.38,8.0,7.0
RCL,10,13.0,-1.6300000000000003,5.15,-6.78,38.46153846153847,0.7595870206489675,-0.1253846153846154,1.03,-0.8475,1.49,-1.25,5.0,8.0
RCL,12,8.0,-1.44,1.76,-3.2,62.5,0.5499999999999999,-0.18,0.352,-1.0666666666666667,1.54,-1.23,5.0,3.0
RJT,12,3.0,-1.2800000000000002,0.91,-2.1900000000000004,33.33333333333333,0.41552511415525106,-0.42666666666666675,0.91,-1.0950000000000002,0.91,-1.12,1.0,2.0
RCL,13,6.0,-1.14,1.61,-2.75,66.66666666666666,0.5854545454545454,-0.18999999999999997,0.4025,-1.375,1.06,-1.43,4.0,2.0
RJT,7,1.0,-1.1,0,-1.1,0.0,0.0,-1.1,0.0,-1.1,0.0,-1.1,0.0,1.0
MOM,13,1.0,-1.0,0,-1.0,0.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,1.0
RCL,15,1.0,-0.98,0,-0.98,0.0,0.0,-0.98,0.0,-0.98,0.0,-0.98,0.0,1.0
MOM,12,6.0,-0.8299999999999998,2.1,-2.9299999999999997,50.0,0.7167235494880547,-0.1383333333333333,0.7000000000000001,-0.9766666666666666,1.31,-1.15,3.0,3.0
RJT,20,6.0,-0.24999999999999997,1.26,-1.51,50.0,0.8344370860927153,-0.041666666666666664,0.42,-0.5033333333333333,1.03,-0.89,3.0,3.0
RCL,6,13.0,-0.04999999999999966,4.7700000000000005,-4.819999999999999,69.23076923076923,0.9896265560165978,-0.0038461538461538203,0.53,-1.2049999999999998,1.24,-1.63,9.0,4.0
RJT,14,2.0,0.050000000000000044,1.09,-1.04,50.0,1.0480769230769231,0.025000000000000022,1.09,-1.04,1.09,-1.04,1.0,1.0
RJT,8,1.0,0.07,0.07,0,100.0,0.0,0.07,0.07,0.0,0.07,0.0,1.0,0.0
MOM,6,3.0,0.53,0.53,0,100.0,0.0,0.17666666666666667,0.17666666666666667,0.0,0.33,0.0,3.0,0.0
RJT,18,1.0,1.0,1.0,0,100.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
RCL,19,6.0,1.3900000000000001,3.22,-1.83,66.66666666666666,1.7595628415300546,0.2316666666666667,0.805,-0.915,1.5,-0.97,4.0,2.0
MOM,18,5.0,1.5699999999999998,2.7399999999999998,-1.17,80.0,2.341880341880342,0.31399999999999995,0.6849999999999999,-1.17,1.42,-1.17,4.0,1.0
MOM,19,5.0,1.7000000000000002,2.83,-1.13,80.0,2.504424778761062,0.34,0.7075,-1.13,1.34,-1.13,4.0,1.0
RCL,11,16.0,1.7499999999999998,7.0600000000000005,-5.3100000000000005,68.75,1.3295668549905837,0.10937499999999999,0.6418181818181818,-1.062,1.4,-1.35,11.0,5.0
RJT,11,18.0,3.96,9.78,-5.82,66.66666666666666,1.6804123711340204,0.22,0.815,-0.9700000000000001,1.53,-1.62,12.0,6.0
RJT,9,12.0,4.19,5.26,-1.07,91.66666666666666,4.915887850467289,0.3491666666666667,0.47818181818181815,-1.07,1.33,-1.07,11.0,1.0
MOM,8,8.0,4.48,6.76,-2.28,75.0,2.9649122807017547,0.56,1.1266666666666667,-1.14,1.5,-1.15,6.0,2.0
RJT,10,17.0,5.63,9.709999999999999,-4.08,76.47058823529412,2.3799019607843133,0.3311764705882353,0.7469230769230768,-1.02,1.26,-1.1,13.0,4.0
MOM,11,15.0,6.03,9.35,-3.32,80.0,2.816265060240964,0.402,0.7791666666666667,-1.1066666666666667,1.44,-1.14,12.0,3.0
