start,end,count,pnl,buy_losses,sell_losses,engines
2026-01-19 06:14:00,2026-01-19 15:17:44,9,-9.64,6,3,"MOM:2, RCL:6, RJT:1"
2026-01-06 07:18:01,2026-01-06 12:18:37,8,-8.86,6,2,"MOM:2, RCL:4, RJT:2"
2026-01-02 06:00:01,2026-01-02 09:54:11,8,-8.33,8,0,"MOM:3, RCL:5"
2026-01-15 09:25:00,2026-01-15 11:27:12,6,-6.3100000000000005,5,1,"MOM:1, RCL:4, RJT:1"
2026-01-13 10:31:00,2026-01-13 12:35:09,5,-5.65,2,3,"MOM:2, RCL:1, RJT:2"
2026-01-08 18:00:00,2026-01-08 20:11:40,5,-5.03,3,2,"MOM:1, RCL:2, RJT:2"
2026-01-22 10:45:00,2026-01-22 12:28:14,4,-4.47,4,0,"MOM:2, RCL:2"
2026-01-14 07:36:00,2026-01-14 10:40:01,5,-4.140000000000001,4,1,"MOM:1, RCL:3, RJT:1"
2026-01-05 07:04:00,2026-01-05 09:35:42,4,-4.07,4,0,"MOM:2, RCL:2"
2026-03-17 18:13:00,2026-03-17 19:20:01,5,-4.04,4,1,"RCL:4, RJT:1"
2026-01-08 09:35:00,2026-01-08 11:06:49,4,-4.02,4,0,"MOM:1, RCL:3"
2026-02-27 07:49:00,2026-02-27 12:06:01,3,-3.7300000000000004,1,2,"MOM:1, RJT:2"
2026-03-11 18:42:00,2026-03-11 20:54:01,4,-3.71,4,0,"MOM:2, RCL:2"
2026-01-16 08:29:00,2026-01-16 10:48:07,4,-3.54,3,1,"MOM:1, RCL:2, RJT:1"
2026-02-16 07:27:00,2026-02-16 11:39:06,4,-3.5,2,2,"MOM:1, RCL:1, RJT:2"
2026-01-07 08:05:00,2026-01-07 10:07:11,3,-2.64,3,0,RCL:3
2026-01-06 19:51:00,2026-01-06 20:54:25,4,-2.58,2,2,"RCL:2, RJT:2"
2026-04-15 20:27:00,2026-04-15 20:45:01,4,-2.56,0,4,"MOM:2, RJT:2"
