entry_time,exit_time,entry_month,entry_date,entry_hour,side,volume,entry_price,exit_price,profit,balance,hold_minutes,exit_reason,family,engine,code,score,grade,regime_tag,hour_tag,tags,score_bucket,entry_comment,exit_comment,match_error
2026-05-08 09:00:00,2026-05-08 09:00:13,2026-05,2026-05-08,9,sell,0.01,4716.085,4714.265,1.82,28.11,0.21666666666666667,tp,AC1,RJT,RJT,109,A,RG,,"RG,EMA",S90-99,AC1|RJT|RJT|S109|A|RG|EMA,tp 4714.287,1.801800000000003
2026-02-27 11:14:00,2026-02-27 11:14:31,2026-02,2026-02-27,11,sell,0.01,5175.309,5173.778,1.53,22.1,0.5166666666666667,tp,AC1,RJT,RJT,102,A,RG,,"RG,EMA",S90-99,AC1|RJT|RJT|S102|A|RG|EMA,tp 5174.188,1.5146900000000005
2026-04-21 11:25:00,2026-04-21 11:26:04,2026-04,2026-04-21,11,sell,0.01,4781.797,4780.32,1.48,30.39,1.0666666666666667,tp,AC1,RJT,RJT,109,A,RG,,"RG,EMA",S90-99,AC1|RJT|RJT|S109|A|RG|EMA,tp 4780.337,1.4652300000000014
2026-04-21 10:13:00,2026-04-21 10:13:42,2026-04,2026-04-21,10,sell,0.01,4784.702,4783.271,1.43,26.41,0.7,tp,AC1,RJT,RJT,102,A,RG,,"RG,EMA",S90-99,AC1|RJT|RJT|S102|A|RG|EMA,tp 4783.491,1.415689999999995
2026-02-16 11:07:00,2026-02-16 11:07:29,2026-02,2026-02-16,11,sell,0.01,5004.196,5002.792,1.41,25.75,0.48333333333333334,tp,AC1,RJT,RJT,102,A,RG,,"RG,EMA",S90-99,AC1|RJT|RJT|S102|A|RG|EMA,tp 5002.856,1.3959600000000045
2026-01-07 11:42:00,2026-01-07 11:42:06,2026-01,2026-01-07,11,sell,0.01,4453.385,4452.022,1.37,33.37,0.1,tp,AC1,RJT,RJT,102,A,RG,,"RG,EMA",S90-99,AC1|RJT|RJT|S102|A|RG|EMA,tp 4452.074,1.3563699999999972
2026-03-17 09:55:00,2026-03-17 09:56:10,2026-03,2026-03-17,9,sell,0.01,5013.651,5012.323,1.33,23.43,1.1666666666666667,tp,AC1,RJT,RJT,109,A,RG,,"RG,EMA",S90-99,AC1|RJT|RJT|S109|A|RG|EMA,tp 5012.567,1.3167200000000048
2026-01-19 11:56:00,2026-01-19 11:56:30,2026-01,2026-01-19,11,sell,0.01,4661.257,4659.945,1.31,30.31,0.5,tp,AC1,RJT,RJT,115,A,RG,,"RG,EMA",S90-99,AC1|RJT|RJT|S115|A|RG|EMA,tp 4659.951,1.2968800000000011
2026-04-21 10:17:00,2026-04-21 10:17:10,2026-04,2026-04-21,10,sell,0.01,4782.679,4781.374,1.31,27.72,0.16666666666666666,tp,AC1,RJT,RJT,115,A,RG,,"RG,EMA",S90-99,AC1|RJT|RJT|S115|A|RG|EMA,tp 4781.476,1.2969499999999972
2026-05-05 11:01:00,2026-05-05 11:01:13,2026-05,2026-05-05,11,sell,0.01,4541.46,4540.147,1.31,26.29,0.21666666666666667,tp,AC1,RJT,RJT,109,A,RG,,"RG,EMA",S90-99,AC1|RJT|RJT|S109|A|RG|EMA,tp 4540.163,1.296869999999999
2026-01-19 10:40:02,2026-01-19 10:41:01,2026-01,2026-01-19,10,sell,0.01,4664.905,4663.647,1.26,27.91,0.9833333333333333,tp,AC1,RJT,RJT,115,A,RG,,"RG,EMA",S90-99,AC1|RJT|RJT|S115|A|RG|EMA,tp 4663.742,1.247420000000002
2026-04-17 10:38:01,2026-04-17 10:38:32,2026-04,2026-04-17,10,sell,0.01,4787.965,4786.729,1.24,25.34,0.5166666666666667,tp,AC1,RJT,RJT,115,A,RG,,"RG,EMA",S90-99,AC1|RJT|RJT|S115|A|RG|EMA,tp 4786.881,1.2276400000000012
2026-01-13 10:16:00,2026-01-13 10:17:18,2026-01,2026-01-13,10,sell,0.01,4582.347,4581.117,1.23,31.39,1.3,tp,AC1,RJT,RJT,115,A,RG,,"RG,EMA",S90-99,AC1|RJT|RJT|S115|A|RG|EMA,tp 4581.167,1.2177000000000044
2026-04-21 10:28:00,2026-04-21 10:28:12,2026-04,2026-04-21,10,sell,0.01,4783.408,4782.217,1.19,28.91,0.2,tp,AC1,RJT,RJT,109,A,RG,,"RG,EMA",S90-99,AC1|RJT|RJT|S109|A|RG|EMA,tp 4782.251,1.1780899999999928
2026-04-17 10:31:00,2026-04-17 10:32:03,2026-04,2026-04-17,10,sell,0.01,4789.006,4787.831,1.18,24.1,1.05,tp,AC1,RJT,RJT,102,A,RG,,"RG,EMA",S90-99,AC1|RJT|RJT|S102|A|RG|EMA,tp 4787.943,1.168249999999998
2026-04-27 11:21:00,2026-04-27 11:21:15,2026-04,2026-04-27,11,sell,0.01,4703.115,4701.935,1.18,24.76,0.25,tp,AC1,RJT,RJT,109,A,RG,,"RG,EMA",S90-99,AC1|RJT|RJT|S109|A|RG|EMA,tp 4701.990,1.1682000000000061
2026-05-04 09:56:00,2026-05-04 09:56:44,2026-05,2026-05-04,9,sell,0.01,4578.94,4577.766,1.17,24.98,0.7333333333333333,tp,AC1,RJT,RJT,102,A,RG,,"RG,EMA",S90-99,AC1|RJT|RJT|S102|A|RG|EMA,tp 4577.786,1.15826
2026-01-19 10:58:00,2026-01-19 10:59:23,2026-01,2026-01-19,10,sell,0.01,4665.14,4663.983,1.16,29.07,1.3833333333333333,tp,AC1,RJT,RJT,109,A,RG,,"RG,EMA",S90-99,AC1|RJT|RJT|S109|A|RG|EMA,tp 4663.998,1.1484299999999983
2026-01-13 10:11:01,2026-01-13 10:11:02,2026-01,2026-01-13,10,sell,0.01,4583.205,4582.061,1.15,30.16,0.016666666666666666,tp,AC1,RJT,RJT,102,A,RG,,"RG,EMA",S90-99,AC1|RJT|RJT|S102|A|RG|EMA,tp 4582.070,1.1385599999999976
2026-01-07 11:22:00,2026-01-07 11:24:08,2026-01,2026-01-07,11,sell,0.01,4461.135,4460.048,1.09,31.53,2.1333333333333333,tp,AC1,RJT,RJT,115,A,RG,,"RG,EMA",S90-99,AC1|RJT|RJT|S115|A|RG|EMA,tp 4460.064,1.0791299999999957
2026-05-04 09:51:00,2026-05-04 09:51:34,2026-05,2026-05-04,9,sell,0.01,4581.278,4580.196,1.08,23.81,0.5666666666666667,tp,AC1,RJT,RJT,115,A,RG,,"RG,EMA",S90-99,AC1|RJT|RJT|S115|A|RG|EMA,tp 4580.220,1.0691799999999967
2026-01-06 09:46:01,2026-01-06 09:46:08,2026-01,2026-01-06,9,sell,0.01,4453.836,4452.765,1.07,31.14,0.11666666666666667,tp,AC1,RJT,RJT,115,A,RG,,"RG,EMA",S90-99,AC1|RJT|RJT|S115|A|RG|EMA,tp 4452.792,1.059290000000001
2026-01-09 10:44:00,2026-01-09 10:45:00,2026-01,2026-01-09,10,sell,0.01,4470.159,4469.131,1.03,28.21,1.0,tp,AC1,RJT,RJT,115,A,RG,,"RG,EMA",S90-99,AC1|RJT|RJT|S115|A|RG|EMA,tp 4469.173,1.0197200000000066
2026-01-14 11:49:00,2026-01-14 11:49:32,2026-01,2026-01-14,11,sell,0.01,4630.114,4629.083,1.03,29.39,0.5333333333333333,tp,AC1,RJT,RJT,109,A,RG,,"RG,EMA",S90-99,AC1|RJT|RJT|S109|A|RG|EMA,tp 4629.086,1.0196900000000004
2026-01-06 11:14:00,2026-01-06 11:16:08,2026-01,2026-01-06,11,sell,0.01,4451.083,4450.082,1.0,30.44,2.1333333333333333,tp,AC1,RJT,RJT,115,A,RG,,"RG,EMA",S90-99,AC1|RJT|RJT|S115|A|RG|EMA,tp 4450.121,0.989990000000007
2026-04-27 09:27:00,2026-04-27 09:27:49,2026-04,2026-04-27,9,sell,0.01,4705.209,4704.23,0.98,24.77,0.8166666666666667,tp,AC1,RJT,RJT,109,A,RG,,"RG,EMA",S90-99,AC1|RJT|RJT|S109|A|RG|EMA,tp 4704.239,0.9702099999999972
2026-01-09 11:46:00,2026-01-09 11:46:09,2026-01,2026-01-09,11,sell,0.01,4470.199,4469.232,0.97,29.02,0.15,tp,AC1,RJT,RJT,109,A,RG,,"RG,EMA",S90-99,AC1|RJT|RJT|S109|A|RG|EMA,tp 4469.253,0.9603300000000036
