entry_time,exit_time,entry_month,entry_date,entry_hour,side,volume,entry_price,exit_price,profit,balance,hold_minutes,exit_reason,family,engine,code,score,grade,regime_tag,hour_tag,tags,score_bucket,entry_comment,exit_comment,match_error
2026-05-01 01:03:13,2026-05-01 01:03:29,2026-05,2026-05-01,1,sell,0.01,4618.827,4617.879,0.95,27.87,0.26666666666666666,tp,AC1,MOM,MOM,99,A,RG,,"RG,BRK",S90-99,AC1|MOM|MOM|S99|A|RG|BRK,tp 4617.959,0.9405199999999968
2026-05-01 00:31:07,2026-05-01 00:31:23,2026-05,2026-05-01,0,sell,0.01,4622.24,4621.542,0.7,28.85,0.26666666666666666,tp,AC1,MOM,MOM,113,A,RG,,"RG,BRK",S90-99,AC1|MOM|MOM|S113|A|RG|BRK,tp 4621.562,0.6930200000000059
2026-05-03 23:00:01,2026-05-03 23:00:01,2026-05,2026-05-03,23,sell,0.01,4619.018,4618.709,0.31,26.35,0.0,manual/exit_profit,AC1,MOM,MOM,81,B,WG,,"WG,BRK",S80-89,AC1|MOM|MOM|S81|B|WG|BRK,,0.306909999999998
2026-05-01 00:00:00,2026-05-01 00:00:01,2026-05,2026-05-01,0,sell,0.01,4626.586,4626.566,0.02,29.02,0.016666666666666666,sl,AC1,MOM,MOM,81,B,WG,,"WG,BRK",S80-89,AC1|MOM|MOM|S81|B|WG|BRK,sl 4626.536,0.019799999999995634
2026-05-01 01:04:14,2026-05-01 01:04:31,2026-05,2026-05-01,1,sell,0.01,4617.78,4617.802,-0.02,27.85,0.2833333333333333,sl,AC1,MOM,MOM,99,A,RG,,"RG,BRK",S90-99,AC1|MOM|MOM|S99|A|RG|BRK,sl 4617.730,0.019780000000000655
2026-05-01 02:05:45,2026-05-01 02:05:46,2026-05,2026-05-01,2,buy,0.01,4625.327,4624.875,-0.45,26.04,0.016666666666666666,manual/exit_loss,AC1,MOM,MOM,80,B,WG,,"WG,BRK",S80-89,AC1|MOM|MOM|S80|B|WG|BRK,,0.44547999999999777
2026-05-01 01:35:30,2026-05-01 01:35:44,2026-05,2026-05-01,1,buy,0.01,4619.935,4619.275,-0.66,26.49,0.23333333333333334,manual/exit_loss,AC1,MOM,MOM,96,A,WG,,"WG,BRK",S90-99,AC1|MOM|MOM|S96|A|WG|BRK,,0.6533999999999924
2026-05-01 01:05:14,2026-05-01 01:05:30,2026-05,2026-05-01,1,sell,0.01,4618.017,4618.717,-0.7,27.15,0.26666666666666666,manual/exit_loss,AC1,MOM,MOM,93,A,RG,,"RG,BRK",S90-99,AC1|MOM|MOM|S93|A|RG|BRK,,0.6930000000000017
2026-05-01 00:33:07,2026-05-01 00:33:13,2026-05,2026-05-01,0,sell,0.01,4623.705,4624.518,-0.81,26.92,0.1,manual/exit_loss,AC1,MOM,MOM,86,A,RG,,"RG,BRK",S80-89,AC1|MOM|MOM|S86|A|RG|BRK,,0.8018699999999991
2026-05-01 00:01:00,2026-05-01 00:01:07,2026-05,2026-05-01,0,sell,0.01,4624.867,4625.743,-0.87,28.15,0.11666666666666667,manual/exit_loss,AC1,MOM,MOM,81,B,WG,,"WG,BRK",S80-89,AC1|MOM|MOM|S81|B|WG|BRK,,0.861239999999998
2026-05-01 00:32:07,2026-05-01 00:32:28,2026-05,2026-05-01,0,sell,0.01,4622.492,4623.612,-1.12,27.73,0.35,sl,AC1,MOM,MOM,91,A,RG,,"RG,BRK",S90-99,AC1|MOM|MOM|S91|A|RG|BRK,sl 4623.611,1.1088000000000011
