entry_time,exit_time,entry_month,entry_date,entry_hour,side,volume,entry_price,exit_price,profit,balance,hold_minutes,exit_reason,family,engine,code,score,grade,regime_tag,hour_tag,tags,score_bucket,entry_comment,exit_comment,match_error
2026-01-01 23:05:00,2026-01-01 23:05:06,2026-01,2026-01-01,23,buy,0.01,4328.476,4329.095,0.62,29.62,0.1,tp,AC1,MOM,MOM,74,B,WG,,"WG,BRK",S70-79,AC1|MOM|MOM|S74|B|WG|BRK,tp 4329.088,0.6138099999999941
2026-01-01 23:06:01,2026-01-01 23:09:24,2026-01,2026-01-01,23,buy,0.01,4330.685,4331.621,0.93,30.55,3.3833333333333333,tp,AC1,MOM,MOM,77,B,WG,,"WG,BRK",S70-79,AC1|MOM|MOM|S77|B|WG|BRK,tp 4331.609,0.9206400000000031
2026-01-01 23:09:24,2026-01-01 23:09:39,2026-01,2026-01-01,23,buy,0.01,4331.733,4331.959,0.23,30.78,0.25,sl,AC1,MOM,MOM,92,A,WG,,"WG,BRK",S90-99,AC1|MOM|MOM|S92|A|WG|BRK,sl 4331.980,0.22774000000000344
2026-01-01 23:10:26,2026-01-01 23:11:18,2026-01,2026-01-01,23,buy,0.01,4332.365,4333.427,1.06,31.84,0.8666666666666667,tp,AC1,MOM,MOM,90,A,RG,,"RG,BRK",S90-99,AC1|MOM|MOM|S90|A|RG|BRK,tp 4333.309,1.049380000000001
2026-01-01 23:11:27,2026-01-01 23:12:08,2026-01,2026-01-01,23,buy,0.01,4334.202,4335.215,1.02,32.86,0.6833333333333333,tp,AC1,MOM,MOM,110,A,RG,,"RG,BRK",S90-99,AC1|MOM|MOM|S110|A|RG|BRK,tp 4335.171,1.0098700000000007
2026-01-01 23:12:26,2026-01-01 23:12:32,2026-01,2026-01-01,23,buy,0.01,4334.915,4334.074,-0.85,32.01,0.1,manual/exit_loss,AC1,MOM,MOM,104,A,RG,,"RG,BRK",S90-99,AC1|MOM|MOM|S104|A|RG|BRK,,0.8415899999999965
2026-01-01 23:42:33,2026-01-01 23:43:53,2026-01,2026-01-01,23,buy,0.01,4341.969,4342.556,0.59,32.6,1.3333333333333333,tp,AC1,MOM,MOM,119,A,RG,,"RG,BRK",S90-99,AC1|MOM|MOM|S119|A|RG|BRK,tp 4342.435,0.5841300000000046
2026-01-01 23:43:53,2026-01-01 23:44:05,2026-01,2026-01-01,23,buy,0.01,4342.745,4343.398,0.65,33.25,0.2,tp,AC1,MOM,MOM,119,A,RG,,"RG,BRK",S90-99,AC1|MOM|MOM|S119|A|RG|BRK,tp 4343.376,0.6434699999999975
2026-01-01 23:44:53,2026-01-01 23:44:56,2026-01,2026-01-01,23,buy,0.01,4344.962,4345.055,0.1,33.35,0.05,sl,AC1,MOM,MOM,115,A,RG,,"RG,BRK",S90-99,AC1|MOM|MOM|S115|A|RG|BRK,sl 4345.055,0.09907000000000153
2026-01-01 23:45:53,2026-01-01 23:46:07,2026-01,2026-01-01,23,buy,0.01,4343.782,4343.188,-0.59,32.76,0.23333333333333334,manual/exit_loss,AC1,MOM,MOM,99,A,RG,,"RG,BRK",S90-99,AC1|MOM|MOM|S99|A|RG|BRK,,0.5840599999999995
2026-01-02 00:00:00,2026-01-02 00:00:03,2026-01,2026-01-02,0,buy,0.01,4348.494,4348.522,0.03,32.79,0.05,sl,AC1,MOM,MOM,86,A,RG,,"RG,BRK",S80-89,AC1|MOM|MOM|S86|A|RG|BRK,sl 4348.585,0.029719999999997526
2026-01-02 00:01:00,2026-01-02 00:01:06,2026-01,2026-01-02,0,buy,0.01,4346.777,4345.874,-0.91,31.88,0.1,manual/exit_loss,AC1,MOM,MOM,78,B,RG,,"RG,BRK",S70-79,AC1|MOM|MOM|S78|B|RG|BRK,,0.9009699999999976
2026-01-02 00:31:06,2026-01-02 00:31:25,2026-01,2026-01-02,0,buy,0.01,4348.369,4347.525,-0.84,31.04,0.31666666666666665,manual/exit_loss,AC1,MOM,MOM,93,A,RG,,"RG,BRK",S90-99,AC1|MOM|MOM|S93|A|RG|BRK,,0.8315599999999994
2026-01-02 01:01:25,2026-01-02 01:01:30,2026-01,2026-01-02,1,buy,0.01,4354.076,4353.088,-0.99,30.05,0.08333333333333333,sl,AC1,MOM,MOM,99,A,RG,,"RG,BRK",S90-99,AC1|MOM|MOM|S99|A|RG|BRK,sl 4353.104,0.9801199999999971
2026-01-02 01:02:25,2026-01-02 01:02:27,2026-01,2026-01-02,1,buy,0.01,4353.38,4353.004,-0.38,29.67,0.03333333333333333,manual/exit_loss,AC1,MOM,MOM,78,B,RG,,"RG,BRK",S70-79,AC1|MOM|MOM|S78|B|RG|BRK,,0.37623999999999796
