entry_hour,trades,net,gross_profit,gross_loss,win_rate,profit_factor,avg,avg_win,avg_loss,largest_win,largest_loss,win_count,loss_count
10,63.0,-4842.87,4089.0299999999997,-8931.9,65.07936507936508,0.4578006919020589,-76.87095238095237,99.73243902439023,-405.99545454545455,571.75,-1428.7,41.0,22.0
5,81.0,-3760.21,9094.75,-12854.960000000001,69.1358024691358,0.7074895604498186,-46.422345679012345,162.40625,-514.1984,888.56,-1443.68,56.0,25.0
4,66.0,-1756.0500000000002,8580.75,-10336.8,72.72727272727273,0.8301166705363363,-26.606818181818184,178.765625,-574.2666666666667,760.66,-1310.14,48.0,18.0
20,34.0,-1579.34,1595.0,-3174.34,67.64705882352942,0.5024666544856569,-46.45117647058823,69.34782608695652,-288.5763636363636,412.71,-451.48,23.0,11.0
11,53.0,-1137.6699999999998,5034.89,-6172.56,71.69811320754717,0.8156891144031002,-21.465471698113205,132.4971052631579,-411.504,825.73,-1357.67,38.0,15.0
1,35.0,-777.1099999999999,2116.42,-2893.5299999999997,71.42857142857143,0.7314318496784206,-22.203142857142854,84.6568,-289.35299999999995,257.08,-1615.12,25.0,10.0
2,10.0,-574.6500000000001,431.23,-1005.88,30.0,0.4287091899630175,-57.46500000000001,143.74333333333334,-143.69714285714286,411.38,-524.97,3.0,7.0
12,67.0,-341.55999999999983,10130.25,-10471.81,70.1492537313433,0.967382907061912,-5.097910447761191,215.5372340425532,-523.5905,938.8,-1350.76,47.0,20.0
16,21.0,-202.0,1169.17,-1371.17,52.38095238095239,0.8526805574801082,-9.619047619047619,106.28818181818183,-137.11700000000002,286.79,-375.66,11.0,10.0
22,24.0,-79.2900000000001,2233.21,-2312.5,75.0,0.9657124324324324,-3.3037500000000044,124.06722222222223,-385.4166666666667,295.57,-1391.4,18.0,6.0
17,8.0,588.6999999999999,852.7099999999999,-264.01,50.0,3.2298397787962574,73.58749999999999,213.17749999999998,-66.0025,526.42,-188.65,4.0,4.0
8,62.0,772.5699999999998,6019.58,-5247.01,74.19354838709677,1.1472400471887798,12.4608064516129,130.8604347826087,-327.938125,503.34,-1273.42,46.0,16.0
0,98.0,1094.7100000000003,17726.41,-16631.7,64.28571428571429,1.0658206918114204,11.170510204081635,281.3715873015873,-475.1914285714286,1072.83,-1619.41,63.0,35.0
23,38.0,1171.2499999999998,4295.96,-3124.71,68.42105263157895,1.3748347846680171,30.822368421052627,165.22923076923078,-260.3925,571.9,-1498.74,26.0,12.0
19,36.0,2351.4900000000002,8656.61,-6305.12,61.111111111111114,1.3729492856599081,65.31916666666667,393.48227272727274,-450.36571428571426,1656.0,-1323.49,22.0,14.0
9,62.0,3096.88,8726.61,-5629.73,74.19354838709677,1.5500938766157526,49.94967741935484,189.70891304347828,-351.858125,836.75,-1424.83,46.0,16.0
14,35.0,3490.34,4960.38,-1470.04,74.28571428571429,3.374316345133466,99.724,190.78384615384616,-163.33777777777777,919.47,-626.9,26.0,9.0
13,93.0,3612.99,9829.75,-6216.76,68.81720430107528,1.5811692907559565,38.84935483870967,153.58984375,-214.37103448275863,827.96,-700.25,64.0,29.0
7,108.0,4191.9800000000005,15659.67,-11467.69,77.77777777777779,1.3655470282157958,38.814629629629636,186.42464285714286,-477.8204166666667,1336.75,-1102.47,84.0,24.0
18,24.0,5434.17,6067.59,-633.42,66.66666666666666,9.579094439708252,226.42375,379.224375,-79.1775,1050.38,-250.51,16.0,8.0
15,52.0,7155.0,11782.94,-4627.94,80.76923076923077,2.546044244307403,137.59615384615384,280.5461904761905,-462.794,1748.42,-1673.33,42.0,10.0
6,113.0,8732.03,19328.12,-10596.09,72.56637168141593,1.8240803919181507,77.27460176991151,235.70878048780486,-341.8093548387097,959.16,-1211.81,82.0,31.0
