start,end,count,pnl,buy_losses,sell_losses,engines
2026-04-16 00:25:56,2026-04-16 13:54:17,3,-4778.99,3,0,:3
2026-04-06 09:54:05,2026-04-06 12:23:03,3,-4277.33,3,0,:3
2026-03-25 11:47:56,2026-03-25 12:30:49,3,-3919.75,3,0,:3
2026-01-27 07:00:26,2026-01-27 14:05:41,3,-3287.99,3,0,:3
2026-02-11 12:02:40,2026-02-11 12:41:09,3,-3281.69,3,0,:3
2026-01-20 00:00:52,2026-01-20 04:35:34,3,-2850.0,0,3,:3
2025-12-15 06:55:12,2025-12-15 16:04:01,5,-2840.68,5,0,:5
2026-01-21 05:26:15,2026-01-21 07:03:20,3,-2782.15,3,0,:3
2025-10-14 04:00:13,2025-10-14 05:38:35,4,-2663.2200000000003,4,0,:4
2025-11-11 04:08:10,2025-11-11 15:20:12,5,-2478.65,5,0,:5
2025-09-12 05:03:21,2025-09-15 01:12:53,4,-1950.0,4,0,:4
2025-10-28 09:17:31,2025-10-28 14:07:33,4,-1761.1200000000001,0,4,:4
2025-09-24 19:32:54,2025-09-25 08:03:31,5,-1753.96,0,5,:5
2025-06-02 19:30:01,2025-06-03 03:44:32,5,-1734.79,5,0,:5
2025-08-05 15:25:10,2025-08-06 09:50:09,6,-1695.48,6,0,:6
2025-11-20 00:36:17,2025-11-20 03:07:57,4,-1579.6299999999999,3,1,:4
2025-12-04 02:15:00,2025-12-04 14:22:16,7,-1472.8700000000001,2,5,:7
2025-09-18 06:15:00,2025-09-18 14:00:37,5,-1203.41,3,2,:5
2025-06-06 05:17:01,2025-06-06 13:57:05,5,-1176.53,5,0,:5
2025-08-22 05:15:49,2025-08-22 14:10:02,4,-1089.3600000000001,0,4,:4
2025-08-07 20:30:39,2025-08-11 01:10:55,3,-876.4200000000001,3,0,:3
2025-06-04 05:45:11,2025-06-04 14:42:24,3,-824.4,0,3,:3
2025-07-15 06:00:00,2025-07-15 13:35:47,3,-733.98,3,0,:3
2025-06-26 09:12:36,2025-06-26 16:50:11,5,-605.94,4,1,:5
2025-10-24 07:15:00,2025-10-24 12:30:03,3,-599.04,2,1,:3
2025-11-19 15:30:00,2025-11-19 17:04:20,3,-360.94,3,0,:3
2025-04-24 11:45:00,2025-04-24 16:04:27,3,-263.98,2,1,:3
2025-12-08 13:45:00,2025-12-08 16:29:07,3,-165.26999999999998,2,1,:3
2025-05-28 00:52:26,2025-05-30 13:53:31,4,-102.52,4,0,:4
2025-02-06 00:16:38,2025-02-06 15:00:20,4,-100.05000000000001,4,0,:4
2025-06-11 13:45:00,2025-06-26 12:53:59,5,-94.24000000000001,5,0,:5
2025-03-10 17:00:00,2025-03-11 09:07:27,5,-83.55,2,3,:5
2025-02-07 06:15:58,2025-02-10 06:48:24,3,-75.02,0,3,:3
2025-03-31 10:15:01,2025-04-01 03:53:29,3,-75.02,0,3,:3
2025-06-11 23:50:59,2025-06-26 13:34:49,4,-43.6,4,0,:4
2025-04-30 08:15:00,2025-04-30 12:04:37,3,-30.28,2,1,:3
