entry_time,exit_time,entry_month,entry_date,entry_hour,side,volume,entry_price,exit_price,profit,balance,hold_minutes,exit_reason,family,engine,code,score,grade,regime_tag,hour_tag,tags,score_bucket,entry_comment,exit_comment,match_error
2026-04-15 15:03:29,2026-04-15 15:31:25,2026-04,2026-04-15,15,buy,0.67,4812.697,4787.722,-1673.33,38886.56,27.933333333333334,sl,IHB S:85 IMP,,,0,,,,,unknown,IHB S:85 IMP,sl 4787.770,1656.5967499999997
2026-04-16 00:25:56,2026-04-16 13:52:42,2026-04,2026-04-16,0,buy,0.65,4823.122,4798.208,-1619.41,35722.69,806.7666666666667,sl,IHB S:85 IMP,,,0,,,,,unknown,IHB S:85 IMP,sl 4798.310,1603.2158999999997
2026-04-16 01:35:28,2026-04-16 13:54:17,2026-04,2026-04-16,1,buy,0.65,4818.866,4794.018,-1615.12,34107.57,738.8166666666667,sl,IHB S:85 IMP,,,0,,,,,unknown,IHB S:85 IMP,sl 4794.070,1598.9687999999999
2026-04-16 00:30:00,2026-04-16 13:52:20,2026-04,2026-04-16,0,buy,0.65,4825.32,4801.559,-1544.46,37342.1,802.3333333333334,sl,IHB S:85 IMP,,,0,,,,,unknown,IHB S:85 IMP,sl 4801.610,1529.0153500000004
2026-04-20 23:00:00,2026-04-21 02:31:25,2026-04,2026-04-20,23,buy,0.6,4827.668,4803.233,-1498.74,32467.06,211.41666666666666,sl,IHB S:85 COR,,,0,,,,,unknown,IHB S:85 COR,sl 4803.280,1484.0790000000004
2026-04-17 05:30:00,2026-04-17 07:50:19,2026-04,2026-04-17,5,buy,0.58,4803.739,4778.848,-1443.68,32184.83,140.31666666666666,sl,IHB S:85 IMP,,,0,,,,,unknown,IHB S:85 IMP,sl 4778.860,1429.2432200000003
2026-04-06 10:14:37,2026-04-06 12:23:03,2026-04,2026-04-06,10,buy,0.57,4687.159,4662.094,-1428.7,28494.15,128.43333333333334,sl,IHB S:85 IMP,,,0,,,,,unknown,IHB S:85 IMP,sl 4662.280,1414.4129500000004
2026-04-06 09:54:05,2026-04-06 12:21:02,2026-04,2026-04-06,9,buy,0.57,4692.136,4667.139,-1424.83,31346.65,146.95,sl,IHB S:85 IMP,,,0,,,,,unknown,IHB S:85 IMP,sl 4667.140,1410.5817099999997
2026-04-06 10:14:16,2026-04-06 12:21:58,2026-04,2026-04-06,10,buy,0.57,4690.372,4665.393,-1423.8,29922.85,127.7,sl,IHB S:85 IMP,,,0,,,,,unknown,IHB S:85 IMP,sl 4665.450,1409.5619699999997
2026-04-20 22:30:20,2026-04-21 02:21:04,2026-04,2026-04-20,22,buy,0.6,4828.212,4804.478,-1391.4,33999.99,230.73333333333332,sl,IHB S:85 COR,,,0,,,,,unknown,IHB S:85 COR,sl 4804.810,1377.1596
2026-03-25 11:47:56,2026-03-25 12:28:24,2026-03,2026-03-25,11,buy,0.54,4573.694,4548.552,-1357.67,28579.78,40.46666666666667,sl,IHB S:95 IMP,,,0,,,,,unknown,IHB S:95 IMP,sl 4548.720,1344.0933199999997
2026-03-25 12:19:26,2026-03-25 12:30:49,2026-03,2026-03-25,12,buy,0.54,4563.05,4538.036,-1350.76,27229.02,11.383333333333333,sl,IHB S:85 IMP,,,0,,,,,unknown,IHB S:85 IMP,sl 4538.190,1337.25244
2026-04-27 00:51:30,2026-04-27 01:03:31,2026-04,2026-04-27,0,sell,0.53,4684.27,4709.299,-1326.54,27603.75,12.016666666666667,sl,IHB S:85 IMP,,,0,,,,,unknown,IHB S:85 IMP,sl 4709.170,1313.2746300000001
2026-04-22 19:15:00,2026-04-23 00:09:46,2026-04,2026-04-22,19,buy,0.57,4738.645,4715.426,-1323.49,31495.21,294.76666666666665,sl,IHB S:85 COR,,,0,,,,,unknown,IHB S:85 COR,sl 4715.450,1310.25517
2026-03-20 04:00:52,2026-03-20 05:48:11,2026-03,2026-03-20,4,buy,0.52,4725.473,4700.278,-1310.14,28005.07,107.31666666666666,sl,IHB S:85 IMP,,,0,,,,,unknown,IHB S:85 IMP,sl 4700.510,1297.0386000000003
2026-03-16 10:15:09,2026-03-16 11:10:35,2026-03,2026-03-16,10,sell,0.51,4978.552,5003.635,-1279.24,27319.81,55.43333333333333,sl,IHB S:85 IMP,,,0,,,,,unknown,IHB S:85 IMP,sl 5003.530,1266.4476699999998
2026-03-12 08:20:25,2026-03-12 13:45:54,2026-03,2026-03-12,8,buy,0.51,5180.178,5155.209,-1273.42,27006.64,325.48333333333335,sl,IHB S:85 IMP,,,0,,,,,unknown,IHB S:85 IMP,sl 5155.270,1260.68581
2026-04-01 04:45:00,2026-04-01 05:37:47,2026-04,2026-04-01,4,sell,0.59,4677.133,4698.461,-1258.35,33726.1,52.78333333333333,sl,IHB S:85 IMP,,,0,,,,,unknown,IHB S:85 IMP,sl 4698.290,1245.7664799999995
2026-04-28 00:30:02,2026-04-28 01:58:51,2026-04,2026-04-28,0,buy,0.5,4695.041,4670.099,-1247.1,26356.65,88.81666666666666,sl,IHB S:95 IMP,,,0,,,,,unknown,IHB S:95 IMP,sl 4670.100,1234.629
2026-04-07 05:04:31,2026-04-07 05:29:26,2026-04,2026-04-07,5,buy,0.5,4656.076,4631.205,-1243.55,26764.36,24.916666666666668,sl,IHB S:85 IMP,,,0,,,,,unknown,IHB S:85 IMP,sl 4631.270,1231.1145
2026-03-27 11:45:30,2026-03-27 14:03:16,2026-03,2026-03-27,11,sell,0.49,4422.632,4447.555,-1221.23,26014.92,137.76666666666668,sl,IHB S:85 IMP,,,0,,,,,unknown,IHB S:85 IMP,sl 4447.540,1209.0177299999996
2026-03-09 06:31:20,2026-03-09 06:52:18,2026-03,2026-03-09,6,buy,0.48,5126.101,5100.855,-1211.81,25111.97,20.966666666666665,sl,IHB S:90 IMP,,,0,,,,,unknown,IHB S:90 IMP,sl 5101.120,1199.69192
2026-03-25 12:00:00,2026-03-25 12:23:18,2026-03,2026-03-25,12,buy,0.54,4578.886,4556.454,-1211.32,29937.45,23.3,sl,IHB S:95 IMP,,,0,,,,,unknown,IHB S:95 IMP,sl 4556.530,1199.2067199999995
2026-04-24 04:45:00,2026-04-24 07:46:07,2026-04,2026-04-24,4,sell,0.55,4667.954,4689.868,-1205.27,30097.24,181.11666666666667,sl,IHB S:85 IMP,,,0,,,,,unknown,IHB S:85 IMP,sl 4689.840,1193.2172999999996
2026-03-30 19:30:00,2026-03-30 22:03:23,2026-03,2026-03-30,19,sell,0.54,4501.935,4523.666,-1173.47,29841.94,153.38333333333333,sl,IHB S:95 IMP,,,0,,,,,unknown,IHB S:95 IMP,sl 4523.530,1161.7352600000002
2026-04-27 00:00:00,2026-04-27 01:01:29,2026-04,2026-04-27,0,sell,0.53,4680.095,4702.113,-1166.95,28930.29,61.483333333333334,sl,IHB S:85 IMP,,,0,,,,,unknown,IHB S:85 IMP,sl 4702.110,1155.28046
2026-02-11 12:17:41,2026-02-11 12:41:09,2026-02,2026-02-11,12,buy,0.46,5098.8,5073.59,-1159.66,21337.84,23.466666666666665,sl,IHB S:85 IMP,,,0,,,,,unknown,IHB S:85 IMP,sl 5073.810,1148.0634
2026-02-26 04:30:00,2026-02-26 08:47:42,2026-02,2026-02-26,4,buy,0.46,5194.447,5169.498,-1147.65,23590.64,257.7,sl,IHB S:85 IMP,,,0,,,,,unknown,IHB S:85 IMP,sl 5169.530,1136.1734599999997
2026-02-11 12:15:00,2026-02-11 12:34:49,2026-02,2026-02-11,12,buy,0.46,5106.234,5083.169,-1143.06,22497.5,19.816666666666666,sl,IHB S:95 IMP,,,0,,,,,unknown,IHB S:95 IMP,sl 5083.180,1132.4500999999998
2026-01-27 07:00:26,2026-01-27 14:06:03,2026-01,2026-01-27,7,buy,0.44,5084.042,5058.986,-1102.47,20330.01,425.6166666666667,sl,IHB S:95 IMP,,,0,,,,,unknown,IHB S:95 IMP,sl 5059.050,1091.4453599999997
2026-02-27 06:20:08,2026-02-27 10:12:18,2026-02,2026-02-27,6,buy,0.44,5195.113,5170.088,-1101.1,22193.74,232.16666666666666,sl,IHB S:95 IMP,,,0,,,,,unknown,IHB S:95 IMP,sl 5170.160,1090.0889999999997
2026-01-27 07:58:52,2026-01-27 14:05:41,2026-01,2026-01-27,7,buy,0.44,5086.646,5061.655,-1099.6,22518.4,366.81666666666666,sl,IHB S:95 IMP,,,0,,,,,unknown,IHB S:95 IMP,sl 5061.680,1088.60396
2026-01-27 07:15:00,2026-01-27 14:05:51,2026-01,2026-01-27,7,buy,0.44,5085.508,5060.828,-1085.92,21432.48,410.85,sl,IHB S:95 IMP,,,0,,,,,unknown,IHB S:95 IMP,sl 5060.840,1075.0608000000004
2026-04-28 00:39:56,2026-04-28 02:00:00,2026-04,2026-04-28,0,buy,0.5,4692.299,4670.832,-1073.35,25283.3,80.06666666666666,manual/exit_loss,IHB S:85 IMP,,,0,,,,,unknown,IHB S:85 IMP,,1062.6165
2026-02-19 07:45:01,2026-02-19 10:03:15,2026-02,2026-02-19,7,buy,0.42,5013.749,4988.759,-1049.58,20654.22,138.23333333333332,sl,IHB S:95 IMP,,,0,,,,,unknown,IHB S:95 IMP,sl 4988.770,1039.0842
2026-02-04 05:30:00,2026-02-04 06:09:09,2026-02,2026-02-04,5,buy,0.43,5080.502,5056.386,-1036.99,21575.7,39.15,sl,IHB S:95 IMP,,,0,,,,,unknown,IHB S:95 IMP,sl 5056.780,1026.62012
2026-02-13 12:00:00,2026-02-13 12:23:44,2026-02,2026-02-13,12,sell,0.41,4953.772,4973.362,-1032.87,19651.43,23.733333333333334,sl,IHB S:85 IMP,,,0,,,,,unknown,IHB S:85 IMP,sl 4973.170,1024.8381
