entry_time,exit_time,entry_month,entry_date,entry_hour,side,volume,entry_price,exit_price,profit,balance,hold_minutes,exit_reason,family,engine,code,score,grade,regime_tag,hour_tag,tags,score_bucket,entry_comment,exit_comment,match_error
2026-03-31 15:00:00,2026-03-31 17:51:22,2026-03,2026-03-31,15,buy,0.26,4599.853,4667.1,1748.42,31688.99,171.36666666666667,tp,IHB S:95 IMP,,,0,,,,,unknown,IHB S:95 IMP,tp 4666.820,1730.93578
2026-01-22 19:30:00,2026-01-22 23:08:27,2026-01,2026-01-22,19,buy,0.36,4915.483,4957.545,1656.0,22634.02,218.45,tp,IHB S:85 IMP,,,0,,,,,unknown,IHB S:85 IMP,tp 4957.500,1640.85768
2026-03-31 19:08:41,2026-03-31 22:38:24,2026-03,2026-03-31,19,buy,0.55,4665.862,4692.047,1440.18,34650.35,209.71666666666667,tp,IHB S:85 IMP,,,0,,,,,unknown,IHB S:85 IMP,tp 4691.990,1425.7782500000003
2026-01-22 19:27:05,2026-01-22 23:04:27,2026-01,2026-01-22,19,buy,0.36,4914.419,4951.954,1351.26,20978.02,217.36666666666667,tp,IHB S:85 IMP,,,0,,,,,unknown,IHB S:85 IMP,tp 4951.930,1337.7474
2026-03-30 07:00:00,2026-03-30 11:47:10,2026-03,2026-03-30,7,buy,0.24,4532.7,4571.898,1336.75,31015.41,287.1666666666667,tp,IHB S:85 IMP,,,0,,,,,unknown,IHB S:85 IMP,tp 4571.800,1327.34248
2026-04-14 15:00:32,2026-04-14 17:39:09,2026-04,2026-04-14,15,buy,0.29,4802.051,4839.605,1305.03,38596.54,158.61666666666667,tp,IHB S:80 COR,,,0,,,,,unknown,IHB S:80 COR,tp 4839.600,1294.1393400000002
2026-01-22 19:27:07,2026-01-22 23:03:58,2026-01,2026-01-22,19,buy,0.36,4911.545,4949.06,1208.77,19626.76,216.85,tp,IHB S:85 IMP,,,0,,,,,unknown,IHB S:85 IMP,tp 4949.060,1195.2646
2026-03-25 00:30:29,2026-03-25 01:35:39,2026-03,2026-03-25,0,buy,0.25,4548.429,4586.245,1072.83,31148.77,65.16666666666667,tp,IHB S:85 IMP,,,0,,,,,unknown,IHB S:85 IMP,tp 4585.980,1063.376
2026-04-13 00:30:30,2026-04-13 01:10:06,2026-04,2026-04-13,0,buy,0.28,4671.896,4709.689,1058.2,34467.24,39.6,tp,IHB S:80 IMP,,,0,,,,,unknown,IHB S:80 IMP,tp 4709.420,1047.6179599999998
2026-04-08 18:15:00,2026-04-08 19:05:05,2026-04,2026-04-08,18,sell,0.24,4743.763,4699.997,1050.38,28717.7,50.083333333333336,tp,IHB S:85 IMP,,,0,,,,,unknown,IHB S:85 IMP,tp 4700.000,1039.8761600000003
2026-04-14 18:51:02,2026-04-15 01:11:55,2026-04,2026-04-14,18,buy,0.64,4831.282,4847.484,1036.93,39597.0,380.8833333333333,manual/exit_profit,IHB S:85 IMP,,,0,,,,,unknown,IHB S:85 IMP,,1026.56072
2026-04-14 18:30:38,2026-04-15 01:11:58,2026-04,2026-04-14,18,buy,0.64,4836.874,4852.489,999.36,40559.89,401.3333333333333,manual/exit_profit,IHB S:85 IMP,,,0,,,,,unknown,IHB S:85 IMP,,989.3664000000001
2026-03-19 06:15:00,2026-03-19 06:38:11,2026-03,2026-03-19,6,sell,0.24,4833.153,4793.188,959.16,29315.21,23.183333333333334,tp,IHB S:85 IMP,,,0,,,,,unknown,IHB S:85 IMP,tp 4793.330,949.5683999999999
2026-03-12 12:45:01,2026-03-12 15:02:25,2026-03,2026-03-12,12,sell,0.25,5173.937,5136.385,938.8,28599.05,137.4,tp,IHB S:85 IMP,,,0,,,,,unknown,IHB S:85 IMP,tp 5136.420,929.412
2026-03-10 14:07:43,2026-03-10 15:33:14,2026-03,2026-03-10,14,buy,0.24,5192.823,5231.134,919.47,27997.08,85.51666666666667,tp,IHB S:85 IMP,,,0,,,,,unknown,IHB S:85 IMP,tp 5231.120,910.2753600000001
2026-03-19 06:15:00,2026-03-19 06:35:11,2026-03,2026-03-19,6,sell,0.24,4833.153,4802.906,905.21,28356.05,20.183333333333334,tp,IHB S:85 IMP,,,0,,,,,unknown,IHB S:85 IMP,tp 4802.930,897.9507199999999
2026-04-17 05:18:00,2026-04-17 12:25:27,2026-04,2026-04-17,5,buy,0.58,4801.578,4816.898,888.56,33945.76,427.45,manual/exit_profit,IHB S:85 IMP,,,0,,,,,unknown,IHB S:85 IMP,,879.6744000000001
2026-04-14 15:15:01,2026-04-14 17:07:24,2026-04,2026-04-14,15,buy,0.29,4794.604,4832.431,881.02,37291.51,112.38333333333334,tp,IHB S:80 COR,,,0,,,,,unknown,IHB S:80 COR,tp 4832.260,870.0501700000002
2026-03-03 06:00:00,2026-03-03 09:27:14,2026-03,2026-03-03,6,sell,0.11,5319.015,5239.102,879.05,22817.28,207.23333333333332,tp,IHB DropCatch,,,0,,,,,unknown,IHB DropCatch,tp 5239.310,870.2595699999999
2026-04-17 05:34:27,2026-04-17 12:25:04,2026-04,2026-04-17,5,buy,0.58,4798.247,4813.288,872.37,33057.2,410.6166666666667,manual/exit_profit,IHB S:85 IMP,,,0,,,,,unknown,IHB S:85 IMP,,863.6462200000004
2026-03-30 06:30:20,2026-03-30 11:30:20,2026-03,2026-03-30,6,buy,0.49,4526.324,4543.916,862.0,28332.55,300.0,manual/exit_profit,IHB S:85 IMP,,,0,,,,,unknown,IHB S:85 IMP,,853.3799199999997
2026-04-10 00:34:58,2026-04-10 06:49:59,2026-04,2026-04-10,0,sell,0.56,4759.157,4743.956,851.25,32710.47,375.01666666666665,manual/exit_profit,IHB S:85 IMP,,,0,,,,,unknown,IHB S:85 IMP,,842.73744
2026-03-06 09:32:37,2026-03-06 11:55:57,2026-03,2026-03-06,9,sell,0.22,5102.538,5070.367,836.75,25827.04,143.33333333333334,tp,IHB S:95 IMP,,,0,,,,,unknown,IHB S:95 IMP,tp 5070.450,829.6723800000001
2026-04-08 19:13:33,2026-04-09 00:13:33,2026-04,2026-04-08,19,sell,0.5,4716.147,4699.43,835.85,28696.13,300.0,manual/exit_profit,IHB S:95 IMP,,,0,,,,,unknown,IHB S:95 IMP,,827.4915000000002
2026-02-18 13:52:14,2026-02-18 17:34:29,2026-02,2026-02-18,13,buy,0.19,4950.253,4993.83,827.96,20449.1,222.25,sl,IHB S:100 IMP,,,0,,,,,unknown,IHB S:100 IMP,sl 4993.870,819.68037
2026-04-09 11:03:04,2026-04-09 13:43:04,2026-04,2026-04-09,11,buy,0.25,4739.299,4776.907,825.73,31383.62,160.0,tp,IHB S:85 IMP,,,0,,,,,unknown,IHB S:85 IMP,tp 4776.850,816.328
2026-03-25 00:30:29,2026-03-25 01:31:58,2026-03,2026-03-25,0,buy,0.25,4548.429,4580.867,810.95,30075.94,61.483333333333334,tp,IHB S:85 IMP,,,0,,,,,unknown,IHB S:85 IMP,tp 4580.850,802.8405
2026-02-06 14:25:33,2026-02-06 14:37:21,2026-02,2026-02-06,14,buy,0.21,4897.152,4934.999,794.79,22912.29,11.8,tp,IHB S:85 COR,,,0,,,,,unknown,IHB S:85 COR,tp 4934.790,786.84213
2026-02-23 15:52:40,2026-02-23 20:52:40,2026-02,2026-02-23,15,buy,0.21,5195.712,5232.357,769.55,24738.29,300.0,manual/exit_profit,IHB S:90 IMP,,,0,,,,,unknown,IHB S:90 IMP,,761.85455
2026-02-19 04:22:08,2026-02-19 06:50:59,2026-02,2026-02-19,4,buy,0.2,4979.045,5017.078,760.66,21703.8,148.85,tp,IHB S:85 IMP,,,0,,,,,unknown,IHB S:85 IMP,tp 5016.910,753.0533999999999
2026-04-14 15:15:01,2026-04-14 16:30:44,2026-04,2026-04-14,15,buy,0.3,4794.604,4819.931,759.81,35659.08,75.71666666666667,manual/exit_profit,IHB S:80 COR,,,0,,,,,unknown,IHB S:80 COR,,752.2119000000001
2026-04-14 15:00:32,2026-04-14 17:06:54,2026-04,2026-04-14,15,buy,0.3,4802.051,4827.098,751.41,36410.49,126.36666666666666,manual/exit_profit,IHB S:80 COR,,,0,,,,,unknown,IHB S:80 COR,,743.8959000000001
2026-01-12 00:00:00,2026-01-12 00:43:07,2026-01,2026-01-12,0,buy,0.15,4540.122,4590.152,750.45,16663.34,43.11666666666667,tp,IHB S:95 IMP,,,0,,,,,unknown,IHB S:95 IMP,tp 4590.130,742.9455
2026-03-30 07:34:54,2026-03-30 11:44:56,2026-03,2026-03-30,7,buy,0.24,4516.2,4563.866,747.98,29678.66,250.03333333333333,tp,IHB S:95 IMP,,,0,,,,,unknown,IHB S:95 IMP,tp 4563.840,736.54016
2026-01-28 06:00:00,2026-01-28 08:43:07,2026-01,2026-01-28,6,buy,0.2,5260.603,5293.011,728.6,22715.85,163.11666666666667,sl,IHB S:95 IMP,,,0,,,,,unknown,IHB S:95 IMP,sl 5293.040,722.1184
2026-04-20 12:30:00,2026-04-20 14:30:24,2026-04,2026-04-20,12,buy,0.29,4806.047,4827.434,726.16,35333.62,120.4,manual/exit_profit,IHB S:95 IMP,,,0,,,,,unknown,IHB S:95 IMP,,719.9577699999998
2026-03-31 18:35:19,2026-03-31 19:50:06,2026-03,2026-03-31,18,buy,0.28,4660.08,4685.315,706.58,33095.01,74.78333333333333,manual/exit_profit,IHB S:85 IMP,,,0,,,,,unknown,IHB S:85 IMP,,699.5142000000002
2026-03-31 18:00:00,2026-03-31 19:21:24,2026-03,2026-03-31,18,buy,0.28,4654.479,4679.459,699.44,32388.43,81.4,manual/exit_profit,IHB S:85 IMP,,,0,,,,,unknown,IHB S:85 IMP,,692.4456000000001
2026-04-13 00:30:30,2026-04-13 00:59:27,2026-04,2026-04-13,0,buy,0.28,4671.896,4696.845,698.57,33409.04,28.95,manual/exit_profit,IHB S:80 IMP,,,0,,,,,unknown,IHB S:80 IMP,,691.5842799999999
