start,end,count,pnl,buy_losses,sell_losses,engines
2026-04-16 00:25:56,2026-04-16 13:54:17,3,-147.03,3,0,:3
2026-04-06 09:50:12,2026-04-06 12:23:03,5,-125.09,5,0,:5
2026-01-27 07:00:26,2026-01-27 14:05:41,4,-95.4,4,0,:4
2026-04-30 05:01:20,2026-04-30 06:51:39,4,-90.34,0,4,:4
2026-01-21 05:26:15,2026-01-21 07:03:20,3,-75.19,3,0,:3
2026-01-20 00:00:52,2026-01-20 04:35:34,3,-75.0,0,3,:3
2026-03-27 11:15:35,2026-03-27 14:03:16,3,-73.56,0,3,:3
2026-03-25 11:47:56,2026-03-25 12:30:49,3,-72.59,3,0,:3
2026-04-23 09:30:00,2026-04-23 11:52:38,3,-71.94,0,3,:3
2026-02-11 12:02:40,2026-02-11 12:41:09,3,-71.34,3,0,:3
