entry_time,exit_time,entry_month,entry_date,entry_hour,side,volume,entry_price,exit_price,profit,balance,hold_minutes,exit_reason,family,engine,code,score,grade,regime_tag,hour_tag,tags,score_bucket,entry_comment,exit_comment,match_error
2026-04-15 15:03:29,2026-04-15 15:31:25,2026-04,2026-04-15,15,buy,0.02,4812.697,4787.722,-49.95,1076.85,27.933333333333334,sl,IHB S:85 IMP,,,0,,,,,unknown,IHB S:85 IMP,sl 4787.770,49.4505
2026-04-16 00:25:56,2026-04-16 13:52:42,2026-04,2026-04-16,0,buy,0.02,4823.122,4798.208,-49.82,979.51,806.7666666666667,sl,IHB S:85 IMP,,,0,,,,,unknown,IHB S:85 IMP,sl 4798.310,49.321719999999985
2026-04-16 01:35:28,2026-04-16 13:54:17,2026-04,2026-04-16,1,buy,0.02,4818.866,4794.018,-49.69,929.82,738.8166666666667,sl,IHB S:85 IMP,,,0,,,,,unknown,IHB S:85 IMP,sl 4794.070,49.193039999999996
2026-04-16 00:30:00,2026-04-16 13:52:20,2026-04,2026-04-16,0,buy,0.02,4825.32,4801.559,-47.52,1029.33,802.3333333333334,sl,IHB S:85 IMP,,,0,,,,,unknown,IHB S:85 IMP,sl 4801.610,47.04478000000001
2026-03-09 06:31:20,2026-03-09 06:52:18,2026-03,2026-03-09,6,buy,0.01,5126.101,5100.855,-25.24,623.42,20.966666666666665,sl,IHB S:90 IMP,,,0,,,,,unknown,IHB S:90 IMP,sl 5101.120,24.98754
2026-03-27 11:15:35,2026-03-27 12:50:08,2026-03,2026-03-27,11,sell,0.01,4415.511,4440.747,-25.24,667.71,94.55,sl,IHB S:85 IMP,,,0,,,,,unknown,IHB S:85 IMP,sl 4440.460,24.98764
2026-02-11 12:17:41,2026-02-11 12:41:09,2026-02,2026-02-11,12,buy,0.01,5098.8,5073.59,-25.21,437.21,23.466666666666665,sl,IHB S:85 IMP,,,0,,,,,unknown,IHB S:85 IMP,sl 5073.810,24.957900000000002
2026-02-13 12:00:00,2026-02-13 12:23:44,2026-02,2026-02-13,12,sell,0.01,4953.772,4973.362,-25.19,396.08,23.733333333333334,sl,IHB S:85 IMP,,,0,,,,,unknown,IHB S:85 IMP,sl 4973.170,24.9941
2026-03-20 04:00:52,2026-03-20 05:48:11,2026-03,2026-03-20,4,buy,0.01,4725.473,4700.278,-25.19,695.34,107.31666666666666,sl,IHB S:85 IMP,,,0,,,,,unknown,IHB S:85 IMP,sl 4700.510,24.938050000000004
2026-01-21 06:00:49,2026-01-21 07:00:01,2026-01,2026-01-21,6,buy,0.01,4869.828,4844.667,-25.16,322.86,59.2,sl,IHB S:85 IMP,,,0,,,,,unknown,IHB S:85 IMP,sl 4844.840,24.90839
2026-03-25 11:47:56,2026-03-25 12:28:24,2026-03,2026-03-25,11,buy,0.01,4573.694,4548.552,-25.14,723.12,40.46666666666667,sl,IHB S:95 IMP,,,0,,,,,unknown,IHB S:95 IMP,sl 4548.720,24.888579999999994
2026-03-16 10:15:09,2026-03-16 11:10:35,2026-03,2026-03-16,10,sell,0.01,4978.552,5003.635,-25.09,664.09,55.43333333333333,sl,IHB S:85 IMP,,,0,,,,,unknown,IHB S:85 IMP,sl 5003.530,24.839169999999996
2026-01-15 07:36:59,2026-01-15 13:47:37,2026-01,2026-01-15,7,buy,0.01,4607.99,4582.909,-25.08,321.77,370.6333333333333,sl,IHB S:95 IMP,,,0,,,,,unknown,IHB S:95 IMP,sl 4582.990,24.829189999999997
2026-04-06 10:14:37,2026-04-06 12:23:03,2026-04,2026-04-06,10,buy,0.01,4687.159,4662.094,-25.07,802.33,128.43333333333334,sl,IHB S:85 IMP,,,0,,,,,unknown,IHB S:85 IMP,sl 4662.280,24.819350000000004
2026-04-06 09:50:28,2026-04-06 12:16:09,2026-04,2026-04-06,9,buy,0.01,4694.205,4669.152,-25.06,877.38,145.68333333333334,sl,IHB S:85 IMP,,,0,,,,,unknown,IHB S:85 IMP,sl 4669.230,24.80947
2026-04-28 00:39:56,2026-04-28 02:00:06,2026-04,2026-04-28,0,buy,0.01,4692.299,4667.237,-25.06,721.62,80.16666666666667,sl,IHB S:85 IMP,,,0,,,,,unknown,IHB S:85 IMP,sl 4667.320,24.80938
2026-01-27 07:00:26,2026-01-27 14:06:03,2026-01,2026-01-27,7,buy,0.01,5084.042,5058.986,-25.05,388.31,425.6166666666667,sl,IHB S:95 IMP,,,0,,,,,unknown,IHB S:95 IMP,sl 5059.050,24.799439999999997
2026-01-14 05:55:43,2026-01-14 14:50:06,2026-01,2026-01-14,5,buy,0.01,4631.773,4606.733,-25.04,331.84,534.3833333333333,sl,IHB S:85 COR,,,0,,,,,unknown,IHB S:85 COR,sl 4606.780,24.7896
2026-01-21 05:26:15,2026-01-21 07:03:26,2026-01,2026-01-21,5,buy,0.01,4865.658,4840.622,-25.04,272.83,97.18333333333334,sl,IHB S:85 IMP,,,0,,,,,unknown,IHB S:85 IMP,sl 4840.660,24.78964
2026-01-20 00:48:16,2026-01-20 04:35:34,2026-01,2026-01-20,0,sell,0.01,4663.946,4688.982,-25.03,360.48,227.3,sl,IHB S:85 IMP,,,0,,,,,unknown,IHB S:85 IMP,sl 4688.880,24.77964
2026-04-27 00:51:30,2026-04-27 01:03:31,2026-04,2026-04-27,0,sell,0.01,4684.27,4709.299,-25.03,771.62,12.016666666666667,sl,IHB S:85 IMP,,,0,,,,,unknown,IHB S:85 IMP,sl 4709.170,24.779710000000005
2026-02-27 06:20:08,2026-02-27 10:12:18,2026-02,2026-02-27,6,buy,0.01,5195.113,5170.088,-25.02,453.06,232.16666666666666,sl,IHB S:95 IMP,,,0,,,,,unknown,IHB S:95 IMP,sl 5170.160,24.769749999999995
2026-01-20 00:36:02,2026-01-20 04:35:43,2026-01,2026-01-20,0,sell,0.01,4665.781,4690.785,-25.01,335.47,239.68333333333334,sl,IHB S:85 IMP,,,0,,,,,unknown,IHB S:85 IMP,sl 4690.760,24.759960000000003
2026-03-25 12:19:26,2026-03-25 12:30:49,2026-03,2026-03-25,12,buy,0.01,4563.05,4538.036,-25.01,698.11,11.383333333333333,sl,IHB S:85 IMP,,,0,,,,,unknown,IHB S:85 IMP,sl 4538.190,24.75986
2026-04-06 09:54:05,2026-04-06 12:21:02,2026-04,2026-04-06,9,buy,0.01,4692.136,4667.139,-25.0,852.38,146.95,sl,IHB S:85 IMP,,,0,,,,,unknown,IHB S:85 IMP,sl 4667.140,24.750029999999995
2026-01-21 06:04:35,2026-01-21 07:03:20,2026-01,2026-01-21,6,buy,0.01,4867.831,4842.835,-24.99,297.87,58.75,sl,IHB S:85 IMP,,,0,,,,,unknown,IHB S:85 IMP,sl 4842.840,24.740039999999997
2026-01-27 08:00:00,2026-01-27 14:05:41,2026-01,2026-01-27,8,buy,0.01,5086.159,5061.655,-24.99,438.04,365.68333333333334,sl,IHB S:95 IMP,,,0,,,,,unknown,IHB S:95 IMP,sl 5061.680,24.74496
2026-02-19 07:45:01,2026-02-19 10:03:15,2026-02,2026-02-19,7,buy,0.01,5013.749,4988.759,-24.99,435.87,138.23333333333332,sl,IHB S:95 IMP,,,0,,,,,unknown,IHB S:95 IMP,sl 4988.770,24.7401
2026-04-06 09:50:12,2026-04-06 12:13:26,2026-04,2026-04-06,9,buy,0.01,4698.361,4673.38,-24.98,902.44,143.23333333333332,sl,IHB S:85 IMP,,,0,,,,,unknown,IHB S:85 IMP,sl 4673.400,24.730190000000004
2026-04-06 10:14:16,2026-04-06 12:21:58,2026-04,2026-04-06,10,buy,0.01,4690.372,4665.393,-24.98,827.4,127.7,sl,IHB S:85 IMP,,,0,,,,,unknown,IHB S:85 IMP,sl 4665.450,24.730209999999996
2026-04-20 23:00:00,2026-04-21 02:31:25,2026-04,2026-04-20,23,buy,0.01,4827.668,4803.233,-24.98,860.03,211.41666666666666,sl,IHB S:85 COR,,,0,,,,,unknown,IHB S:85 COR,sl 4803.280,24.735650000000007
2026-04-30 05:15:00,2026-04-30 06:32:29,2026-04,2026-04-30,5,sell,0.01,4553.173,4576.464,-24.98,674.92,77.48333333333333,sl,IHB S:95 IMP,,,0,,,,,unknown,IHB S:95 IMP,sl 4576.450,24.74709
2026-01-14 05:54:47,2026-01-14 14:48:43,2026-01,2026-01-14,5,buy,0.01,4634.127,4609.158,-24.97,356.88,533.9333333333333,sl,IHB S:95 COR,,,0,,,,,unknown,IHB S:95 COR,sl 4609.180,24.720309999999998
2026-03-12 08:20:25,2026-03-12 13:45:54,2026-03,2026-03-12,8,buy,0.01,5180.178,5155.209,-24.97,651.63,325.48333333333335,sl,IHB S:85 IMP,,,0,,,,,unknown,IHB S:85 IMP,sl 5155.270,24.720309999999998
2026-01-20 00:00:52,2026-01-20 04:35:43,2026-01,2026-01-20,0,sell,0.01,4666.34,4691.3,-24.96,310.51,274.85,sl,IHB S:85 IMP,,,0,,,,,unknown,IHB S:85 IMP,sl 4691.280,24.7104
2026-02-26 04:30:00,2026-02-26 08:47:42,2026-02,2026-02-26,4,buy,0.01,5194.447,5169.498,-24.95,504.98,257.7,sl,IHB S:85 IMP,,,0,,,,,unknown,IHB S:85 IMP,sl 5169.530,24.700509999999994
2026-04-30 05:23:33,2026-04-30 06:51:39,2026-04,2026-04-30,5,sell,0.01,4555.686,4580.644,-24.95,649.97,88.1,sl,IHB S:85 IMP,,,0,,,,,unknown,IHB S:85 IMP,sl 4580.590,24.700419999999994
2026-04-23 10:33:51,2026-04-23 11:55:44,2026-04,2026-04-23,10,sell,0.01,4693.203,4718.141,-24.94,806.3,81.88333333333334,sl,IHB S:85 IMP,,,0,,,,,unknown,IHB S:85 IMP,sl 4718.130,24.69062000000001
2026-04-28 00:30:02,2026-04-28 01:58:51,2026-04,2026-04-28,0,buy,0.01,4695.041,4670.099,-24.94,746.68,88.81666666666666,sl,IHB S:95 IMP,,,0,,,,,unknown,IHB S:95 IMP,sl 4670.100,24.69058
2026-05-07 13:00:06,2026-05-07 16:07:04,2026-05,2026-05-07,13,buy,0.01,4744.639,4719.698,-24.94,653.22,186.96666666666667,sl,IHB S:95 IMP,,,0,,,,,unknown,IHB S:95 IMP,sl 4719.720,24.690590000000004
2026-03-27 11:45:30,2026-03-27 14:03:16,2026-03,2026-03-27,11,sell,0.01,4422.632,4447.555,-24.93,642.78,137.76666666666668,sl,IHB S:85 IMP,,,0,,,,,unknown,IHB S:85 IMP,sl 4447.540,24.680769999999992
