entry_time,exit_time,entry_month,entry_date,entry_hour,side,volume,entry_price,exit_price,profit,balance,hold_minutes,exit_reason,family,engine,code,score,grade,regime_tag,hour_tag,tags,score_bucket,entry_comment,exit_comment,match_error
2026-03-03 06:00:00,2026-03-03 09:27:14,2026-03,2026-03-03,6,sell,0.01,5319.015,5239.102,79.92,526.68,207.23333333333332,tp,IHB DropCatch,,,0,,,,,unknown,IHB DropCatch,tp 5239.310,79.12087
2026-03-31 15:00:00,2026-03-31 17:51:22,2026-03,2026-03-31,15,buy,0.01,4599.853,4667.1,67.25,873.67,171.36666666666667,tp,IHB S:95 IMP,,,0,,,,,unknown,IHB S:95 IMP,tp 4666.820,66.57753
2026-03-30 07:00:00,2026-03-30 11:47:10,2026-03,2026-03-30,7,buy,0.01,4532.7,4571.898,55.7,845.04,287.1666666666667,tp,IHB S:85 IMP,,,0,,,,,unknown,IHB S:85 IMP,tp 4571.800,55.30802
2026-05-06 06:51:48,2026-05-06 10:53:06,2026-05,2026-05-06,6,buy,0.01,4663.239,4716.582,53.34,671.73,241.3,tp,IHB S:95 IMP,,,0,,,,,unknown,IHB S:95 IMP,tp 4716.580,52.806569999999994
2026-04-24 08:30:00,2026-04-24 14:12:46,2026-04,2026-04-24,8,buy,0.01,4688.156,4738.094,53.3,818.66,342.76666666666665,tp,IHB S:85 IMP,,,0,,,,,unknown,IHB S:85 IMP,tp 4738.090,52.800619999999995
2026-03-30 00:45:00,2026-03-30 02:41:46,2026-03,2026-03-30,0,buy,0.01,4438.607,4484.114,52.29,740.57,116.76666666666667,tp,IHS RB BUY R:$143,,,0,,,,,unknown,IHS RB BUY R:$143,tp 4484.110,51.83493
2026-04-01 12:09:08,2026-04-01 17:09:08,2026-04,2026-04-01,12,buy,0.01,4740.654,4792.14,51.49,943.88,300.0,manual/exit_profit,IHB S:85 IMP,,,0,,,,,unknown,IHB S:85 IMP,,50.97514
2026-01-12 00:00:00,2026-01-12 00:43:07,2026-01,2026-01-12,0,buy,0.01,4540.122,4590.152,50.03,274.73,43.11666666666667,tp,IHB S:95 IMP,,,0,,,,,unknown,IHB S:95 IMP,tp 4590.130,49.529700000000005
2026-04-09 12:06:00,2026-04-09 15:35:00,2026-04,2026-04-09,12,buy,0.01,4748.285,4792.512,50.03,914.03,209.0,tp,IHB S:95 IMP,,,0,,,,,unknown,IHB S:95 IMP,tp 4792.500,49.58773
2026-05-06 08:32:04,2026-05-06 11:30:12,2026-05,2026-05-06,8,buy,0.01,4675.819,4705.473,46.51,718.24,178.13333333333333,sl,IHB S:95 IMP,,,0,,,,,unknown,IHB S:95 IMP,sl 4705.550,46.213460000000005
2026-01-22 19:30:00,2026-01-22 23:08:27,2026-01,2026-01-22,19,buy,0.01,4915.483,4957.545,46.0,463.11,218.45,tp,IHB S:85 IMP,,,0,,,,,unknown,IHB S:85 IMP,tp 4957.500,45.57938
2026-03-30 01:00:00,2026-03-30 02:41:46,2026-03,2026-03-30,1,buy,0.01,4431.815,4484.114,45.5,688.28,101.76666666666667,tp,IHS RB BUY R:$143,,,0,,,,,unknown,IHS RB BUY R:$143,tp 4484.110,44.97701
2026-04-14 15:00:32,2026-04-14 17:39:09,2026-04,2026-04-14,15,buy,0.01,4802.051,4839.605,45.01,1065.44,158.61666666666667,tp,IHB S:80 COR,,,0,,,,,unknown,IHB S:80 COR,tp 4839.600,44.634460000000004
2026-04-08 18:15:00,2026-04-08 19:05:05,2026-04,2026-04-08,18,sell,0.01,4743.763,4699.997,43.76,791.57,50.083333333333336,tp,IHB S:85 IMP,,,0,,,,,unknown,IHB S:85 IMP,tp 4700.000,43.322340000000004
2026-02-18 13:52:14,2026-02-18 17:34:29,2026-02,2026-02-18,13,buy,0.01,4950.253,4993.83,43.58,422.83,222.25,sl,IHB S:100 IMP,,,0,,,,,unknown,IHB S:100 IMP,sl 4993.870,43.14422999999999
2026-03-25 00:30:29,2026-03-25 01:35:39,2026-03,2026-03-25,0,buy,0.01,4548.429,4586.245,42.92,770.7,65.16666666666667,tp,IHB S:85 IMP,,,0,,,,,unknown,IHB S:85 IMP,tp 4585.980,42.54184
2026-01-12 09:30:00,2026-01-12 16:13:58,2026-01,2026-01-12,9,buy,0.01,4596.685,4628.685,40.5,333.14,403.96666666666664,tp,IHB S:95 IMP,,,0,,,,,unknown,IHB S:95 IMP,tp 4628.640,40.18
2026-03-19 06:15:00,2026-03-19 06:38:11,2026-03,2026-03-19,6,sell,0.01,4833.153,4793.188,39.96,720.53,23.183333333333334,tp,IHB S:85 IMP,,,0,,,,,unknown,IHB S:85 IMP,tp 4793.330,39.56035
2026-03-10 14:07:43,2026-03-10 15:33:14,2026-03,2026-03-10,14,buy,0.01,5192.823,5231.134,38.31,691.83,85.51666666666667,tp,IHB S:85 IMP,,,0,,,,,unknown,IHB S:85 IMP,tp 5231.120,37.92689000000001
2026-02-19 04:22:08,2026-02-19 06:50:59,2026-02,2026-02-19,4,buy,0.01,4979.045,5017.078,38.03,460.86,148.85,tp,IHB S:85 IMP,,,0,,,,,unknown,IHB S:85 IMP,tp 5016.910,37.64967
2026-03-06 09:32:37,2026-03-06 11:55:57,2026-03,2026-03-06,9,sell,0.01,5102.538,5070.367,38.03,648.45,143.33333333333334,tp,IHB S:95 IMP,,,0,,,,,unknown,IHB S:95 IMP,tp 5070.450,37.708290000000005
2026-05-06 07:15:00,2026-05-06 10:41:15,2026-05,2026-05-06,7,buy,0.01,4658.956,4713.734,37.91,618.39,206.25,tp,IHB S:95 IMP,,,0,,,,,unknown,IHB S:95 IMP,tp 4713.260,37.36221999999999
2026-02-06 14:25:33,2026-02-06 14:37:21,2026-02,2026-02-06,14,buy,0.01,4897.152,4934.999,37.85,459.9,11.8,tp,IHB S:85 COR,,,0,,,,,unknown,IHB S:85 COR,tp 4934.790,37.47153
2026-04-13 00:30:30,2026-04-13 01:10:06,2026-04,2026-04-13,0,buy,0.01,4671.896,4709.689,37.79,956.78,39.6,tp,IHB S:80 IMP,,,0,,,,,unknown,IHB S:80 IMP,tp 4709.420,37.41206999999999
2026-04-01 06:17:12,2026-04-01 06:58:01,2026-04,2026-04-01,6,buy,0.01,4694.11,4731.858,37.75,916.75,40.81666666666667,tp,IHB S:85 IMP,,,0,,,,,unknown,IHB S:85 IMP,tp 4731.690,37.372519999999994
2026-03-19 06:01:45,2026-03-19 06:35:11,2026-03,2026-03-19,6,sell,0.01,4840.623,4802.906,37.71,680.57,33.43333333333333,tp,IHB S:85 IMP,,,0,,,,,unknown,IHB S:85 IMP,tp 4802.930,37.33283
