code,trades,net,gross_profit,gross_loss,win_rate,profit_factor,avg,avg_win,avg_loss,largest_win,largest_loss,win_count,loss_count
S69,5.0,-10.31,0.78,-11.09,20.0,0.0703336339044184,-2.0620000000000003,0.78,-2.7725,0.78,-3.99,1.0,4.0
S80,1.0,-9.98,0,-9.98,0.0,0.0,-9.98,0.0,-9.98,0.0,-9.98,0.0,1.0
S83,1.0,-9.24,0,-9.24,0.0,0.0,-9.24,0.0,-9.24,0.0,-9.24,0.0,1.0
S70,3.0,-7.87,0,-7.87,0.0,0.0,-2.6233333333333335,0.0,-2.6233333333333335,0.0,-3.68,0.0,3.0
S90,1.0,-7.59,0,-7.59,0.0,0.0,-7.59,0.0,-7.59,0.0,-7.59,0.0,1.0
S88,1.0,-7.04,0,-7.04,0.0,0.0,-7.04,0.0,-7.04,0.0,-7.04,0.0,1.0
S76,2.0,-6.779999999999999,0,-6.779999999999999,0.0,0.0,-3.3899999999999997,0.0,-3.3899999999999997,0.0,-4.68,0.0,2.0
S86,2.0,-6.71,0,-6.71,0.0,0.0,-3.355,0.0,-3.355,0.0,-3.45,0.0,2.0
S71,5.0,-5.76,3.68,-9.44,40.0,0.3898305084745763,-1.152,1.84,-3.1466666666666665,3.5,-3.61,2.0,3.0
S89,1.0,-5.29,0,-5.29,0.0,0.0,-5.29,0.0,-5.29,0.0,-5.29,0.0,1.0
S96,1.0,-5.09,0,-5.09,0.0,0.0,-5.09,0.0,-5.09,0.0,-5.09,0.0,1.0
S67,3.0,-4.4399999999999995,4.74,-9.18,33.33333333333333,0.5163398692810458,-1.4799999999999998,4.74,-4.59,4.74,-4.87,1.0,2.0
S93,1.0,-0.81,0,-0.81,0.0,0.0,-0.81,0.0,-0.81,0.0,-0.81,0.0,1.0
S77,4.0,-0.7599999999999996,6.51,-7.27,75.0,0.8954607977991748,-0.1899999999999999,2.17,-7.27,2.84,-7.27,3.0,1.0
S81,2.0,1.38,7.62,-6.24,50.0,1.221153846153846,0.69,7.62,-6.24,7.62,-6.24,1.0,1.0
S91,3.0,2.1000000000000005,14.89,-12.79,33.33333333333333,1.1641907740422206,0.7000000000000002,14.89,-6.395,14.89,-7.93,1.0,2.0
S82,5.0,2.6099999999999994,12.049999999999999,-9.440000000000001,60.0,1.2764830508474574,0.5219999999999999,4.016666666666667,-4.720000000000001,9.77,-6.53,3.0,2.0
S87,2.0,2.6900000000000004,5.82,-3.13,50.0,1.8594249201277957,1.3450000000000002,5.82,-3.13,5.82,-3.13,1.0,1.0
S78,4.0,3.5,12.879999999999999,-9.379999999999999,50.0,1.373134328358209,0.875,6.4399999999999995,-4.6899999999999995,7.92,-4.91,2.0,2.0
S74,7.0,3.679999999999999,20.16,-16.48,42.857142857142854,1.2233009708737863,0.5257142857142856,6.72,-4.12,8.45,-8.16,3.0,4.0
S94,1.0,3.76,3.76,0,100.0,0.0,3.76,3.76,0.0,3.76,0.0,1.0,0.0
S75,3.0,3.7899999999999996,6.51,-2.72,66.66666666666666,2.393382352941176,1.2633333333333332,3.255,-2.72,3.73,-2.72,2.0,1.0
S92,1.0,4.33,4.33,0,100.0,0.0,4.33,4.33,0.0,4.33,0.0,1.0,0.0
S84,4.0,4.41,6.99,-2.58,75.0,2.7093023255813953,1.1025,2.33,-2.58,3.21,-2.58,3.0,1.0
S79,2.0,6.29,6.29,0,100.0,0.0,3.145,3.145,0.0,4.67,0.0,2.0,0.0
S85,3.0,8.82,8.82,0,100.0,0.0,2.94,2.94,0.0,7.11,0.0,3.0,0.0
S95,1.0,8.88,8.88,0,100.0,0.0,8.88,8.88,0.0,8.88,0.0,1.0,0.0
S68,6.0,12.64,16.36,-3.72,83.33333333333334,4.397849462365591,2.106666666666667,3.272,-3.72,6.79,-3.72,5.0,1.0
S73,8.0,13.690000000000001,27.42,-13.73,62.5,1.9970866715222142,1.7112500000000002,5.484,-4.576666666666667,9.74,-7.35,5.0,3.0
