entry_hour,trades,net,gross_profit,gross_loss,win_rate,profit_factor,avg,avg_win,avg_loss,largest_win,largest_loss,win_count,loss_count
14,6.0,-26.44,7.92,-34.36,16.666666666666664,0.23050058207217694,-4.406666666666667,7.92,-6.872,7.92,-9.98,1.0,5.0
16,3.0,-10.58,0.22,-10.8,33.33333333333333,0.02037037037037037,-3.526666666666667,0.22,-5.4,0.22,-7.93,1.0,2.0
12,3.0,-8.77,0,-8.77,0.0,0.0,-2.9233333333333333,0.0,-2.9233333333333333,0.0,-3.72,0.0,3.0
5,2.0,-7.92,0,-7.92,0.0,0.0,-3.96,0.0,-3.96,0.0,-4.47,0.0,2.0
1,4.0,-6.15,8.45,-14.6,25.0,0.5787671232876712,-1.5375,8.45,-4.866666666666666,8.45,-6.24,1.0,3.0
9,5.0,-5.85,3.5500000000000003,-9.399999999999999,60.0,0.3776595744680852,-1.17,1.1833333333333333,-4.699999999999999,1.75,-5.09,3.0,2.0
6,5.0,-5.79,6.83,-12.620000000000001,40.0,0.5412044374009508,-1.158,3.415,-4.206666666666667,5.82,-5.29,2.0,3.0
20,3.0,-4.83,7.11,-11.940000000000001,33.33333333333333,0.5954773869346733,-1.61,7.11,-5.970000000000001,7.11,-9.24,1.0,2.0
4,4.0,-4.450000000000001,8.57,-13.02,50.0,0.6582181259600615,-1.1125000000000003,4.285,-6.51,7.01,-8.16,2.0,2.0
7,3.0,-3.7699999999999996,0.74,-4.51,33.33333333333333,0.164079822616408,-1.2566666666666666,0.74,-2.255,0.74,-2.48,1.0,2.0
22,2.0,-1.77,2.22,-3.99,50.0,0.556390977443609,-0.885,2.22,-3.99,2.22,-3.99,1.0,1.0
18,2.0,-1.7199999999999998,1.54,-3.26,50.0,0.47239263803680986,-0.8599999999999999,1.54,-3.26,1.54,-3.26,1.0,1.0
11,4.0,-0.9800000000000002,4.54,-5.52,50.0,0.8224637681159421,-0.24500000000000005,2.27,-2.76,3.76,-2.94,2.0,2.0
15,3.0,2.28,4.96,-2.68,33.33333333333333,1.8507462686567162,0.7599999999999999,4.96,-1.34,4.96,-1.87,1.0,2.0
17,5.0,4.1,11.69,-7.59,60.0,1.5401844532279314,0.82,3.8966666666666665,-3.795,6.79,-4.87,3.0,2.0
10,4.0,4.3100000000000005,11.35,-7.04,75.0,1.612215909090909,1.0775000000000001,3.783333333333333,-7.04,4.74,-7.04,3.0,1.0
23,3.0,5.190000000000001,12.46,-7.27,66.66666666666666,1.7138927097661625,1.7300000000000004,6.23,-7.27,8.13,-7.27,2.0,1.0
8,3.0,5.32,8.45,-3.13,66.66666666666666,2.6996805111821085,1.7733333333333334,4.225,-3.13,6.05,-3.13,2.0,1.0
13,1.0,5.66,5.66,0,100.0,0.0,5.66,5.66,0.0,5.66,0.0,1.0,0.0
3,2.0,7.449999999999999,7.449999999999999,0,100.0,0.0,3.7249999999999996,3.7249999999999996,0.0,4.67,0.0,2.0,0.0
0,7.0,9.46,24.630000000000003,-15.17,28.57142857142857,1.6235992089650628,1.3514285714285716,12.315000000000001,-3.034,14.89,-4.91,2.0,5.0
2,1.0,9.77,9.77,0,100.0,0.0,9.77,9.77,0.0,9.77,0.0,1.0,0.0
19,3.0,10.91,10.91,0,100.0,0.0,3.6366666666666667,3.6366666666666667,0.0,3.73,0.0,3.0,0.0
21,5.0,19.470000000000002,19.470000000000002,0,100.0,0.0,3.8940000000000006,3.8940000000000006,0.0,8.88,0.0,5.0,0.0
