entry_time,exit_time,entry_month,entry_date,entry_hour,side,volume,entry_price,exit_price,profit,balance,hold_minutes,exit_reason,family,engine,code,score,grade,regime_tag,hour_tag,tags,score_bucket,entry_comment,exit_comment,match_error
2026-01-09 14:45:00,2026-01-09 15:26:42,2026-01,2026-01-09,14,sell,0.01,90008.35,91006.47,-9.98,178.77,41.7,sl,SBTC,BO,S80,0,,,,,unknown,SBTC|BO|S80|S,sl 91005.54,0.0011999999999527944
2026-01-05 20:30:00,2026-01-05 21:30:03,2026-01,2026-01-05,20,buy,0.01,94745.23,93821.34,-9.24,191.64,60.05,sl,SBTC,BO,S83,0,,,,,unknown,SBTC|BO|S83|B,sl 93822.09,0.0011000000000063181
2026-01-12 04:15:00,2026-01-12 08:32:18,2026-01,2026-01-12,4,buy,0.01,91969.11,91152.82,-8.16,166.53,257.3,sl,SBTC,PB,S74,0,,,,,unknown,SBTC|PB|S74|B,sl 91154.67,0.002899999999936398
2026-01-12 16:30:00,2026-01-13 04:30:00,2026-01,2026-01-12,16,buy,0.01,92154.0,91360.55,-7.93,151.01,720.0,manual/exit_loss,SBTC,BO,S91,0,,,,,unknown,SBTC|BO|S91|B,,0.004499999999971749
2026-01-06 14:30:00,2026-01-06 14:49:15,2026-01,2026-01-06,14,buy,0.01,94329.72,93571.08,-7.59,184.95,19.25,sl,SBTC,BO,S90,0,,,,,unknown,SBTC|BO|S90|B,sl 93571.62,0.0036000000000058208
2026-01-09 14:15:00,2026-01-09 15:26:41,2026-01,2026-01-09,14,sell,0.01,90263.34,90997.69,-7.35,188.75,71.68333333333334,sl,SBTC,PB,S73,0,,,,,unknown,SBTC|PB|S73|S,sl 90996.12,0.0064999999999413305
2026-01-08 23:00:00,2026-01-09 08:04:36,2026-01,2026-01-08,23,buy,0.01,91187.73,90460.74,-7.27,198.26,544.6,sl,SBTC,PB,S77,0,,,,,unknown,SBTC|PB|S77|B,sl 90464.42,0.0001000000000921375
2026-01-02 10:00:00,2026-01-02 14:19:05,2026-01,2026-01-02,10,buy,0.01,89381.63,88678.37,-7.04,152.3,259.0833333333333,sl,SBTC,BO,S88,0,,,,,unknown,SBTC|BO|S88|B,sl 88681.19,0.00739999999990637
2026-01-08 14:30:00,2026-01-08 15:07:37,2026-01,2026-01-08,14,sell,0.01,89527.37,90180.12,-6.53,208.89,37.61666666666667,sl,SBTC,BO,S82,0,,,,,unknown,SBTC|BO|S82|S,sl 90179.37,0.002500000000000391
2026-01-06 01:30:00,2026-01-06 07:22:16,2026-01,2026-01-06,1,buy,0.01,94120.37,93495.8,-6.24,184.62,352.26666666666665,sl,SBTC,PB,S81,0,,,,,unknown,SBTC|PB|S81|B,sl 93501.53,0.005699999999924543
2026-01-04 06:15:00,2026-01-04 08:25:35,2026-01,2026-01-04,6,buy,0.01,91636.66,91108.28,-5.29,181.09,130.58333333333334,sl,SBTC,BO,S89,0,,,,,unknown,SBTC|BO|S89|B,sl 91112.35,0.006199999999953576
2026-01-13 09:15:00,2026-01-13 12:15:00,2026-01,2026-01-13,9,buy,0.01,92351.75,91843.29,-5.09,143.34,180.0,manual/exit_loss,SBTC,BO,S96,0,,,,,unknown,SBTC|BO|S96|B,,0.0053999999999359005
2026-01-08 00:30:00,2026-01-08 01:29:01,2026-01,2026-01-08,0,sell,0.01,91021.71,91512.85,-4.91,182.03,59.016666666666666,sl,SBTC,PB,S78,0,,,,,unknown,SBTC|PB|S78|S,sl 91503.19,0.0013999999999940727
2026-01-06 17:00:00,2026-01-06 17:40:24,2026-01,2026-01-06,17,buy,0.01,92666.03,92178.96,-4.87,180.08,40.4,sl,SBTC,RV,S67,0,,,,,unknown,SBTC|RV|S67|B,sl 92182.48,0.0006999999999246498
2026-01-04 04:45:00,2026-01-04 13:18:31,2026-01,2026-01-04,4,buy,0.01,91489.37,91002.86,-4.86,173.1,513.5166666666667,sl,SBTC,BO,S91,0,,,,,unknown,SBTC|BO|S91|B,sl 91005.65,0.005099999999947258
2026-01-13 01:15:00,2026-01-13 01:42:39,2026-01,2026-01-13,1,buy,0.01,91397.29,90929.07,-4.68,159.08,27.65,sl,SBTC,PB,S76,0,,,,,unknown,SBTC|PB|S76|B,sl 90931.54,0.002199999999866087
2026-01-05 05:30:00,2026-01-05 06:28:14,2026-01,2026-01-05,5,buy,0.01,92689.86,92243.38,-4.47,193.68,58.233333333333334,sl,SBTC,PB,S78,0,,,,,unknown,SBTC|PB|S78|B,sl 92245.34,0.0052000000000402835
