entry_time,exit_time,entry_month,entry_date,entry_hour,side,volume,entry_price,exit_price,profit,balance,hold_minutes,exit_reason,family,engine,code,score,grade,regime_tag,hour_tag,tags,score_bucket,entry_comment,exit_comment,match_error
2026-01-05 00:15:00,2026-01-05 01:37:42,2026-01,2026-01-05,0,buy,0.01,91866.8,93355.57,14.89,198.15,82.7,tp,SBTC,BO,S91,0,,,,,unknown,SBTC|BO|S91|B,tp 93352.56,0.0022999999999591125
2026-01-08 02:45:00,2026-01-08 07:02:41,2026-01,2026-01-08,2,sell,0.01,90797.56,89821.38,9.77,198.81,257.68333333333334,sl,SBTC,BO,S82,0,,,,,unknown,SBTC|BO|S82|S,sl 89819.01,0.008200000000069707
2026-01-12 00:30:00,2026-01-12 03:36:26,2026-01,2026-01-12,0,buy,0.01,91029.33,92002.75,9.74,166.24,186.43333333333334,sl,SBTC,PB,S73,0,,,,,unknown,SBTC|PB|S73|B,sl 92009.79,0.005800000000016681
2026-01-03 21:30:00,2026-01-04 00:05:31,2026-01,2026-01-03,21,buy,0.01,90432.83,91321.35,8.88,183.6,155.51666666666668,tp,SBTC,BO,S95,0,,,,,unknown,SBTC|BO|S95|B,tp 91320.95,0.005200000000039395
2026-01-12 01:00:00,2026-01-12 03:36:26,2026-01,2026-01-12,1,buy,0.01,91157.93,92002.75,8.45,174.69,156.43333333333334,sl,SBTC,PB,S74,0,,,,,unknown,SBTC|PB|S74|B,sl 92009.79,0.0017999999999300798
2026-01-04 23:30:00,2026-01-05 00:01:27,2026-01,2026-01-04,23,buy,0.02,91354.04,91760.7,8.13,175.64,31.45,tp,SBTC,PB,S73,0,,,,,unknown,SBTC|PB|S73|B,tp 91760.34,0.0032000000000689255
2026-01-06 14:00:00,2026-01-06 14:07:57,2026-01,2026-01-06,14,buy,0.03,93713.38,93977.49,7.92,192.54,7.95,tp,SBTC,PB,S78,0,,,,,unknown,SBTC|PB|S78|B,tp 93974.38,0.003300000000017178
2026-01-04 21:00:00,2026-01-05 00:01:42,2026-01,2026-01-04,21,buy,0.01,91304.64,92066.54,7.62,183.26,181.7,tp,SBTC,PB,S81,0,,,,,unknown,SBTC|PB|S81|B,tp 92065.89,0.0010000000000580656
2026-01-03 20:45:00,2026-01-03 21:33:34,2026-01,2026-01-03,20,buy,0.02,90230.25,90586.13,7.11,174.72,48.56666666666667,sl,SBTC,BO,S85,0,,,,,unknown,SBTC|BO|S85|B,sl 90589.09,0.00760000000009331
2026-01-08 04:45:00,2026-01-08 06:17:25,2026-01,2026-01-08,4,sell,0.01,90944.48,90242.71,7.01,189.04,92.41666666666667,tp,SBTC,PB,S73,0,,,,,unknown,SBTC|PB|S73|S,tp 90243.59,0.007699999999895901
2026-01-02 17:30:00,2026-01-02 18:49:30,2026-01,2026-01-02,17,sell,0.01,90561.79,89883.32,6.79,159.09,79.5,tp,SBTC,RV,S68,0,,,,,unknown,SBTC|RV|S68|S,tp 89886.17,0.005300000000134197
2026-01-08 08:45:00,2026-01-08 10:02:29,2026-01,2026-01-08,8,sell,0.01,90313.36,89708.48,6.05,204.86,77.48333333333333,tp,SBTC,PB,S74,0,,,,,unknown,SBTC|PB|S74|S,tp 89708.64,0.0011999999999527944
2026-01-08 06:30:00,2026-01-08 14:29:38,2026-01,2026-01-08,6,sell,0.01,90151.81,89570.04,5.82,210.68,479.6333333333333,sl,SBTC,BO,S87,0,,,,,unknown,SBTC|BO|S87|S,sl 89567.26,0.0022999999999591125
2026-01-07 13:45:00,2026-01-07 14:02:30,2026-01,2026-01-07,13,sell,0.02,92072.65,91789.69,5.66,187.11,17.5,tp,SBTC,PB,S74,0,,,,,unknown,SBTC|PB|S74|S,tp 91789.98,0.0008000000001633367
2026-01-03 15:30:00,2026-01-03 20:37:25,2026-01,2026-01-03,15,buy,0.03,90019.0,90184.44,4.96,164.77,307.4166666666667,sl,SBTC,PB,S78,0,,,,,unknown,SBTC|PB|S78|B,sl 90187.05,0.0032000000000698137
2026-01-08 10:45:00,2026-01-08 14:29:38,2026-01,2026-01-08,10,sell,0.01,90043.78,89570.04,4.74,215.42,224.63333333333333,sl,SBTC,PB,S67,0,,,,,unknown,SBTC|PB|S67|S,sl 89567.26,0.002599999999947755
2026-01-02 03:00:00,2026-01-02 03:42:13,2026-01,2026-01-02,3,buy,0.01,88552.19,89018.55,4.67,153.9,42.21666666666667,tp,SBTC,PB,S79,0,,,,,unknown,SBTC|PB|S79|B,tp 89017.66,0.006399999999993966
2026-01-01 23:45:00,2026-01-02 09:52:04,2026-01,2026-01-01,23,buy,0.01,88782.57,89216.3,4.33,159.1,607.0666666666667,sl,SBTC,BO,S92,0,,,,,unknown,SBTC|BO|S92|B,sl 89218.56,0.007299999999959006
2026-01-05 11:00:00,2026-01-05 15:21:29,2026-01,2026-01-05,11,buy,0.01,93052.33,93428.13,3.76,198.82,261.48333333333335,sl,SBTC,BO,S94,0,,,,,unknown,SBTC|BO|S94|B,sl 93428.77,0.00199999999997047
2026-01-02 19:15:00,2026-01-03 04:06:25,2026-01,2026-01-02,19,buy,0.01,89938.56,90312.42,3.73,162.39,531.4166666666666,sl,SBTC,PB,S75,0,,,,,unknown,SBTC|PB|S75|B,sl 90316.32,0.008600000000005714
2026-01-07 19:30:00,2026-01-07 20:01:31,2026-01,2026-01-07,19,buy,0.01,90824.52,91193.09,3.68,190.79,31.516666666666666,tp,SBTC,RV,S68,0,,,,,unknown,SBTC|RV|S68|B,tp 91190.34,0.005699999999924099
2026-01-02 19:45:00,2026-01-03 04:06:25,2026-01,2026-01-02,19,buy,0.01,89961.84,90312.42,3.5,165.46,501.4166666666667,sl,SBTC,PB,S71,0,,,,,unknown,SBTC|PB|S71|B,sl 90316.32,0.005800000000017569
2026-01-07 10:15:00,2026-01-07 11:26:12,2026-01,2026-01-07,10,buy,0.01,91785.84,92125.97,3.4,181.45,71.2,tp,SBTC,RV,S68,0,,,,,unknown,SBTC|RV|S68|B,tp 92124.36,0.0013000000000467082
2026-01-05 10:15:00,2026-01-05 14:48:18,2026-01,2026-01-05,10,buy,0.01,92867.42,93187.68,3.21,195.06,273.3,sl,SBTC,BO,S84,0,,,,,unknown,SBTC|BO|S84|B,sl 93190.28,0.007400000000052476
