code,trades,net,gross_profit,gross_loss,win_rate,profit_factor,avg,avg_win,avg_loss,largest_win,largest_loss,win_count,loss_count
S91,2.0,-21.810000000000002,0,-21.810000000000002,0.0,0.0,-10.905000000000001,0.0,-10.905000000000001,0.0,-12.57,0.0,2.0
S87,4.0,-16.75,8.25,-25.0,25.0,0.33,-4.1875,8.25,-8.333333333333334,8.25,-12.29,1.0,3.0
S94,1.0,-14.02,0,-14.02,0.0,0.0,-14.02,0.0,-14.02,0.0,-14.02,0.0,1.0
S95,1.0,-14.01,0,-14.01,0.0,0.0,-14.01,0.0,-14.01,0.0,-14.01,0.0,1.0
S77,6.0,-11.35,5.9,-17.25,33.33333333333333,0.3420289855072464,-1.8916666666666666,2.95,-4.3125,5.65,-6.49,2.0,4.0
S86,2.0,-7.289999999999999,2.57,-9.86,50.0,0.2606490872210953,-3.6449999999999996,2.57,-9.86,2.57,-9.86,1.0,1.0
S71,5.0,-6.48,10.42,-16.9,40.0,0.6165680473372781,-1.296,5.21,-5.633333333333333,6.83,-9.57,2.0,3.0
S75,7.0,-5.83,15.440000000000001,-21.27,42.857142857142854,0.7259050305594735,-0.8328571428571429,5.146666666666667,-5.3175,6.99,-10.9,3.0,4.0
S76,9.0,-5.74,14.02,-19.76,44.44444444444444,0.7095141700404858,-0.6377777777777778,3.505,-3.9520000000000004,5.24,-6.76,4.0,5.0
S88,1.0,-5.44,0,-5.44,0.0,0.0,-5.44,0.0,-5.44,0.0,-5.44,0.0,1.0
S66,2.0,-5.109999999999999,0,-5.109999999999999,0.0,0.0,-2.5549999999999997,0.0,-2.5549999999999997,0.0,-2.67,0.0,2.0
S89,3.0,-3.8000000000000003,5.22,-9.02,33.33333333333333,0.5787139689578714,-1.2666666666666668,5.22,-4.51,5.22,-5.87,1.0,2.0
S84,4.0,-2.2999999999999994,10.33,-12.629999999999999,50.0,0.8178939034045923,-0.5749999999999998,5.165,-6.3149999999999995,7.69,-6.72,2.0,2.0
S79,5.0,-0.2400000000000002,10.57,-10.809999999999999,40.0,0.9777983348751158,-0.04800000000000004,5.285,-3.603333333333333,7.02,-4.01,2.0,3.0
S70,2.0,0.6600000000000001,3.97,-3.31,50.0,1.1993957703927494,0.33000000000000007,3.97,-3.31,3.97,-3.31,1.0,1.0
S72,7.0,2.24,11.89,-9.649999999999999,71.42857142857143,1.2321243523316066,0.32,2.378,-4.824999999999999,6.05,-5.22,5.0,2.0
S93,1.0,2.3,2.3,0,100.0,0.0,2.3,2.3,0.0,2.3,0.0,1.0,0.0
S74,8.0,2.790000000000001,21.07,-18.28,50.0,1.1526258205689277,0.3487500000000001,5.2675,-4.57,11.65,-6.14,4.0,4.0
S67,1.0,2.88,2.88,0,100.0,0.0,2.88,2.88,0.0,2.88,0.0,1.0,0.0
S92,1.0,4.09,4.09,0,100.0,0.0,4.09,4.09,0.0,4.09,0.0,1.0,0.0
S83,5.0,4.609999999999999,13.84,-9.23,40.0,1.4994582881906824,0.9219999999999999,6.92,-3.0766666666666667,7.03,-3.48,2.0,3.0
S69,4.0,4.68,4.68,0,100.0,0.0,1.17,1.17,0.0,3.27,0.0,4.0,0.0
S82,6.0,5.099999999999999,14.82,-9.72,66.66666666666666,1.5246913580246912,0.8499999999999998,3.705,-4.86,6.75,-5.61,4.0,2.0
S78,3.0,5.3,10.33,-5.03,66.66666666666666,2.0536779324055665,1.7666666666666666,5.165,-5.03,8.33,-5.03,2.0,1.0
S68,4.0,6.08,15.73,-9.65,75.0,1.6300518134715025,1.52,5.243333333333333,-9.65,9.5,-9.65,3.0,1.0
S96,1.0,6.62,6.62,0,100.0,0.0,6.62,6.62,0.0,6.62,0.0,1.0,0.0
S85,2.0,12.15,12.15,0,100.0,0.0,6.075,6.075,0.0,10.14,0.0,2.0,0.0
S80,7.0,12.180000000000001,20.3,-8.120000000000001,71.42857142857143,2.5,1.7400000000000002,4.0600000000000005,-4.0600000000000005,10.55,-4.49,5.0,2.0
S73,5.0,14.08,15.92,-1.84,80.0,8.652173913043478,2.816,3.98,-1.84,8.18,-1.84,4.0,1.0
S81,2.0,19.05,19.05,0,100.0,0.0,9.525,9.525,0.0,12.57,0.0,2.0,0.0
