engine,entry_hour,trades,net,gross_profit,gross_loss,win_rate,profit_factor,avg,avg_win,avg_loss,largest_win,largest_loss,win_count,loss_count
BO,9,2.0,-18.509999999999998,0,-18.509999999999998,0.0,0.0,-9.254999999999999,0.0,-9.254999999999999,0.0,-14.02,0.0,2.0
BO,8,3.0,-17.56,4.59,-22.15,33.33333333333333,0.20722347629796842,-5.853333333333333,4.59,-11.075,4.59,-12.29,1.0,2.0
BO,17,1.0,-14.01,0,-14.01,0.0,0.0,-14.01,0.0,-14.01,0.0,-14.01,0.0,1.0
PB,2,5.0,-12.53,1.37,-13.9,20.0,0.0985611510791367,-2.506,1.37,-3.475,1.37,-6.72,1.0,4.0
BO,5,2.0,-11.540000000000001,0,-11.540000000000001,0.0,0.0,-5.7700000000000005,0.0,-5.7700000000000005,0.0,-8.39,0.0,2.0
BO,21,1.0,-9.24,0,-9.24,0.0,0.0,-9.24,0.0,-9.24,0.0,-9.24,0.0,1.0
BO,3,2.0,-7.83,0,-7.83,0.0,0.0,-3.915,0.0,-3.915,0.0,-5.44,0.0,2.0
PB,11,4.0,-7.640000000000001,5.25,-12.89,25.0,0.4072924747866563,-1.9100000000000001,5.25,-4.296666666666667,5.25,-6.49,1.0,3.0
RV,7,1.0,-6.76,0,-6.76,0.0,0.0,-6.76,0.0,-6.76,0.0,-6.76,0.0,1.0
BO,11,1.0,-5.87,0,-5.87,0.0,0.0,-5.87,0.0,-5.87,0.0,-5.87,0.0,1.0
PB,21,3.0,-5.76,2.32,-8.08,33.33333333333333,0.2871287128712871,-1.92,2.32,-4.04,2.32,-4.07,1.0,2.0
PB,0,4.0,-5.74,3.9099999999999997,-9.65,75.0,0.405181347150259,-1.435,1.3033333333333332,-9.65,3.59,-9.65,3.0,1.0
BO,10,1.0,-5.61,0,-5.61,0.0,0.0,-5.61,0.0,-5.61,0.0,-5.61,0.0,1.0
PB,16,3.0,-5.17,10.55,-15.72,33.33333333333333,0.6711195928753181,-1.7233333333333334,10.55,-7.86,10.55,-9.57,1.0,2.0
PB,15,4.0,-4.74,9.2,-13.940000000000001,50.0,0.6599713055954087,-1.185,4.6,-6.970000000000001,5.65,-10.9,2.0,2.0
RV,14,1.0,-4.43,0,-4.43,0.0,0.0,-4.43,0.0,-4.43,0.0,-4.43,0.0,1.0
BO,14,1.0,-4.32,0,-4.32,0.0,0.0,-4.32,0.0,-4.32,0.0,-4.32,0.0,1.0
PB,12,1.0,-3.61,0,-3.61,0.0,0.0,-3.61,0.0,-3.61,0.0,-3.61,0.0,1.0
RV,23,1.0,-3.31,0,-3.31,0.0,0.0,-3.31,0.0,-3.31,0.0,-3.31,0.0,1.0
RV,12,1.0,-2.67,0,-2.67,0.0,0.0,-2.67,0.0,-2.67,0.0,-2.67,0.0,1.0
RV,1,1.0,-2.44,0,-2.44,0.0,0.0,-2.44,0.0,-2.44,0.0,-2.44,0.0,1.0
RV,17,1.0,-2.24,0,-2.24,0.0,0.0,-2.24,0.0,-2.24,0.0,-2.24,0.0,1.0
RV,9,1.0,-2.15,0,-2.15,0.0,0.0,-2.15,0.0,-2.15,0.0,-2.15,0.0,1.0
RV,8,3.0,-1.9500000000000002,3.59,-5.54,33.33333333333333,0.648014440433213,-0.65,3.59,-2.77,3.59,-3.17,1.0,2.0
PB,19,2.0,-0.9300000000000002,3.03,-3.96,50.0,0.7651515151515151,-0.4650000000000001,3.03,-3.96,3.03,-3.96,1.0,1.0
PB,13,2.0,-0.9100000000000001,2.88,-3.79,50.0,0.7598944591029023,-0.45500000000000007,2.88,-3.79,2.88,-3.79,1.0,1.0
PB,3,2.0,-0.8399999999999999,2.0,-2.84,50.0,0.7042253521126761,-0.41999999999999993,2.0,-2.84,2.0,-2.84,1.0,1.0
PB,20,3.0,-0.81,6.83,-7.640000000000001,33.33333333333333,0.893979057591623,-0.27,6.83,-3.8200000000000003,6.83,-4.16,1.0,2.0
PB,9,5.0,-0.23999999999999977,11.47,-11.71,60.0,0.9795046968403074,-0.04799999999999995,3.8233333333333337,-5.855,4.82,-6.14,3.0,2.0
RV,15,1.0,0.16,0.16,0,100.0,0.0,0.16,0.16,0.0,0.16,0.0,1.0,0.0
PB,5,1.0,0.75,0.75,0,100.0,0.0,0.75,0.75,0.0,0.75,0.0,1.0,0.0
PB,18,2.0,1.2700000000000005,6.48,-5.21,50.0,1.2437619961612285,0.6350000000000002,6.48,-5.21,6.48,-5.21,1.0,1.0
BO,0,4.0,1.71,18.39,-16.68,50.0,1.1025179856115108,0.4275,9.195,-8.34,10.14,-12.57,2.0,2.0
PB,14,1.0,1.83,1.83,0,100.0,0.0,1.83,1.83,0.0,1.83,0.0,1.0,0.0
RV,20,1.0,2.01,2.01,0,100.0,0.0,2.01,2.01,0.0,2.01,0.0,1.0,0.0
BO,13,1.0,2.3,2.3,0,100.0,0.0,2.3,2.3,0.0,2.3,0.0,1.0,0.0
BO,2,1.0,2.57,2.57,0,100.0,0.0,2.57,2.57,0.0,2.57,0.0,1.0,0.0
PB,10,1.0,3.32,3.32,0,100.0,0.0,3.32,3.32,0.0,3.32,0.0,1.0,0.0
RV,0,1.0,3.63,3.63,0,100.0,0.0,3.63,3.63,0.0,3.63,0.0,1.0,0.0
RV,13,1.0,3.86,3.86,0,100.0,0.0,3.86,3.86,0.0,3.86,0.0,1.0,0.0
BO,20,1.0,4.09,4.09,0,100.0,0.0,4.09,4.09,0.0,4.09,0.0,1.0,0.0
PB,7,3.0,4.26,4.26,0,100.0,0.0,1.42,1.42,0.0,3.78,0.0,3.0,0.0
BO,1,1.0,5.22,5.22,0,100.0,0.0,5.22,5.22,0.0,5.22,0.0,1.0,0.0
BO,22,1.0,6.62,6.62,0,100.0,0.0,6.62,6.62,0.0,6.62,0.0,1.0,0.0
PB,23,1.0,7.69,7.69,0,100.0,0.0,7.69,7.69,0.0,7.69,0.0,1.0,0.0
PB,8,2.0,8.51,8.51,0,100.0,0.0,4.255,4.255,0.0,5.24,0.0,2.0,0.0
PB,17,5.0,13.61,13.61,0,100.0,0.0,2.722,2.722,0.0,7.02,0.0,5.0,0.0
PB,22,2.0,15.08,15.08,0,100.0,0.0,7.54,7.54,0.0,8.33,0.0,2.0,0.0
PB,4,6.0,15.09,24.32,-9.23,66.66666666666666,2.6348862405200433,2.515,6.08,-4.615,11.65,-5.91,4.0,2.0
PB,1,6.0,15.72,25.97,-10.25,66.66666666666666,2.533658536585366,2.62,6.4925,-5.125,9.5,-5.22,4.0,2.0
BO,23,3.0,17.22,17.22,0,100.0,0.0,5.739999999999999,5.739999999999999,0.0,12.57,0.0,3.0,0.0
PB,6,3.0,17.48,17.48,0,100.0,0.0,5.826666666666667,5.826666666666667,0.0,8.18,0.0,3.0,0.0
