code,trades,net,gross_profit,gross_loss,win_rate,profit_factor,avg,avg_win,avg_loss,largest_win,largest_loss,win_count,loss_count
S76,4.0,-12.99,0,-12.99,0.0,0.0,-3.2475,0.0,-3.2475,0.0,-4.24,0.0,4.0
S82,1.0,-9.66,0,-9.66,0.0,0.0,-9.66,0.0,-9.66,0.0,-9.66,0.0,1.0
S91,2.0,-7.29,0,-7.29,0.0,0.0,-3.645,0.0,-3.645,0.0,-5.57,0.0,2.0
S88,1.0,-7.27,0,-7.27,0.0,0.0,-7.27,0.0,-7.27,0.0,-7.27,0.0,1.0
S73,5.0,-5.4399999999999995,5.36,-10.799999999999999,20.0,0.4962962962962964,-1.0879999999999999,5.36,-2.6999999999999997,5.36,-4.85,1.0,4.0
S79,1.0,-4.12,0,-4.12,0.0,0.0,-4.12,0.0,-4.12,0.0,-4.12,0.0,1.0
S69,4.0,-2.7,3.9,-6.6,50.0,0.5909090909090909,-0.675,1.95,-3.3,2.3,-3.63,2.0,2.0
S72,3.0,-2.27,2.36,-4.63,33.33333333333333,0.509719222462203,-0.7566666666666667,2.36,-2.315,2.36,-2.63,1.0,2.0
S66,1.0,-1.89,0,-1.89,0.0,0.0,-1.89,0.0,-1.89,0.0,-1.89,0.0,1.0
S75,2.0,-1.3199999999999994,3.7,-5.02,50.0,0.7370517928286854,-0.6599999999999997,3.7,-5.02,3.7,-5.02,1.0,1.0
S80,1.0,0.35,0.35,0,100.0,0.0,0.35,0.35,0.0,0.35,0.0,1.0,0.0
S70,2.0,0.6599999999999999,2.46,-1.8,50.0,1.3666666666666667,0.32999999999999996,2.46,-1.8,2.46,-1.8,1.0,1.0
S68,1.0,2.86,2.86,0,100.0,0.0,2.86,2.86,0.0,2.86,0.0,1.0,0.0
S77,1.0,3.47,3.47,0,100.0,0.0,3.47,3.47,0.0,3.47,0.0,1.0,0.0
S74,2.0,3.8200000000000003,5.74,-1.92,50.0,2.9895833333333335,1.9100000000000001,5.74,-1.92,5.74,-1.92,1.0,1.0
S83,1.0,5.18,5.18,0,100.0,0.0,5.18,5.18,0.0,5.18,0.0,1.0,0.0
S81,1.0,6.14,6.14,0,100.0,0.0,6.14,6.14,0.0,6.14,0.0,1.0,0.0
