engine,entry_hour,trades,net,gross_profit,gross_loss,win_rate,profit_factor,avg,avg_win,avg_loss,largest_win,largest_loss,win_count,loss_count
BO,9,1.0,-7.27,0,-7.27,0.0,0.0,-7.27,0.0,-7.27,0.0,-7.27,0.0,1.0
PB,10,2.0,-5.73,0,-5.73,0.0,0.0,-2.865,0.0,-2.865,0.0,-3.1,0.0,2.0
BO,3,1.0,-5.57,0,-5.57,0.0,0.0,-5.57,0.0,-5.57,0.0,-5.57,0.0,1.0
PB,13,2.0,-4.98,0,-4.98,0.0,0.0,-2.49,0.0,-2.49,0.0,-2.97,0.0,2.0
PB,5,1.0,-4.12,0,-4.12,0.0,0.0,-4.12,0.0,-4.12,0.0,-4.12,0.0,1.0
PB,4,2.0,-3.89,0.35,-4.24,50.0,0.08254716981132075,-1.945,0.35,-4.24,0.35,-4.24,1.0,1.0
RV,7,1.0,-3.63,0,-3.63,0.0,0.0,-3.63,0.0,-3.63,0.0,-3.63,0.0,1.0
PB,12,2.0,-3.6,0,-3.6,0.0,0.0,-1.8,0.0,-1.8,0.0,-1.8,0.0,2.0
PB,2,4.0,-2.63,11.879999999999999,-14.51,50.0,0.8187456926257752,-0.6575,5.9399999999999995,-7.255,6.14,-9.66,2.0,2.0
PB,0,1.0,-2.14,0,-2.14,0.0,0.0,-2.14,0.0,-2.14,0.0,-2.14,0.0,1.0
PB,1,1.0,-2.0,0,-2.0,0.0,0.0,-2.0,0.0,-2.0,0.0,-2.0,0.0,1.0
PB,22,1.0,-1.92,0,-1.92,0.0,0.0,-1.92,0.0,-1.92,0.0,-1.92,0.0,1.0
RV,10,1.0,-1.89,0,-1.89,0.0,0.0,-1.89,0.0,-1.89,0.0,-1.89,0.0,1.0
BO,20,1.0,-1.72,0,-1.72,0.0,0.0,-1.72,0.0,-1.72,0.0,-1.72,0.0,1.0
PB,3,2.0,-1.5499999999999994,3.47,-5.02,50.0,0.6912350597609562,-0.7749999999999997,3.47,-5.02,3.47,-5.02,1.0,1.0
PB,6,2.0,-0.6400000000000001,1.6,-2.24,50.0,0.7142857142857143,-0.32000000000000006,1.6,-2.24,1.6,-2.24,1.0,1.0
PB,14,2.0,-0.5500000000000003,2.86,-3.41,50.0,0.8387096774193548,-0.27500000000000013,2.86,-3.41,2.86,-3.41,1.0,1.0
RV,16,1.0,2.3,2.3,0,100.0,0.0,2.3,2.3,0.0,2.3,0.0,1.0,0.0
PB,16,1.0,2.36,2.36,0,100.0,0.0,2.36,2.36,0.0,2.36,0.0,1.0,0.0
PB,18,1.0,2.46,2.46,0,100.0,0.0,2.46,2.46,0.0,2.46,0.0,1.0,0.0
PB,19,1.0,3.7,3.7,0,100.0,0.0,3.7,3.7,0.0,3.7,0.0,1.0,0.0
BO,8,1.0,5.18,5.18,0,100.0,0.0,5.18,5.18,0.0,5.18,0.0,1.0,0.0
PB,8,1.0,5.36,5.36,0,100.0,0.0,5.36,5.36,0.0,5.36,0.0,1.0,0.0
