entry_hour,trades,net,gross_profit,gross_loss,win_rate,profit_factor,avg,avg_win,avg_loss,largest_win,largest_loss,win_count,loss_count
14,5.0,-14.85,12.98,-27.83,20.0,0.466403162055336,-2.9699999999999998,12.98,-6.9575,12.98,-9.98,1.0,4.0
18,2.0,-12.19,0.15,-12.34,50.0,0.012155591572123176,-6.095,0.15,-12.34,0.15,-12.34,1.0,1.0
6,4.0,-12.17,0.45,-12.620000000000001,25.0,0.03565768621236133,-3.0425,0.45,-4.206666666666667,0.45,-5.29,1.0,3.0
7,3.0,-12.149999999999999,3.64,-15.79,33.33333333333333,0.23052564914502852,-4.05,3.64,-7.895,3.64,-13.76,1.0,2.0
5,2.0,-11.370000000000001,0,-11.370000000000001,0.0,0.0,-5.6850000000000005,0.0,-5.6850000000000005,0.0,-6.9,0.0,2.0
1,2.0,-9.92,0,-9.92,0.0,0.0,-4.96,0.0,-4.96,0.0,-6.24,0.0,2.0
0,6.0,-8.709999999999999,10.38,-19.09,16.666666666666664,0.5437401781037192,-1.4516666666666664,10.38,-3.818,10.38,-4.91,1.0,5.0
12,2.0,-6.61,0,-6.61,0.0,0.0,-3.305,0.0,-3.305,0.0,-3.72,0.0,2.0
20,1.0,-2.7,0,-2.7,0.0,0.0,-2.7,0.0,-2.7,0.0,-2.7,0.0,1.0
22,2.0,-2.3100000000000005,1.68,-3.99,50.0,0.42105263157894735,-1.1550000000000002,1.68,-3.99,1.68,-3.99,1.0,1.0
11,3.0,0.010000000000000175,2.95,-2.94,66.66666666666666,1.0034013605442178,0.0033333333333333917,1.475,-2.94,2.66,-2.94,2.0,1.0
16,3.0,0.6099999999999999,3.48,-2.87,66.66666666666666,1.2125435540069687,0.20333333333333328,1.74,-2.87,3.15,-2.87,2.0,1.0
4,3.0,1.1300000000000003,10.860000000000001,-9.73,66.66666666666666,1.1161356628982528,0.37666666666666676,5.430000000000001,-9.73,8.71,-9.73,2.0,1.0
8,3.0,3.82,10.08,-6.26,66.66666666666666,1.610223642172524,1.2733333333333332,5.04,-6.26,7.72,-6.26,2.0,1.0
9,3.0,4.83,4.83,0,100.0,0.0,1.61,1.61,0.0,3.57,0.0,3.0,0.0
19,3.0,6.609999999999999,6.609999999999999,0,100.0,0.0,2.203333333333333,2.203333333333333,0.0,3.34,0.0,3.0,0.0
13,1.0,7.04,7.04,0,100.0,0.0,7.04,7.04,0.0,7.04,0.0,1.0,0.0
17,4.0,8.34,15.93,-7.59,50.0,2.0988142292490117,2.085,7.965,-3.795,10.65,-4.87,2.0,2.0
2,1.0,8.84,8.84,0,100.0,0.0,8.84,8.84,0.0,8.84,0.0,1.0,0.0
21,6.0,9.36,17.06,-7.7,83.33333333333334,2.2155844155844155,1.5599999999999998,3.412,-7.7,9.4,-7.7,5.0,1.0
15,5.0,10.35,14.860000000000001,-4.51,60.0,3.2949002217294905,2.07,4.953333333333334,-2.255,9.72,-3.74,3.0,2.0
23,3.0,10.66,17.93,-7.27,66.66666666666666,2.4662998624484183,3.5533333333333332,8.965,-7.27,10.09,-7.27,2.0,1.0
3,2.0,12.39,12.39,0,100.0,0.0,6.195,6.195,0.0,10.52,0.0,2.0,0.0
10,4.0,14.55,14.55,0,100.0,0.0,3.6375,3.6375,0.0,4.66,0.0,4.0,0.0
