entry_time,exit_time,entry_month,entry_date,entry_hour,side,volume,entry_price,exit_price,profit,balance,hold_minutes,exit_reason,family,engine,code,score,grade,regime_tag,hour_tag,tags,score_bucket,entry_comment,exit_comment,match_error
2026-01-08 07:00:00,2026-01-08 17:08:28,2026-01,2026-01-08,7,sell,0.01,89764.17,91139.85,-13.76,216.55,608.4666666666667,sl,SBTC,BO,S91,0,,,,,unknown,SBTC|BO|S91|S,sl 91135.10,0.0031999999999232642
2026-01-08 18:00:00,2026-01-09 08:46:26,2026-01,2026-01-08,18,buy,0.01,91309.05,90074.62,-12.34,198.41,886.4333333333333,sl,SBTC,BO,S86,0,,,,,unknown,SBTC|BO|S86|B,sl 90075.56,0.004300000000075244
2026-01-09 14:45:00,2026-01-09 15:26:42,2026-01,2026-01-09,14,sell,0.01,90008.35,91006.47,-9.98,178.43,41.7,sl,SBTC,BO,S80,0,,,,,unknown,SBTC|BO|S80|S,sl 91005.54,0.0011999999999527944
2026-01-04 04:45:00,2026-01-04 13:18:31,2026-01,2026-01-04,4,buy,0.02,91489.37,91002.86,-9.73,199.99,513.5166666666667,sl,SBTC,BO,S91,0,,,,,unknown,SBTC|BO|S91|B,sl 91005.65,0.00019999999989472883
2026-01-05 21:00:00,2026-01-05 21:30:04,2026-01,2026-01-05,21,buy,0.02,94202.11,93816.98,-7.7,212.42,30.066666666666666,sl,SBTC,PB,S75,0,,,,,unknown,SBTC|PB|S75|B,sl 93821.00,0.0026000000000934165
2026-01-06 14:30:00,2026-01-06 14:49:15,2026-01,2026-01-06,14,buy,0.01,94329.72,93571.08,-7.59,211.02,19.25,sl,SBTC,BO,S90,0,,,,,unknown,SBTC|BO|S90|B,sl 93571.62,0.0036000000000058208
2026-01-09 14:15:00,2026-01-09 15:26:41,2026-01,2026-01-09,14,sell,0.01,90263.34,90997.69,-7.35,188.41,71.68333333333334,sl,SBTC,PB,S73,0,,,,,unknown,SBTC|PB|S73|S,sl 90996.12,0.0064999999999413305
2026-01-08 23:00:00,2026-01-09 08:04:36,2026-01,2026-01-08,23,buy,0.01,91187.73,90460.74,-7.27,210.89,544.6,sl,SBTC,PB,S77,0,,,,,unknown,SBTC|PB|S77|B,sl 90464.42,0.0001000000000921375
2026-01-05 05:00:00,2026-01-05 06:28:22,2026-01,2026-01-05,5,buy,0.02,92578.82,92234.14,-6.9,208.77,88.36666666666666,sl,SBTC,PB,S86,0,,,,,unknown,SBTC|PB|S86|B,sl 92235.30,0.006399999999849193
2026-01-04 08:45:00,2026-01-04 12:44:36,2026-01,2026-01-04,8,buy,0.02,91379.23,91065.83,-6.26,209.72,239.6,sl,SBTC,PB,S87,0,,,,,unknown,SBTC|PB|S87|B,sl 91070.74,0.007999999999883656
