entry_time,exit_time,entry_month,entry_date,entry_hour,side,volume,entry_price,exit_price,profit,balance,hold_minutes,exit_reason,family,engine,code,score,grade,regime_tag,hour_tag,tags,score_bucket,entry_comment,exit_comment,match_error
2026-01-06 14:00:00,2026-01-06 14:12:16,2026-01,2026-01-06,14,buy,0.04,93713.38,94037.92,12.98,218.61,12.266666666666667,tp,SBTC,PB,S78,0,,,,,unknown,SBTC|PB|S78|B,tp 94037.38,0.0015999999997440284
2026-01-03 17:30:00,2026-01-03 21:21:15,2026-01,2026-01-03,17,buy,0.03,90042.56,90397.76,10.65,201.35,231.25,tp,SBTC,PB,S77,0,,,,,unknown,SBTC|PB|S77|B,tp 90393.85,0.0059999999999114095
2026-01-04 03:45:00,2026-01-04 06:06:37,2026-01,2026-01-04,3,buy,0.02,91215.02,91741.17,10.52,221.27,141.61666666666667,tp,SBTC,PB,S75,0,,,,,unknown,SBTC|PB|S75|B,tp 91738.82,0.0029999999998846505
2026-01-05 00:15:00,2026-01-05 01:58:37,2026-01,2026-01-05,0,buy,0.01,91866.8,92904.76,10.38,220.14,103.61666666666666,sl,SBTC,BO,S91,0,,,,,unknown,SBTC|BO|S91|B,sl 92909.12,0.00040000000008255654
2026-01-04 23:30:00,2026-01-05 00:01:30,2026-01,2026-01-04,23,buy,0.02,91354.04,91858.57,10.09,204.49,31.5,tp,SBTC,PB,S73,0,,,,,unknown,SBTC|PB|S73|B,tp 91858.41,0.0006000000002686079
2026-01-03 15:30:00,2026-01-03 21:05:59,2026-01,2026-01-03,15,buy,0.03,90019.0,90343.02,9.72,190.7,335.98333333333335,tp,SBTC,PB,S78,0,,,,,unknown,SBTC|PB|S78|B,tp 90343.00,0.0006000000001211703
2026-01-03 21:30:00,2026-01-04 00:05:46,2026-01,2026-01-03,21,buy,0.01,90432.83,91372.52,9.4,210.75,155.76666666666668,sl,SBTC,BO,S95,0,,,,,unknown,SBTC|BO|S95|B,sl 91373.05,0.003099999999976788
2026-01-08 02:45:00,2026-01-08 07:07:34,2026-01,2026-01-08,2,sell,0.01,90797.56,89913.53,8.84,224.03,262.56666666666666,sl,SBTC,BO,S82,0,,,,,unknown,SBTC|BO|S82|S,sl 89910.00,0.0002999999999886427
2026-01-08 04:45:00,2026-01-08 06:50:28,2026-01,2026-01-08,4,sell,0.01,90944.48,90072.53,8.71,215.19,125.46666666666667,tp,SBTC,PB,S73,0,,,,,unknown,SBTC|PB|S73|S,tp 90074.41,0.009499999999970754
2026-01-01 23:45:00,2026-01-02 10:27:36,2026-01,2026-01-01,23,buy,0.01,88782.57,89566.66,7.84,165.22,642.6,sl,SBTC,BO,S92,0,,,,,unknown,SBTC|BO|S92|B,sl 89571.68,0.0008999999999650399
2026-01-02 08:15:00,2026-01-02 10:15:00,2026-01,2026-01-02,8,buy,0.01,88976.27,89748.38,7.72,157.52,120.0,tp,SBTC,PB,S73,0,,,,,unknown,SBTC|PB|S73|B,tp 89742.90,0.0011000000000063181
2026-01-07 13:45:00,2026-01-07 14:03:14,2026-01,2026-01-07,13,sell,0.02,92072.65,91720.61,7.04,214.8,18.233333333333334,tp,SBTC,PB,S74,0,,,,,unknown,SBTC|PB|S74|S,tp 91721.75,0.0007999999998720142
2026-01-05 17:45:00,2026-01-05 20:35:25,2026-01,2026-01-05,17,buy,0.01,93781.9,94309.51,5.28,220.12,170.41666666666666,sl,SBTC,PB,S82,0,,,,,unknown,SBTC|PB|S82|B,sl 94315.32,0.0038999999999944635
2026-01-04 21:00:00,2026-01-05 00:02:02,2026-01,2026-01-04,21,buy,0.01,91304.64,91831.6,5.27,209.76,182.03333333333333,sl,SBTC,PB,S81,0,,,,,unknown,SBTC|PB|S81|B,sl 91833.16,0.0003999999999351189
2026-01-02 15:00:00,2026-01-02 16:44:40,2026-01,2026-01-02,15,buy,0.01,89538.03,90037.6,5.0,174.88,104.66666666666667,sl,SBTC,PB,S67,0,,,,,unknown,SBTC|PB|S67|B,sl 90038.14,0.0042999999999304706
2026-01-02 10:30:00,2026-01-02 14:17:18,2026-01,2026-01-02,10,sell,0.01,89508.87,89042.98,4.66,169.88,227.3,tp,SBTC,RV,S77,0,,,,,unknown,SBTC|RV|S77|S,tp 89045.97,0.00110000000000543
2026-01-08 10:45:00,2026-01-08 14:33:38,2026-01,2026-01-08,10,sell,0.01,90043.78,89652.04,3.92,230.31,228.63333333333333,sl,SBTC,PB,S67,0,,,,,unknown,SBTC|PB|S67|S,sl 89651.96,0.002599999999947311
2026-01-03 07:45:00,2026-01-03 09:33:39,2026-01,2026-01-03,7,buy,0.01,89535.36,89898.61,3.64,187.26,108.65,tp,SBTC,RV,S68,0,,,,,unknown,SBTC|RV|S68|B,tp 89894.63,0.00749999999999984
2026-01-07 10:15:00,2026-01-07 11:26:33,2026-01,2026-01-07,10,buy,0.01,91785.84,92150.06,3.64,207.76,71.55,tp,SBTC,RV,S68,0,,,,,unknown,SBTC|RV|S68|B,tp 92148.54,0.002200000000011748
2026-01-11 09:45:00,2026-01-11 14:33:13,2026-01,2026-01-11,9,buy,0.02,90645.24,90823.47,3.57,163.35,288.21666666666664,sl,SBTC,PB,S68,0,,,,,unknown,SBTC|PB|S68|B,sl 90827.65,0.005400000000081118
2026-01-02 19:15:00,2026-01-03 04:06:38,2026-01,2026-01-02,19,buy,0.01,89938.56,90272.51,3.34,180.94,531.6333333333333,sl,SBTC,PB,S75,0,,,,,unknown,SBTC|PB|S75|B,sl 90273.16,0.0005000000000290328
